Price,Make,Model,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Trim,Euro norm
"59,999 EUR",Audi,Q4,"16,290 km",2022,Electric,Crossover,Blue,Boortmeerbeek,222 kW (302 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/q4/audi-q4-2022-vente-501076?,,
"64,500 EUR",Bmw,I8,"97,800 km",2014,Hybrid,Coupe,Black,Hasselt,172 kW (234 HP),Automatic,https://autos.tweedehands.net/bmw/bmw-i8-m-pakket-full-options-e-hybrid.html,1.5,6
"46,990 EUR",Volkswagen,Tiguan,9 km,2024,Petrol,Crossover,Black,Tournai,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-neuves/volkswagen-tiguan-essence-0535726/,1.5,6
"35,990 EUR",Land Rover,Evoque,"84,447 km",2020,Diesel,Suv,Gray,Mons,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-range-rover-evoque-diesel-0539050/,2.0,
"29,990 EUR",Audi,A5,"77,150 km",2017,Diesel,Convertible,Gray,Sint Niklaas,141 kW (192 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a5-diesel-0537067/,2.0,6
"29,700 EUR",Ford,Edge,"94,614 km",2019,Diesel,Suv,Black,Boortmeerbeek,156 kW (212 HP),Automatic,https://www.autogids.be/detail-id--9433691--ford-st-line-4x4-automaat-full-option/tweedehands.html,2.0 TDCi,6
"27,995 EUR",Land Rover,Range Rover,"216,829 km",2013,Diesel,Suv,Blue,Brugge,192 kW (261 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-range-rover-diesel-0538419/,3.0,5
"22,990 EUR",Mercedes Benz,C-Class,"153,255 km",2014,Diesel,Wagon,Black,Zwevegem,152 kW (207 HP),Automatic,https://www.autogids.be/detail-id--9117596--mercedes-benz-da-amg-pack-panodak-led-leder-gps-cruise-pdc/tweedehands.html,250 D,6
"28,450 EUR",Ford,Puma,"19,483 km",2021,Petrol,Hatchback,Green,Machelen,149 kW (203 HP),Manual,https://www.autogids.be/detail-id--9468301--ford-verkocht-sold-vendu/tweedehands.html,1.5,6
"28,990 EUR",Peugeot,508,"54,503 km",2021,Petrol,Sedan,Gray,Turnhout,167 kW (227 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/peugeot-508-essence-0463901/,1.6,6
"24,500 EUR",Audi,A1,"35,984 km",2022,Petrol,Mini,Gray,Hasselt,70 kW (95 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a1-essence-0554111/,1.0 25 TFSI,6
"26,990 EUR",Audi,A3,"52,187 km",2019,Petrol,Sedan,Black,Tienen,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a3-essence-0548185/,1.5,6
"44,995 EUR",Land Rover,Discovery,"69,024 km",2020,Diesel,Suv,Silver,Kuurne,228 kW (310 HP),Automatic,https://www.autogids.be/detail-id--9459987--land-rover-3-0-sdv6-landmark-edition-trekhaak-7-seats/tweedehands.html,3.0,
"33,500 EUR",Audi,Q2,"41,442 km",2021,Petrol,Crossover,Black,Genk,111 kW (151 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/q2/audi-q2-2021-vente-532575?,1.5 35 TFSI,6
