Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"106,986 EUR (2,699,900 CZK)",Mercedes Benz,Gle-Class,450 AMG 4MATIC,"6,460 km",2023,Petrol,Suv,Black,Praha,280 kW (381 HP),Automatic,https://www.sportovnivozy.cz/186651-mercedes-benz-gle-450-4matic-amg-panorama-2023,
"172,369 EUR (4,349,900 CZK)",Mercedes Benz,Sl-Class,4.0 AMG 55,"2,966 km",2023,Petrol,Convertible,Gray,Praha,350 kW (476 HP),Automatic,https://autocaris.cz/detail.php?inzerat=716194,
"71,322 EUR (1,799,900 CZK)",Porsche,Cayenne,4.0 Turbo,"138,990 km",2018,Petrol,Suv,Black,Praha,404 kW (549 HP),Automatic,https://www.sauto.cz/osobni/detail/porsche/cayenne/199946617,
"27,734 EUR (699,900 CZK)",Volkswagen,Sharan,2.0 TDI,"166,950 km",2020,Diesel,Van,Blue,Praha,110 kW (150 HP),Automatic,https://www.autanet.cz/detail/volkswagen/sharan/45222,
"7,489 EUR (189,000 CZK)",Subaru,Forester,2.0 i,"207,000 km",2010,Petrol,Suv,White,Žďár Nad Sázavou,110 kW (150 HP),Automatic,https://www.annonce.cz/inzerat/subaru-forester-2-0i-71502044-wgthh4.html,
"16,246 EUR (409,999 CZK)",Volkswagen,Touareg,4.0 TDI V8,"319,000 km",2010,Diesel,Suv,Brown,Brno,250 kW (340 HP),Automatic,https://www.sauto.cz/osobni/detail/volkswagen/touareg/202332526,
"45,565 EUR (1,149,900 CZK)",Dodge,Challenger,6.4,"59,305 km",2020,Petrol,Coupe,Black,Praha,362 kW (492 HP),Automatic,https://autocaris.cz/detail.php?inzerat=733813,
"7,528 EUR (189,999 CZK)",Jeep,Grand Cherokee,3.0 crd,"240,568 km",2010,Diesel,Suv,Black,Brno,160 kW (218 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/Jeep/Grand_Cherokee/Grand-Cherokee-3.0-S.Limit-Kombi-1709039218907109.html,
"4,358 EUR (109,999 CZK)",Peugeot,5008,1.6,"187,333 km",2011,Diesel,Mpv,White,Brno,82 kW (112 HP),Manual,https://yauto.cz/peugeot/5008/16-7mist-kombi-nafta-858258/,
"6,736 EUR (169,999 CZK)",Bmw,X3,,"220,123 km",2008,Diesel,Suv,Black,Brno,130 kW (177 HP),Automatic,https://www.sauto.cz/osobni/detail/bmw/x3/202790470,
"8,717 EUR (219,999 CZK)",Bmw,1 Series,125i,"128,105 km",2011,Petrol,Coupe,Gray,Olbramovice,125 kW (170 HP),Manual,https://www.sauto.cz/osobni/detail/bmw/rada-3/205120413,
"7,845 EUR (198,000 CZK)",Seat,Leon,2.0 TDI,"268,518 km",2015,Diesel,Hatchback,Gray,Tábor,110 kW (150 HP),Manual,https://www.autanet.cz/detail/seat/leon/45335,
"65,379 EUR (1,649,900 CZK)",Audi,A6 Allroad,3.0 50 TDI quattro,"23,085 km",2023,Diesel,Crossover,Gray,Praha,210 kW (286 HP),Automatic,https://www.annonce.cz/inzerat/audi-a6-allroad-50-tdi-72605473-w9gy1v.html,
"9,708 EUR (245,000 CZK)",Kia,Sportage,2.0 CRDi,"192,786 km",2013,Diesel,Crossover,Black,Praha,100 kW (136 HP),Manual,https://www.sauto.cz/osobni/detail/kia/sportage/204803376,
"21,992 EUR (555,000 CZK)",Mercedes Benz,Cl-Class,55 AMG,"262,600 km",2008,Petrol,Coupe,Black,Karlovy Vary,285 kW (388 HP),Automatic,https://www.autanet.cz/detail/mercedes-benz/cl/46615,
"6,974 EUR (176,000 CZK)",Volkswagen,Golf,2.0 TDI,"197,319 km",2011,Diesel,Hatchback,Brown,Kroměříž,103 kW (140 HP),Manual,https://autocaris.cz/detail.php?inzerat=741062,
"14,661 EUR (369,999 CZK)",Volkswagen,Tiguan,2.0 TDI 4Motion,"92,116 km",2013,Diesel,Crossover,Silver,Olbramovice,103 kW (140 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/Volkswagen/Tiguan/Tiguan-2.0-TDI-DSG-SUV-1709627819330208.html,
"13,393 EUR (337,999 CZK)",Audi,A6 Allroad,3.0,"237,523 km",2013,Diesel,Crossover,Gray,Brno,180 kW (245 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/Audi/A6_Allroad/A6-Allroad-3.0-Panoram-Kombi-1703255881220261.html,
"11,095 EUR (279,999 CZK)",Volkswagen,Touareg,3.0 TDI V6,"269,962 km",2010,Diesel,Suv,Gray,Olbramovice,176 kW (239 HP),Automatic,https://autocaris.cz/detail.php?inzerat=733208,
"62,411 EUR (1,575,000 CZK)",Bmw,X6,,"40,000 km",2018,Petrol,Suv,Black,Ostrava,423 kW (575 HP),Automatic,https://autocaris.cz/detail.php?inzerat=741369,
"37,640 EUR (949,900 CZK)",Tesla,Model S,electro,"84,670 km",2018,Electric,Sedan,Blue,Praha,193 kW (262 HP),,https://autocaris.cz/detail.php?inzerat=729074,
"16,242 EUR (409,900 CZK)",Kia,Optima,1.7,"141,000 km",2016,Diesel,Sedan,Gray,Praha,104 kW (141 HP),Automatic,https://www.sauto.cz/osobni/detail/kia/optima/204573501,
"3,526 EUR (88,999 CZK)",Seat,Altea,1.9 TDI,"314,307 km",2007,Diesel,Mpv,Silver,Olbramovice,77 kW (105 HP),Manual,https://www.automodul.cz/seat-altea-1-9-tdi-xl-stylance-stk-11-25-c2611710,
"13,865 EUR (349,900 CZK)",Hyundai,Tucson,1.7 CRDi,"178,025 km",2017,Diesel,Suv,Gold,Praha,104 kW (141 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/Hyundai/Tucson/Tucson-1.7.-PREMIU-SUV-1708960338288220.html,
"6,332 EUR (159,800 CZK)",Škoda,Roomster,1.2,"85,710 km",2010,Petrol,Mpv,Blue,Slaný,63 kW (86 HP),Manual,https://www.cars.cz/inzerce/osobni-auto-O/Skoda/Roomster/Roomster-1-2-i-63kW-Hatchback-1708094247437731.html,
"95,062 EUR (2,399,000 CZK)",Bmw,7 Series,750i,"32,000 km",2021,Petrol,Sedan,White,Ostrava,390 kW (530 HP),Automatic,https://www.sportovnivozy.cz/186963-bmw-rada-7-750i-xdrive-m-sport-masaz-2021,
"53,019 EUR (1,338,000 CZK)",Mercedes Benz,Gls-Class,500 4MATIC,"72,479 km",2018,Petrol,Suv,White,Znojmo,335 kW (456 HP),Manual,https://www.sportovnivozy.cz/188116-mercedes-benz-gls-500-4matic7misttaznecr-2018,
"43,188 EUR (1,089,900 CZK)",Lexus,Rc-F,5.0,"24,245 km",2014,Petrol,Coupe,Blue,Praha,351 kW (477 HP),Automatic,https://www.sportovnivozy.cz/186824-lexus-rc-f-50-v8-coupe-sport-led-2014,
"29,719 EUR (749,999 CZK)",Bmw,X6,M50d,"163,934 km",2016,Diesel,Suv,Black,Olbramovice,280 kW (381 HP),Automatic,https://www.sportovnivozy.cz/187667-bmw-x6-30-m50d-280kw-xdrive-m-s-2016,
"7,925 EUR (199,999 CZK)",Volkswagen,Tiguan,1.4 TSI,"198,952 km",2012,Petrol,Crossover,White,Brno,90 kW (122 HP),Manual,https://yauto.cz/volkswagen/tiguan/14-lpg-kombi-benzin-841302/,
"19,809 EUR (499,900 CZK)",Volkswagen,Polo,2.0,"80,700 km",2013,Petrol,Hatchback,White,České Budějovice,162 kW (220 HP),Manual,https://www.cars.cz/inzerce/osobni-auto-O/Volkswagen/Polo/Polo-2-0-TSI-162-Hatchback-17037001796640.html,
"101,042 EUR (2,549,900 CZK)",Audi,Q8,3.0 50 TDI quattro,30 km,2024,Diesel,Suv,Black,Praha,210 kW (286 HP),Automatic,https://www.annonce.cz/inzerat/audi-q8-50-tdi-quattro-72605525-w3zj3x.html,
"7,885 EUR (199,000 CZK)",Porsche,Cayenne,4.5,"197,069 km",2003,Petrol,Suv,Blue,Karlovy Vary,331 kW (450 HP),Automatic,https://www.autanet.cz/detail/porsche/cayenne/43926,
"11,887 EUR (299,999 CZK)",Toyota,Land Cruiser,3.0 D-4d,"226,243 km",2005,Diesel,Suv,Gold,Olbramovice,122 kW (166 HP),Automatic,https://www.sauto.cz/osobni/detail/toyota/land-cruiser/201847066,
"63,397 EUR (1,599,900 CZK)",Bmw,X7,30d xDrive,"176,205 km",2019,Diesel,Suv,Black,Praha,195 kW (265 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/BMW/X7/X7-30d-xDrive-SUV-17019705375030.html,
