Price,Make,Model,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Trim
"100,619 EUR (749,995 DKK)",Porsche,Taycan,"57,000 km",2021,Electric,Sedan,Black,Kastrup,283 kW (385 HP),Automatic,https://www.bilbasen.dk/brugt/bil/porsche/taycan/performance-4d/5690728,
"113,901 EUR (849,000 DKK)",Porsche,Macan,"82,000 km",2015,Petrol,Suv,Black,Hadsund,298 kW (405 HP),Automatic,https://www.bilbasen.dk/brugt/bil/porsche/macan-turbo/36-pdk-5d/6064530,3.6 Turbo
"127,451 EUR (950,000 DKK)",Porsche,Taycan,"43,000 km",2021,Electric,Sedan,Black,Hørsholm,490 kW (666 HP),Automatic,https://bilhandel.dk/porsche-taycan-4s-cross-turismo/id-1575447,4S
"29,099 EUR (216,900 DKK)",Hyundai,I20,"4,000 km",2023,Petrol,Hatchback,White,Søborg,74 kW (101 HP),Automatic,https://www.bilbasen.dk/brugt/bil/hyundai/i20/10-t-gdi-essential-dct-5d/6088798,1.0
"38,839 EUR (289,500 DKK)",Saic,Marvel R,100 km,2022,Electric,Crossover,Gray,Bredebro,288 kW (392 HP),Automatic,https://bilhandel.dk/mg-marvel-r-performance/id-1569213,electro
"72,419 EUR (539,800 DKK)",Audi,Sq5,"85,000 km",2017,Diesel,Suv,White,Bramming,326 kW (443 HP),Automatic,https://bilhandel.dk/audi-sq5-30-tdi-326-competition-quattro-tiptr/id-1563768,3.0 TDI
"27,489 EUR (204,900 DKK)",Jeep,Compass,"71,000 km",2018,Diesel,Crossover,White,Kolding,89 kW (121 HP),Manual,https://www.bilbasen.dk/brugt/bil/jeep/compass/16-m-jet-120-limited-5d/5896955,1.6
"8,706 EUR (64,900 DKK)",Kia,Picanto,"126,000 km",2016,Petrol,Mini,White,Toftlund,69 kW (94 HP),Manual,https://bilhandel.dk/kia-picanto-10-attraction/id-1575328,1.0
"56,333 EUR (419,900 DKK)",Kia,Ev6,15 km,2024,Electric,Crossover,Black,Birkerød,170 kW (231 HP),Automatic,https://www.bilbasen.dk/brugt/bil/kia/ev6/77-long-range-gt-line-5d/6051317,
"48,270 EUR (359,800 DKK)",Volkswagen,Tiguan,"43,000 km",2020,Petrol,Crossover,White,Frederikssund,150 kW (204 HP),Automatic,https://bilhandel.dk/vw-tiguan-15-tsi-150-comfortline-team-dsg/id-1514558,1.5 tsi
"58,963 EUR (439,500 DKK)",Audi,Sq5,"154,000 km",2016,Diesel,Suv,White,Bredebro,243 kW (330 HP),Automatic,https://www.bilbasen.dk/brugt/bil/audi/sq5/30-tdi-326-competition-quattro-tiptr-5d/6093850,3.0 TDI
"40,221 EUR (299,800 DKK)",Audi,Q7,"282,000 km",2013,Diesel,Suv,White,Bramming,245 kW (333 HP),Automatic,https://bilhandel.dk/audi-q7-30-tdi-245-s-line-quattro-tiptr-7prs/id-1569426,3.0 TDI
"40,180 EUR (299,500 DKK)",Saic,Marvel R,450 km,2022,Electric,Crossover,Gray,Bredebro,288 kW (392 HP),Automatic,https://bilhandel.dk/mg-marvel-r-performance/id-1568953,electro
"37,551 EUR (279,900 DKK)",Volvo,V60,"103,000 km",2020,Diesel,Wagon,Black,Tørring,141 kW (192 HP),Automatic,https://www.bilbasen.dk/brugt/bil/volvo/v60/20-d4-190-momentum-aut-5d/6062723,2.0 D4
"20,767 EUR (154,800 DKK)",Volkswagen,Touran,"142,000 km",2015,Diesel,Mpv,Black,Bramming,110 kW (150 HP),Manual,https://bilhandel.dk/vw-touran-16-tdi-110-highline-7prs/id-1577895,1.6 TDI
"37,148 EUR (276,900 DKK)",Ford,S-Max,"92,000 km",2019,Diesel,Mpv,Black,Silkeborg,190 kW (258 HP),Automatic,https://bilhandel.dk/ford-s-max-20-ecoblue-titanium-aut/id-1541800,2.0 EcoBlue
"120,609 EUR (899,000 DKK)",Porsche,911,"10,000 km",2023,Petrol,Coupe,Pink,Risskov,287 kW (390 HP),Automatic,https://www.bilbasen.dk/brugt/bil/porsche/911-carrera-t/30-coup-pdk-2d/5963604,3.0
"56,333 EUR (419,900 DKK)",Kia,Ev6,15 km,2023,Electric,Crossover,Gray,Herlev,170 kW (231 HP),Automatic,https://www.bilbasen.dk/brugt/bil/kia/ev6/77-long-range-gt-line-5d/6052634,
"42,246 EUR (314,900 DKK)",Volvo,V60,"78,000 km",2020,Diesel,Wagon,White,Kolding,111 kW (151 HP),Automatic,https://www.bilbasen.dk/brugt/bil/volvo/v60/20-d3-150-momentum-aut-5d/5811714,2.0 D3
"40,905 EUR (304,900 DKK)",Hyundai,Ioniq 5,"24,000 km",2021,Electric,Crossover,Green,Ballerup,161 kW (219 HP),Automatic,https://www.bilbasen.dk/brugt/bil/hyundai/ioniq-5/73-dynamiq-5d/5961027,
"21,330 EUR (158,995 DKK)",Hyundai,I10,"3,000 km",2024,Petrol,Mini,White,Søborg,49 kW (67 HP),Manual,https://www.bilbasen.dk/brugt/bil/hyundai/i10/10-mpi-advanced-5d/6083539,1.0
"21,196 EUR (157,995 DKK)",Hyundai,I10,"3,000 km",2024,Petrol,Mini,Green,Søborg,49 kW (67 HP),Manual,https://www.bilbasen.dk/brugt/bil/hyundai/i10/10-mpi-advanced-5d/6083524,1.0
"53,650 EUR (399,900 DKK)",Alfa Romeo,Stelvio,"66,000 km",2020,Diesel,Crossover,White,Kolding,141 kW (192 HP),Automatic,https://www.bilbasen.dk/brugt/bil/alfa-romeo/stelvio/22-jtd-190-super-aut-5d/5994456,2.2
"32,184 EUR (239,900 DKK)",Saic,Marvel R,"41,000 km",2022,Electric,Crossover,White,Brøndby,134 kW (182 HP),Automatic,https://www.bilbasen.dk/brugt/bil/mg/marvel-r/luxury-5d/6083338,electro
"46,942 EUR (349,900 DKK)",Mercedes Benz,C-Class,"127,000 km",2020,Diesel,Hatchback,Black,Kolding,144 kW (196 HP),Automatic,https://www.bilbasen.dk/brugt/bil/mercedes/c220-d/20-amg-line-stc-aut-5d/5936820,
"36,156 EUR (269,500 DKK)",Jaguar,Xf,"89,000 km",2018,Diesel,Sedan,Black,Bredebro,180 kW (245 HP),Automatic,https://bilhandel.dk/jaguar-xf-20-d180-portfolio-aut/id-1563158,2.0
"44,272 EUR (329,999 DKK)",Mercedes Benz,Eqa,"56,000 km",2021,Electric,Hatchback,White,Taastrup,141 kW (192 HP),Automatic,https://www.bilbasen.dk/brugt/bil/mercedes/eqa250/5d/6045249,
"36,880 EUR (274,900 DKK)",Peugeot,5008,"95,000 km",2019,Petrol,Mpv,White,Kolding,96 kW (131 HP),Automatic,https://www.bilbasen.dk/brugt/bil/peugeot/5008/12-puretech-130-allure-eat8-7prs-5d/5628496,1.2 puretech
"42,917 EUR (319,900 DKK)",Bmw,X1,"39,000 km",2020,Diesel,Suv,Black,Hornslet,111 kW (151 HP),Automatic,https://www.bilbasen.dk/brugt/bil/bmw/x1/20-sdrive18d-m-sport-aut-5d/6087172,sDrive18d
"6,681 EUR (49,800 DKK)",Renault,Megane,"181,000 km",2006,Petrol,Coupe,Black,Bramming,115 kW (156 HP),Manual,https://bilhandel.dk/renault-megane-ii-16-authentique-comfort-cc/id-1566340,1.6
"138,050 EUR (1,029,000 DKK)",Audi,Sq7,"103,000 km",2018,Diesel,Suv,Black,Kastrup,324 kW (441 HP),Automatic,https://www.bilbasen.dk/brugt/bil/audi/sq7/40-tdi-quattro-tiptr-7prs-5d/6091204,4.0 TDI
"29,501 EUR (219,900 DKK)",Volkswagen,Passat,"95,000 km",2017,Hybrid,Sedan,White,Langå,162 kW (220 HP),Automatic,https://www.autouncle.dk/en/d/4682582-used-vw-passat-gte-highline-variant-dsg,1.4 TSI
"26,818 EUR (199,900 DKK)",Ford,Kuga,"100,000 km",2018,Diesel,Suv,White,Varde,120 kW (163 HP),Automatic,https://bilhandel.dk/ford-kuga-15-tdci-120-st-line-aut/id-1569613,1.5
"12,609 EUR (93,990 DKK)",Volkswagen,Polo,"174,000 km",2017,Petrol,Hatchback,White,Bagsværd,95 kW (129 HP),Manual,https://bilhandel.dk/vw-polo-10-tsi-95-bluemotion/id-1574642,1.0 tsi
"52,308 EUR (389,900 DKK)",Mercedes Benz,Eqb,"4,000 km",2023,Electric,Suv,White,Middelfart,190 kW (258 HP),Automatic,https://bilhandel.dk/mercedes-eqb250-amg-line/id-1518432,250
"33,539 EUR (250,000 DKK)",Volkswagen,Polo,"103,000 km",2018,Petrol,Hatchback,White,Gadstrup,200 kW (272 HP),Automatic,https://bilhandel.dk/vw-polo-20-gti-dsg/id-1267136,2.0
"38,222 EUR (284,900 DKK)",Hyundai,Tucson,"54,000 km",2020,Diesel,Suv,White,Varde,136 kW (185 HP),Automatic,https://bilhandel.dk/hyundai-tucson-16-crdi-mild-hybrid-n-line-dct-136hk-5d-7g-aut/id-1561180,1.6 CRDi
"18,715 EUR (139,500 DKK)",Nissan,Qashqai,"150,000 km",2017,Diesel,Crossover,White,Bredebro,110 kW (150 HP),Manual,https://bilhandel.dk/nissan-qashqai-15-dci-110-tekna/id-1560879,1.5 dCi
"12,073 EUR (89,990 DKK)",Peugeot,2008,"146,000 km",2015,Petrol,Crossover,Black,Bagsværd,82 kW (112 HP),Automatic,https://bilhandel.dk/peugeot-2008-12-e-vti-82-city-style-esg/id-1576765,1.2 vti
"29,488 EUR (219,800 DKK)",Ford,Focus,"74,000 km",2019,Diesel,Hatchback,White,Vodskov,89 kW (121 HP),Automatic,https://www.autouncle.dk/en/d/4729816-used-ford-focus-1-5-ecoblue-titanium-stc-aut,1.5 EcoBlue
"53,650 EUR (399,900 DKK)",Mercedes Benz,Eqa,"27,000 km",2021,Electric,Hatchback,Black,Fredericia,141 kW (192 HP),Automatic,https://www.autouncle.dk/en/d/4623950-used-mercedes-eqa250-amg-line-5d,
