Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"54,590 EUR",Lexus,Rx,450h,"50,200 km",2021,Hybrid,Suv,White,Champagne-au-Mont-d'Or,195 kW (265 HP),Automatic,https://www.leparking.fr/voiture-occasion-detail/lexus-rx-rx-450h/iv-generation2-450h-16cv-executive/DFFL7WHZ.html
"29,299 EUR",Lexus,Nx,300h,"72,625 km",2018,Hybrid,Suv,White,Chambourcy,155 kW (211 HP),Automatic,https://www.paruvendu.fr/a/voiture-occasion/lexus/nx/1273414159A1KVVOLXNX
"29,490 EUR",Seat,Ateca,1.5 tsi,"41,446 km",2022,Petrol,Suv,Gray,Seynod,111 kW (151 HP),Automatic,https://www.leparking.fr/voiture-occasion-detail/seat-ateca/1-5-tsi-150ch-start-stop-xperience-dsg/VPTFWHR8.html
"59,990 EUR",Audi,Sq7,4.0 TDI,"107,844 km",2018,Diesel,Suv,Black,Liévin,324 kW (441 HP),Automatic,https://www.leparking.fr/voiture-occasion-detail/audi-q7-sq7/generation2-4-0-tdi-435-quattro-tiptronic-7pl/JYOK6S1F.html
"19,990 EUR",Volkswagen,T-Cross,1.0 tsi,"37,916 km",2019,Petrol,Crossover,Gray,Albi,115 kW (156 HP),Automatic,https://fr.renew.auto/achat-vehicules-occasions/detail.html?productId=VEH_00000977_VO415054
"42,999 EUR",Lexus,Rx,450h,"54,960 km",2020,Hybrid,Suv,Gray,Nanterre,196 kW (267 HP),Automatic,https://www.leparking.fr/voiture-occasion-detail/lexus-rx-rx-450h/lexus-rx-450h-4wd-luxe-euro6d-t-15cv/2XZ6HW3B.html
"16,599 EUR",Opel,Zafira Tourer,2.0,"98,957 km",2016,Diesel,Van,Gray,Honfleur,126 kW (171 HP),Manual,https://www.leparking.fr/voiture-occasion-detail/opel-zafira-tourer/2-0-cdti-170ch-ecoflex-cosmo-pack-start-stop-7-places/Y3358RAS.html
"17,499 EUR",Seat,Arona,1.0 tsi,"61,595 km",2019,Petrol,Crossover,Orange,Serignan-du-Comtat,85 kW (116 HP),Automatic,https://www.leparking.fr/voiture-occasion-detail/seat-arona/seat-arona-1-0-ecotsi-115ch-start-stop-xcellence-dsg-euro6d-t/WAA5JW41.html
"59,980 EUR",Porsche,Macan,3.0 s,"97,835 km",2019,Petrol,Suv,Silver,Tours,263 kW (358 HP),Automatic,http://www.voiture-de-prestige.com/porsche+macan+s-3-0-354-ch-pdk_1245656.html
"88,499 EUR",Porsche,Macan,2.9 Turbo,"40,223 km",2019,Petrol,Suv,Gray,Nîmes,328 kW (446 HP),Automatic,https://www.leparking.fr/voiture-occasion-detail/porsche-macan-turbo/porsche-macan-2-9-v6-440ch-turbo-pdk-euro6d-t-evap-isc/0JJMWBX8.html
"9,990 EUR",Citroen,C3 Picasso,1.2,"108,556 km",2016,Petrol,Mpv,White,Creil,82 kW (112 HP),Manual,https://www.leparking.fr/voiture-occasion-detail/citroen-c3-picasso/puretech-110-exclusive/A2BJUA0Z.html
"20,490 EUR",Škoda,Kamiq,1.0 tsi,"17,968 km",2021,Petrol,Suv,White,Le Blanc,82 kW (112 HP),Automatic,https://www.leparking.fr/voiture-occasion-detail/skoda-kamiq/1-0-tsi-110-ambition-dsg7/FK5VHJLJ.html
