Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"35,890 EUR",Mazda,Cx-5,2.5,"15,871 km",2023,Petrol,6,Crossover,Black,Munich,144 kW (196 HP),Automatic,https://www.12gebrauchtwagen.de/c/16/1426019387?num_on_page=4&page=12&title=Mazda+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"35,890 EUR",Mazda,Cx-5,2.5,"11,732 km",2023,Petrol,6,Crossover,Black,Hamburg,144 kW (196 HP),Automatic,https://www.moll-automobile.de/fahrzeug/385546043/Pkw/mazda-cx-5-homura-2-5l-skyactiv-g-194ps-fwd-6ag-navi-b
"26,790 EUR",Volkswagen,Sharan,1.4 TSI,"93,649 km",2018,Diesel,6,Van,Silver,Übach Palenberg,110 kW (150 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1412086749?num_on_page=3&page=110&premium=false&title=VW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"10,290 EUR",Hyundai,I30,1.4,"98,990 km",2017,Petrol,6,Wagon,Black,Gießen,74 kW (101 HP),Manual,https://www.12gebrauchtwagen.de/c/4/1413818076?num_on_page=3&page=8&title=Hyundai+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"16,924 EUR",Opel,Crossland X,1.2,"24,750 km",2022,Petrol,6,Suv,Green,Coesfeld,97 kW (132 HP),Manual,https://gebrauchtwagen.hyundai.de/de/fahrzeugsuche/opel/crossland/elegancelednavirUckfahrkamerasitz-lenkradheiz-t4c836lv
"16,924 EUR",Opel,Crossland X,1.2,"23,200 km",2022,Petrol,6,Suv,Green,Coesfeld,97 kW (132 HP),Manual,https://gebrauchtwagen.hyundai.de/de/fahrzeugsuche/opel/crossland/elegancelednavirUckfahrkameraagr-sitzsitz-le-t4c9lyr8
"19,450 EUR",Opel,Crossland X,1.2 Turbo,"7,821 km",2020,Petrol,,Suv,Gray,Iserlohn,97 kW (132 HP),Automatic,https://hey.car/vehicle/c30818a6-0e40-462a-8618-2f5cd2754051?dealerId=504513
"24,970 EUR",Audi,A1,2.0 40 TFSI,"51,250 km",2019,Petrol,,Mini,Black,Lahr Schwarzwald,149 kW (203 HP),Automatic,https://hey.car/vehicle/0bbe77e2-4a63-4bfc-a700-76c424220439?dealerId=513242
"24,890 EUR",Audi,A1,1.0 30 TFSI,"42,490 km",2019,Petrol,6,Mini,Yellow,Rain,85 kW (116 HP),Manual,https://www.instamotion.com/auto/IHZA-BDNR-HESE
"18,835 EUR",Audi,A1,1.0 25 TFSI,"21,956 km",2019,Petrol,6,Mini,Black,Marktredwitz,70 kW (95 HP),Automatic,https://gebrauchtwagen.hyundai.de/de/fahrzeugsuche/audi/a1/sportback-25-10-tfsi-advanced-shzspurhpdc-wdc88mqq
