Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"13,450 EUR",Audi,A3,1.2 s tfsi,"97,890 km",2011,Petrol,Convertible,Silver,Helmond,78 kW (106 HP),Automatic,https://autovooru.nl/audi-a3~c3-2ca-3b26db.html,
"17,240 EUR",Nissan,Leaf,40 kWh,"92,555 km",2019,Electric,Hatchback,Silver,Tilburg,111 kW (151 HP),Automatic,https://www.autoscout24.nl/aanbod/nissan-leaf-tekna-40-kwh-leder-alcantara-propilot-stoel-elektrisch-grijs-8a6f8a17-512f-4662-8015-d4d65e6cb5de,
"16,700 EUR",Opel,Astra,1.2,"37,000 km",2021,Petrol,Hatchback,Silver,Kerkrade,82 kW (112 HP),Manual,https://www.nederlandmobiel.nl/tweedehands-auto/opel/astra-12-edition-navigatiekameracarplaydab/18762627,
"9,445 EUR",Peugeot,308,1.2 vti,"165,970 km",2018,Petrol,Wagon,Silver,Stolwijk,82 kW (112 HP),Manual,https://www.nederlandmobiel.nl/tweedehands-auto/peugeot/308-sw-12-pt-executive-nav-dab-panoramadak/18683590,
"9,995 EUR",Volkswagen,Polo,1.2 TSI,"104,495 km",2011,Petrol,Hatchback,Beige,Middelburg,78 kW (106 HP),Automatic,https://www.zeelandnet.nl/prikbord/volkswagen-polo-12-tsi-cross-executive-plus-trekhaak-navigatie-bluetooth-tel-cruise-climate-control-rijklaarprijs/a/6389913,
"11,745 EUR",Seat,Leon,2.8 cupra,"177,837 km",2018,Petrol,Hatchback,Silver,Stolwijk,86 kW (117 HP),Automatic,https://www.autoscout24.nl/aanbod/seat-leon-st-1-0-ecotsi-style-businessline-aut-nav-dab-pri-benzine-grijs-88a2cedb-2bdb-4311-904c-72e8b593f1ad,
"11,945 EUR",Fiat,500,0.9 TwinAir,"40,554 km",2016,Petrol,Mini,White,Stolwijk,59 kW (80 HP),Automatic,https://www.nederlandmobiel.nl/tweedehands-auto/fiat/500-09-twinair-lounge-automaat-panorama-uconnect-airco/18763217,
"14,945 EUR",Audi,A4 Allroad,2.0 tfsi,"201,275 km",2011,Petrol,Crossover,Silver,Stolwijk,157 kW (214 HP),Automatic,https://www.vaartland.nl/occasion/audi/a4-allroad/quattro-2-0-tfsi-s-line-pro-line/3-xdl-66,
"9,900 EUR",Fiat,500c,1.2,"97,000 km",2016,Petrol,Convertible,Beige,Kerkrade,51 kW (69 HP),Automatic,https://www.autoscout24.nl/aanbod/fiat-500c-1-2-lounge-cabrio-climate-control-leer-pdc-benzine-zwart-6bc7d3d4-77c1-4317-8465-ca05d3a1e005,
"8,745 EUR",Kia,Picanto,1.2,"63,987 km",2016,Petrol,Mini,Silver,Stolwijk,62 kW (84 HP),Manual,https://www.eurostocks.com/nl/voertuigen/autos/kleine-auto/vehicle/2512284/kia-picanto-12-cvvt-dynamcline-lederalcantaracruiseclima,
"14,800 EUR",Nissan,Micra,1.0,"58,458 km",2019,Petrol,Mini,Red,Middelburg,75 kW (102 HP),Automatic,https://www.zeelandnet.nl/prikbord/nissan-micra-10-ig-t-n-connecta-apple-carplayandroid-auto-camera-cruise-climate-control-park-sensor-dab-lm-velgen-bluetooth-tel-rijklaarprijs/a/6336921,
"12,350 EUR",Nissan,Micra,1.0,"44,471 km",2018,Petrol,Mini,Black,Haarlem,52 kW (71 HP),Manual,https://www.autoscout24.nl/aanbod/nissan-micra-1-0l-acenta-carplay-android-benzine-zwart-2d4f11f2-8354-4419-b77f-56c5b655bbf3,
"17,695 EUR",Audi,A1,1.0 s tfsi,"70,371 km",2018,Petrol,Mini,White,Middelburg,70 kW (95 HP),Automatic,https://www.zeelandnet.nl/prikbord/audi-a1-sportback-10-tfsi-advance-sport-s-line-navigatie-full-map-cruise-control-park-sensor-climate-control-two-tone-lakkleur-rijklaarprijs/a/6348129,
"8,900 EUR",Renault,Twingo,1.0 SCe,"38,178 km",2017,Petrol,Mini,White,Ochten,52 kW (71 HP),Manual,https://www.marktplaats.nl/v/auto-s/renault/m2079419826-renault-twingo-1-0-sce-collection-38-178-km-dab-bluet,
"19,540 EUR",Dacia,Sandero,1.0 tce,"9,968 km",2023,Petrol,Hatchback,Black,Tilburg,67 kW (91 HP),Manual,https://www.nederlandmobiel.nl/tweedehands-auto/dacia/sandero-10-tce-90-expression-pack-medianav-pdc-achter-led-verlichting-licht-en-regensensor-airconditioning-apple-carplay-en-android-auto/18737173,
