Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Volkswagen,Sharan,2.0 TDI,2013,Diesel,Van,Gray,Braunau Am Inn,Manual,https://www.zweispurig.at/vw-sharan-gebrauchtwagen-diesel-grau-oberoesterreich/details-1199590,15499,182000,104.0,5,Austria
Audi,A6,2.7,2009,Diesel,Sedan,Silver,Salzburg,Manual,https://www.zweispurig.at/audi-a6-gebrauchtwagen-diesel-silber-salzburg/details-1197597,8900,250000,141.0,5,Austria
Porsche,Cayenne,3.0 diesel,2011,Diesel,Suv,Black,Braunau Am Inn,Automatic,https://www.zweispurig.at/porsche-cayenne-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1217220,25999,256000,182.0,5,Austria
Volkswagen,Passat,2.0 TDI SCR,2019,Diesel,Wagon,Silver,Wolfsberg,Manual,https://www.zweispurig.at/vw-passat-gebrauchtwagen-diesel-silber-kaernten/details-1231723,18790,94187,111.0,6,Austria
Volkswagen,Passat,2.0 TDI SCR,2019,Diesel,Wagon,Black,Wels,Automatic,https://www.dasweltauto.at/vehicle/4633600081,18990,77167,111.0,6,Austria
Alfa Romeo,Giulietta,1.4,2012,Petrol,Sedan,Red,Linz,Automatic,https://www.zweispurig.at/alfa-romeo-giulietta-gebrauchtwagen-benzin-rot-oberoesterreich/details-1205801,7990,166300,126.0,5,Austria
Bmw,X3,D,2005,Diesel,Suv,Silver,Linz,Automatic,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-silber-oberoesterreich/details-1220739,9900,179000,162.0,4,Austria
Ford,Mondeo,2.0 TDCi,2018,Diesel,Wagon,Gray,Steyr,Automatic,https://www.gebrauchtwagen.at/fahrzeuge/ford-mondeo-business-plus-2-0-tdci-aut-led-navi-diesel/106f11e7-427c-42f8-81e0-9614a5cb44d8,17850,107000,111.0,6,Austria
Ford,Mondeo,2.0 TDCi,2018,Diesel,Wagon,White,Steyr,Automatic,https://www.gebrauchtwagen.at/fahrzeuge/ford-mondeo-traveller-2-0-tdci-aut-led-navi-pdc-diesel/b281dd27-93a3-4e09-88e9-9b8d91a44f89,17850,105000,111.0,6,Austria
Volkswagen,Sharan,2.0 TDI,2015,Diesel,Van,Black,Salzburg,Automatic,https://www.zweispurig.at/vw-sharan-gebrauchtwagen-diesel-schwarz-salzburg/details-1191700,18450,159000,111.0,6,Austria
Peugeot,2008,1.6 HDi,2015,Diesel,Crossover,Gray,Amstetten,Manual,https://www.zweispurig.at/peugeot-2008-gebrauchtwagen-diesel-grau-niederoesterreich/details-1230340,9940,126116,89.0,6,Austria
Mercedes Benz,C-Class,220 CDI,2010,Diesel,Sedan,Black,Braunau Am Inn,Automatic,https://www.zweispurig.at/mercedes-benz-c-klasse-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1202599,10499,221000,126.0,5,Austria
Jeep,Renegade,2.0,2015,Diesel,Crossover,White,Salzburg,Manual,https://www.zweispurig.at/jeep-renegade-gebrauchtwagen-diesel-weiss-salzburg/details-1180809,15900,160000,89.0,6,Austria
Bmw,X3,xDrive20d,2012,Diesel,Suv,Black,Lustenau,Automatic,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-schwarz-vorarlberg/details-1213758,19950,148000,137.0,5,Austria
Mercedes Benz,C-Class,220 CDI,2011,Diesel,Sedan,Black,Braunau Am Inn,Automatic,https://www.zweispurig.at/mercedes-benz-c-klasse-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1229590,11999,221000,126.0,5,Austria
Hyundai,I30,1.0,2019,Petrol,Wagon,Brown,Linz,Manual,https://www.gebrauchtwagen-markt.at/autoboerse/511218-hyundai-i30-cw-t-gdi-level-3-plusnavirueckfahrkamera.html,15490,53200,89.0,6,Austria
Bmw,Z4,i,2008,Petrol,Convertible,Black,Steyr,Manual,https://www.zweispurig.at/bmw-z4-gebrauchtwagen-benzin-schwarz-oberoesterreich/details-1223191,15499,109000,131.0,4,Austria
Audi,A4 Allroad,2.0 TDI,2012,Diesel,Crossover,Brown,Salzburg,Manual,https://www.zweispurig.at/audi-a4-allroad-gebrauchtwagen-diesel-braun-salzburg/details-1218466,13990,214000,131.0,5,Austria
Bmw,X3,xDrive20d,2013,Diesel,Suv,Black,Braunau Am Inn,Automatic,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1221951,18499,170000,137.0,5,Austria
Ford,Focus,1.5 TDCi,2017,Diesel,Wagon,Silver,Steyr,Manual,https://www.gebrauchtwagen.at/fahrzeuge/ford-focus-tdci-titanium-navi-ahv-winterpaket-diesel/e882a625-696b-4bb3-879a-23230cd7eba9,12450,156000,89.0,6,Austria
Mercedes Benz,E-Class,280 CDI,2007,Diesel,Sedan,Silver,Wien,Automatic,https://www.zweispurig.at/mercedes-benz-e-klasse-gebrauchtwagen-diesel-silber-wien/details-1197677,10890,167000,141.0,4,Austria
Bmw,3 Series,316d,2018,Diesel,Wagon,Blue,Steyr,Manual,https://www.gebrauchtwagen.at/fahrzeuge/bmw-316-d-touring-advantage-led-navi-pdc-diesel/a2a4692d-c8f3-4999-aad9-9d50e5ba71ab,17450,109000,86.0,6,Austria
Volkswagen,Golf,1.0 tsi,2019,Petrol,Sedan,White,Wien,Automatic,https://www.zweispurig.at/vw-golf-gebrauchtwagen-benzin-weiss-niederoesterreich/details-1195100,19900,32000,86.0,6,Austria
Škoda,Fabia,1.0 tsi,2020,Petrol,Wagon,Blue,Steyr,Manual,https://www.gebrauchtwagen-markt.at/autoboerse/511375-skoda-fabia-combi-style-tsi-kamera-acc-winterpaket.html,13450,86000,70.0,6,Austria
Volkswagen,Sharan,2.0 TDI,2019,Diesel,Van,Silver,Wien,Automatic,https://www.zweispurig.at/vw-sharan-gebrauchtwagen-diesel-silber-niederoesterreich/details-1220933,19980,169057,111.0,6,Austria
Fiat,Tipo,1.4,2019,Petrol,Hatchback,Black,Wien,Manual,https://www.zweispurig.at/fiat-tipo-gebrauchtwagen-benzin-mehrere-erhaeltlich-wien/details-1210968,12880,88715,89.0,6,Austria
Mazda,6,2.2 cd,2013,Diesel,Wagon,Gray,Linz,Manual,https://www.zweispurig.at/mazda-mazda6-gebrauchtwagen-diesel-grau-oberoesterreich/details-1168286,9900,194550,111.0,5,Austria
Ford,Focus,1.5 TDCi,2019,Diesel,Wagon,Silver,Wien,Manual,https://www.zweispurig.at/ford-focus-gebrauchtwagen-diesel-silber-wien/details-1194875,11890,144000,70.0,6,Austria
Mercedes Benz,E-Class,200 CGI BE,2009,Petrol,Sedan,Black,Villach,Automatic,https://www.zweispurig.at/mercedes-benz-e-klasse-gebrauchtwagen-benzin-schwarz-kaernten/details-1230488,15890,162000,137.0,5,Austria
Ford,Focus,1.5 TDCi,2019,Diesel,Wagon,Orange,Salzburg,Manual,https://www.zweispurig.at/ford-focus-gebrauchtwagen-diesel-orange-salzburg/details-1194635,16900,111500,89.0,6,Austria
Audi,Q7,3.0 TDI,2012,Diesel,Suv,Gray,Wien,Automatic,https://www.gebrauchtwagen.at/fahrzeuge/audi-q7-3-0-tdi-quattro-dpf-tiptronic-diesel/6298e16a-f1de-4d27-9033-3b9932be3399,21900,165000,152.0,5,Austria
Mercedes Benz,C-Class,180,2015,Diesel,Sedan,White,Wien,Automatic,https://www.zweispurig.at/mercedes-benz-c-klasse-gebrauchtwagen-diesel-weiss-wien/details-1220636,19890,118000,86.0,6,Austria
Hyundai,I30,1.4,2018,Petrol,Wagon,Silver,Linz,Manual,https://www.gebrauchtwagen-markt.at/autoboerse/511361-hyundai-i30-cw-mpi-startstopp-edition-25navirueckfah.html,14190,67900,75.0,6,Austria
Peugeot,308,1.5 HDI,2020,Diesel,Wagon,Gray,Steyr,Manual,https://www.gebrauchtwagen-markt.at/autoboerse/510846-peugeot-308-sw-hdi-130-style-ss-led-navi-kamera.html,13850,157000,97.0,6,Austria
Seat,Leon,1.5 tsi,2024,Petrol,Hatchback,Gray,Wien,Manual,https://www.dasweltauto.at/vehicle/13125588,28220,258,97.0,6,Austria
Seat,Leon,1.0 tsi,2024,Petrol,Hatchback,Black,Bruck An Der Mur,Manual,https://www.zweispurig.at/seat-leon-vorfuehrwagen-benzin-schwarz-steiermark/details-1207912,27990,100,82.0,6,Austria
Seat,Leon,1.5 tsi,2023,Petrol,Hatchback,Silver,Wien,Manual,https://www.dasweltauto.at/vehicle/15054358,28170,201,97.0,6,Austria
Volkswagen,Touran,2.0,2015,Diesel,Mpv,White,Salzburg,Manual,https://www.zweispurig.at/vw-touran-gebrauchtwagen-diesel-weiss-salzburg/details-1176309,18490,140000,111.0,6,Austria
Fiat,Talento,1.6 Multijet L2H1,2017,Diesel,Van,Gray,Spittal An Der Drau,Manual,https://www.zweispurig.at/fiat-talento-gebrauchtwagen-diesel-grau-kaernten/details-1218059,16980,123000,89.0,6,Austria
Ford,Grand C-Max,2.0,2017,Diesel,Mpv,Gray,Steyr,Manual,https://www.gebrauchtwagen-markt.at/autoboerse/511099-ford-grand-c-max-titanium-tdci-led-xenon-navi.html,15850,125000,111.0,6,Austria
Toyota,C-Hr,1.8,2018,Petrol,Suv,Gray,Innsbruck,Automatic,https://www.zweispurig.at/toyota-c-hr-gebrauchtwagen-benzin-grau-tirol/details-1154815,17900,112336,90.0,6,Austria
Citroen,C4 Cactus,1.6,2020,Diesel,Hatchback,White,Steyr,Manual,https://www.gebrauchtwagen-markt.at/autoboerse/510510-citroen-c4-cactus-bluehdi-ss-navi-pdc-bluetooth.html,14750,114000,76.0,6,Austria
Volkswagen,Golf,1.4,2017,Petrol,Sedan,Black,Salzburg,Manual,https://www.zweispurig.at/vw-golf-gebrauchtwagen-benzin-schwarz-salzburg/details-1157507,16900,91000,93.0,6,Austria
Ford,Ecosport,1.0,2018,Petrol,Suv,Silver,Steyr,Manual,https://www.gebrauchtwagen.at/fahrzeuge/ford-ecosport-titanium-navi-erstbesitz-benzin/b991b8e6-a45d-4c23-87f5-62f0b68d1a20,13980,62000,93.0,6,Austria
Renault,Trafic,1.6,2017,Diesel,Van,White,Spittal An Der Drau,Manual,https://www.zweispurig.at/renault-trafic-gebrauchtwagen-diesel-weiss-kaernten/details-1171118,18990,120300,90.0,6,Austria
Volkswagen,Touran,2.0,2019,Diesel,Mpv,Gray,Perchtoldsdorf,Automatic,https://www.dasweltauto.at/vehicle/16657214,17590,180950,86.0,6,Austria
Škoda,Octavia,1.6,2016,Diesel,Wagon,Gray,Salzburg,Manual,https://www.zweispurig.at/skoda-octavia-gebrauchtwagen-diesel-grau-salzburg/details-1157510,10900,229000,82.0,6,Austria
Bmw,X5,xDrive35d,2008,Diesel,Suv,White,Wien,Automatic,https://www.zweispurig.at/bmw-x5-gebrauchtwagen-diesel-weiss-wien/details-1236279,17890,197000,213.0,4,Austria
Citroen,C4 Spacetourer,1.6 BlueHDI,2019,Diesel,Mpv,White,Steyr,Manual,https://www.gebrauchtwagen-markt.at/autoboerse/511146-citroen-c4-spacetourer-bluehdi-led-navi-kamera-acc.html,15850,167000,97.0,6,Austria
Bmw,5 Series,530d,2002,Diesel,Sedan,Black,Hall In Tirol,Automatic,https://www.zweispurig.at/bmw-5er-gebrauchtwagen-diesel-schwarz-tirol/details-1194607,14990,212000,143.0,3,Austria
Volkswagen,Tiguan,2.0 TDI,2016,Diesel,Crossover,Black,Lienz,Manual,https://www.zweispurig.at/vw-tiguan-gebrauchtwagen-diesel-schwarz-tirol/details-1231872,15900,140000,82.0,6,Austria
Volkswagen,Tiguan,2.0 TDI 4Motion,2016,Diesel,Crossover,Black,Lustenau,Automatic,https://www.zweispurig.at/vw-tiguan-gebrauchtwagen-diesel-schwarz-vorarlberg/details-1216625,25950,107000,111.0,6,Austria
