Make,Model,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Price(EUR),Mileage(km),kW,Emission standard,Country
Bmw,I8,2014,Hybrid,Coupe,Black,Hasselt,Automatic,https://autos.tweedehands.net/bmw/bmw-i8-m-pakket-full-options-e-hybrid.html,1.5,64500,97800,172.0,6,Belgium
Volkswagen,Tiguan,2024,Petrol,Crossover,Black,Tournai,Automatic,https://www.vroom.be/fr/voitures-neuves/volkswagen-tiguan-essence-0535726/,1.5,46990,9,111.0,6,Belgium
Land Rover,Evoque,2020,Diesel,Suv,Gray,Mons,Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-range-rover-evoque-diesel-0539050/,2.0,35990,84447,111.0,6,Belgium
Audi,A5,2017,Diesel,Convertible,Gray,Sint Niklaas,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a5-diesel-0537067/,2.0,29990,77150,141.0,6,Belgium
Ford,Edge,2019,Diesel,Suv,Black,Boortmeerbeek,Automatic,https://www.autogids.be/detail-id--9433691--ford-st-line-4x4-automaat-full-option/tweedehands.html,2.0 TDCi,29700,94614,156.0,6,Belgium
Land Rover,Range Rover,2013,Diesel,Suv,Blue,Brugge,Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-range-rover-diesel-0538419/,3.0,27995,216829,192.0,5,Belgium
Mercedes Benz,C-Class,2014,Diesel,Wagon,Black,Zwevegem,Automatic,https://www.autogids.be/detail-id--9117596--mercedes-benz-da-amg-pack-panodak-led-leder-gps-cruise-pdc/tweedehands.html,250 D,22990,153255,152.0,6,Belgium
Ford,Puma,2021,Petrol,Hatchback,Green,Machelen,Manual,https://www.autogids.be/detail-id--9468301--ford-verkocht-sold-vendu/tweedehands.html,1.5,28450,19483,149.0,6,Belgium
Peugeot,508,2021,Petrol,Sedan,Gray,Turnhout,Automatic,https://www.vroom.be/fr/voitures-occasion/peugeot-508-essence-0463901/,1.6,28990,54503,167.0,6,Belgium
Audi,A1,2022,Petrol,Mini,Gray,Hasselt,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a1-essence-0554111/,1.0 25 TFSI,24500,35984,70.0,6,Belgium
Audi,A3,2019,Petrol,Sedan,Black,Tienen,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a3-essence-0548185/,1.5,26990,52187,111.0,6,Belgium
