Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Mercedes Benz,Gle-Class,450 AMG 4MATIC,2023,Petrol,Suv,Black,Praha,Automatic,https://www.sportovnivozy.cz/186651-mercedes-benz-gle-450-4matic-amg-panorama-2023,6,106986,6460,280.0,Czech Republic
Mercedes Benz,Sl-Class,4.0 AMG 55,2023,Petrol,Convertible,Gray,Praha,Automatic,https://autocaris.cz/detail.php?inzerat=716194,6,172369,2966,350.0,Czech Republic
Porsche,Cayenne,4.0 Turbo,2018,Petrol,Suv,Black,Praha,Automatic,https://www.sauto.cz/osobni/detail/porsche/cayenne/199946617,6,71322,138990,404.0,Czech Republic
Volkswagen,Sharan,2.0 TDI,2020,Diesel,Van,Blue,Praha,Automatic,https://www.autanet.cz/detail/volkswagen/sharan/45222,6,27734,166950,110.0,Czech Republic
Subaru,Forester,2.0 i,2010,Petrol,Suv,White,Žďár Nad Sázavou,Automatic,https://www.annonce.cz/inzerat/subaru-forester-2-0i-71502044-wgthh4.html,5,7489,207000,110.0,Czech Republic
Volkswagen,Touareg,4.0 TDI V8,2010,Diesel,Suv,Brown,Brno,Automatic,https://www.sauto.cz/osobni/detail/volkswagen/touareg/202332526,5,16246,319000,250.0,Czech Republic
Dodge,Challenger,6.4,2020,Petrol,Coupe,Black,Praha,Automatic,https://autocaris.cz/detail.php?inzerat=733813,6,45565,59305,362.0,Czech Republic
Jeep,Grand Cherokee,3.0 crd,2010,Diesel,Suv,Black,Brno,Automatic,http://auto.rychle.cz/osobni-auto-O/Jeep/Grand_Cherokee/Grand-Cherokee-3.0-S.Limit-Kombi-1709039218907109.html,5,7528,240568,160.0,Czech Republic
Peugeot,5008,1.6,2011,Diesel,Mpv,White,Brno,Manual,https://yauto.cz/peugeot/5008/16-7mist-kombi-nafta-858258/,5,4358,187333,82.0,Czech Republic
Bmw,1 Series,125i,2011,Petrol,Coupe,Gray,Olbramovice,Manual,https://www.sauto.cz/osobni/detail/bmw/rada-3/205120413,5,8717,128105,125.0,Czech Republic
Seat,Leon,2.0 TDI,2015,Diesel,Hatchback,Gray,Tábor,Manual,https://www.autanet.cz/detail/seat/leon/45335,6,7845,268518,110.0,Czech Republic
Audi,A6 Allroad,3.0 50 TDI quattro,2023,Diesel,Crossover,Gray,Praha,Automatic,https://www.annonce.cz/inzerat/audi-a6-allroad-50-tdi-72605473-w9gy1v.html,6,65379,23085,210.0,Czech Republic
Kia,Sportage,2.0 CRDi,2013,Diesel,Crossover,Black,Praha,Manual,https://www.sauto.cz/osobni/detail/kia/sportage/204803376,5,9708,192786,100.0,Czech Republic
