Make,Model,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Emission standard,Price(EUR),Mileage(km),kW,Country
Porsche,Macan,2015,Petrol,Suv,Black,Hadsund,Automatic,https://www.bilbasen.dk/brugt/bil/porsche/macan-turbo/36-pdk-5d/6064530,3.6 Turbo,6,113901,82000,298.0,Denmark
Porsche,Taycan,2021,Electric,Sedan,Black,Hørsholm,Automatic,https://bilhandel.dk/porsche-taycan-4s-cross-turismo/id-1575447,4S,6,127451,43000,490.0,Denmark
Hyundai,I20,2023,Petrol,Hatchback,White,Søborg,Automatic,https://www.bilbasen.dk/brugt/bil/hyundai/i20/10-t-gdi-essential-dct-5d/6088798,1.0,6,29099,4000,74.0,Denmark
Saic,Marvel R,2022,Electric,Crossover,Gray,Bredebro,Automatic,https://bilhandel.dk/mg-marvel-r-performance/id-1569213,electro,6,38839,100,288.0,Denmark
Audi,Sq5,2017,Diesel,Suv,White,Bramming,Automatic,https://bilhandel.dk/audi-sq5-30-tdi-326-competition-quattro-tiptr/id-1563768,3.0 TDI,6,72419,85000,326.0,Denmark
Jeep,Compass,2018,Diesel,Crossover,White,Kolding,Manual,https://www.bilbasen.dk/brugt/bil/jeep/compass/16-m-jet-120-limited-5d/5896955,1.6,6,27489,71000,89.0,Denmark
Kia,Picanto,2016,Petrol,Mini,White,Toftlund,Manual,https://bilhandel.dk/kia-picanto-10-attraction/id-1575328,1.0,6,8706,126000,69.0,Denmark
Volkswagen,Tiguan,2020,Petrol,Crossover,White,Frederikssund,Automatic,https://bilhandel.dk/vw-tiguan-15-tsi-150-comfortline-team-dsg/id-1514558,1.5 tsi,6,48270,43000,150.0,Denmark
Audi,Sq5,2016,Diesel,Suv,White,Bredebro,Automatic,https://www.bilbasen.dk/brugt/bil/audi/sq5/30-tdi-326-competition-quattro-tiptr-5d/6093850,3.0 TDI,6,58963,154000,243.0,Denmark
Audi,Q7,2013,Diesel,Suv,White,Bramming,Automatic,https://bilhandel.dk/audi-q7-30-tdi-245-s-line-quattro-tiptr-7prs/id-1569426,3.0 TDI,5,40221,282000,245.0,Denmark
Saic,Marvel R,2022,Electric,Crossover,Gray,Bredebro,Automatic,https://bilhandel.dk/mg-marvel-r-performance/id-1568953,electro,6,40180,450,288.0,Denmark
Volvo,V60,2020,Diesel,Wagon,Black,Tørring,Automatic,https://www.bilbasen.dk/brugt/bil/volvo/v60/20-d4-190-momentum-aut-5d/6062723,2.0 D4,6,37551,103000,141.0,Denmark
Volkswagen,Touran,2015,Diesel,Mpv,Black,Bramming,Manual,https://bilhandel.dk/vw-touran-16-tdi-110-highline-7prs/id-1577895,1.6 TDI,6,20767,142000,110.0,Denmark
Ford,S-Max,2019,Diesel,Mpv,Black,Silkeborg,Automatic,https://bilhandel.dk/ford-s-max-20-ecoblue-titanium-aut/id-1541800,2.0 EcoBlue,6,37148,92000,190.0,Denmark
Porsche,911,2023,Petrol,Coupe,Pink,Risskov,Automatic,https://www.bilbasen.dk/brugt/bil/porsche/911-carrera-t/30-coup-pdk-2d/5963604,3.0,6,120609,10000,287.0,Denmark
Volvo,V60,2020,Diesel,Wagon,White,Kolding,Automatic,https://www.bilbasen.dk/brugt/bil/volvo/v60/20-d3-150-momentum-aut-5d/5811714,2.0 D3,6,42246,78000,111.0,Denmark
Hyundai,I10,2024,Petrol,Mini,White,Søborg,Manual,https://www.bilbasen.dk/brugt/bil/hyundai/i10/10-mpi-advanced-5d/6083539,1.0,6,21330,3000,49.0,Denmark
Hyundai,I10,2024,Petrol,Mini,Green,Søborg,Manual,https://www.bilbasen.dk/brugt/bil/hyundai/i10/10-mpi-advanced-5d/6083524,1.0,6,21196,3000,49.0,Denmark
Alfa Romeo,Stelvio,2020,Diesel,Crossover,White,Kolding,Automatic,https://www.bilbasen.dk/brugt/bil/alfa-romeo/stelvio/22-jtd-190-super-aut-5d/5994456,2.2,6,53650,66000,141.0,Denmark
Saic,Marvel R,2022,Electric,Crossover,White,Brøndby,Automatic,https://www.bilbasen.dk/brugt/bil/mg/marvel-r/luxury-5d/6083338,electro,6,32184,41000,134.0,Denmark
Jaguar,Xf,2018,Diesel,Sedan,Black,Bredebro,Automatic,https://bilhandel.dk/jaguar-xf-20-d180-portfolio-aut/id-1563158,2.0,6,36156,89000,180.0,Denmark
Peugeot,5008,2019,Petrol,Mpv,White,Kolding,Automatic,https://www.bilbasen.dk/brugt/bil/peugeot/5008/12-puretech-130-allure-eat8-7prs-5d/5628496,1.2 puretech,6,36880,95000,96.0,Denmark
Bmw,X1,2020,Diesel,Suv,Black,Hornslet,Automatic,https://www.bilbasen.dk/brugt/bil/bmw/x1/20-sdrive18d-m-sport-aut-5d/6087172,sDrive18d,6,42917,39000,111.0,Denmark
Renault,Megane,2006,Petrol,Coupe,Black,Bramming,Manual,https://bilhandel.dk/renault-megane-ii-16-authentique-comfort-cc/id-1566340,1.6,4,6681,181000,115.0,Denmark
Audi,Sq7,2018,Diesel,Suv,Black,Kastrup,Automatic,https://www.bilbasen.dk/brugt/bil/audi/sq7/40-tdi-quattro-tiptr-7prs-5d/6091204,4.0 TDI,6,138050,103000,324.0,Denmark
Volkswagen,Passat,2017,Hybrid,Sedan,White,Langå,Automatic,https://www.autouncle.dk/en/d/4682582-used-vw-passat-gte-highline-variant-dsg,1.4 TSI,6,29501,95000,162.0,Denmark
Ford,Kuga,2018,Diesel,Suv,White,Varde,Automatic,https://bilhandel.dk/ford-kuga-15-tdci-120-st-line-aut/id-1569613,1.5,6,26818,100000,120.0,Denmark
Volkswagen,Polo,2017,Petrol,Hatchback,White,Bagsværd,Manual,https://bilhandel.dk/vw-polo-10-tsi-95-bluemotion/id-1574642,1.0 tsi,6,12609,174000,95.0,Denmark
Mercedes Benz,Eqb,2023,Electric,Suv,White,Middelfart,Automatic,https://bilhandel.dk/mercedes-eqb250-amg-line/id-1518432,250,6,52308,4000,190.0,Denmark
Volkswagen,Polo,2018,Petrol,Hatchback,White,Gadstrup,Automatic,https://bilhandel.dk/vw-polo-20-gti-dsg/id-1267136,2.0,6,33539,103000,200.0,Denmark
Hyundai,Tucson,2020,Diesel,Suv,White,Varde,Automatic,https://bilhandel.dk/hyundai-tucson-16-crdi-mild-hybrid-n-line-dct-136hk-5d-7g-aut/id-1561180,1.6 CRDi,6,38222,54000,136.0,Denmark
Nissan,Qashqai,2017,Diesel,Crossover,White,Bredebro,Manual,https://bilhandel.dk/nissan-qashqai-15-dci-110-tekna/id-1560879,1.5 dCi,6,18715,150000,110.0,Denmark
Peugeot,2008,2015,Petrol,Crossover,Black,Bagsværd,Automatic,https://bilhandel.dk/peugeot-2008-12-e-vti-82-city-style-esg/id-1576765,1.2 vti,6,12073,146000,82.0,Denmark
Ford,Focus,2019,Diesel,Hatchback,White,Vodskov,Automatic,https://www.autouncle.dk/en/d/4729816-used-ford-focus-1-5-ecoblue-titanium-stc-aut,1.5 EcoBlue,6,29488,74000,89.0,Denmark
Volkswagen,T-Cross,2021,Petrol,Crossover,White,Hillerød,Automatic,https://www.autouncle.dk/en/d/4685901-used-vw-t-cross-1-5-tsi-150-life-team-dsg,1.5 tsi,6,31514,56600,111.0,Denmark
Ford,Puma,2021,Petrol,Crossover,White,Brøndby,Automatic,https://usedcars.leaseplan.com/da-dk/ford-puma/2160143-dk-ford-puma.html,1.0 EcoBoost,6,26818,86000,93.0,Denmark
Ford,S-Max,2019,Diesel,Mpv,White,Silkeborg,Automatic,https://www.bilbasen.dk/brugt/bil/ford/s-max/20-ecoblue-st-line-aut-5d/6015026,2.0 EcoBlue,6,50967,129000,178.0,Denmark
Mini,Cooper,2017,Petrol,Convertible,Black,Varde,Automatic,https://www.autouncle.dk/en/d/4274148-used-mini-cooper-s-cabriolet-2-0-aut,1.6 S,6,44930,48000,143.0,Denmark
Suzuki,Vitara,2018,Petrol,Suv,Red,Rødekro,Automatic,https://bilhandel.dk/suzuki-vitara-14-boosterjet-s-140hk-5d-6g-aut/id-1563200,1.4,6,23464,112000,140.0,Denmark
Audi,Q7,2016,Diesel,Suv,White,Horsens,Automatic,https://www.bilbasen.dk/brugt/bil/audi/q7/30-tdi-272-quattro-tiptr-5d/5984345,3.0 TDI,6,65724,154000,202.0,Denmark
Peugeot,5008,2020,Diesel,Mpv,White,Herning,Automatic,https://www.bilbasen.dk/brugt/bil/peugeot/5008/15-bluehdi-130-allure-ltd-eat8-7prs-5d/5934211,1.5 bluehdi,6,40234,89000,96.0,Denmark
Peugeot,3008,2017,Petrol,Crossover,Black,Stenløse,Manual,https://www.bilbasen.dk/brugt/bil/peugeot/3008/12-e-thp-130-active-5d/6092756,1.2,6,22109,112000,96.0,Denmark
Toyota,Verso,2014,Petrol,Mpv,Brown,Vinderup,Manual,https://seek4cars.net/biler-til-salg/toyota/verso/10705d46-37aa-49ea-a078-e1ea6ea707d4,1.6,6,12892,190500,82.0,Denmark
Bmw,3 Series,2019,Petrol,Sedan,White,Brøndby,Automatic,https://www.bilbasen.dk/brugt/bil/bmw/330i/20-sport-line-aut-4d/6096413,330i,6,53650,83000,192.0,Denmark
Peugeot,508,2019,Diesel,Sedan,Black,Kolding,Automatic,https://www.bilbasen.dk/brugt/bil/peugeot/508/15-bluehdi-130-allure-pack-eat8-5d/5883746,1.5 bluehdi,6,30843,51000,96.0,Denmark
Peugeot,2008,2023,Petrol,Crossover,White,Helsingør,Automatic,https://www.bilbasen.dk/brugt/bil/peugeot/2008/12-puretech-130-first-selection-eat8-5d/6075289,1.2 puretech,6,36221,7000,96.0,Denmark
Volkswagen,Touran,2021,Petrol,Mpv,White,Kolding,Automatic,https://www.bilbasen.dk/brugt/bil/vw/touran/15-tsi-150-comfortline-dsg-7prs-5d/5984718,1.5 tsi,6,41576,53000,111.0,Denmark
Bmw,2 Series,2018,Petrol,Hatchback,Black,Kolding,Automatic,https://www.bilbasen.dk/brugt/bil/bmw/218i/15-active-tourer-sport-line-aut-5d/5880859,218i,6,32184,63000,104.0,Denmark
Audi,Q2,2017,Diesel,Crossover,Gray,Kolding,Manual,https://www.bilbasen.dk/brugt/bil/audi/q2/16-tdi-116-sport-5d/5947738,1.6 TDI,6,25476,89000,86.0,Denmark
Škoda,Kodiaq,2020,Diesel,Suv,White,Brøndby,Automatic,https://www.bilbasen.dk/brugt/bil/skoda/kodiaq/20-tdi-150-style-dsg-5d/6092621,2.0 dsg tdi,6,40234,115000,111.0,Denmark
Volkswagen,Sharan,2012,Diesel,Van,Black,Skibby,Automatic,https://www.bilbasen.dk/brugt/bil/vw/sharan/20-tdi-170-highline-dsg-bmt-5d/6026886,2.0 TDI,5,24014,212000,126.0,Denmark
Nissan,Qashqai,2019,Petrol,Crossover,Gray,Varde,Automatic,https://www.guloggratis.dk/annonce/2d36e23f-337e-40c4-94a6-283f57a06202,1.3 DIG-T,6,36209,80000,119.0,Denmark
Bmw,X1,2013,Diesel,Suv,Brown,Bramming,Automatic,https://bilhandel.dk/bmw-x1-20-sdrive18d-aut/id-1569976,sDrive18d,5,18755,189000,143.0,Denmark
Ford,S-Max,2018,Diesel,Mpv,Gray,Thisted,Automatic,https://www.bilbasen.dk/brugt/bil/ford/s-max/20-tdci-150-titanium-aut-7prs-5d/6048393,2.0 TDCi,6,28173,147000,111.0,Denmark
