Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Lexus,Rx,450h,2021,Hybrid,Suv,White,Champagne-au-Mont-d'Or,Automatic,https://www.leparking.fr/voiture-occasion-detail/lexus-rx-rx-450h/iv-generation2-450h-16cv-executive/DFFL7WHZ.html,6,54590,50200,195.0,France
Lexus,Nx,300h,2018,Hybrid,Suv,White,Chambourcy,Automatic,https://www.paruvendu.fr/a/voiture-occasion/lexus/nx/1273414159A1KVVOLXNX,6,29299,72625,155.0,France
Seat,Ateca,1.5 tsi,2022,Petrol,Suv,Gray,Seynod,Automatic,https://www.leparking.fr/voiture-occasion-detail/seat-ateca/1-5-tsi-150ch-start-stop-xperience-dsg/VPTFWHR8.html,6,29490,41446,111.0,France
Audi,Sq7,4.0 TDI,2018,Diesel,Suv,Black,Liévin,Automatic,https://www.leparking.fr/voiture-occasion-detail/audi-q7-sq7/generation2-4-0-tdi-435-quattro-tiptronic-7pl/JYOK6S1F.html,6,59990,107844,324.0,France
Volkswagen,T-Cross,1.0 tsi,2019,Petrol,Crossover,Gray,Albi,Automatic,https://fr.renew.auto/achat-vehicules-occasions/detail.html?productId=VEH_00000977_VO415054,6,19990,37916,115.0,France
Lexus,Rx,450h,2020,Hybrid,Suv,Gray,Nanterre,Automatic,https://www.leparking.fr/voiture-occasion-detail/lexus-rx-rx-450h/lexus-rx-450h-4wd-luxe-euro6d-t-15cv/2XZ6HW3B.html,6,42999,54960,196.0,France
Opel,Zafira Tourer,2.0,2016,Diesel,Van,Gray,Honfleur,Manual,https://www.leparking.fr/voiture-occasion-detail/opel-zafira-tourer/2-0-cdti-170ch-ecoflex-cosmo-pack-start-stop-7-places/Y3358RAS.html,6,16599,98957,126.0,France
Seat,Arona,1.0 tsi,2019,Petrol,Crossover,Orange,Serignan-du-Comtat,Automatic,https://www.leparking.fr/voiture-occasion-detail/seat-arona/seat-arona-1-0-ecotsi-115ch-start-stop-xcellence-dsg-euro6d-t/WAA5JW41.html,6,17499,61595,85.0,France
Porsche,Macan,3.0 s,2019,Petrol,Suv,Silver,Tours,Automatic,http://www.voiture-de-prestige.com/porsche+macan+s-3-0-354-ch-pdk_1245656.html,6,59980,97835,263.0,France
Porsche,Macan,2.9 Turbo,2019,Petrol,Suv,Gray,Nîmes,Automatic,https://www.leparking.fr/voiture-occasion-detail/porsche-macan-turbo/porsche-macan-2-9-v6-440ch-turbo-pdk-euro6d-t-evap-isc/0JJMWBX8.html,6,88499,40223,328.0,France
Citroen,C3 Picasso,1.2,2016,Petrol,Mpv,White,Creil,Manual,https://www.leparking.fr/voiture-occasion-detail/citroen-c3-picasso/puretech-110-exclusive/A2BJUA0Z.html,6,9990,108556,82.0,France
Škoda,Kamiq,1.0 tsi,2021,Petrol,Suv,White,Le Blanc,Automatic,https://www.leparking.fr/voiture-occasion-detail/skoda-kamiq/1-0-tsi-110-ambition-dsg7/FK5VHJLJ.html,6,20490,17968,82.0,France
Peugeot,3008,1.6 THP,2013,Petrol,Crossover,White,Riom,Manual,https://www.autosphere.fr/fiche/auto-occasion-peugeot-3008-1-6-thp-16v-155ch-allure-63200-riom-51360,5,9499,134466,116.0,France
Nissan,Qashqai,1.3,2022,Petrol,Crossover,White,Rouen,Automatic,https://www.gueudet.fr/voiture/occasion/nissan/qashqai/13-158ch-tekna-xtronic/43687,6,31490,16364,117.0,France
Nissan,Qashqai,1.3,2022,Petrol,Crossover,Red,Senlis,Manual,https://www.leparking.fr/voiture-occasion-detail/nissan-qashqai/mild-hybrid-140-ch/COO2G1DL.html,6,27990,16186,104.0,France
