Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Mazda,Cx-5,2.5,2023,Petrol,Crossover,Black,Munich,Automatic,https://www.12gebrauchtwagen.de/c/16/1426019387?num_on_page=4&page=12&title=Mazda+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,35890,15871,144.0,6,Germany
Mazda,Cx-5,2.5,2023,Petrol,Crossover,Black,Hamburg,Automatic,https://www.moll-automobile.de/fahrzeug/385546043/Pkw/mazda-cx-5-homura-2-5l-skyactiv-g-194ps-fwd-6ag-navi-b,35890,11732,144.0,6,Germany
Volkswagen,Sharan,1.4 TSI,2018,Diesel,Van,Silver,Übach Palenberg,Automatic,https://www.12gebrauchtwagen.de/c/4/1412086749?num_on_page=3&page=110&premium=false&title=VW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,26790,93649,110.0,6,Germany
Hyundai,I30,1.4,2017,Petrol,Wagon,Black,Gießen,Manual,https://www.12gebrauchtwagen.de/c/4/1413818076?num_on_page=3&page=8&title=Hyundai+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,10290,98990,74.0,6,Germany
Opel,Crossland X,1.2,2022,Petrol,Suv,Green,Coesfeld,Manual,https://gebrauchtwagen.hyundai.de/de/fahrzeugsuche/opel/crossland/elegancelednavirUckfahrkamerasitz-lenkradheiz-t4c836lv,16924,24750,97.0,6,Germany
Opel,Crossland X,1.2,2022,Petrol,Suv,Green,Coesfeld,Manual,https://gebrauchtwagen.hyundai.de/de/fahrzeugsuche/opel/crossland/elegancelednavirUckfahrkameraagr-sitzsitz-le-t4c9lyr8,16924,23200,97.0,6,Germany
Opel,Crossland X,1.2 Turbo,2020,Petrol,Suv,Gray,Iserlohn,Automatic,https://hey.car/vehicle/c30818a6-0e40-462a-8618-2f5cd2754051?dealerId=504513,19450,7821,97.0,6,Germany
Audi,A1,2.0 40 TFSI,2019,Petrol,Mini,Black,Lahr Schwarzwald,Automatic,https://hey.car/vehicle/0bbe77e2-4a63-4bfc-a700-76c424220439?dealerId=513242,24970,51250,149.0,6,Germany
Audi,A1,1.0 30 TFSI,2019,Petrol,Mini,Yellow,Rain,Manual,https://www.instamotion.com/auto/IHZA-BDNR-HESE,24890,42490,85.0,6,Germany
Audi,A1,1.0 25 TFSI,2019,Petrol,Mini,Black,Marktredwitz,Automatic,https://gebrauchtwagen.hyundai.de/de/fahrzeugsuche/audi/a1/sportback-25-10-tfsi-advanced-shzspurhpdc-wdc88mqq,18835,21956,70.0,6,Germany
Ford,Focus,1.0 EcoBoost,2021,Petrol,Wagon,Black,Gronau,Manual,https://www.12gebrauchtwagen.de/c/4/1415752888?num_on_page=3&page=58&title=Ford+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,22390,21500,93.0,6,Germany
Škoda,Fabia,1.0 tsi,2019,Petrol,Wagon,Red,Versmold,Automatic,https://www.12gebrauchtwagen.de/c/4/1408033015?num_on_page=5&page=44&title=Skoda+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,17985,45000,81.0,6,Germany
Škoda,Fabia,1.0 tsi,2019,Petrol,Wagon,Red,Gelsenkirchen,Automatic,https://www.12gebrauchtwagen.de/c/4/1412077521?num_on_page=3&page=63&premium=false&title=Skoda+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,18990,19080,81.0,6,Germany
Audi,Q3,1.4 TFSI ultra,2018,Petrol,Crossover,Green,Magdeburg,Automatic,https://www.12gebrauchtwagen.de/c/4/1417432244?num_on_page=2&page=71&premium=false&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,22990,33168,111.0,6,Germany
Citroen,C3,1.2 puretech,2020,Petrol,Hatchback,White,Walsrode,Manual,https://www.kamux.de/cars/Citroen/C3/HME-521085,12990,40256,60.0,6,Germany
Citroen,C3,1.2 puretech,2020,Petrol,Hatchback,Black,Hamburg,Manual,https://www.kamux.de/cars/Citroen/C3/HHN-733834,13500,32755,60.0,6,Germany
Citroen,C3,1.2 puretech,2020,Diesel,Hatchback,White,Reutlingen,Manual,https://www.kamux.de/cars/Citroen/C3/DRN-733828,12990,31833,60.0,6,Germany
Kia,Sorento,2.2 CRDi,2023,Diesel,Suv,Green,Peine,Automatic,https://www.12gebrauchtwagen.de/c/4/1419353537?num_on_page=1&page=8&title=Kia+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,44980,9500,148.0,6,Germany
Škoda,Octavia,1.0 tdi,2017,Diesel,Wagon,Silver,Waldshut Tiengen,Automatic,https://www.12gebrauchtwagen.de/c/4/1412175646?num_on_page=5&page=7&title=Skoda+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,16980,92900,110.0,6,Germany
Hyundai,I30,1.4,2017,Petrol,Wagon,Black,Gießen,Manual,https://www.12gebrauchtwagen.de/c/4/1410363448?num_on_page=3&page=10&title=Hyundai+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,14790,104300,104.0,6,Germany
Mercedes Benz,Slk-Class,200 K,2002,Petrol,Convertible,Silver,Fürth,Automatic,https://www.12gebrauchtwagen.de/c/4/1403834630?num_on_page=4&page=7&title=Mercedes-Benz+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,8800,107100,120.0,3,Germany
Audi,Q2,1.5 35 TFSI,2024,Petrol,Crossover,Black,Rain,Automatic,https://www.instamotion.com/auto/FVOM-LT66-MXTR,39130,2500,110.0,6,Germany
Nissan,Leaf,Acenta,2019,Electric,Hatchback,Silver,Rain,Automatic,https://www.instamotion.com/auto/WNTW-CRPA-DEPL,17090,63290,111.0,6,Germany
Mazda,3,2.0,2020,Hybrid,Hatchback,Gray,Geilenkirchen,Automatic,https://www.12gebrauchtwagen.de/c/4/1419321974?num_on_page=3&page=13&premium=false&title=Mazda+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,18688,57533,90.0,6,Germany
Audi,A1,1.0,2018,Petrol,Mini,Blue,Viernheim,Manual,https://www.12gebrauchtwagen.de/c/4/1424842928?num_on_page=2&page=56&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,22870,39700,85.0,6,Germany
Ford,Focus,1.0 EcoBoost,2020,Petrol,Wagon,Black,Stuttgart,Manual,https://www.12gebrauchtwagen.de/c/4/1417692678?num_on_page=2&page=33&title=Ford+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,16180,96877,92.0,6,Germany
Ford,Focus,1.0 EcoBoost,2020,Petrol,Wagon,Black,Bottrop,Manual,https://www.12gebrauchtwagen.de/c/4/1415699706?num_on_page=2&page=54&title=Ford+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,19980,38915,92.0,6,Germany
Volvo,Xc40,1.5,2023,Hybrid,Crossover,Gray,Aachen,Automatic,https://www.moll-automobile.de/fahrzeug/385196040/Pkw/volvo-xc40-plus-dark-recharge-plug-in-hybrid-2wd-t5-tw,46980,14839,194.0,6,Germany
Volvo,Xc40,2.0 B4,2023,Petrol,Crossover,Blue,Aachen,Automatic,https://www.moll-automobile.de/fahrzeug/385199080/Pkw/volvo-xc40-plus-dark-2wd-b4-eu6d-navi-digitales-cockpi,41890,11582,146.0,6,Germany
Lexus,Nx,300h,2015,Hybrid,Suv,Green,Hamm,Automatic,https://www.12gebrauchtwagen.de/c/4/1417597131?num_on_page=3&page=1&title=Lexus+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,25480,105000,146.0,6,Germany
Ford,Ecosport,1.0 EcoBoost,2022,Petrol,Suv,Blue,Leipzig,Manual,https://www.12gebrauchtwagen.de/c/4/1424510267?num_on_page=4&page=8&title=Ford+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,16990,8729,93.0,6,Germany
Ford,Ecosport,1.0 EcoBoost,2022,Petrol,Suv,Red,Hann Münden,Automatic,https://hey.car/vehicle/504cad05-0ced-4db3-8e70-a04664412778?dealerId=c60733b8-1d7d-455c-bc69-363ff082062b,20900,8229,93.0,6,Germany
Škoda,Citigo,1.0,2019,Petrol,Mini,Green,Mülheim An Der Ruhr,Automatic,https://www.12gebrauchtwagen.de/c/4/1400685623?num_on_page=2&page=76&premium=false&title=Skoda+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,9990,42175,44.0,6,Germany
Citroen,C4,1.2,2018,Petrol,Sedan,Black,Dresden,Manual,https://www.12gebrauchtwagen.de/c/4/1387823728?num_on_page=1&page=16&title=Citro%C3%ABn+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,14990,36598,97.0,6,Germany
Ford,Ecosport,1.0,2020,Petrol,Suv,Blue,Fürstenfeldbruck,Manual,https://www.12gebrauchtwagen.de/c/4/1394407470?num_on_page=2&page=90&title=Ford+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,18490,24734,92.0,6,Germany
Fiat,500 X,1.4,2017,Petrol,Crossover,Green,Mörfelden Walldorf,Automatic,https://www.12gebrauchtwagen.de/c/4/1415988999?num_on_page=3&page=4&title=Fiat+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,15690,69534,103.0,6,Germany
Ford,Ranger,2.0 EcoBlue,2022,Diesel,Pickup,Black,Hamm,Automatic,https://www.12gebrauchtwagen.de/c/4/1416012493?num_on_page=1&page=45&title=Ford+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,39880,19000,156.0,6,Germany
Volkswagen,Golf,1.0 tsi,2021,Hybrid,Sedan,Black,Jena,Automatic,https://www.12gebrauchtwagen.de/c/16/1418814396?num_on_page=2&page=80&title=VW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,24740,8290,182.0,6,Germany
Honda,Hr-V,1.5 i-MMD,2023,Hybrid,Crossover,Gray,Iserlohn,Automatic,https://gebrauchtwagen.hyundai.de/de/fahrzeugsuche/honda/hr-v-15-i-mmd-hybrid-elegance-shz-navi-acc-led/elegance-shz-navi-acc-led-wdc7tsfh,30990,10,97.0,6,Germany
Ford,C-Max,1.0,2019,Petrol,Mpv,Green,Osnabrück,Manual,https://www.12gebrauchtwagen.de/c/4/1407896763?num_on_page=1&page=64&title=Ford+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,16490,69249,92.0,6,Germany
Fiat,500c,1.0,2022,Petrol,Convertible,Green,Schönebeck,Automatic,https://www.12gebrauchtwagen.de/c/4/1426361534?num_on_page=5&page=7&title=Fiat+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,15780,18299,51.0,6,Germany
Audi,S4,3.0 tfsi,2013,Petrol,Sedan,Black,Villingen Schwenningen,Automatic,https://www.12gebrauchtwagen.de/c/4/1384649765?num_on_page=4&page=45&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,19900,108752,245.0,5,Germany
Audi,Q2,1.0 TFSI,2018,Petrol,Crossover,Gray,Schwetzingen,Automatic,https://www.12gebrauchtwagen.de/c/16/1424274762?num_on_page=5&page=16&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,21840,98200,110.0,6,Germany
Mercedes Benz,E-Class,220 D,2020,Diesel,Wagon,Silver,Dresden,Automatic,https://www.12gebrauchtwagen.de/c/4/1417446879?num_on_page=1&page=49&title=Mercedes-Benz+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,32990,67691,144.0,6,Germany
Volkswagen,Polo,1.0 tsi,2020,Petrol,Hatchback,Black,Saarbrücken,Manual,https://www.12gebrauchtwagen.de/c/16/1418904876?num_on_page=1&page=91&title=VW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,14490,42560,59.0,6,Germany
Hyundai,Tucson,1.6 T-GDi,2023,Hybrid,Suv,Black,Iserlohn,Automatic,https://hey.car/vehicle/c08cd9b3-96c5-4bc7-80f5-e9e3f9ae3096?dealerId=f11181ba-8984-4dc3-b94f-9f9f6c4c1c51,43990,7850,197.0,6,Germany
