Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Kia,Sportage,1.6 GDi,2023,Petrol,Crossover,Silver,Szombathely,Automatic,https://joautok.hu/hasznaltauto/kia/sportage/gold-150t-my24-kia-sportage-csereauto-keszletrol-elviheto/kcd2zbb/,6,26580,3999,110.0,Hungary
Kia,Xceed,1.6,2024,Petrol,Crossover,White,Szombathely,Automatic,https://www.szalonauto.hu/szemelyauto/kia/xceed/kia_xceed_gold_160t_my24_keszletrol_akar1.77_thm_pvp_finanszirozassal_3_dijmentes_karb-20340499,6,24670,3,118.0,Hungary
Kia,Sportage,1.6 GDi,2024,Petrol,Crossover,Gray,Szombathely,Manual,https://www.szalonauto.hu/szemelyauto/kia/sportage/kia_sportage_essence_edition_150t_limitalt_modell_mar_4.99-os_thm_finanszirozassal_is_marci-19140924,6,25410,3,111.0,Hungary
Volkswagen,Arteon,1.4,2023,Hybrid,Coupe,Gray,Kisvárda,Automatic,https://www.hasznaltauto.hu/szemelyauto/volkswagen/arteon/volkswagen_arteon_1.4_tsi_plug-in-hybrid_r-line_dsg_218_le_400_nm_moonstone_szurke_gazdag_extra_felszereltseg-19051029#sid=ec0067c9-4160-434f-93c4-bab6679bff2a,6,48303,100,160.0,Hungary
Volkswagen,Tiguan,2.0 TDI 4Motion,2024,Diesel,Crossover,Black,Kisvárda,Automatic,https://www.szalonauto.hu/szemelyauto/volkswagen/tiguan/volkswagen_tiguan_2.0_tdi_scr_life_4motion_dsg_led_matrix_navi_head_up_elektromos_memorias_bor_terlatas-20410404,6,47794,0,110.0,Hungary
Volkswagen,Passat,2.0,2024,Diesel,Wagon,Black,Kisvárda,Automatic,https://www.szalonauto.hu/szemelyauto/volkswagen/passat/volkswagen_passat_az_uj_passat_variant_elegance-20386058,6,45276,0,110.0,Hungary
Citroen,C4,1.2 puretech,2023,Petrol,Hatchback,Black,Budaörs,Automatic,https://joautok.hu/hasznaltauto/citroen/c4/c4-12-puretech-feel-plus-eat8-azonnal-elviheto-egyedi-keszletes-auto-1/0x8g2ad/,6,21595,2,96.0,Hungary
Volkswagen,T-Cross,1.5 tsi,2024,Petrol,Crossover,Cyan,Kisvárda,Automatic,https://www.szalonauto.hu/szemelyauto/volkswagen/t-cross/volkswagen_t-cross_1.5_tsi_r-line_dsg_150_le_facelift_tisztakek_metal-20410849,6,30497,0,110.0,Hungary
Volkswagen,Arteon,2.0 TSI,2024,Petrol,Coupe,White,Kisvárda,Automatic,https://www.szalonauto.hu/szemelyauto/volkswagen/arteon/volkswagen_arteon_2.0_tsi_r-line_dsg_190_le_harman_kardon_orix_feher_gyongyhaz-20371078,6,48303,0,139.0,Hungary
Volkswagen,Taigo,1.5 tsi,2024,Petrol,Crossover,Silver,Kisvárda,Automatic,https://www.szalonauto.hu/szemelyauto/volkswagen/taigo/volkswagen_taigo_1.5_tsi_act_r-line_dsg_150_le_panorama_napfenyteto_digital_cockpit_pro_keszletrol-20267414,6,30497,0,110.0,Hungary
