Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Lexus,Ux,300e,2023,Electric,Crossover,Green,Leknes,Automatic,https://www.nordvik.no/bruktbil/342158655,6,38499.0,2000,152.0,Norway
Opel,Insignia,2.0 CDTi,2010,Diesel,Wagon,Black,Jessheim,Manual,https://www.finn.no/car/used/ad.html?finnkode=320859508,5,6051.0,221400,82.0,Norway
Toyota,Auris,1.6 VVT-i,2013,Petrol,Hatchback,Silver,Hønefoss,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342907871,5,12234.0,66000,98.0,Norway
Volkswagen,Passat,2.0 TDI,2012,Diesel,Wagon,Black,Larvik,Automatic,https://www.finn.no/car/used/ad.html?finnkode=340980030,5,9559.0,185000,104.0,Norway
Subaru,Forester,2.0 D,2013,Diesel,Suv,Black,Tønsberg,Manual,https://www.finn.no/car/used/ad.html?finnkode=343196498,5,12216.0,231574,109.0,Norway
Toyota,Auris,1.4 D-4D,2014,Diesel,Hatchback,Gray,Hønefoss,Manual,https://www.finn.no/car/used/ad.html?finnkode=337246933,6,7454.0,210000,67.0,Norway
Toyota,Prius,1.8,2009,Hybrid,Hatchback,White,Oslo,Automatic,https://www.finn.no/car/used/ad.html?finnkode=340760592,5,5949.0,239000,73.0,Norway
Bmw,5 Series,520d xDrive,2016,Diesel,Sedan,Black,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=341075190,6,21837.0,173000,141.0,Norway
Bmw,5 Series,M550d xDrive,2016,Diesel,Wagon,Black,Sarpsborg,Automatic,https://www.finn.no/car/used/ad.html?finnkode=340344408,6,40166.0,172020,284.0,Norway
Nissan,Pathfinder,2.5 dci,2012,Diesel,Suv,Black,Sandnes,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342730093,5,16575.0,115300,141.0,Norway
Audi,A4,1.8 TFSI,2012,Petrol,Sedan,Black,Oslo,Automatic,https://www.finn.no/car/used/ad.html?finnkode=340834976,5,8761.0,193000,89.0,Norway
Audi,Q5,2.0,2017,Diesel,Suv,Silver,Hønefoss,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343006553,6,30633.0,190000,141.0,Norway
Mini,One,1.6 D,2011,Diesel,Mini,White,Fredrikstad,Manual,https://www.finn.no/car/used/ad.html?finnkode=340357171,5,6051.0,142800,67.0,Norway
Bentley,Flying Spur,6.0 W12,2007,Petrol,Sedan,Black,Drammen,Automatic,https://www.finn.no/car/used/ad.html?finnkode=223638903,4,61389.0,114000,507.0,Norway
Volvo,V50,1.6,2010,Diesel,Wagon,Blue,Skien,Manual,https://www.finn.no/car/used/ad.html?finnkode=341303434,5,5699.0,209000,81.0,Norway
Ford,F Series,3.5,2021,Petrol,Pickup,Black,Hokksund,Automatic,https://www.finn.no/car/used/ad.html?finnkode=327787220,6,87611.0,47000,340.0,Norway
Audi,S7,4.0,2012,Petrol,Sedan,Black,Hell,Automatic,https://www.finn.no/car/used/ad.html?finnkode=337188493,5,48233.0,53175,313.0,Norway
Mercedes Benz,S-Class,65 AMG,2015,Petrol,Sedan,Blue,Ski,Automatic,https://www.finn.no/car/used/ad.html?finnkode=327691094,6,114000.0,22000,469.0,Norway
Hyundai,Ioniq,1.6,2016,Hybrid,Sedan,Silver,Sandnes,Automatic,https://www.finn.no/car/used/ad.html?finnkode=340945106,6,12190.0,131000,110.0,Norway
