Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Kia,Sportage,1.6 T-GDi,2023,Petrol,Crossover,Gray,Marki,Manual,https://www.gezet.pl/oferty/samochody/kia-sportage-1-6-t-gdi-150km-6mt-fwd-wersja-m-smart-53357,6,29033,150,111.0,Poland
Kia,Sportage,1.6 T-GDi,2023,Petrol,Crossover,Gray,Marki,Manual,https://www.gezet.pl/oferty/samochody/kia-sportage-1-6-t-gdi-150km-6mt-fwd-wersja-m-smart-53162,6,27894,150,111.0,Poland
Toyota,Auris,1.6 VVT-i,2017,Petrol,Hatchback,Black,Szczecin,Manual,https://www.autotrader.pl/oferta/toyota-auris-szczecin-1001481692,6,15318,132,98.0,Poland
Suzuki,Grand Vitara,1.9,2008,Diesel,Suv,Black,Piaseczno,Manual,http://www.aaaauto.pl/pl/car.html?aaaid=0300081772&utm_source=ooyyo.pl&utm_medium=karta&utm_campaign=karta-pl,4,6043,160450,95.0,Poland
Ford,Kuga,1.5,2017,Petrol,Suv,Black,Piaseczno,Automatic,http://www.aaaauto.pl/pl/car.html?aaaid=0300076986&utm_source=ooyyo.pl&utm_medium=karta&utm_campaign=karta-pl,6,19758,64984,134.0,Poland
Ssangyong,Rexton,2.0,2015,Diesel,Suv,Silver,Piaseczno,Automatic,http://www.aaaauto.pl/pl/car.html?aaaid=0300076872&utm_source=ooyyo.pl&utm_medium=karta&utm_campaign=karta-pl,6,12319,134910,114.0,Poland
Honda,Accord,2.0,2007,Petrol,Sedan,Black,Piaseczno,Manual,http://www.aaaauto.pl/pl/car.html?aaaid=0300084298&utm_source=ooyyo.pl&utm_medium=karta&utm_campaign=karta-pl,4,5578,194337,114.0,Poland
Peugeot,308,1.5,2018,Diesel,Wagon,White,Poznań,Manual,https://www.autotrader.pl/oferta/peugeot-308-poznan-1001538237,6,13458,130,96.0,Poland
Peugeot,308,1.2 vti,2016,Petrol,Wagon,Red,Poznań,Automatic,https://www.autotrader.pl/oferta/peugeot-308-poznan-1001540335,6,11599,130,96.0,Poland
Hyundai,Santa Fe,2.2,2012,Diesel,Suv,Gray,Piaseczno,Automatic,http://www.aaaauto.pl/pl/car.html?aaaid=0300091497&utm_source=ooyyo.pl&utm_medium=karta&utm_campaign=karta-pl,5,12436,129309,145.0,Poland
