Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Porsche,Cayman,2.5,2017,Petrol,Coupe,White,Constanţa,Automatic,https://www.leasingsh.ro/porsche-cayman-2017-POR42243.html,6,61469,66920,191.0,Romania
Volvo,Xc90,2.0,2018,Petrol,Suv,Black,Constanţa,Automatic,https://www.leasingsh.ro/volvo-xc-90-2018-VOL42245.html,6,48269,50000,170.0,Romania
Volkswagen,T-Cross,1.0 tsi,2021,Petrol,Crossover,Gray,Bucureşti,Automatic,https://www.anuntul.ro/anunt-autoturism-volkswagen-t-cross-BJneWx#J8jeek%20,6,17493,70400,70.0,Romania
Peugeot,3008,1.5,2019,Diesel,Crossover,Black,Constanţa,Automatic,https://www.leasingsh.ro/peugeot-3008-2019-PEU52785.html,6,20590,55301,96.0,Romania
Mazda,3,1.6,2010,Petrol,Hatchback,Black,Cluj Napoca,Manual,https://www.anuntul.ro/anunt-autoturism-mazda-3-kMdvv1#J8jeek%20,5,6795,163000,77.0,Romania
Volvo,Xc90,2.0,2020,Diesel,Suv,Gray,Bucureşti,Automatic,https://www.leasingsh.ro/volvo-xc-90-2020-VOL51670.html,6,47899,68500,175.0,Romania
Land Rover,Defender,2.0,2020,Diesel,Suv,Silver,Constanţa,Automatic,https://www.leasingsh.ro/land-rover-defender-2020-LAN37755.html,6,68010,44950,179.0,Romania
Bmw,X3,xDrive20d,2021,Diesel,Suv,Black,Otopeni,Automatic,https://www.anuntul.ro/anunt-autoturism-bmw-x3-eaDjEY#J8jeek%20,6,51741,45735,140.0,Romania
Audi,Q5,2.0,2015,Diesel,Suv,Black,Iaşi,Automatic,https://www.leasingsh.ro/audi-q5-2015-AUD49119.html,6,19989,131048,121.0,Romania
Volkswagen,Tiguan,2.0,2009,Diesel,Crossover,Gray,Bistriţa,Manual,https://cautimasina.ro/volkswagen-tiguan-2009-diesel-second-hand-info-65e089eebd35ceb381924516,5,9950,168419,140.0,Romania
Opel,Astra,1.4,2018,Petrol,Hatchback,Blue,Bucureşti,Manual,https://cautimasina.ro/opel-astra-2018-benzina-second-hand-info-65d9e20f44ff888e9f03c202,6,15500,24000,101.0,Romania
