Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Peugeot,2008,1.2 puretech,2017,Petrol,Crossover,Gray,Valencia,Manual,https://coches.km77.com/peugeot/2008/en-valencia/2300807/se-vende-peugeot-2008-allure-12-puretech-81kw-110cv-ss-2017-14495-eur,6,14495,81000,100.0,Spain
Hyundai,Santa Fe,2.2 CRDi,2009,Diesel,Suv,Black,Madrid,Manual,https://coches.km77.com/hyundai/santa-fe/en-madrid/2369532/se-vende-hyundai-santa-fe-22crdi-comfort-f-5pl-2009-9990-eur,5,9990,174051,115.0,Spain
Audi,A1,1.0 25 TFSI,2021,Petrol,Mini,Gray,Valencia,Manual,https://coches.km77.com/audi/a1/en-valencia/2358749/se-vende-audi-a1-sportback-adrenalin-25-tfsi-70kw-95cv-adrenalin-edition-2021-19495-eur,6,19495,72254,95.0,Spain
Peugeot,2008,1.2 puretech,2020,Petrol,Crossover,Gray,Madrid,Manual,https://coches.km77.com/peugeot/2008/en-madrid/2362050/se-vende-peugeot-2008-puretech-130-ss-bvm6-allure-2020-19495-eur,6,19495,29049,130.0,Spain
Peugeot,2008,1.2 puretech,2020,Petrol,Crossover,Orange,Marçà,Manual,https://coches.km77.com/peugeot/2008/en-castellon/2365331/se-vende-peugeot-2008-puretech-100-ss-bvm6-allure-2020-19900-eur,6,19900,14146,100.0,Spain
Peugeot,2008,1.2 puretech,2020,Petrol,Crossover,White,Valencia,Manual,https://coches.km77.com/peugeot/2008/en-valencia/2359776/se-vende-peugeot-2008-active-puretech-100-ss-bvm6-2020-15495-eur,6,15495,115750,100.0,Spain
Peugeot,2008,1.2 puretech,2021,Petrol,Crossover,White,Valencia,Manual,https://coches.km77.com/peugeot/2008/en-valencia/2371980/se-vende-peugeot-2008-active-pack-puretech-100-ss-bvm6-2021-15495-eur,6,15495,103215,100.0,Spain
Peugeot,3008,1.5 bluehdi,2021,Diesel,Crossover,White,Valencia,Manual,https://coches.km77.com/peugeot/3008/en-valencia/2338028/se-vende-peugeot-3008-15-bluehdi-96kw-130cv-ss-active-2021-19995-eur,6,19995,92817,130.0,Spain
Smart,Forfour,1.0,2015,Petrol,Hatchback,Silver,Madrid,Manual,https://coches.km77.com/smart/forfour/en-madrid/2360975/se-vende-smart-forfour-52-proxy-2015-10890-eur,6,10890,41787,71.0,Spain
Volkswagen,Touran,2.0 TDI,2013,Diesel,Mpv,Beige,Madrid,Manual,https://coches.km77.com/volkswagen/touran/en-madrid/2306604/se-vende-volkswagen-touran-20-tdi-advance-140cv-7-plazas-s-s-5p-techo-panoramico-elecnavypaktronic-2,5,11350,191000,140.0,Spain
Fiat,500,1.4,2009,Petrol,Mini,Orange,Madrid,Manual,https://coches.km77.com/fiat/500/en-madrid/2369531/se-vende-fiat-500-14-lounge-2009-7490-eur,5,7490,100585,74.0,Spain
Škoda,Octavia,2.0 TDI,2020,Diesel,Sedan,Gray,Madrid,Automatic,https://coches.km77.com/skoda/octavia/en-madrid/2347410/se-vende-skoda-octavia-20-tdi-cr-110kw-150cv-dsg-ambition-2020-12499-eur,6,12499,199000,150.0,Spain
Jaguar,F-Pace,3.0,2017,Diesel,Crossover,Green,Madrid,Automatic,https://coches.km77.com/jaguar/f-pace/en-madrid/2369620/se-vende-jaguar-f-pace-30tdv6-prestige-aut-awd-2017-27990-eur,6,27990,99650,221.0,Spain
Ford,Focus,1.5 TDCi,2017,Diesel,Wagon,Beige,Madrid,Automatic,https://coches.km77.com/ford/focus/en-madrid/2339308/se-vende-ford-focus-sportbreak-titanium-15-tdci-120cv-at6-2017-8999-eur,6,8999,189000,120.0,Spain
