Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Bmw,X6,xDrive30d,2015,Diesel,Suv,Gray,Uddevalla,Automatic,https://www.bytbil.com/vastra-gotalands-lan/personbil-x6-xdrive30d-steptronic-m-sport-360-h-k-high-spec-8987-17578872,6,32230.0,176250,190.0,Sweden
Mercedes Benz,Cls-Class,55 AMG,2006,Petrol,Sedan,Silver,Stockholm,Automatic,https://www.bytbil.com/stockholms-lan/personbil-cls-350-v6-7g-tronic-amg-utrustning-taklucka-100487-17419507,4,7155.0,240010,200.0,Sweden
Bmw,5 Series,530e,2024,Hybrid,Sedan,Black,Svarta,Automatic,https://www.bytbil.com/stockholms-lan/personbil-530e-iperformance-m-sport-panorama-h-k-backkamera-252hk-11518-17444254,6,34347.6,37990,135.0,Sweden
Bmw,X6,xDrive30d,2015,Diesel,Suv,Black,Eskilstuna,Automatic,https://www.bytbil.com/sodermanlands-lan/personbil-x6-xdrive30d-m-sport-drag-varmare-h-k-360-pano-258hk-102427-17535358,6,33941.0,100000,190.0,Sweden
Audi,A7,4.0 TFSI,2015,Petrol,Sedan,White,Landvetter,Automatic,https://www.bytbil.com/vastra-gotalands-lan/personbil-a7-rs7-4-0-tfsi-v8-quattro-taklucka-bo-hud-se-spec-7869-17518150,6,49581.299999999996,110000,412.0,Sweden
Volvo,V70,2.5 D5,2012,Diesel,Wagon,Silver,Karlstad,Automatic,https://www.bytbil.com/varmlands-lan/personbil-v70-d5-geartronic-momentum-ocean-race-euro5-215hk-voc-9930-17492344,5,9842.0,276000,160.0,Sweden
Lexus,Rx,450h,2017,Hybrid,Suv,Black,Stockholm,Automatic,https://www.bilia.se/bilar/sok-bil/lexus/rx/yow897/,6,35284.0,98490,233.0,Sweden
Bmw,5 Series,530i,2019,Petrol,Sedan,White,Falun,Automatic,https://bilweb.se/dalarnas-lan/bmw-530-i-xdrive-sedan-m-sport-drag-navi-kamera-varm-lagmil-2019-sedan-10610179,6,33941.0,53000,187.0,Sweden
Volvo,Xc90,2.0 D5 AWD,2019,Diesel,Suv,Black,Stockholm,Automatic,https://bilweb.se/stockholms-lan/volvo-xc90-d5-awd-inscription-b-w-helskinn-7-sits-voc-2019-suv-10761512,6,43792.0,86000,175.0,Sweden
Land Rover,Range Rover Velar,3.0 P380,2017,Petrol,Suv,Silver,Uppsala,Automatic,https://www.bytbil.com/uppsala-lan/personbil-range-rover-velar-p380-awd-r-dynamic-panorama-102397-17558602,6,46893.0,73600,280.0,Sweden
Volvo,Xc60,2.0 T8 AWD,2024,Hybrid,Crossover,White,Karlstad,Automatic,https://www.bytbil.com/varmlands-lan/personbil-xc60-t8-twen-awd-r-design-bw-360k-pano-drag-hud-22-9574-17560481,6,32616.3,230,235.0,Sweden
Bmw,5 Series,530e,2023,Hybrid,Sedan,White,Uppsala,Automatic,https://www.bytbil.com/uppsala-lan/personbil-530e-iperformance-steptronic-m-sport-252hk-navi-se-spec-7032-16721453,6,32181.3,74890,135.0,Sweden
Bmw,X6,xDrive40d,2013,Diesel,Suv,Black,Svarta,Automatic,https://www.bytbil.com/stockholms-lan/personbil-x6-xdrive40d-steptronic-taklucka-bluetooth-gps-m-sport-10823-17297593,5,18349.0,213660,225.0,Sweden
Hyundai,Kona,1.6 hybrid,2023,Hybrid,Crossover,Black,Ljungby,Automatic,https://www.bytbil.com/kronobergs-lan/personbil-kona-hybrid-1-6-dct-n-line-techpaket-bose-2112-17570930,6,34021.0,6800,77.0,Sweden
Audi,Q7,3.0 50 TDI quattro,2022,Diesel,Suv,Black,Sollentuna,Automatic,https://www.bytbil.com/stockholms-lan/personbil-q7-quattro-50-tdi-286hk-black-apperance-plus-competition-plus-s-3427-17242896,6,62598.0,23990,210.0,Sweden
Volkswagen,Up!,1.0 tsi,2018,Petrol,Mini,Black,Stockholm,Manual,https://www.bytbil.com/stockholms-lan/personbil-up-gti-5-dorrars-1-0-tsi-116hk-2-brukare-8428-17581685,6,15215.0,37000,85.0,Sweden
Audi,Q7,3.0 tfsi,2023,Hybrid,Suv,Black,Are,Automatic,https://www.bytbil.com/stockholms-lan/personbil-q7-55-tfsi-e-q-navi-cockpit-lader-drag-luftfjadr-matrix-11518-17394640,6,54801.299999999996,34900,250.0,Sweden
Volvo,S40,2.0,2011,Diesel,Sedan,White,Stockholm,Automatic,https://www.bytbil.com/stockholms-lan/personbil-s40-d3-automat-150hk-classic-980kr-man-taklucka-10447-17571429,5,7603.0,228500,110.0,Sweden
Volkswagen,Touareg,3.0 TDI V6,2011,Diesel,Suv,Black,Halmstad,Automatic,https://www.bytbil.com/hallands-lan/personbil-touareg-3-0-v6-tdi-4motion-premium-panorama-1892-17502219,5,12976.0,240000,180.0,Sweden
