Make,Model,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Emission standard,Price(EUR),Mileage(km),kW,Country
Bmw,2 Series,2020,Petrol,Convertible,Black,NA,Automatic,https://www.azw.ch/de/angebot/284/bmw-220i-cabriolet-m-sport-steptr-automat?&page_number=1,220i,6,31033,25500,137.0,Switzerland
Škoda,Enyaq,2024,Electric,Suv,Blue,NA,Automatic,https://www.azw.ch/de/angebot/624/skoda-enyaq-iv-60-automat-netto-netto?&page_number=6,electro,6,40405,10,134.0,Switzerland
Seat,Ateca,2023,Petrol,Suv,Black,NA,Automatic,https://www.azw.ch/de/angebot/982/seat-ateca-1-5-tsi-evo-xperience-dsg-autom?&page_number=6,1.5 tsi,6,29992,12500,111.0,Switzerland
Tesla,Model Y,2023,Electric,Suv,Black,NA,Automatic,https://www.azw.ch/de/angebot/989/tesla-model-y-long-range-awd-514ps?&page_number=7,0.0 long range,6,43530,22200,383.0,Switzerland
Alfa Romeo,Tonale,2024,Hybrid,Crossover,Gray,NA,Automatic,https://www.azw.ch/de/angebot/1033/alfa-romeo-tonale-1-3-plug-in-hybrid-q4-veloce-pack-premium-automat-33?&page_number=1,1.3,6,49778,6,208.0,Switzerland
Bmw,3 Series,2023,Petrol,Sedan,Black,NA,Automatic,https://www.azw.ch/de/angebot/873/bmw-330e-m-sport-plug-in-hybrid-steptronic-automat?&page_number=2,330e,6,39364,7400,217.0,Switzerland
Cupra,Formentor,2021,Petrol,Crossover,Red,NA,Automatic,https://www.azw.ch/de/angebot/67/cupra-formentor-2-0-tsi-vz-4drive-dsg-automat?&page_number=2,2.0 tsi vz,6,33845,29100,231.0,Switzerland
Seat,Leon,2021,Petrol,Hatchback,Black,NA,Automatic,https://www.azw.ch/de/angebot/344/seat-leon-1-4-ehybrid-plug-in-hybrid-fr-dsg-automat?&page_number=6,1.2 TSI,6,22389,20900,152.0,Switzerland
Renault,Clio,2023,Petrol,Sedan,Black,NA,Automatic,https://www.azw.ch/de/angebot/745/renault-clio-1-0-techno-cvt-automat?&page_number=5,1.0,6,17495,39500,67.0,Switzerland
Alfa Romeo,Tonale,2024,Hybrid,Crossover,Blue,NA,Automatic,https://www.azw.ch/de/angebot/1030/alfa-romeo-tonale-1-3-plug-in-hybrid-q4-veloce-automat-30?&page_number=1,1.3,6,48424,58,208.0,Switzerland
Volkswagen,Passat,2021,Diesel,Wagon,Silver,NA,Automatic,https://www.azw.ch/de/angebot/995/vw-passat-variant-2-0-tdi-bmt-business-dsg-automat?&page_number=8,2.0 TDI,6,23743,31500,111.0,Switzerland
Seat,Alhambra,2022,Petrol,Mpv,Black,NA,Automatic,https://www.azw.ch/de/angebot/919/seat-alhambra-1-4-tsi-fr-line-7-plaetzer-dsg-automat?&page_number=5,1.4 TSI,6,36761,39100,111.0,Switzerland
Seat,Ateca,2024,Petrol,Suv,White,NA,Automatic,https://www.azw.ch/de/angebot/1113/seat-ateca-1-5-tsi-evo-style-dsg-auto-30?&page_number=6,1.5 tsi,6,27909,18,111.0,Switzerland
