Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"56,890 EUR",Ford,Mustang,5.0,"25,800 km",2020,Petrol,6,Coupe,Red,Salzburg,335 kW (456 HP),Automatic,https://www.zweispurig.at/ford-mustang-gebrauchtwagen-benzin-rot-salzburg/details-1187847
"59,940 EUR",Alfa Romeo,Tonale,1.3,10 km,2024,Hybrid,,Crossover,Red,Amstetten,208 kW (283 HP),Automatic,https://www.zweispurig.at/alfa-romeo-tonale-vorfuehrwagen-elektrobenzin-hybrid-rot-niederoesterreich/details-1230352
"74,900 EUR",Audi,Q5,2.0 40 TDI quattro,"12,600 km",2023,Diesel,6,Suv,Black,Eisenstadt,152 kW (207 HP),Automatic,https://www.dasweltauto.at/vehicle/20311634
"35,999 EUR",Bmw,X4,,"133,000 km",2017,Diesel,6,Suv,Black,Steyr,233 kW (317 HP),Automatic,https://www.zweispurig.at/bmw-x4-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1202218
"24,990 EUR",Mitsubishi,Pajero,3.2 did,"149,900 km",2013,Diesel,5,Suv,White,Stockerau,149 kW (203 HP),Automatic,https://www.zweispurig.at/mitsubishi-pajero-gebrauchtwagen-diesel-weiss-niederoesterreich/details-1246748
"40,500 EUR",Lexus,Nx,300h,"27,726 km",2021,Petrol,6,Suv,Black,Enns,146 kW (199 HP),Automatic,https://www.zweispurig.at/lexus-nx-gebrauchtwagen-benzin-schwarz-steiermark/details-1233645
"17,900 EUR",Audi,A5,2.0 tfsi,"83,000 km",2010,Petrol,5,Convertible,Black,Leoben,134 kW (182 HP),Automatic,https://www.zweispurig.at/audi-a5-gebrauchtwagen-benzin-schwarz-steiermark/details-1240337
"28,940 EUR",Alfa Romeo,Stelvio,2.0,"105,323 km",2017,Diesel,,Crossover,Gray,Amstetten,155 kW (211 HP),Automatic,https://www.zweispurig.at/alfa-romeo-stelvio-gebrauchtwagen-diesel-grau-niederoesterreich/details-1230343
"12,499 EUR",Opel,Mokka,1.7,"77,000 km",2015,Diesel,5,Crossover,White,Braunau Am Inn,97 kW (132 HP),Manual,https://www.zweispurig.at/opel-mokka-gebrauchtwagen-diesel-weiss-oberoesterreich/details-1167057
"29,900 EUR",Mercedes Benz,C-Class,180,"76,910 km",2021,Diesel,2,Wagon,Red,Eisenstadt,90 kW (122 HP),Automatic,https://www.dasweltauto.at/vehicle/20311602
