Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"23,990 EUR",Audi,A1,1.0 25 TFSI,"36,854 km",2022,Petrol,6,Mini,Gray,Genk,70 kW (95 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a1-essence-0559683/
"25,990 EUR",Audi,A1,1.0 25 TFSI,"29,887 km",2022,Petrol,6,Mini,Gray,Genk,70 kW (95 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a1-essence-0565179/
"19,990 EUR",Ford,Kuga,1.5,"60,820 km",2019,Petrol,9,Suv,Black,Rotselaar,111 kW (151 HP),Manual,https://www.autogids.be/detail-id--9464011--ford-vignale-benzine-slechts-60000km/tweedehands.html
"38,995 EUR",Bmw,X6,,"86,905 km",2017,Diesel,6,Suv,Gray,Brugge,157 kW (214 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-x6-diesel-0556242/
"23,725 EUR",Ford,Focus,1.0 st,"26,648 km",2021,Petrol,,Hatchback,Gray,Boortmeerbeek,93 kW (126 HP),Manual,https://www.vroom.be/fr/voitures-occasion/ford-focus-essence-0507130/
"38,500 EUR",Audi,A4,2.0,"21,947 km",2021,Diesel,6,Wagon,Black,Genk,121 kW (165 HP),Automatic,https://www.autogids.be/detail-id--9555591--audi-avant-s-line-35-tdi-163-pk-s-tronic-automaat/tweedehands.html
"78,990 EUR",Mercedes Benz,Eqe,AMG43,"19,744 km",2022,Electric,6,Sedan,White,Huy,354 kW (481 HP),Automatic,https://www.autogids.be/detail-id--9556842--mercedes-benz-eqe-43-amg-4matic/tweedehands.html
"37,990 EUR",Audi,Q5,2.0,"76,764 km",2020,Diesel,6,Suv,Blue,Leuze En Hainaut,101 kW (137 HP),Automatic,https://www.autogids.be/detail-id--9533167--audi-audi-q5-sport-30-tdi-100-136-kw-ps-s-tronic/tweedehands.html
"20,390 EUR",Nissan,X-Trail,1.3,"83,257 km",2018,Petrol,6,Suv,White,Keerbergen,121 kW (165 HP),Manual,https://www.autogids.be/detail-id--9529074--nissan-nissan-x-trail-1-3-benzine-manueel-in-topstaat/tweedehands.html
"46,990 EUR",Volkswagen,Tiguan,1.5,9 km,2024,Petrol,6,Crossover,Black,Tournai,111 kW (151 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/volkswagen/tiguan/volkswagen-tiguan-2024-vente-518572?
"56,999 EUR",Hyundai,Ioniq 6,,"6,993 km",2023,Electric,,Sedan,Gray,Roeselare,170 kW (231 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/hyundai-ioniq-6-electrique-0497498/
"29,990 EUR",Audi,A5,2.0,"77,150 km",2017,Diesel,6,Convertible,Gray,Sint Niklaas,141 kW (192 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a5-diesel-0537067/
"81,250 EUR",Land Rover,Defender,3.0,"36,406 km",2021,Diesel,6,Suv,Bronse,Kalmthout,185 kW (252 HP),Automatic,https://www.autogids.be/detail-id--9500305--land-rover-110-3-0-d250-7-plaatsen/tweedehands.html
"28,990 EUR",Peugeot,508,1.6,"54,503 km",2021,Petrol,6,Sedan,Gray,Turnhout,167 kW (227 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/peugeot-508-essence-0463901/
"22,990 EUR",Audi,A1,1.0 25 TFSI,"40,949 km",2022,Petrol,6,Mini,Gray,Overpelt,70 kW (95 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a1-essence-0558197/
"28,500 EUR",Audi,A1,1.0 25 TFSI,"24,571 km",2022,Petrol,6,Mini,Black,Tongeren,70 kW (95 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a1/audi-a1-2022-vente-558388?
"39,999 EUR",Porsche,Macan,3.0,"69,789 km",2017,Diesel,6,Suv,Gray,Andenne,157 kW (214 HP),Automatic,https://www.autogids.be/detail-id--9530601--porsche-s-diesel-3-0-v6-bi-turbo-s-pdk/tweedehands.html
"62,500 EUR",Bmw,X5,30d,"68,311 km",2020,Diesel,,Suv,Black,Kuurne,197 kW (268 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-x5-diesel-0551043/
"24,990 EUR",Audi,A1,1.0,"38,000 km",2021,Petrol,6,Mini,Black,Oostkamp,95 kW (129 HP),Manual,https://www.vroom.be/fr/voitures-occasion/audi-a1-essence-0538291/
"27,300 EUR",Land Rover,Evoque,2.0,"50,000 km",2018,Diesel,6,Suv,Black,Knokke,111 kW (151 HP),Automatic,https://www.autogids.be/detail-id--9549523--land-rover-td4-aut-dynamic-navi-xenon-pano-alu/tweedehands.html
"52,990 EUR",Audi,A6,2.0 40 TDI,"28,264 km",2023,Diesel,6,Wagon,Black,Genk,152 kW (207 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a6/audi-a6-2023-vente-524763?
"18,490 EUR",Audi,A3,1.5,"69,283 km",2018,Petrol,6,Sedan,Gray,Zaventem,111 kW (151 HP),Manual,https://www.vroom.be/fr/voitures-occasion/audi-a3-essence-0552718/
"24,500 EUR",Audi,A1,1.0 30 TFSI,"30,471 km",2020,Petrol,6,Mini,Black,Genk,86 kW (117 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a1/audi-a1-2020-vente-516927?
"49,950 EUR",Bmw,X4,,"52,735 km",2020,Diesel,6,Suv,Black,Bastogne,141 kW (192 HP),Automatic,https://www.autogids.be/detail-id--9373312--bmw-20d-m-sport-x/tweedehands.html
"61,995 EUR",Land Rover,Range Rover,3.0,"89,281 km",2018,Diesel,6,Suv,Black,Brugge,192 kW (261 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-range-rover-diesel-0538421/
"52,900 EUR",Bmw,X5,,"52,774 km",2019,Petrol,9,Suv,Blue,Halen,253 kW (344 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-x5-essence-0564773/
"37,995 EUR",Bmw,X5,,"94,943 km",2018,Diesel,6,Suv,White,Brugge,192 kW (261 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-x5-diesel-0563057/
"21,490 EUR",Hyundai,Tucson,1.6 T-GDi,"78,252 km",2019,Petrol,6,Suv,Gray,Kuurne,131 kW (178 HP),Manual,https://www.vroom.be/fr/voitures-occasion/hyundai-tucson-essence-0544233/
