Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"138,590 EUR (3,499,900 CZK)",Mercedes Benz,Gls-Class,580 4Matic,10 km,2023,Petrol,Suv,Black,Praha,360 kW (490 HP),Automatic,https://www.autanet.cz/detail/mercedes-benz/gls/43716
"106,912 EUR (2,699,900 CZK)",Mercedes Benz,Gle-Class,450 AMG 4MATIC,"6,460 km",2023,Petrol,Suv,Black,Praha,280 kW (381 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/Mercedes-Benz/GLE/GLE-450-4MATIC-SUV-170741373875145.html
"172,249 EUR (4,349,900 CZK)",Mercedes Benz,Sl-Class,4.0 AMG 55,"2,966 km",2023,Petrol,Convertible,Gray,Praha,350 kW (476 HP),Automatic,https://autocaris.cz/detail.php?inzerat=716194
"7,325 EUR (184,999 CZK)",Subaru,Forester,2.0,"240,856 km",2013,Diesel,Suv,White,Brno,108 kW (147 HP),Manual,https://www.annonce.cz/inzerat/subaru-forester-2-0-72931111-ws2kbg.html
"6,890 EUR (174,000 CZK)",Hyundai,Ix35,2.0 CRDi,"239,100 km",2010,Diesel,Crossover,Gray,Říčany,100 kW (136 HP),Manual,https://www.automodul.cz/hyundai-ix35-2-0-crdi-navi-panorama-kuze-c2727434
"16,235 EUR (409,999 CZK)",Volkswagen,Touareg,4.0 TDI V8,"319,000 km",2010,Diesel,Suv,Brown,Brno,250 kW (340 HP),Automatic,https://www.cars.cz/inzerce/osobni-auto-O/Volkswagen/Touareg/Touareg-4-1-V8-4-2-Kombi-170453536604858.html
"37,614 EUR (949,900 CZK)",Tesla,Model S,electro,"84,670 km",2018,Electric,Sedan,Blue,Praha,193 kW (262 HP),Automatic,https://www.sauto.cz/osobni/detail/tesla/model-s/201938698
"19,795 EUR (499,900 CZK)",Mercedes Benz,Gla-Class,220d 4Matic,"145,120 km",2016,Diesel,Suv,Black,Praha,130 kW (177 HP),Automatic,https://www.cars.cz/inzerce/osobni-auto-O/Mercedes-Benz/GLA/GLA-220d-7G-TRO-SUV-17103873346820.html
"12,631 EUR (319,000 CZK)",Subaru,Outback,2.0 D,"236,188 km",2015,Diesel,Crossover,Blue,Olomouc,110 kW (150 HP),Automatic,https://www.autanet.cz/detail/subaru/outback/29960
"27,718 EUR (699,999 CZK)",Bmw,X5,M50d,"156,979 km",2017,Diesel,Suv,White,Olbramovice,280 kW (381 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/BMW/X5/X5-3.0-M50d-28-SUV-170894207106731.html
"6,731 EUR (169,999 CZK)",Bmw,X3,,"220,123 km",2008,Diesel,Suv,Black,Brno,130 kW (177 HP),Automatic,https://www.sauto.cz/osobni/detail/bmw/x3/202790470
"8,711 EUR (219,999 CZK)",Bmw,1 Series,125i,"128,105 km",2011,Petrol,Coupe,Gray,Olbramovice,125 kW (170 HP),Manual,https://autocaris.cz/detail.php?inzerat=743368
"65,333 EUR (1,649,900 CZK)",Audi,A6 Allroad,3.0 50 TDI quattro,"23,085 km",2023,Diesel,Crossover,Gray,Praha,210 kW (286 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/Audi/A6_Allroad/A6-Allroad-50-TDI-QUAT-Kombi-17078457647270.html
"3,167 EUR (79,999 CZK)",Lancia,Delta,1.6,"173,256 km",2010,Diesel,Hatchback,Gray,Brno,88 kW (120 HP),Manual,https://www.annonce.cz/inzerat/lancia-delta-1-6-jtd-71390711-wuw4fs.html
"19,795 EUR (499,900 CZK)",Volkswagen,Touran,2.0 TDI,"102,000 km",2017,Diesel,Mpv,Black,Slaný,140 kW (190 HP),Automatic,https://www.cars.cz/inzerce/osobni-auto-O/Volkswagen/Touran/Touran-2-0-TDi-140-MPV-1710236275931151.html
"21,977 EUR (555,000 CZK)",Mercedes Benz,Cl-Class,55 AMG,"262,600 km",2008,Petrol,Coupe,Black,Karlovy Vary,285 kW (388 HP),Automatic,https://www.sauto.cz/osobni/detail/mercedes-benz/cl/205347600
"6,969 EUR (176,000 CZK)",Volkswagen,Golf,2.0 TDI,"197,319 km",2011,Diesel,Hatchback,Brown,Kroměříž,103 kW (140 HP),Manual,https://www.sauto.cz/osobni/detail/volkswagen/golf/204636030
"14,651 EUR (369,999 CZK)",Volkswagen,Tiguan,2.0 TDI 4Motion,"92,116 km",2013,Diesel,Crossover,Silver,Olbramovice,103 kW (140 HP),Automatic,https://yauto.cz/volkswagen/tiguan/20-tdi-4motion-dsg-sportstyle-suv-nafta-860319/
"11,443 EUR (289,000 CZK)",Volkswagen,Sharan,2.0 TDI,"191,167 km",2010,Diesel,Van,Gray,Kroměříž,100 kW (136 HP),Manual,http://auto.rychle.cz/osobni-auto-O/Volkswagen/Sharan/Sharan-2.0-TDI.HIG-MPV-170998245012260.html
"11,087 EUR (279,999 CZK)",Volkswagen,Touareg,3.0 TDI V6,"269,962 km",2010,Diesel,Suv,Gray,Olbramovice,176 kW (239 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/Volkswagen/Touareg/Touareg-3.0-TDI-V6-SUV-1705608357969197.html
"62,367 EUR (1,575,000 CZK)",Bmw,X6,,"40,000 km",2018,Petrol,Suv,Black,Ostrava,423 kW (575 HP),Automatic,https://yauto.cz/bmw/x6/44-m-bang-olufsen-karbon-nocne-videnie-br-suv-benzin-854226/
"25,739 EUR (649,999 CZK)",Ford,Ranger,3.2,"164,455 km",2016,Diesel,Pickup,Black,Olbramovice,147 kW (200 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/Ford/Ranger/Ranger-3.2-TDCi-14-Pick-up-170894207196635.html
"16,231 EUR (409,900 CZK)",Kia,Optima,1.7,"141,000 km",2016,Diesel,Sedan,Gray,Praha,104 kW (141 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/Kia/Optima/Optima-1.7-PREMIUM-Sedan-Limuzina-170843343446377.html
"3,524 EUR (88,999 CZK)",Seat,Altea,1.9 TDI,"314,307 km",2007,Diesel,Mpv,Silver,Olbramovice,77 kW (105 HP),Manual,http://auto.rychle.cz/osobni-auto-O/Seat/Altea/Altea-1.9-TDI-XL-MPV-170517635500379.html
"8,668 EUR (218,900 CZK)",Toyota,Verso,1.6,"110,000 km",2016,Petrol,Mpv,Red,Slaný,82 kW (112 HP),Manual,https://yauto.cz/toyota/verso/16-d-4d82kwnovecrskniha-mpv-nafta-868033/
"13,855 EUR (349,900 CZK)",Hyundai,Tucson,1.7 CRDi,"178,025 km",2017,Diesel,Suv,Gold,Praha,104 kW (141 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/Hyundai/Tucson/Tucson-1.7.-PREMIU-SUV-1708960338288220.html
"9,899 EUR (249,990 CZK)",Volkswagen,Tiguan,1.4 TSI,"124,141 km",2010,Petrol,Crossover,Gray,Třebíč,110 kW (150 HP),Manual,https://www.automodul.cz/volkswagen-tiguan-1-4-tsi-sport-navi-4x4-servis-c2648523
"16,631 EUR (419,999 CZK)",Volkswagen,Touareg,3.0 TDI V6,"194,886 km",2012,Diesel,Suv,Black,Olbramovice,180 kW (245 HP),Automatic,https://www.sauto.cz/osobni/detail/volkswagen/touareg/205092969
"52,982 EUR (1,338,000 CZK)",Mercedes Benz,Gls-Class,500 4MATIC,"72,479 km",2018,Petrol,Suv,White,Znojmo,335 kW (456 HP),Manual,https://www.sportovnivozy.cz/188116-mercedes-benz-gls-500-4matic7misttaznecr-2018
"43,158 EUR (1,089,900 CZK)",Lexus,Rc-F,5.0,"24,245 km",2014,Petrol,Coupe,Blue,Praha,351 kW (477 HP),Automatic,https://autocaris.cz/detail.php?inzerat=738347
"7,919 EUR (199,999 CZK)",Volkswagen,Tiguan,1.4 TSI,"198,952 km",2012,Petrol,Crossover,White,Brno,90 kW (122 HP),Manual,https://www.autanet.cz/detail/volkswagen/tiguan/15306
"19,795 EUR (499,900 CZK)",Volkswagen,Polo,2.0,"80,700 km",2013,Petrol,Hatchback,White,České Budějovice,162 kW (220 HP),Manual,https://yauto.cz/volkswagen/polo/20-tsi-162kw-wrc-hatchback-benzin-824389/
"17,023 EUR (429,900 CZK)",Ford,Kuga,1.5 EcoBoost,"37,000 km",2017,Petrol,Suv,White,Slaný,110 kW (150 HP),Manual,https://www.cars.cz/inzerce/osobni-auto-O/Ford/Kuga/Kuga-1-5-EcoBoos-SUV-1710251010217172.html
