Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"32,174 EUR (239,900 DKK)",Citroen,C3 Aircross,1.2,"9,500 km",2021,Petrol,Suv,Black,Brovst,96 kW (131 HP),Automatic,https://seek4cars.net/biler-til-salg/citroen/c3/aircross-1-2-puretech-shine-sport-eat6-130hk-5d-6g-aut/f3cea6f7-c486-4125-9f64-12a9aff5b6b4
"29,491 EUR (219,900 DKK)",Volkswagen,Tiguan,2.0 TDI 4Motion,"124,000 km",2016,Diesel,Crossover,White,Aarup,141 kW (192 HP),Automatic,https://seek4cars.net/biler-til-salg/vw/tiguan/2-0-tdi-scr-r-line-4motion-dsg-190hk-5d-7g-aut/a535d6a8-1d4b-4681-b234-86bd8b84f77a
"44,914 EUR (334,900 DKK)",Mini,Cooper,1.6 S,"48,000 km",2017,Petrol,Convertible,Black,Varde,143 kW (194 HP),Automatic,https://www.autouncle.dk/en/d/4274148-used-mini-cooper-s-cabriolet-2-0-aut
"29,491 EUR (219,900 DKK)",Bmw,4 Series,420d,"171,000 km",2017,Diesel,Coupe,Gray,Aarup,141 kW (192 HP),Automatic,https://seek4cars.net/biler-til-salg/bmw/420d/gran-coup-2-0-d-steptronic-190hk-5d-8g-aut/8ca8d5e2-0e94-4506-a733-df87dba10279
"4,023 EUR (29,999 DKK)",Hyundai,I20,1.1,"305,000 km",2015,Diesel,Hatchback,White,Hemmet,55 kW (75 HP),Manual,https://www.guloggratis.dk/annonce/5294a100-f56c-404a-bd1c-0b854c13dd36
"16,080 EUR (119,900 DKK)",Toyota,Auris,1.6 VVT-i,"91,000 km",2013,Petrol,Hatchback,Gray,Aarup,98 kW (133 HP),Manual,https://seek4cars.net/biler-til-salg/toyota/auris/1-6-valvematic-t2-132hk-5d-6g/98dcbd8c-e526-4f83-af90-b1573558c54c
"7,899 EUR (58,900 DKK)",Volkswagen,Up!,1.0,"184,000 km",2014,Petrol,Mini,White,Hemmet,44 kW (60 HP),Manual,https://www.guloggratis.dk/annonce/79a52dac-ef7b-42f5-8e8b-e28fda86ed02
"18,092 EUR (134,900 DKK)",Opel,Crossland X,1.2 Turbo,"51,000 km",2017,Petrol,Suv,Silver,Aarup,82 kW (112 HP),Manual,https://seek4cars.net/biler-til-salg/opel/crossland-x/1-2-turbo-innovation-start-stop-110hk-5d/da0f9d40-4cc6-4c42-af9a-6e99ea4afacf
"4,948 EUR (36,900 DKK)",Kia,Picanto,1.0,"164,000 km",2013,Petrol,Mini,White,Hemmet,51 kW (69 HP),Manual,https://www.guloggratis.dk/annonce/c1743312-a170-4b91-929b-c17cd8a5baf9
"30,832 EUR (229,900 DKK)",Audi,Q2,1.6 TDI,"45,000 km",2017,Diesel,Crossover,Black,Ballerup,86 kW (117 HP),Manual,https://seek4cars.net/biler-til-salg/audi/q2/1-6-tdi-sport-116hk-5d-6g/ed38c405-4bbb-492c-aa4e-197d24877406
"36,197 EUR (269,900 DKK)",Peugeot,2008,1.2 puretech,500 km,2022,Petrol,Crossover,Black,Brovst,96 kW (131 HP),Manual,https://seek4cars.net/biler-til-salg/peugeot/2008-/1-2-puretech-platin-sport-130hk-5d/7ad3e641-3a3e-4743-8a83-42a5ceee0188
"4,694 EUR (35,000 DKK)",Volkswagen,Golf,1.6 TDI,14 km,1993,Petrol,Convertible,Red,Otterup,55 kW (75 HP),Manual,https://www.guloggratis.dk/annonce/3f4833ea-a3db-4356-87a1-17ae983d9d67
"6,692 EUR (49,900 DKK)",Hyundai,I10,1.0,"155,000 km",2015,Petrol,Mini,White,Hemmet,49 kW (67 HP),Manual,https://www.guloggratis.dk/annonce/7f98e197-86c3-4bbd-b799-106c189c9131
"3,151 EUR (23,500 DKK)",Peugeot,205,1.4,"240,000 km",1989,Petrol,Hatchback,Red,Vejen,49 kW (67 HP),Manual,https://www.guloggratis.dk/annonce/734addc3-dc40-4511-9a13-a08dd0e73bfa
"40,167 EUR (299,500 DKK)",Cadillac,Eldorado,4.5,"170,000 km",1962,Petrol,Sedan,Blue,Odense,,Automatic,https://www.guloggratis.dk/annonce/d85b42d4-0f65-4c00-a956-283f0fe613d2
"50,936 EUR (379,800 DKK)",Kia,Ev6,,"36,000 km",2022,Electric,Crossover,White,Vodskov,242 kW (329 HP),Automatic,https://www.autouncle.dk/en/d/4791618-used-kia-ev6-77-long-range-performance-gt-line-awd
"17,421 EUR (129,900 DKK)",Citroen,C4 Cactus,1.2,"103,000 km",2018,Petrol,Hatchback,White,Brovst,82 kW (112 HP),Manual,https://seek4cars.net/biler-til-salg/citroen/c4/cactus-1-2-puretech-skyline-110hk-5d-6g/abb29138-1f08-43a0-92b4-11495a5ba881
"26,796 EUR (199,800 DKK)",Kia,Xceed,1.6,"60,000 km",2020,Hybrid,Crossover,Black,Vodskov,105 kW (143 HP),Automatic,https://www.autouncle.dk/en/d/4729821-used-kia-xceed-1-6-phev-upgrade-dct
"25,468 EUR (189,900 DKK)",Ford,Kuga,1.5 EcoBoost,"100,000 km",2018,Diesel,Suv,White,Varde,89 kW (121 HP),Automatic,https://www.guloggratis.dk/annonce/842a1f4a-fdea-44d4-9a1a-edf570e90866
"10,715 EUR (79,900 DKK)",Toyota,Aygo,1.0,"82,500 km",2016,Petrol,Mini,White,Ringsted,51 kW (69 HP),Manual,https://seek4cars.net/biler-til-salg/toyota/aygo/1-0-vvt-i-x-sky-69hk-5d/65ebe67c-4078-4dbf-bd62-30b6e3a257e4
"28,150 EUR (209,900 DKK)",Opel,Vivaro,2.0,"32,000 km",2021,Diesel,Van,White,Aalborg,90 kW (122 HP),Automatic,https://seek4cars.net/biler-til-salg/opel/vivaro/l3v2-2-0-d-innovation-at8-122hk-van-8g-aut/7a82e504-0661-4f89-bda1-6d51c87a03cf
"23,993 EUR (178,900 DKK)",Renault,Grand Scenic,1.5 dCi,"105,000 km",2018,Diesel,Mpv,Blue,Frederiksberg,82 kW (112 HP),Manual,https://seek4cars.net/biler-til-salg/renault/grand-scnic/1-5-energy-dci-zen-110hk-6g/3cb0d798-0d78-41c7-bcb4-8a25fe371e91
"16,764 EUR (124,999 DKK)",Škoda,Citigo,electro,"36,000 km",2020,Electric,Mini,White,Fredericia,61 kW (83 HP),Automatic,https://www.guloggratis.dk/annonce/06e94990-2a61-4a18-8f49-a31ee076a11f
"24,127 EUR (179,900 DKK)",Peugeot,Expert,2.0,"61,000 km",2020,Diesel,Van,Gray,Aalborg,90 kW (122 HP),Automatic,https://seek4cars.net/biler-til-salg/peugeot/expert/l3-2-0-bluehdi-premium-eat8-122hk-van-8g-aut/82ed1b78-f91b-4272-9a87-22aff463a4f8
"33,528 EUR (250,000 DKK)",Volkswagen,Polo,2.0,"103,000 km",2018,Petrol,Hatchback,White,Gadstrup,149 kW (203 HP),Automatic,https://www.guloggratis.dk/annonce/3731fe64-ded7-419d-8f99-4cf8cd2c2e23
"24,124 EUR (179,880 DKK)",Hyundai,Kona,1.0 T-GDi,"45,000 km",2019,Petrol,Crossover,Silver,Frederikssund,89 kW (121 HP),Manual,https://seek4cars.net/biler-til-salg/hyundai/kona/1-0-t-gdi-trend-120hk-5d-6g/0e02d01a-0e6e-40df-8084-dcfc33cb8e77
"26,822 EUR (200,000 DKK)",Audi,Q5,3.0 TDI Quattro,"178,000 km",2011,Diesel,Suv,Black,Gadstrup,178 kW (242 HP),Automatic,https://www.guloggratis.dk/annonce/643951f1-0f9f-4a02-ab09-0cf69e2a8287
"26,152 EUR (195,000 DKK)",Ford,C-Max,1.5,"80,000 km",2015,Diesel,Mpv,White,Gadstrup,111 kW (151 HP),Automatic,https://www.guloggratis.dk/annonce/5f84180a-33e0-4fe2-96a5-0154e391294e
"24,127 EUR (179,900 DKK)",Peugeot,Expert,2.0,"70,000 km",2018,Diesel,Van,Gray,Aalborg,134 kW (182 HP),Automatic,https://seek4cars.net/biler-til-salg/peugeot/expert/l2-2-0-bluehdi-ultimate-eat6-180hk-van-6g-aut/66da7be8-9dd1-4778-80fb-77ebaa5a752a
"18,078 EUR (134,800 DKK)",Ford,C-Max,1.5,"132,000 km",2017,Diesel,Mpv,Black,Vodskov,78 kW (106 HP),Manual,https://seek4cars.net/biler-til-salg/ford/c-max/tdci-105-business-eco/64b742cc-6969-42c6-befa-23bc4180d8c9
"24,113 EUR (179,800 DKK)",Citroen,C4 Spacetourer,1.6 BlueHDI,"157,000 km",2018,Diesel,Mpv,Gray,Vodskov,89 kW (121 HP),Automatic,https://seek4cars.net/biler-til-salg/citroen/grand-c4-spacetourer/bluehdi-120-intensive-eat6-7prs/9fb3c88d-db81-4f73-a515-ae2878719a55
"25,468 EUR (189,900 DKK)",Audi,Q2,1.6 TDI,"136,000 km",2017,Diesel,Crossover,Black,Lunderskov,86 kW (117 HP),Automatic,https://www.bilpriser.dk/car.do?carid=2601413
"14,725 EUR (109,800 DKK)",Hyundai,I10,1.0,"45,000 km",2020,Petrol,Mini,Blue,Vodskov,49 kW (67 HP),Manual,https://seek4cars.net/biler-til-salg/hyundai/i10/mpi-advanced/eeaa699c-86b3-4320-aed8-74a22ce776d1
"48,925 EUR (364,800 DKK)",Kia,Ev6,,50 km,2023,Electric,Crossover,White,Vodskov,170 kW (231 HP),Automatic,https://seek4cars.net/biler-til-salg/kia/ev6/long-range/ac8b8927-b0a4-4a95-9d3f-89d63907b147
"26,809 EUR (199,900 DKK)",Opel,Mokka,1.2,"10,000 km",2022,Petrol,Crossover,White,Aalborg,74 kW (101 HP),Manual,https://seek4cars.net/biler-til-salg/opel/mokka/1-2-puretech-edition-100hk-5d-6g/72e281c6-473f-4daf-a319-877385a6d479
"30,162 EUR (224,900 DKK)",Peugeot,5008,1.5 bluehdi,"84,000 km",2018,Diesel,Mpv,Gray,Aalborg,96 kW (131 HP),Manual,https://www.bilpriser.dk/car.do?carid=2591754
"29,491 EUR (219,900 DKK)",Volkswagen,Touran,1.6 TDI,"81,000 km",2017,Diesel,Mpv,White,Varde,85 kW (116 HP),Manual,https://www.guloggratis.dk/annonce/504878c8-67bb-421d-8387-955813517751
"11,654 EUR (86,900 DKK)",Toyota,Aygo,1.0,"68,000 km",2018,Petrol,Mini,Red,Aalborg,51 kW (69 HP),Manual,https://seek4cars.net/biler-til-salg/toyota/aygo/1-0-vvt-i-x-cite-69hk-5d/d62c39f6-1797-41a8-9d10-6f1a5d9f42dc
"31,503 EUR (234,900 DKK)",Peugeot,2008,1.2 puretech,"43,000 km",2021,Petrol,Crossover,Red,Aalborg,96 kW (131 HP),Automatic,https://seek4cars.net/biler-til-salg/peugeot/2008-/1-2-puretech-allure-pack-eat8-130hk-5d-8g-aut/89a3a4a0-4ff3-4c24-a823-8adc2fd5f9f5
