Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"18,990 EUR",Renault,Kadjar,1.3 TCe,"53,407 km",2020,Petrol,Suv,Black,Le Blanc,104 kW (141 HP),Manual,https://occasion.autoplus.fr/voiture-occasion-renault-kadjar-13-tce-140ch-fap-black-edition-21-720759/
"24,990 EUR",Hyundai,Kona,electric,"61,444 km",2021,Electric,Crossover,Blue,Tours,152 kW (207 HP),Automatic,https://www.auto-selection.com/voiture-occasion/hyundai-kona/23682720.html
"27,900 EUR",Porsche,Cayenne,3.0 diesel,"142,000 km",2013,Diesel,Suv,Gray,Nice,182 kW (248 HP),Automatic,https://www.leparking.fr/voiture-occasion-detail/porsche-cayenne/porsche-cayenne-platinum-edition-v6-3-0-tdi-tiptronic-245cv/0J502GP8.html
"23,890 EUR",Seat,Ateca,1.5 tsi,"38,258 km",2020,Petrol,Suv,Brown,Beauvais,111 kW (151 HP),Automatic,https://fr.renew.auto/achat-vehicules-occasions/detail.html?productId=VEH_00000862_VO039652
"28,450 EUR",Toyota,Yaris,1.5,"6,780 km",2024,Hybrid,Sedan,Blue,Rivery,68 kW (92 HP),Automatic,https://occasion.autoplus.fr/voiture-occasion-toyota-yaris-130h-premiere-mc24-745647/
"62,900 EUR",Porsche,Macan,3.6 Turbo,"86,870 km",2016,Petrol,Suv,Blue,Toulouse,298 kW (405 HP),Automatic,http://www.voiture-de-prestige.com/porsche+macan+turbo-3-6-v6-400-ch-pdk_1250491.html
"109,900 EUR",Chevrolet,Corvette,6.2,"26,153 km",2016,Petrol,Convertible,White,Paris,491 kW (668 HP),Automatic,https://www.paruvendu.fr/a/voiture-occasion/chevrolet/corvette/1270800067A1KVVOCVCOR
"34,990 EUR",Mercedes Benz,Gle-Class,2.1 250,"121,950 km",2018,Diesel,Suv,Black,Villeneuve Loubet,152 kW (207 HP),Automatic,https://www.leparking.fr/voiture-occasion-detail/mercedes-gle-gle-250/mercedes-gle-250-d-204ch-sportline-4matic-9g-tronic/K5DPUTTQ.html
"27,890 EUR",Mercedes Benz,A-Class,250 4Matic,"29,728 km",2016,Petrol,Sedan,Black,Seclin,211 kW (287 HP),Automatic,https://www.autosphere.fr/fiche/auto-occasion-mercedes-classe-a-250-fascination-4matic-7g-dct-59113-seclin-2402039
"18,990 EUR",Renault,Kadjar,1.7 dci,"69,406 km",2019,Diesel,Suv,Gray,Rivery,111 kW (151 HP),Manual,https://www.gueudet.fr/voiture/occasion/renault/kadjar/17-blue-dci-150ch-intens-4x4/43135
"23,399 EUR",Jeep,Cherokee,2.2,"83,500 km",2017,Diesel,Suv,Black,Gaillard,149 kW (203 HP),Automatic,https://www.auto-selection.com/voiture-occasion/jeep-cherokee/24019986.html
