Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"35,890 EUR",Mazda,Cx-5,2.5,"11,732 km",2023,Petrol,6,Crossover,Black,Hamburg,144 kW (196 HP),Automatic,https://www.moll-automobile.de/fahrzeug/385546043/Pkw/mazda-cx-5-homura-2-5l-skyactiv-g-194ps-fwd-6ag-navi-b
"22,950 EUR",Hyundai,I20,1.0,"5,772 km",2022,Petrol,6,Hatchback,White,Iserlohn,75 kW (102 HP),Automatic,https://gebrauchtwagen.hyundai.de/de/fahrzeugsuche/hyundai/i20-mj22-10-t-gdi-100ps-48v-dct-trend-lichtpaket-assistenzpaket/variant-kjc7tsd8
"24,890 EUR",Audi,A1,1.0 30 TFSI,"42,490 km",2019,Petrol,6,Mini,Yellow,Rain,85 kW (116 HP),Manual,https://www.12gebrauchtwagen.de/c/16/1413600396?num_on_page=3&page=50&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"39,130 EUR",Audi,Q2,1.5 35 TFSI,"2,500 km",2024,Petrol,6,Crossover,Black,Rain,110 kW (150 HP),Automatic,https://www.12gebrauchtwagen.de/c/34/1398708611?num_on_page=2&page=9&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"46,980 EUR",Volvo,Xc40,1.5,"14,839 km",2023,Hybrid,,Crossover,Gray,Aachen,194 kW (264 HP),Automatic,https://www.moll-automobile.de/fahrzeug/385196040/Pkw/volvo-xc40-plus-dark-recharge-plug-in-hybrid-2wd-t5-tw
"41,890 EUR",Volvo,Xc40,2.0 B4,"11,582 km",2023,Petrol,,Crossover,Blue,Aachen,146 kW (199 HP),Automatic,https://www.moll-automobile.de/fahrzeug/385199080/Pkw/volvo-xc40-plus-dark-2wd-b4-eu6d-navi-digitales-cockpi
"116,650 EUR",Jaguar,F-Type,5.0 P450,9 km,2023,Petrol,,Convertible,Green,Rain,335 kW (456 HP),Automatic,https://www.instamotion.com/auto/K5HA-AKQS-BWMY
"54,189 EUR",Bmw,X3,xDrive30d,"55,500 km",2022,Diesel,,Suv,Black,Rain,210 kW (286 HP),Automatic,https://www.12gebrauchtwagen.de/c/16/1426180988?num_on_page=3&page=11&premium=false&title=BMW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"40,850 EUR",Mercedes Benz,A-Class,35 AMG,"45,805 km",2022,Petrol,6,Sedan,Black,Kassel,228 kW (310 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1428125660?num_on_page=3&page=27&title=Mercedes-Benz+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"48,070 EUR",Audi,Q3,2.0 35 TDI,"3,900 km",2023,Diesel,6,Crossover,White,Rain,110 kW (150 HP),Automatic,https://www.12gebrauchtwagen.de/c/16/1426035538?num_on_page=3&page=33&premium=false&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"18,280 EUR",Ford,Ecosport,1.0 EcoBoost,"22,910 km",2019,Petrol,,Suv,Gray,Ulm,104 kW (141 HP),Manual,https://www.12gebrauchtwagen.de/c/4/1419520629?num_on_page=3&page=29&premium=false&title=Ford+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"71,490 EUR",Land Rover,Defender,3.0,"11,990 km",2023,Diesel,,Suv,Black,Oldenburg,185 kW (252 HP),Automatic,https://www.moll-automobile.de/fahrzeug/386041501/Pkw/land-rover-defender-90-x-dynamic-se-d250-mild-hybrid-allrad
"53,750 EUR",Bmw,X3,M40d,"53,313 km",2021,Diesel,6,Suv,Silver,Rain,250 kW (340 HP),Automatic,https://www.instamotion.com/auto/6FNF-GR4D-PHRV
"17,850 EUR",Honda,Civic,1.0,"47,950 km",2020,Petrol,,Sedan,Red,Iserlohn,93 kW (126 HP),Manual,https://gebrauchtwagen.hyundai.de/de/fahrzeugsuche/honda/civic-10-elegance-pdc-shz-kamera-navi-acc-led/variant-s1c9h78q
"60,500 EUR",Volkswagen,Transporter,2.0,"38,403 km",2021,Diesel,,Van,Black,Mönchengladbach,152 kW (207 HP),Automatic,https://hey.car/vehicle/f89ddfc4-4c1b-4ea8-b184-6d75ca897569?dealerId=518694
"45,550 EUR",Bmw,X3,M40d,"92,593 km",2020,Diesel,6,Suv,Blue,Rain,240 kW (326 HP),Automatic,https://www.12gebrauchtwagen.de/c/34/1425961273?num_on_page=3&page=1&premium=true&title=BMW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"50,450 EUR",Bmw,X1,xDrive23d,"41,353 km",2023,Diesel,6,Suv,Black,Rain,155 kW (211 HP),Automatic,https://www.instamotion.com/auto/FN2S-P9JW-GR1R
"47,450 EUR",Bmw,X1,xDrive20d,"31,724 km",2023,Diesel,6,Suv,Black,Rain,120 kW (163 HP),Automatic,https://www.12gebrauchtwagen.de/c/34/1425979449?num_on_page=2&page=17&title=BMW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"50,450 EUR",Bmw,X1,xDrive20d,"28,199 km",2023,Diesel,6,Suv,Green,Rain,110 kW (150 HP),Automatic,https://www.instamotion.com/auto/TZH4-1IRR-F2WB
"91,590 EUR",Volkswagen,Touareg,4.0 TDI,"62,629 km",2021,Diesel,,Suv,Black,Rain,313 kW (426 HP),Automatic,https://hey.car/vehicle/ecece691-1095-4226-b9b3-b6bc88f57be7?dealerId=a4f577d9-be88-40f6-851d-7617d232805e
"16,999 EUR",Mercedes Benz,Gla-Class,200,"116,460 km",2015,Petrol,,Suv,Green,Mannheim,115 kW (156 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1398813190?num_on_page=3&page=43&title=Mercedes-Benz+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"49,980 EUR",Volvo,Xc90,2.0,"51,490 km",2020,Diesel,6,Suv,Gray,Aachen,175 kW (238 HP),Automatic,https://www.moll-automobile.de/fahrzeug/387116207/Pkw/volvo-xc90-inscription-awd-b5-diesel-eu6d-t-allrad-ad
"16,990 EUR",Honda,Civic,1.0,"60,152 km",2019,Petrol,,Sedan,Red,Iserlohn,93 kW (126 HP),Manual,https://hey.car/vehicle/8128ce05-41df-4193-b179-6f17bb002e82?dealerId=f11181ba-8984-4dc3-b94f-9f9f6c4c1c51
"55,980 EUR",Audi,Q3,2.0 45 TFSI,"15,118 km",2022,Hybrid,,Crossover,Black,Rain,180 kW (245 HP),Automatic,https://www.12gebrauchtwagen.de/c/34/1425971699?num_on_page=2&page=29&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"55,980 EUR",Audi,Q3,2.0 45 TFSI,"13,032 km",2022,Hybrid,,Crossover,Gray,Rain,180 kW (245 HP),Automatic,https://www.instamotion.com/auto/RNE8-V5VY-7355
"53,330 EUR",Audi,A4 Allroad,2.0 40 TDI,"18,000 km",2023,Diesel,6,Crossover,Gray,Rain,150 kW (204 HP),Automatic,https://www.instamotion.com/auto/Y3E4-Q61W-POMY
"29,890 EUR",Mazda,Cx-5,2.0,"16,761 km",2023,Petrol,6,Crossover,Beige,Düren,123 kW (167 HP),Manual,https://www.moll-automobile.de/fahrzeug/384934929/Pkw/mazda-cx-5-e-skyactiv-g-165ps-6gs-fwd-newground-navi-l
"35,900 EUR",Mercedes Benz,Sl-Class,500 AMG,"38,657 km",2007,Petrol,,Convertible,Black,Villingen Schwenningen,285 kW (388 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1373120218?num_on_page=4&page=79&title=Mercedes-Benz+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"35,920 EUR",Audi,Q3,2.0 35 TDI,"48,000 km",2021,Diesel,,Crossover,Gray,Rain,110 kW (150 HP),Automatic,https://www.12gebrauchtwagen.de/c/34/1398707735?num_on_page=2&page=114&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"32,640 EUR",Bmw,X3,xDrive20d,"72,800 km",2018,Diesel,6,Suv,Gold,Rain,140 kW (190 HP),Automatic,https://www.12gebrauchtwagen.de/c/34/1413765396?num_on_page=2&page=52&premium=false&title=BMW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"42,480 EUR",Audi,A4 Allroad,2.0 45 TFSI,"18,790 km",2022,Petrol,,Crossover,Gray,Borna,195 kW (265 HP),Automatic,https://www.12gebrauchtwagen.de/c/16/1424255234?num_on_page=4&page=45&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"40,680 EUR",Audi,A4 Allroad,2.0 45 TFSI quattro,"13,870 km",2022,Petrol,,Crossover,Gray,Wiesbaden,195 kW (265 HP),Automatic,https://www.12gebrauchtwagen.de/c/16/1424313711?num_on_page=3&page=54&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"63,690 EUR",Audi,Q5,2.0 40 TDI,"3,230 km",2024,Diesel,,Suv,Green,Rain,150 kW (204 HP),Automatic,https://www.instamotion.com/auto/JUM3-KD92-3LX7
"23,800 EUR",Honda,Cr-V,2.0,"108,665 km",2019,Hybrid,,Suv,Red,Iserlohn,137 kW (186 HP),Automatic,https://gebrauchtwagen.hyundai.de/de/fahrzeugsuche/honda/cr-v-20-i-mmd-hybrid-4wd-executive-hud-acc-led/variant-v3c8kydw
