Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"26,512 EUR (10,450,000 HUF)",Kia,Sportage,1.6 GDi,"3,999 km",2023,Petrol,5,Crossover,Silver,Szombathely,110 kW (150 HP),Automatic,https://joautok.hu/hasznaltauto/kia/sportage/gold-150t-my24-kia-sportage-csereauto-keszletrol-elviheto/kcd2zbb/
"24,606 EUR (9,699,000 HUF)",Kia,Xceed,1.6,3 km,2024,Petrol,,Crossover,White,Szombathely,118 kW (160 HP),Automatic,https://www.szalonauto.hu/szemelyauto/kia/xceed/kia_xceed_gold_160t_my24_keszletrol_akar1.77_thm_pvp_finanszirozassal_3_dijmentes_karb-20340499
"25,345 EUR (9,990,000 HUF)",Kia,Sportage,1.6 GDi,3 km,2024,Petrol,,Crossover,Gray,Szombathely,111 kW (151 HP),Manual,https://www.hasznaltauto.hu/szemelyauto/kia/sportage/kia_sportage_essence_edition_150t_limitalt_modell_mar_4.99-os_thm_finanszirozassal_is_marci-19140924#sid=3b67588f-f975-4c3b-b237-9885b5bfecb5
"44,058 EUR (17,366,000 HUF)",Ford,Mustang Mach-E,,610 km,2024,Electric,,Crossover,Green,Szeged,216 kW (294 HP),Automatic,https://www.szalonauto.hu/szemelyauto/ford/mustang/ford_mustang_mach-e_extended_range_premium_automata_extended_range_91kwh_294le_rwd_610_km_hatotav-20454823
"35,549 EUR (14,012,000 HUF)",Ford,Mustang Mach-E,,440 km,2024,Electric,,Crossover,Green,Szeged,197 kW (268 HP),Automatic,https://www.szalonauto.hu/szemelyauto/ford/mustang/ford_mustang_mach-e_standard_range_automata_standard_range_73kwh_269_le_rwd_440_km_hatotav-20454411
"47,671 EUR (18,790,000 HUF)",Volkswagen,Tiguan,2.0 TDI 4Motion,0 km,2024,Diesel,,Crossover,Black,Kisvárda,110 kW (150 HP),Automatic,https://www.szalonauto.hu/szemelyauto/volkswagen/tiguan/volkswagen_tiguan_2.0_tdi_scr_life_4motion_dsg_led_matrix_navi_head_up_elektromos_memorias_bor_terlatas-20410404
"21,539 EUR (8,490,000 HUF)",Citroen,C4,1.2 puretech,2 km,2023,Petrol,,Hatchback,Black,Budaörs,96 kW (131 HP),Automatic,https://joautok.hu/hasznaltauto/citroen/c4/c4-12-puretech-feel-plus-eat8-azonnal-elviheto-egyedi-keszletes-auto-1/0x8g2ad/
"30,419 EUR (11,990,000 HUF)",Volkswagen,T-Cross,1.5 tsi,0 km,2024,Petrol,,Crossover,Cyan,Kisvárda,110 kW (150 HP),Automatic,https://www.szalonauto.hu/szemelyauto/volkswagen/t-cross/volkswagen_t-cross_1.5_tsi_r-line_dsg_150_le_facelift_tisztakek_metal-20410849
"48,178 EUR (18,990,000 HUF)",Volkswagen,Arteon,2.0 TSI,0 km,2024,Petrol,,Coupe,White,Kisvárda,139 kW (189 HP),Automatic,https://www.szalonauto.hu/szemelyauto/volkswagen/arteon/volkswagen_arteon_2.0_tsi_r-line_dsg_190_le_harman_kardon_orix_feher_gyongyhaz-20371078
"30,419 EUR (11,990,000 HUF)",Volkswagen,Taigo,1.5 tsi,0 km,2024,Petrol,,Crossover,Silver,Kisvárda,110 kW (150 HP),Automatic,https://www.szalonauto.hu/szemelyauto/volkswagen/taigo/volkswagen_taigo_1.5_tsi_act_r-line_dsg_150_le_panorama_napfenyteto_digital_cockpit_pro_keszletrol-20267414
