Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"17,240 EUR",Nissan,Leaf,40 kWh,"92,555 km",2019,Electric,Hatchback,Silver,Tilburg,111 kW (151 HP),Automatic,https://www.autoscout24.nl/aanbod/nissan-leaf-tekna-40-kwh-leder-alcantara-propilot-stoel-elektrisch-grijs-8a6f8a17-512f-4662-8015-d4d65e6cb5de,
"21,740 EUR",Nissan,Leaf,e+ 62 kWh,"56,644 km",2019,Electric,Hatchback,Silver,Tilburg,162 kW (220 HP),Automatic,https://www.marktplaats.nl/v/auto-s/nissan/m2080644796-nissan-leaf-e-n-connecta-62-kwh-navigatie-apple-carplay,
"22,445 EUR",Bmw,X1,2.0 sdrive20i,"100,553 km",2015,Petrol,Suv,Silver,Middelburg,137 kW (186 HP),Automatic,https://www.zeelandnet.nl/prikbord/bmw-x1-sdrive20i-chrome-line-trekhaak-panoramadak-navigatie-full-map-leder-stoelverwarming-bi-xenon-sportstoelen-rijklaarprijs/a/6150497,
"21,950 EUR",Nissan,Qashqai,1.2,"59,498 km",2018,Petrol,Crossover,Black,Haarlem,86 kW (117 HP),Automatic,https://usedcars.nissan.nl/nissan-voorraad/voertuigen/nissan/qashqai/automaat-12-acenta-connect/19437964,
"31,900 EUR",Nissan,Juke,1.0 DIG-T,"12,285 km",2023,Petrol,Crossover,White,Middelburg,85 kW (116 HP),Automatic,https://www.zeelandnet.nl/prikbord/nissan-juke-10-dig-t-n-design-navigatie-camera-apple-carplayandroid-auto-19-velgen-cruise-climate-control-rijklaarprijs/a/6156077,
"14,800 EUR",Nissan,Micra,1.0,"58,458 km",2019,Petrol,Mini,Red,Middelburg,75 kW (102 HP),Automatic,https://www.zeelandnet.nl/prikbord/nissan-micra-10-ig-t-n-connecta-apple-carplayandroid-auto-camera-cruise-climate-control-park-sensor-dab-lm-velgen-bluetooth-tel-rijklaarprijs/a/6336921,
"17,695 EUR",Audi,A1,1.0 s tfsi,"70,371 km",2018,Petrol,Mini,White,Middelburg,70 kW (95 HP),Automatic,https://www.zeelandnet.nl/prikbord/audi-a1-sportback-10-tfsi-advance-sport-s-line-navigatie-full-map-cruise-control-park-sensor-climate-control-two-tone-lakkleur-rijklaarprijs/a/6348129,
"20,450 EUR",Nissan,Juke,1.0 DIG-T,"24,864 km",2020,Petrol,Crossover,Red,Harderwijk,87 kW (118 HP),Manual,https://www.autoscout24.nl/aanbod/nissan-juke-1-0-dig-t-acenta-comfort-pack-benzine-rood-38a8ff1c-22f8-46ce-be6e-3209345a699d,
"15,695 EUR",Ford,Focus,1.0 ecoboost titanium,"116,155 km",2019,Petrol,Hatchback,Silver,Raalte,93 kW (126 HP),Manual,https://autovooru.nl/ford-focus~f8-4f8-3c4d11.html,
"9,900 EUR",Nissan,Note,1.2,"145,860 km",2015,Petrol,Mpv,White,Sittard,132 kW (180 HP),Automatic,https://www.autotrader.nl/auto/voertuig/nissan-note-12-dig-s-connect-edition-nav-climate-control-benzine/965c607e-59e4-4060-8183-9616e52591b4/,
