Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"37,981 EUR (439,000 NOK)",Lexus,Ux,300e,"2,000 km",2023,Electric,Crossover,Green,Leknes,152 kW (207 HP),Automatic,https://www.nordvik.no/bruktbil/342158655
"5,969 EUR (69,000 NOK)",Opel,Insignia,2.0 CDTi,"221,400 km",2010,Diesel,Wagon,Black,Jessheim,82 kW (112 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=320859508
"6,055 EUR (69,990 NOK)",Ford,Transit Custom,2.2,"215,000 km",2014,Diesel,Van,White,Ski,75 kW (102 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=344016844
"12,052 EUR (139,305 NOK)",Subaru,Forester,2.0 D,"231,574 km",2013,Diesel,Suv,Black,Tønsberg,109 kW (148 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=343196498
"7,354 EUR (85,000 NOK)",Toyota,Auris,1.4 D-4D,"210,000 km",2014,Diesel,Hatchback,Gray,Hønefoss,67 kW (91 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=337246933
"10,295 EUR (119,000 NOK)",Hyundai,I10,1.0,"26,000 km",2017,Petrol,Mini,White,Stavanger,49 kW (67 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344752766
"21,456 EUR (248,000 NOK)",Bmw,5 Series,520d xDrive,"173,000 km",2016,Diesel,Sedan,Black,Skien,141 kW (192 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344738226
"16,352 EUR (189,000 NOK)",Nissan,Pathfinder,2.5 dci,"115,300 km",2012,Diesel,Suv,Black,Sandnes,141 kW (192 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=342730093
"30,221 EUR (349,305 NOK)",Audi,Q5,2.0,"190,000 km",2017,Diesel,Suv,Silver,Hønefoss,141 kW (192 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344653378
"5,623 EUR (65,000 NOK)",Mini,One,1.6 D,"142,800 km",2011,Diesel,Mini,White,Fredrikstad,67 kW (91 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=344098226
"28,464 EUR (329,000 NOK)",Bmw,5 Series,520d,"107,505 km",2016,Diesel,Wagon,Gray,Sarpsborg,121 kW (165 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=343445826
"47,576 EUR (549,900 NOK)",Mercedes Benz,Glc-Class,,"42,000 km",2022,Electric,Suv,Black,Oslo,236 kW (321 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=339918859
"33,655 EUR (389,000 NOK)",Volvo,Xc60,2.4 D4,"72,750 km",2015,Diesel,Crossover,Gray,Larvik,121 kW (165 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344306253
"60,562 EUR (699,999 NOK)",Bentley,Flying Spur,6.0 W12,"114,000 km",2007,Petrol,Sedan,Black,Drammen,507 kW (690 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=223638903
"14,648 EUR (169,305 NOK)",Volkswagen,Tiguan,2.0 TDI 4Motion,"169,500 km",2013,Diesel,Crossover,Silver,Lillehammer,104 kW (141 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=343722841
"10,382 EUR (119,999 NOK)",Mercedes Benz,E-Class,,"246,000 km",2011,Diesel,Wagon,Blue,Vestby,126 kW (171 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344158210
"5,622 EUR (64,990 NOK)",Volvo,V50,1.6,"209,000 km",2010,Diesel,Wagon,Blue,Skien,81 kW (110 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=341303434
"86,432 EUR (999,000 NOK)",Ford,F Series,3.5,"47,000 km",2021,Petrol,Pickup,Black,Hokksund,340 kW (462 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=327787220
"47,584 EUR (549,990 NOK)",Audi,S7,4.0,"53,175 km",2012,Petrol,Sedan,Black,Hell,313 kW (426 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=337188493
"34,174 EUR (394,999 NOK)",Bmw,7 Series,,"186,911 km",2013,Petrol,Sedan,Gray,Vestby,334 kW (454 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=342469928
"112,465 EUR (1,299,900 NOK)",Mercedes Benz,S-Class,65 AMG,"22,000 km",2015,Petrol,Sedan,Blue,Ski,469 kW (638 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=327691094
"18,541 EUR (214,305 NOK)",Bmw,X1,18d,"157,729 km",2016,Diesel,Suv,Silver,Spydeberg,101 kW (137 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344106012
"10,295 EUR (119,000 NOK)",Volvo,Xc90,2.4 D5 AWD,"198,700 km",2006,Diesel,Suv,Black,Skien,137 kW (186 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=342915824
"41,541 EUR (480,147 NOK)",Bmw,5 Series,,"127,000 km",2018,Diesel,Wagon,White,Oslo,197 kW (268 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=321405180
"28,464 EUR (329,000 NOK)",Mercedes Benz,G-Class,400 CDI,"321,000 km",2001,Diesel,Suv,Silver,Kolbotn,186 kW (253 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=342786013
