Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"55,141 EUR (59,900 USD)",Škoda,Octavia,1.6,"127,000 km",2018,Diesel,Sedan,Silver,Koło,84 kW (114 HP),Automatic,https://automotodeal.pl/osobowe/Skoda-octavia-skoda-octavia-16---115-km---navi---led---tempomat---jak-nowa---smartl.html
"78,155 EUR (84,900 USD)",Volvo,V60,2.0 D3,"56,000 km",2017,Diesel,Wagon,White,Koło,110 kW (150 HP),Automatic,https://automotodeal.pl/v60/volvo-v60-volvo-v60-d3-drive-e-summum---20---150-km---led---xenon---skora---tem.html
"10,954 EUR (11,900 USD)",Honda,Accord,2.4,"152,000 km",2005,Petrol,Sedan,Silver,Łuków,139 kW (189 HP),Automatic,https://automotodeal.pl/vii-2002-2008/honda-accord-24-ivtec-190km-automat-skora-acura-tsx.html
"20,160 EUR (21,900 USD)",Chevrolet,Aveo,1.4,"178,024 km",2011,Petrol,Sedan,Gray,Świebodzin,73 kW (99 HP),Manual,https://automotodeal.pl/aveo/chevrolet-aveo-14-100km-klimatyzacja-tempomat-1-reka-ks-serwisowa.html
"184,019 EUR (199,900 USD)",Audi,Q7,3.0,"78,759 km",2017,Diesel,Suv,Gray,Gdańsk,160 kW (218 HP),Automatic,https://automotodeal.pl/q7/audi-q7-psalon-vat-23procent-aso-led-matrix-quattro-alcantara-kamera-el-fot.html
"59,744 EUR (64,900 USD)",Renault,Talisman,1.6,"135,794 km",2016,Diesel,Sedan,Blue,Gdańsk,95 kW (129 HP),Automatic,https://automotodeal.pl/talisman/renault-talisman-psalon-vat23procent-asyst-pasa-led-navi-kamera-cz-park-360-klima.html
"22,093 EUR (24,000 USD)",Mercedes Benz,B-Class,200,"171,000 km",2007,Petrol,Hatchback,Black,Gdynia,99 kW (135 HP),Manual,https://automotodeal.pl/osobowe/mercedes-b-200-special-edition---automat---skora---gwarancja-raty-zamiana.html
"52,471 EUR (57,000 USD)",Mazda,Cx-5,2.5,"157,000 km",2014,Petrol,Crossover,White,Gdynia,134 kW (182 HP),Automatic,https://automotodeal.pl/cx-5/mazda-cx-5-25-awd-skyactive-skora-automat-navi-kamera-gwarancja-raty-zamiana.html
"32,218 EUR (34,999 USD)",Peugeot,508,2.0 HDi,"170,000 km",2012,Diesel,Sedan,White,Gdańsk,102 kW (139 HP),Manual,https://automotodeal.pl/508/peugeot-508-20hdi-navigacja-gps--head-up-panorama-1-wl-1-rok-gwarancji-zamiana.html
"26,604 EUR (28,900 USD)",Mazda,Cx-7,2.3,"150,000 km",2008,Petrol,Suv,Black,Grodzisk Mazowiecki,191 kW (260 HP),Automatic,https://automotodeal.pl/cx-7/mazda-cx-7-tylko-150tyskm-doinwestowana-xenon--skora--polecam-260hp.html
"114,609 EUR (124,500 USD)",Subaru,Impreza Sti,,"92,000 km",2017,Petrol,Sedan,White,Chełm,220 kW (299 HP),Automatic,https://automotodeal.pl/subaru/subaru-wrx-sti.html
"69,870 EUR (75,900 USD)",Volvo,V60,2.0 D3,"135,000 km",2017,Diesel,Wagon,White,Koło,110 kW (150 HP),Automatic,https://automotodeal.pl/v60/volvo-v60-volvo-v60-d3-drive-e-summum---20---150-km---led---xenon---skora---tem671233223.html
"59,835 EUR (64,999 USD)",Audi,Q3,2.0 TDI,"169,000 km",2012,Diesel,Crossover,Black,Gdańsk,130 kW (177 HP),Manual,https://automotodeal.pl/q3/audi-q3-20tdi-auts-line177km-ledy-bi-xenon-skora-czarny-sufit-1rok-gwarancji.html
"147,197 EUR (159,900 USD)",Bmw,5 Series,,"94,318 km",2017,Diesel,Sedan,Gray,Gdańsk,139 kW (189 HP),Automatic,https://automotodeal.pl/bmw/bmw-520-vat-23procent-bi-xenon-led-skory-el-fotele.html
"114,609 EUR (124,500 USD)",Renault,Espace,1.6,"12,550 km",2018,Diesel,Mpv,Black,Aleksandrów Łódzki,117 kW (159 HP),Automatic,https://automotodeal.pl/v-2015-/renault-espace-tylko-12-tys-km-initiale-paris-edc-7-osobhead-uppanoramakamera-pl.html
