Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"9,850 EUR",Alfa Romeo,Giulietta,1.6 JTDm,"184,394 km",2012,Diesel,Hatchback,Black,Maia,78 kW (106 HP),Manual,https://www.motores24h.pt/alfa-romeo-giulietta-1.6-jtdm-progression-carro-65b7cfd71126f40d7ed547c7/
"15,480 EUR",Seat,Leon,1.6 TDI,"137,000 km",2019,Diesel,Hatchback,Black,Viseu,86 kW (117 HP),Manual,https://www.motores24h.pt/seat-leon-st-1.6-tdi-style-s-s-carro-655f66201126f4e164ff67b1/
"22,800 EUR",Bmw,4 Series,,"159,772 km",2014,Diesel,Coupe,Gray,Maia,137 kW (186 HP),Automatic,https://www.motores24h.pt/bmw-serie-4-420-d-xdrive-l.luxury-auto-carro-65d620ac1126f43c797b3240/
"14,900 EUR",Renault,Megane,1.5 dCi,"117,635 km",2017,Diesel,Coupe,Gray,Maia,82 kW (112 HP),Manual,https://www.motores24h.pt/renault-megane-1.5-dci-intens-carro-6595469e1126f4b664196e79/
"12,450 EUR",Nissan,Leaf,Tekna,"38,000 km",2017,Electric,Hatchback,White,Viseu,81 kW (110 HP),Automatic,https://www.motores24h.pt/nissan-leaf-tekna-30-kwh-carro-647b142e1126f45e1fc93e13/
"11,750 EUR",Bmw,1 Series,116d,"165,000 km",2011,Diesel,Coupe,Black,Viseu,86 kW (117 HP),Manual,https://www.motores24h.pt/bmw-serie-1-116-d-carro-65c265f11126f4f77b0b49ac/
"14,800 EUR",Bmw,1 Series,118d,"155,267 km",2012,Diesel,Coupe,Black,Maia,106 kW (144 HP),Manual,https://www.motores24h.pt/bmw-serie-1-118-d-pack-m-carro-659541a01126f4bf54196e7b/
"49,499 EUR",Porsche,Macan,2.0,"105,000 km",2018,Petrol,Suv,Gray,Viseu,187 kW (254 HP),Manual,https://www.motores24h.pt/porsche-macan-carro-64524f5f1126f43c18e869f4/
"10,200 EUR",Peugeot,508,2.0 HDi,"264,000 km",2012,Diesel,Sedan,Black,Leiria,121 kW (165 HP),Automatic,https://www.motores24h.pt/peugeot-508-sw-2.0-hdi-allure-am6-carro-6596afa51126f48b47bc866a/
"12,650 EUR",Volvo,V40,1.6,"201,023 km",2014,Diesel,Wagon,White,Setúbal,85 kW (116 HP),Manual,https://www.motores24h.pt/volvo-v40-1.6-d2-kinetic-carro-65bce9bc1126f4a64d211749/
"19,950 EUR",Renault,Zoe,ZE 50,"30,000 km",2020,Electric,Mini,White,Sintra,81 kW (110 HP),Automatic,https://www.motores24h.pt/renault-zoe-limited-ze-50-r110-carro-65a81c681126f497462f4616/
"6,850 EUR",Alfa Romeo,Mito,1.2 JTD,"212,000 km",2012,Diesel,Hatchback,Gray,Porto,70 kW (95 HP),Manual,https://www.motores24h.pt/alfa-romeo-mito-1.3-jtd-progression-5kq-carro-65b041f61126f46f03db571a/
"8,650 EUR",Mercedes Benz,Slk-Class,200,"125,000 km",1999,Petrol,Convertible,Blue,Vila Nova De Gaia,101 kW (137 HP),Manual,https://www.motores24h.pt/mercedes-classe-slk-200-carro-65d5d5401126f46a67b6f10f/
"3,990 EUR",Ford,Maverick,2.8,"260,000 km",1994,Petrol,Suv,Gray,Tomar,74 kW (101 HP),Manual,https://www.motores24h.pt/ford-maverick-2.7-td-glx-carro-4f2a6aa973143a036a9f0100/
"6,000 EUR",Renault,Twingo,1.2,"70,000 km",2012,Petrol,Mini,White,Sintra,55 kW (75 HP),Manual,https://www.motores24h.pt/renault-twingo-1.2-16v-city-carro-5d52cd971126f4636f6cae34/
"2,290 EUR",Fiat,Bravo,1.2,"84,000 km",1999,Petrol,Hatchback,Green,Tomar,59 kW (80 HP),Manual,https://www.motores24h.pt/fiat-bravo-1.2-16v-80cv-carro-4f32a82673143a86132e0000/
"22,000 EUR",Kia,Niro,ev,"155,500 km",2021,Electric,Suv,,Faro,,Automatic,https://www.carros.com/car/e30f98b676d842d09e9e62e0f2edf33c-p63742/
"54,500 EUR",Hyundai,Ioniq,,"11,000 km",2023,Electric,Sedan,Gray,Porto,77 kW (105 HP),,https://auto.sapo.pt/carro-usado/65943bfd0877a4c0bf566797/hyundai-ioniq-6-premium-77kw-my23
"59,900 EUR",Hyundai,Ioniq,,"5,520 km",2023,Electric,Sedan,Gray,Porto,77 kW (105 HP),,https://auto.sapo.pt/carro-usado/65943bf00877a4c0bf566761/hyundai-ioniq-6-vanguard-77kw-my23
"11,950 EUR",Volkswagen,Polo,1.4 TDI,"193,398 km",2017,Diesel,Hatchback,White,Lousada,,Manual,https://auto.sapo.pt/carro-usado/650b03142650b6b2b498f705/volkswagen-polo-14-tdi-confortline-absac
"22,750 EUR",Nissan,Qashqai,1.3 DIG-T,"44,000 km",2019,Petrol,Crossover,Black,Porto,104 kW (141 HP),Manual,https://www.abmotor.pt/carros/Nissan/Qashqai/484835/
"11,900 EUR",Volkswagen,Beetle,1.4,"68,183 km",2009,Petrol,Convertible,White,Sobreda,,Manual,https://auto.sapo.pt/carro-usado/65f42bd0f21d0694bdbaeffe/volkswagen-new-beetle-cabrio-14-top-couro
"13,950 EUR",Citroen,C3,1.2 puretech,"61,000 km",2020,Petrol,Hatchback,Gray,Porto,61 kW (83 HP),Manual,https://www.abmotor.pt/carros/Citro%C3%ABn/C3/484447/
"35,500 EUR",Toyota,86,,"50,395 km",2016,Petrol,Coupe,White,Loures,,Manual,https://auto.sapo.pt/carro-usado/6516f7aaeb776ee0aee37fa9/toyota-gt86-20d-4s-sportgps
"38,900 EUR",Toyota,Proace,1.5,"126,078 km",2021,Diesel,Van,White,Queluz,89 kW (121 HP),Manual,https://www.abmotor.pt/carros/Toyota/Proace%20verso/478142/
"10,990 EUR",Volkswagen,Polo,1.4,"118,534 km",2016,Diesel,Hatchback,White,Lisboa,55 kW (75 HP),Manual,https://auto.sapo.pt/carro-usado/65df7de415151c763e07f32c/volkswagen-polo
"16,490 EUR",Seat,Arona,1.6 TDI,"104,151 km",2018,Diesel,Crossover,Gray,Lisboa,70 kW (95 HP),Manual,https://www.abmotor.pt/carros/Seat/Arona/483952/
"26,750 EUR",Bmw,X3,D,"210,000 km",2015,Diesel,Suv,Black,Lisboa,141 kW (192 HP),Automatic,https://auto.sapo.pt/carro-usado/653787164a42a62f58ddc53f/bmw-x3
"13,900 EUR",Citroen,C4 Cactus,1.6,"139,138 km",2015,Diesel,Hatchback,Blue,Sintra,68 kW (92 HP),Automatic,https://auto.sapo.pt/carro-usado/654fa1264b6c32f3a9d590bb/citroen-c4-cactus-16-e-hdi-shine-etg6
"19,900 EUR",Mazda,Cx-3,1.8 SKYACTIV-D,"62,825 km",2019,Diesel,Crossover,Red,Sintra,85 kW (116 HP),Manual,https://auto.sapo.pt/carro-usado/656efbd47857693ab59c1db1/mazda-cx-3-15-skyactiv-d-excellence-navi
"17,990 EUR",Seat,Leon,1.0,"33,000 km",2020,Petrol,Hatchback,Blue,Braga,85 kW (116 HP),Manual,https://auto.sapo.pt/carro-usado/65e19cdc7c1b958679a594d7/seat-leon-10-ecotsi-style-ss
