Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"21,890 EUR",Jaguar,F-Pace,2.0,"123,009 km",2016,Diesel,Crossover,Red,Madrid,134 kW (182 HP),Automatic,https://coches.km77.com/jaguar/f-pace/en-madrid/2369588/se-vende-jaguar-f-pace-20i4d-r-sport-aut-awd-180-2016-21890-eur
"14,495 EUR",Peugeot,2008,1.2 puretech,"81,000 km",2017,Petrol,Crossover,Gray,Valencia,100 kW (136 HP),Manual,https://coches.km77.com/peugeot/2008/en-valencia/2300807/se-vende-peugeot-2008-allure-12-puretech-81kw-110cv-ss-2017-14495-eur
"7,490 EUR",Fiat,500,1.4,"100,585 km",2009,Petrol,Mini,Orange,Madrid,74 kW (101 HP),Manual,https://coches.km77.com/fiat/500/en-madrid/2369531/se-vende-fiat-500-14-lounge-2009-7490-eur
"22,300 EUR",Jeep,Renegade,1.6 Limited,"64,433 km",2021,Diesel,Crossover,Gray,Vélez Málaga,130 kW (177 HP),Manual,https://coches.km77.com/jeep/renegade/en-malaga/2325511/se-vende-jeep-renegade-16-mjet-956kw-130cv-4x2-limited-2021-22300-eur
"18,695 EUR",Ford,Puma,1.0 EcoBoost,"47,881 km",2020,Hybrid,Crossover,Blue,Valencia,125 kW (170 HP),Manual,https://coches.km77.com/ford/puma/en-valencia/2372862/se-vende-ford-puma-10-ecoboost-92kw-125cv-mhev-titanium-2020-18695-eur
"9,990 EUR",Hyundai,Santa Fe,2.2 CRDi,"174,051 km",2009,Diesel,Suv,Black,Madrid,115 kW (156 HP),Manual,https://coches.km77.com/hyundai/santa-fe/en-madrid/2369532/se-vende-hyundai-santa-fe-22crdi-comfort-f-5pl-2009-9990-eur
"19,495 EUR",Peugeot,2008,1.2 puretech,"29,049 km",2020,Petrol,Crossover,Gray,Madrid,130 kW (177 HP),Manual,https://coches.km77.com/peugeot/2008/en-madrid/2362050/se-vende-peugeot-2008-puretech-130-ss-bvm6-allure-2020-19495-eur
"15,495 EUR",Peugeot,2008,1.2 puretech,"103,215 km",2021,Petrol,Crossover,White,Valencia,100 kW (136 HP),Manual,https://coches.km77.com/peugeot/2008/en-valencia/2371980/se-vende-peugeot-2008-active-pack-puretech-100-ss-bvm6-2021-15495-eur
"19,995 EUR",Peugeot,3008,1.5 bluehdi,"92,817 km",2021,Diesel,Crossover,White,Valencia,130 kW (177 HP),Manual,https://coches.km77.com/peugeot/3008/en-valencia/2338028/se-vende-peugeot-3008-15-bluehdi-96kw-130cv-ss-active-2021-19995-eur
"17,995 EUR",Audi,A1,1.0 25 TFSI,"59,647 km",2019,Petrol,Mini,Blue,Valencia,95 kW (129 HP),Manual,http://tuad.es/audi-a1--sportback--25-tfsi-70kw-95cv-advanced-15044097
"21,500 EUR",Opel,Mokka,1.2,"9,278 km",2023,Petrol,Crossover,Gray,La Estrella,100 kW (136 HP),Manual,https://coches.km77.com/opel/mokka/en-sevilla/2363341/se-vende-opel-mokka-12-t-74kw-100-cv-business-elegance-2023-21500-eur
"34,895 EUR",Land Rover,Evoque,2.0,"44,845 km",2020,Diesel,Suv,White,Valencia,111 kW (151 HP),Automatic,https://coches.km77.com/land-rover/range-rover-evoque/en-valencia/2294350/se-vende-land-rover-range-rover-evoque-20-d150-r-dynamic-se-auto-4wd-mhev-2020-34895-eur
"30,495 EUR",Peugeot,3008,1.5 bluehdi,22 km,2022,Electric,Crossover,White,Valencia,130 kW (177 HP),Manual,https://coches.km77.com/peugeot/3008/en-valencia/2329423/se-vende-peugeot-3008-15-bluehdi-96kw-130cv-ss-active-pack-2022-30495-eur
"10,890 EUR",Smart,Forfour,1.0,"41,787 km",2015,Petrol,Hatchback,Silver,Madrid,71 kW (97 HP),Manual,https://coches.km77.com/smart/forfour/en-madrid/2360975/se-vende-smart-forfour-52-proxy-2015-10890-eur
"16,990 EUR",Toyota,Yaris,1.5 S,"23,564 km",2022,Petrol,Sedan,White,Majadahonda,92 kW (125 HP),Manual,https://coches.km77.com/toyota/yaris/en-madrid/2388987/se-vende-toyota-yaris-125-s-edition-2022-16990-eur
"15,950 EUR",Ford,Puma,1.0 EcoBoost,"86,000 km",2021,Petrol,Crossover,Black,Ademuz,125 kW (170 HP),Manual,https://coches.km77.com/ford/puma/en-madrid/2350041/se-vende-ford-puma-10-ecoboost-92kw-125cv-titanium-2021-15950-eur
"29,900 EUR",Cupra,Formentor,1.5 tsi,"8,329 km",2022,Petrol,Crossover,Gray,Sabadell,111 kW (151 HP),Automatic,https://coches.km77.com/cupra/formentor/en-barcelona/2318043/se-vende-cupra-formentor-15-tsi-110kw-150-cv-dsg-2022-29900-eur
"12,499 EUR",Škoda,Octavia,2.0 TDI,"199,000 km",2020,Diesel,Sedan,Gray,Madrid,150 kW (204 HP),Automatic,https://coches.km77.com/skoda/octavia/en-madrid/2347410/se-vende-skoda-octavia-20-tdi-cr-110kw-150cv-dsg-ambition-2020-12499-eur
"28,995 EUR",Bmw,X3,sDrive18d,"86,772 km",2018,Diesel,Suv,White,Tijarafe,243 kW (330 HP),Automatic,https://coches.km77.com/bmw/x3/en-las-palmas/2338082/se-vende-bmw-x3-sdrive18d-2018-28995-eur
"9,950 EUR",Bmw,5 Series,520d,"252,000 km",2013,Diesel,Wagon,Gray,Ademuz,183 kW (249 HP),Manual,https://coches.km77.com/bmw/5-series/en-madrid/2348846/se-vende-bmw-5-series-520d-touring-2013-9950-eur
"18,595 EUR",Mazda,Cx-3,1.8,"103,854 km",2019,Diesel,Crossover,Blue,Valencia,85 kW (116 HP),Automatic,https://coches.km77.com/mazda/cx-3/en-valencia/2332235/se-vende-mazda-cx-3-18-d-zenith-2wd-at-85-kw-115-cv-2019-18595-eur
"18,950 EUR",Kia,Stonic,1.0 T-GDi,500 km,2021,Hybrid,Crossover,Red,Ademuz,119 kW (162 HP),Manual,https://coches.km77.com/kia/stonic/en-madrid/2388041/se-vende-kia-stonic-10-t-gdi-88kw-120cv-mhev-imt-drive-2021-18950-eur
"19,995 EUR",Opel,Insignia,1.5,"24,708 km",2020,Petrol,Sedan,Black,Madrid,122 kW (166 HP),Automatic,https://coches.km77.com/opel/insignia/en-madrid/2374791/se-vende-opel-insignia-gs-15d-dvh-90kw-at8-business-elegance-2020-19995-eur
"12,250 EUR",Kia,Sportage,1.7 CRDi,"113,000 km",2014,Diesel,Crossover,White,Madrid,115 kW (156 HP),Manual,https://coches.km77.com/kia/sportage/en-madrid/2350045/se-vende-kia-sportage-17-crdi-vgt-concept-4x2-2014-12250-eur
"22,850 EUR",Bmw,X1,sDrive16d,"67,000 km",2020,Diesel,Suv,Gray,Madrid,141 kW (192 HP),Automatic,https://coches.km77.com/bmw/x1/en-madrid/2367571/se-vende-bmw-x1-sdrive16d-2020-22850-eur
"23,850 EUR",Bmw,X3,sDrive18d,"118,000 km",2019,Diesel,Suv,Black,Ademuz,111 kW (151 HP),Manual,https://coches.km77.com/bmw/x3/en-madrid/2346814/se-vende-bmw-x3-sdrive18d-2019-23850-eur
"8,999 EUR",Ford,Focus,1.5 TDCi,"189,000 km",2017,Diesel,Wagon,Beige,Madrid,120 kW (163 HP),Automatic,https://coches.km77.com/ford/focus/en-madrid/2339308/se-vende-ford-focus-sportbreak-titanium-15-tdci-120cv-at6-2017-8999-eur
"22,850 EUR",Bmw,X2,sDrive18d,"117,000 km",2019,Diesel,Suv,Black,Ademuz,111 kW (151 HP),Manual,https://coches.km77.com/bmw/x2/en-madrid/2367561/se-vende-bmw-x2-sdrive18d-2019-22850-eur
"18,250 EUR",Jeep,Compass,1.3,"99,950 km",2021,Petrol,Crossover,Black,Bormujos,149 kW (203 HP),Automatic,https://coches.km77.com/jeep/compass/en-madrid/2339731/se-vende-jeep-compass-13-gse-110kw-150cv-limited-ddct-4x2-2021-18250-eur
"18,450 EUR",Jeep,Compass,1.3,"95,000 km",2021,Petrol,Crossover,Black,Ademuz,149 kW (203 HP),Automatic,https://coches.km77.com/jeep/compass/en-madrid/2346824/se-vende-jeep-compass-13-gse-110kw-150cv-limited-ddct-4x2-2021-18450-eur
"18,850 EUR",Jeep,Compass,1.3,"88,000 km",2021,Petrol,Crossover,Black,Ademuz,149 kW (203 HP),Automatic,https://coches.km77.com/jeep/compass/en-madrid/2346823/se-vende-jeep-compass-13-gse-110kw-150cv-limited-ddct-4x2-2021-18850-eur
