Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"699,000 EUR",Volvo,Xc90,2.0,"37,420 km",2022,Diesel,Suv,Silver,Svarta,173 kW (235 HP),Semi Automatic,https://www.bytbil.com/jamtlands-lan/personbil-xc90-r-design-pro-ed-b5-235-hk-awd-bw-se-spec-moms-5031-17528745
"13,220 EUR (149,800 SEK)",Hyundai,Ix35,1.6 GDi,"109,820 km",2014,Petrol,Crossover,Black,Vallentuna,123 kW (167 HP),Automatic,https://bilweb.se/stockholms-lan/hyundai-ix35-go-2-0-gdi-awd-automat-pano-b-kamera-navi-2014-suv-10731853
"33,449 EUR (379,000 SEK)",Bmw,X6,xDrive30d,"100,000 km",2015,Diesel,Suv,Black,Eskilstuna,190 kW (258 HP),Automatic,https://www.blocket.se/annons/1001042692
"50,297 EUR (569,900 SEK)",Audi,A7,4.0 TFSI,"110,000 km",2015,Petrol,Sedan,White,Landvetter,412 kW (560 HP),Automatic,https://www.bytbil.com/vastra-gotalands-lan/personbil-a7-rs7-4-0-tfsi-v8-quattro-taklucka-bo-hud-se-spec-7869-17518150
"9,258 EUR (104,900 SEK)",Mercedes Benz,C-Class,,"193,000 km",2024,Diesel,Sedan,Silver,Karlstad,200 kW (272 HP),Automatic,https://www.bytbil.com/varmlands-lan/personbil-c-350-7g-avantgarde-pano-harman-kardon-gps-drag-9574-17335444
"389,900 EUR",Bmw,5 Series,530e,"37,990 km",2023,Hybrid,Sedan,Black,Svarta,135 kW (184 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-530e-iperformance-m-sport-pano-h-k-b-kamera-navi-252hk-11518-17444254
"849,900 EUR",Bmw,X5,,"28,000 km",2024,Hybrid,Suv,Blue,Knivsta,210 kW (286 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-x5-xdrive45e-iperformance-m-sport-superdeal-6-95-394hk-100537-17483512
"48,453 EUR (549,000 SEK)",Bmw,7 Series,740d,"57,000 km",2018,Diesel,Sedan,Black,Vallentuna,235 kW (320 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-740-d-xdrive-limousine-m-sport-laser-hud-h-k-pano-se-utr-9042-17590009
"11,023 EUR (124,900 SEK)",Nissan,Qashqai,1.6,"189,760 km",2014,Diesel,Crossover,White,Kalmar,96 kW (131 HP),Automatic,https://www.bytbil.com/kalmar-lan/personbil-qashqai-1-6-dci-130hk-xtronic-cvt-panorama-360-8570-17514165
"29,998 EUR (339,900 SEK)",Bmw,X4,xDrive30d,"100,510 km",2017,Diesel,Suv,White,Bro,190 kW (258 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-x4-xdrive30d-m-sport-258hk-head-up-taklucka-seutrustn-10008-17541148
"9,699 EUR (109,900 SEK)",Volvo,V70,2.5 D5,"276,000 km",2012,Diesel,Wagon,Silver,Karlstad,160 kW (218 HP),Automatic,https://bilweb.se/varmlands-lan/volvo-v70-d5-geartronic-momentum-ocean-race-euro5-voc-2012-kombi-10666568
"46,767 EUR (529,900 SEK)",Audi,Sq5,3.0 TDI,"96,010 km",2019,Diesel,Suv,Black,Falun,255 kW (347 HP),Automatic,https://www.bytbil.com/dalarnas-lan/personbil-sq5-tdi-s-tronic-evolution-bo-pano-full-utrustad-347hk-5980-17536084
"34,773 EUR (394,000 SEK)",Lexus,Rx,450h,"98,490 km",2017,Hybrid,Suv,Black,Stockholm,233 kW (317 HP),Automatic,https://www.blocket.se/annons/1001055390
"374,900 EUR",Volvo,Xc60,2.0 T8 AWD,230 km,2024,Hybrid,Crossover,White,Karlstad,235 kW (320 HP),Automatic,https://www.bytbil.com/varmlands-lan/personbil-xc60-t8-twen-awd-r-design-bw-360k-pano-drag-hud-22-9574-17560481
"369,900 EUR",Bmw,5 Series,530e,"74,890 km",2023,Hybrid,Sedan,White,Uppsala,135 kW (184 HP),Automatic,https://www.bytbil.com/uppsala-lan/personbil-530e-iperformance-steptronic-m-sport-252hk-navi-se-spec-7032-16721453
"13,671 EUR (154,900 SEK)",Volvo,V70,2.4,"149,850 km",2012,Diesel,Wagon,White,Växjö,158 kW (215 HP),Automatic,https://www.bytbil.com/kronobergs-lan/personbil-v70-d5-summum-geartronic-215hk-6-99-7784-17568891
"18,083 EUR (204,900 SEK)",Bmw,X6,xDrive40d,"213,660 km",2013,Diesel,Suv,Black,Svarta,225 kW (306 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-x6-xdrive40d-steptronic-taklucka-bluetooth-gps-m-sport-10823-17297593
"33,528 EUR (379,900 SEK)",Hyundai,Kona,1.6 hybrid,"6,800 km",2023,Hybrid,Crossover,Black,Ljungby,77 kW (105 HP),Automatic,https://www.bytbil.com/kronobergs-lan/personbil-kona-hybrid-1-6-dct-n-line-techpaket-bose-2112-17570930
"7,051 EUR (79,900 SEK)",Lexus,Gs,300,"245,000 km",2005,Petrol,Sedan,Silver,Helsingborg,183 kW (249 HP),Automatic,https://www.bytbil.com/skane-lan/personbil-gs-300-3-0-v6-nybes-gps-backkamera-executive-mm-9663-17597792
"629,900 EUR",Audi,Q7,3.0 tfsi,"34,900 km",2023,Hybrid,Suv,Black,Are,250 kW (340 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-q7-55-tfsi-e-q-navi-cockpit-lader-drag-luftfjadr-matrix-11518-17394640
"7,493 EUR (84,900 SEK)",Volvo,S40,2.0,"228,500 km",2011,Diesel,Sedan,White,Stockholm,110 kW (150 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-s40-d3-automat-150hk-classic-980kr-man-taklucka-10447-17571429
"12,788 EUR (144,900 SEK)",Volkswagen,Touareg,3.0 TDI V6,"240,000 km",2011,Diesel,Suv,Black,Halmstad,180 kW (245 HP),Automatic,https://www.bytbil.com/hallands-lan/personbil-touareg-3-0-v6-tdi-4motion-premium-panorama-1892-17502219
"549,900 EUR",Volvo,Xc60,2.0 Recharge T6,"62,000 km",2024,Hybrid,Crossover,White,Stockholm,186 kW (253 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-xc60-recharge-t6-awd-r-design-pano-drag-navi-hk-voc-100311-17467851
"6,089 EUR (69,000 SEK)",Volkswagen,Polo,1.1,"180,010 km",2024,Petrol,Hatchback,White,Uppsala,63 kW (86 HP),Manual,https://www.bytbil.com/uppsala-lan/personbil-polo-5-dorrar-1-4-comfortline-euro-5-8925-17504353
"379,900 EUR",Mercedes Benz,E-Class,,"63,490 km",2019,Diesel,Sedan,White,Stockholm,135 kW (184 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-e-200-euro-6-widescreen-ambient-light-360k-9543-17492339
