Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Ford,Mustang,5.0,2020,Petrol,Coupe,Red,Salzburg,Automatic,https://www.zweispurig.at/ford-mustang-gebrauchtwagen-benzin-rot-salzburg/details-1187847,56890,25800,335.0,6,Austria
Alfa Romeo,Tonale,1.3,2024,Hybrid,Crossover,Red,Amstetten,Automatic,https://www.zweispurig.at/alfa-romeo-tonale-vorfuehrwagen-elektrobenzin-hybrid-rot-niederoesterreich/details-1230352,59940,10,208.0,6,Austria
Audi,Q5,2.0 40 TDI quattro,2023,Diesel,Suv,Black,Eisenstadt,Automatic,https://www.dasweltauto.at/vehicle/20311634,74900,12600,152.0,6,Austria
Mitsubishi,Pajero,3.2 did,2013,Diesel,Suv,White,Stockerau,Automatic,https://www.zweispurig.at/mitsubishi-pajero-gebrauchtwagen-diesel-weiss-niederoesterreich/details-1246748,24990,149900,149.0,5,Austria
Lexus,Nx,300h,2021,Petrol,Suv,Black,Enns,Automatic,https://www.zweispurig.at/lexus-nx-gebrauchtwagen-benzin-schwarz-steiermark/details-1233645,40500,27726,146.0,6,Austria
Audi,A5,2.0 tfsi,2010,Petrol,Convertible,Black,Leoben,Automatic,https://www.zweispurig.at/audi-a5-gebrauchtwagen-benzin-schwarz-steiermark/details-1240337,17900,83000,134.0,5,Austria
Alfa Romeo,Stelvio,2.0,2017,Diesel,Crossover,Gray,Amstetten,Automatic,https://www.zweispurig.at/alfa-romeo-stelvio-gebrauchtwagen-diesel-grau-niederoesterreich/details-1230343,28940,105323,155.0,6,Austria
Opel,Mokka,1.7,2015,Diesel,Crossover,White,Braunau Am Inn,Manual,https://www.zweispurig.at/opel-mokka-gebrauchtwagen-diesel-weiss-oberoesterreich/details-1167057,12499,77000,97.0,6,Austria
Mercedes Benz,C-Class,180,2021,Diesel,Wagon,Red,Eisenstadt,Automatic,https://www.dasweltauto.at/vehicle/20311602,29900,76910,90.0,6,Austria
Land Rover,Evoque,2.0,2017,Diesel,Suv,Gray,Graz,Automatic,https://www.zweispurig.at/land-rover-range-rover-evoque-gebrauchtwagen-diesel-grau-steiermark/details-1245432,27590,102900,134.0,6,Austria
Ford,S-Max,2.0 EcoBlue,2020,Diesel,Mpv,White,Telfs,Manual,https://www.zweispurig.at/ford-s-max-gebrauchtwagen-diesel-weiss-tirol/details-1189651,24987,108200,111.0,6,Austria
Volkswagen,Sharan,2.0 TDI,2013,Diesel,Van,Gray,Braunau Am Inn,Manual,https://www.zweispurig.at/vw-sharan-gebrauchtwagen-diesel-grau-oberoesterreich/details-1199590,15499,182000,104.0,5,Austria
Volkswagen,Transporter,2.0,2023,Diesel,Van,Black,Graz,Automatic,https://www.dasweltauto.at/vehicle/40417542,83900,56067,152.0,6,Austria
Bmw,X5,xDrive30d,2022,Diesel,Suv,Black,Leoben,Automatic,https://www.zweispurig.at/bmw-x5-gebrauchtwagen-diesel-schwarz-steiermark/details-1238156,65990,99800,213.0,6,Austria
Volkswagen,Touran,1.5 tsi,2018,Petrol,Mpv,Gray,Steyr,Automatic,https://www.dasweltauto.at/vehicle/31306893,24490,88713,111.0,6,Austria
Ford,Ecosport,1.0,2020,Petrol,Suv,White,Hollabrunn,Manual,https://www.zweispurig.at/ford-ecosport-gebrauchtwagen-benzin-weiss-niederoesterreich/details-1220094,16990,29975,93.0,6,Austria
Porsche,Cayenne,3.0 diesel,2011,Diesel,Suv,Black,Braunau Am Inn,Automatic,https://www.zweispurig.at/porsche-cayenne-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1217220,25999,256000,182.0,5,Austria
Volkswagen,Passat,2.0 TDI SCR,2019,Diesel,Wagon,Black,Wels,Automatic,https://www.dasweltauto.at/vehicle/4633600081,18990,77167,111.0,6,Austria
Alfa Romeo,Giulietta,1.4,2012,Petrol,Sedan,Red,Linz,Automatic,https://www.zweispurig.at/alfa-romeo-giulietta-gebrauchtwagen-benzin-rot-oberoesterreich/details-1205801,7990,166300,126.0,5,Austria
Bmw,X3,D,2005,Diesel,Suv,Silver,Linz,Automatic,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-silber-oberoesterreich/details-1220739,9900,179000,162.0,4,Austria
Audi,A5,2.0 35 TDI S tronic,2020,Diesel,Sedan,Black,Steyr,Automatic,https://www.zweispurig.at/audi-a5-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1195112,32999,120000,121.0,6,Austria
Audi,Tt,2.0 45 TFSI quattro,2019,Petrol,Convertible,Black,Salzburg,Automatic,https://www.zweispurig.at/audi-tt-gebrauchtwagen-benzin-schwarz-salzburg/details-1211798,44890,15142,182.0,6,Austria
Ford,Mondeo,2.0 TDCi,2018,Diesel,Wagon,Gray,Steyr,Automatic,https://www.gebrauchtwagen.at/fahrzeuge/ford-mondeo-business-plus-2-0-tdci-aut-led-navi-diesel/106f11e7-427c-42f8-81e0-9614a5cb44d8,17850,107000,111.0,6,Austria
Ford,Mondeo,2.0 TDCi,2018,Diesel,Wagon,White,Steyr,Automatic,https://www.gebrauchtwagen.at/fahrzeuge/ford-mondeo-traveller-2-0-tdci-aut-led-navi-pdc-diesel/b281dd27-93a3-4e09-88e9-9b8d91a44f89,17850,105000,111.0,6,Austria
Volkswagen,Sharan,2.0 TDI,2015,Diesel,Van,Brown,Schwechat,Automatic,https://www.zweispurig.at/vw-sharan-gebrauchtwagen-diesel-braun-niederoesterreich/details-1235741,18999,180000,104.0,6,Austria
Volkswagen,Sharan,2.0 TDI,2015,Diesel,Van,Black,Salzburg,Automatic,https://www.zweispurig.at/vw-sharan-gebrauchtwagen-diesel-schwarz-salzburg/details-1191700,18450,159000,111.0,6,Austria
Honda,Hr-V,1.5 VTEC Turbo,2020,Petrol,Crossover,Gray,Wels,Automatic,https://www.zweispurig.at/honda-hr-v-gebrauchtwagen-benzin-grau-oberoesterreich/details-1243911,23990,20000,135.0,6,Austria
Dacia,Lodgy,1.2 TCe,2021,Petrol,Mpv,White,Wien,Manual,https://www.zweispurig.at/dacia-lodgy-gebrauchtwagen-benzin-weiss-wien/details-1239153,14880,15537,97.0,6,Austria
Volkswagen,Sharan,2.0 TDI,2016,Diesel,Van,Silver,Linz,Manual,https://www.dasweltauto.at/vehicle/35002711,22690,123924,111.0,6,Austria
