Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Audi,A1,1.0 25 TFSI,2022,Petrol,Mini,Gray,Genk,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a1-essence-0559683/,23990,36854,70.0,6,Belgium
Audi,A1,1.0 25 TFSI,2022,Petrol,Mini,Gray,Genk,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a1-essence-0565179/,25990,29887,70.0,6,Belgium
Ford,Kuga,1.5,2019,Petrol,Suv,Black,Rotselaar,Manual,https://www.autogids.be/detail-id--9464011--ford-vignale-benzine-slechts-60000km/tweedehands.html,19990,60820,111.0,6,Belgium
Ford,Focus,1.0 st,2021,Petrol,Hatchback,Gray,Boortmeerbeek,Manual,https://www.vroom.be/fr/voitures-occasion/ford-focus-essence-0507130/,23725,26648,93.0,6,Belgium
Audi,A4,2.0,2021,Diesel,Wagon,Black,Genk,Automatic,https://www.autogids.be/detail-id--9555591--audi-avant-s-line-35-tdi-163-pk-s-tronic-automaat/tweedehands.html,38500,21947,121.0,6,Belgium
Mercedes Benz,Eqe,AMG43,2022,Electric,Sedan,White,Huy,Automatic,https://www.autogids.be/detail-id--9556842--mercedes-benz-eqe-43-amg-4matic/tweedehands.html,78990,19744,354.0,6,Belgium
Audi,Q5,2.0,2020,Diesel,Suv,Blue,Leuze En Hainaut,Automatic,https://www.autogids.be/detail-id--9533167--audi-audi-q5-sport-30-tdi-100-136-kw-ps-s-tronic/tweedehands.html,37990,76764,101.0,6,Belgium
Nissan,X-Trail,1.3,2018,Petrol,Suv,White,Keerbergen,Manual,https://www.autogids.be/detail-id--9529074--nissan-nissan-x-trail-1-3-benzine-manueel-in-topstaat/tweedehands.html,20390,83257,121.0,6,Belgium
Volkswagen,Tiguan,1.5,2024,Petrol,Crossover,Black,Tournai,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/volkswagen/tiguan/volkswagen-tiguan-2024-vente-518572?,46990,9,111.0,6,Belgium
Audi,A5,2.0,2017,Diesel,Convertible,Gray,Sint Niklaas,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a5-diesel-0537067/,29990,77150,141.0,6,Belgium
Land Rover,Defender,3.0,2021,Diesel,Suv,Bronse,Kalmthout,Automatic,https://www.autogids.be/detail-id--9500305--land-rover-110-3-0-d250-7-plaatsen/tweedehands.html,81250,36406,185.0,6,Belgium
Peugeot,508,1.6,2021,Petrol,Sedan,Gray,Turnhout,Automatic,https://www.vroom.be/fr/voitures-occasion/peugeot-508-essence-0463901/,28990,54503,167.0,6,Belgium
Audi,A1,1.0 25 TFSI,2022,Petrol,Mini,Gray,Overpelt,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a1-essence-0558197/,22990,40949,70.0,6,Belgium
Audi,A1,1.0 25 TFSI,2022,Petrol,Mini,Black,Tongeren,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a1/audi-a1-2022-vente-558388?,28500,24571,70.0,6,Belgium
Porsche,Macan,3.0,2017,Diesel,Suv,Gray,Andenne,Automatic,https://www.autogids.be/detail-id--9530601--porsche-s-diesel-3-0-v6-bi-turbo-s-pdk/tweedehands.html,39999,69789,157.0,6,Belgium
Bmw,X5,30d,2020,Diesel,Suv,Black,Kuurne,Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-x5-diesel-0551043/,62500,68311,197.0,6,Belgium
Audi,A1,1.0,2021,Petrol,Mini,Black,Oostkamp,Manual,https://www.vroom.be/fr/voitures-occasion/audi-a1-essence-0538291/,24990,38000,95.0,6,Belgium
Land Rover,Evoque,2.0,2018,Diesel,Suv,Black,Knokke,Automatic,https://www.autogids.be/detail-id--9549523--land-rover-td4-aut-dynamic-navi-xenon-pano-alu/tweedehands.html,27300,50000,111.0,6,Belgium
Audi,A6,2.0 40 TDI,2023,Diesel,Wagon,Black,Genk,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a6/audi-a6-2023-vente-524763?,52990,28264,152.0,6,Belgium
Audi,A3,1.5,2018,Petrol,Sedan,Gray,Zaventem,Manual,https://www.vroom.be/fr/voitures-occasion/audi-a3-essence-0552718/,18490,69283,111.0,6,Belgium
Audi,A1,1.0 30 TFSI,2020,Petrol,Mini,Black,Genk,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a1/audi-a1-2020-vente-516927?,24500,30471,86.0,6,Belgium
Land Rover,Range Rover,3.0,2018,Diesel,Suv,Black,Brugge,Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-range-rover-diesel-0538421/,61995,89281,192.0,6,Belgium
Hyundai,Tucson,1.6 T-GDi,2019,Petrol,Suv,Gray,Kuurne,Manual,https://www.vroom.be/fr/voitures-occasion/hyundai-tucson-essence-0544233/,21490,78252,131.0,6,Belgium
Porsche,Cayenne,3.0 diesel,2012,Diesel,Suv,Blue,Antwerpen,Automatic,https://www.autogids.be/detail-id--9536269--porsche-3-0-d-v6-tiptronic-navi-airco-camera-pdc-open-dak/tweedehands.html,19500,265382,157.0,5,Belgium
Cupra,Formentor,1.5,2024,Petrol,Crossover,Black,Genk,Automatic,https://www.vroom.be/fr/voitures-neuves/cupra-formentor-essence-0561209/,33990,10,111.0,6,Belgium
Audi,A5,2.0,2022,Petrol,Sedan,Black,Herent,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a5-essence-0541876/,49990,23125,152.0,6,Belgium
Audi,A5,2.0,2022,Petrol,Convertible,Green,Genk,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a5-essence-0543530/,47990,10830,152.0,6,Belgium
Volvo,Xc60,2.0,2022,Petrol,Crossover,Black,Rotselaar,Manual,https://www.autogids.be/detail-id--9550922--volvo-r-design-b4-mhev-automaat/tweedehands.html,47782,21262,146.0,6,Belgium
Audi,Rs4,2.9,2019,Petrol,Wagon,Gray,Brugge,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/rs4/audi-rs4-2019-vente-507486?,75900,26800,450.0,6,Belgium
Mazda,Cx-5,2.0,1998,Petrol,Crossover,Black,Halen,Automatic,https://www.vroom.be/fr/voitures-occasion/mazda-cx-5-essence-0527101/,39790,5000,123.0,2,Belgium
Nissan,Qashqai,1.3,2022,Petrol,Crossover,Blue,Keerbergen,Manual,https://www.autogids.be/detail-id--9456276--nissan-tekna-2wd-mild-hybrid-140-cold-pack-design-pac/tweedehands.html,28999,18850,104.0,6,Belgium
Bmw,X7,40d xDrive,2023,Diesel,Suv,Black,Kortrijk,Automatic,https://www.autogids.be/detail-id--9531239--bmw-xdrive-40d-m-sport-7-zit-sky-lounge-harmank/tweedehands.html,92950,35551,157.0,6,Belgium
Porsche,911,3.0,2019,Petrol,Coupe,Black,Kuurne,Automatic,https://www.autogids.be/detail-id--9516266--porsche-992-carrera-s-pano-dak-sportuitlaat-pdls/tweedehands.html,129995,17701,335.0,6,Belgium
Audi,A6,2.0 TDI,2019,Diesel,Sedan,Black,Oostkamp,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a6/audi-a6-2019-vente-560828?,31990,70000,204.0,6,Belgium
Jaguar,E-Pace,2.0,2018,Petrol,Suv,Black,Rotselaar,Automatic,https://www.vroom.be/fr/voitures-occasion/jaguar-e-pace-diesel-0130869/,28850,82415,134.0,6,Belgium
Tesla,Model X,electro,2016,Electric,Suv,Red,Harelbeke,Automatic,https://www.autogids.be/detail-id--9401600--tesla-x-p90d-gratis-laden-full-self-driving7pl-4x4/tweedehands.html,49995,180000,575.0,6,Belgium
Ford,Focus,2.3 EcoBoost,2020,Petrol,Wagon,Orange,Machelen,Automatic,https://www.autogids.be/detail-id--9558114--ford-2-3-ecoboost-st-automaat-adaptieve-cc-came/tweedehands.html,30950,21200,208.0,6,Belgium
Ford,S-Max,2.0,2018,Diesel,Mpv,Black,Brugge,Manual,https://www.vroom.be/fr/voitures-occasion/ford-s-max-diesel-0537873/,17495,111949,89.0,6,Belgium
Ford,S-Max,2.0,2018,Diesel,Mpv,Blue,Brugge,Automatic,https://www.autogids.be/detail-id--9540872--ford-2-0tdci-business-class-powershift-navi-7-plaat/tweedehands.html,19995,106409,111.0,6,Belgium
Mercedes Benz,C-Class,220 D,2021,Diesel,Coupe,Silver,Overpelt,Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-c-220-diesel-0504741/,39900,37000,144.0,6,Belgium
Audi,Rsq8,4.0,2023,Petrol,Suv,Silver,Wevelgem,Automatic,https://www.vroom.be/fr/voitures-neuves/audi-rs-q8-essence-0553149/,141000,11250,447.0,6,Belgium
Audi,A3,2.0,2021,Diesel,Sedan,Gray,Tongeren,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a3-diesel-0455069/,27990,81242,86.0,6,Belgium
Abarth,595,1.4 competizione,2020,Petrol,Coupe,Gray,Ternat,Automatic,https://www.vroom.be/fr/voitures-occasion/abarth-595-competizione-essence-0564820/,18900,67879,123.0,6,Belgium
Mercedes Benz,Eqe,350,2022,Electric,Sedan,Black,Izegem,Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-eqe-350-electrique-0481823/,59495,21200,217.0,6,Belgium
Audi,Q5,2.0,2020,Diesel,Suv,Blue,Hasselt,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q5-diesel-0550395/,45990,52223,141.0,6,Belgium
Ford,Galaxy,1.5,2019,Petrol,Mpv,Gray,Rotselaar,Manual,https://www.vroom.be/fr/voitures-occasion/ford-galaxy-essence-0482076/,28877,67734,123.0,6,Belgium
Land Rover,Discovery,3.0,2024,Diesel,Suv,Gray,Merelbeke,Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-discovery-diesel-0440477/,89990,3500,223.0,6,Belgium
Hyundai,Kona,1.6,2019,Diesel,Crossover,Black,Eupen,Manual,https://www.vroom.be/fr/voitures-occasion/hyundai-kona-diesel-0389185/,14990,98613,85.0,6,Belgium
Nissan,Qashqai,1.2,2018,Petrol,Crossover,Silver,Sint Gillis Waas,Automatic,https://www.autogids.be/detail-id--9437144--nissan-2420-n-connecta/tweedehands.html,23500,87481,85.0,6,Belgium
Audi,Q8,3.0,2018,Diesel,Suv,Black,Genk,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q8-diesel-0524598/,52500,105419,213.0,6,Belgium
Bmw,5 Series,520d,2022,Diesel,Wagon,Blue,Mechelen,Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-520-diesel-0389671/,48900,34381,121.0,6,Belgium
Honda,Hr-V,1.5,2020,Petrol,Crossover,White,Vilvoorde,Automatic,https://www.vroom.be/fr/voitures-occasion/honda-hr-v-essence-0543559/,23990,11636,96.0,6,Belgium
Porsche,Panamera,4.0,2020,Hybrid,Sedan,Gray,Brugge,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/porsche/panamera/porsche-panamera-vente-559532?,89995,99263,500.0,6,Belgium
Porsche,Macan,2.0,2018,Petrol,Suv,Gray,Hoeselt,Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-macan-essence-015295/,49990,29800,187.0,6,Belgium
Opel,Zafira,2.0,2021,Diesel,Mpv,Black,Roeselare,Automatic,https://www.vroom.be/fr/voitures-occasion/opel-zafira-diesel-0566255/,31900,93828,131.0,6,Belgium
Audi,Q5,2.0,2019,Diesel,Suv,White,Overpelt,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q5-diesel-0524003/,36500,51343,141.0,6,Belgium
