Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Mercedes Benz,Gls-Class,580 4Matic,2023,Petrol,Suv,Black,Praha,Automatic,https://www.autanet.cz/detail/mercedes-benz/gls/43716,6,138590,10,360.0,Czech Republic
Mercedes Benz,Gle-Class,450 AMG 4MATIC,2023,Petrol,Suv,Black,Praha,Automatic,http://auto.rychle.cz/osobni-auto-O/Mercedes-Benz/GLE/GLE-450-4MATIC-SUV-170741373875145.html,6,106912,6460,280.0,Czech Republic
Mercedes Benz,Sl-Class,4.0 AMG 55,2023,Petrol,Convertible,Gray,Praha,Automatic,https://autocaris.cz/detail.php?inzerat=716194,6,172249,2966,350.0,Czech Republic
Subaru,Forester,2.0,2013,Diesel,Suv,White,Brno,Manual,https://www.annonce.cz/inzerat/subaru-forester-2-0-72931111-ws2kbg.html,5,7325,240856,108.0,Czech Republic
Hyundai,Ix35,2.0 CRDi,2010,Diesel,Crossover,Gray,Říčany,Manual,https://www.automodul.cz/hyundai-ix35-2-0-crdi-navi-panorama-kuze-c2727434,5,6890,239100,100.0,Czech Republic
Volkswagen,Touareg,4.0 TDI V8,2010,Diesel,Suv,Brown,Brno,Automatic,https://www.cars.cz/inzerce/osobni-auto-O/Volkswagen/Touareg/Touareg-4-1-V8-4-2-Kombi-170453536604858.html,5,16235,319000,250.0,Czech Republic
Tesla,Model S,electro,2018,Electric,Sedan,Blue,Praha,Automatic,https://www.sauto.cz/osobni/detail/tesla/model-s/201938698,6,37614,84670,193.0,Czech Republic
Mercedes Benz,Gla-Class,220d 4Matic,2016,Diesel,Suv,Black,Praha,Automatic,https://www.cars.cz/inzerce/osobni-auto-O/Mercedes-Benz/GLA/GLA-220d-7G-TRO-SUV-17103873346820.html,6,19795,145120,130.0,Czech Republic
Subaru,Outback,2.0 D,2015,Diesel,Crossover,Blue,Olomouc,Automatic,https://www.autanet.cz/detail/subaru/outback/29960,6,12631,236188,110.0,Czech Republic
Bmw,X5,M50d,2017,Diesel,Suv,White,Olbramovice,Automatic,http://auto.rychle.cz/osobni-auto-O/BMW/X5/X5-3.0-M50d-28-SUV-170894207106731.html,6,27718,156979,280.0,Czech Republic
Bmw,1 Series,125i,2011,Petrol,Coupe,Gray,Olbramovice,Manual,https://autocaris.cz/detail.php?inzerat=743368,5,8711,128105,125.0,Czech Republic
Audi,A6 Allroad,3.0 50 TDI quattro,2023,Diesel,Crossover,Gray,Praha,Automatic,http://auto.rychle.cz/osobni-auto-O/Audi/A6_Allroad/A6-Allroad-50-TDI-QUAT-Kombi-17078457647270.html,6,65333,23085,210.0,Czech Republic
Lancia,Delta,1.6,2010,Diesel,Hatchback,Gray,Brno,Manual,https://www.annonce.cz/inzerat/lancia-delta-1-6-jtd-71390711-wuw4fs.html,5,3167,173256,88.0,Czech Republic
Volkswagen,Touran,2.0 TDI,2017,Diesel,Mpv,Black,Slaný,Automatic,https://www.cars.cz/inzerce/osobni-auto-O/Volkswagen/Touran/Touran-2-0-TDi-140-MPV-1710236275931151.html,6,19795,102000,140.0,Czech Republic
