Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Citroen,C3 Aircross,1.2,2021,Petrol,Suv,Black,Brovst,Automatic,https://seek4cars.net/biler-til-salg/citroen/c3/aircross-1-2-puretech-shine-sport-eat6-130hk-5d-6g-aut/f3cea6f7-c486-4125-9f64-12a9aff5b6b4,6,32174,9500,96.0,Denmark
Volkswagen,Tiguan,2.0 TDI 4Motion,2016,Diesel,Crossover,White,Aarup,Automatic,https://seek4cars.net/biler-til-salg/vw/tiguan/2-0-tdi-scr-r-line-4motion-dsg-190hk-5d-7g-aut/a535d6a8-1d4b-4681-b234-86bd8b84f77a,6,29491,124000,141.0,Denmark
Mini,Cooper,1.6 S,2017,Petrol,Convertible,Black,Varde,Automatic,https://www.autouncle.dk/en/d/4274148-used-mini-cooper-s-cabriolet-2-0-aut,6,44914,48000,143.0,Denmark
Bmw,4 Series,420d,2017,Diesel,Coupe,Gray,Aarup,Automatic,https://seek4cars.net/biler-til-salg/bmw/420d/gran-coup-2-0-d-steptronic-190hk-5d-8g-aut/8ca8d5e2-0e94-4506-a733-df87dba10279,6,29491,171000,141.0,Denmark
Hyundai,I20,1.1,2015,Diesel,Hatchback,White,Hemmet,Manual,https://www.guloggratis.dk/annonce/5294a100-f56c-404a-bd1c-0b854c13dd36,6,4023,305000,55.0,Denmark
Toyota,Auris,1.6 VVT-i,2013,Petrol,Hatchback,Gray,Aarup,Manual,https://seek4cars.net/biler-til-salg/toyota/auris/1-6-valvematic-t2-132hk-5d-6g/98dcbd8c-e526-4f83-af90-b1573558c54c,5,16080,91000,98.0,Denmark
Volkswagen,Up!,1.0,2014,Petrol,Mini,White,Hemmet,Manual,https://www.guloggratis.dk/annonce/79a52dac-ef7b-42f5-8e8b-e28fda86ed02,6,7899,184000,44.0,Denmark
Opel,Crossland X,1.2 Turbo,2017,Petrol,Suv,Silver,Aarup,Manual,https://seek4cars.net/biler-til-salg/opel/crossland-x/1-2-turbo-innovation-start-stop-110hk-5d/da0f9d40-4cc6-4c42-af9a-6e99ea4afacf,6,18092,51000,82.0,Denmark
Kia,Picanto,1.0,2013,Petrol,Mini,White,Hemmet,Manual,https://www.guloggratis.dk/annonce/c1743312-a170-4b91-929b-c17cd8a5baf9,5,4948,164000,51.0,Denmark
Audi,Q2,1.6 TDI,2017,Diesel,Crossover,Black,Ballerup,Manual,https://seek4cars.net/biler-til-salg/audi/q2/1-6-tdi-sport-116hk-5d-6g/ed38c405-4bbb-492c-aa4e-197d24877406,6,30832,45000,86.0,Denmark
Peugeot,2008,1.2 puretech,2022,Petrol,Crossover,Black,Brovst,Manual,https://seek4cars.net/biler-til-salg/peugeot/2008-/1-2-puretech-platin-sport-130hk-5d/7ad3e641-3a3e-4743-8a83-42a5ceee0188,6,36197,500,96.0,Denmark
Volkswagen,Golf,1.6 TDI,1993,Petrol,Convertible,Red,Otterup,Manual,https://www.guloggratis.dk/annonce/3f4833ea-a3db-4356-87a1-17ae983d9d67,1,4694,14,55.0,Denmark
Hyundai,I10,1.0,2015,Petrol,Mini,White,Hemmet,Manual,https://www.guloggratis.dk/annonce/7f98e197-86c3-4bbd-b799-106c189c9131,6,6692,155000,49.0,Denmark
Peugeot,205,1.4,1989,Petrol,Hatchback,Red,Vejen,Manual,https://www.guloggratis.dk/annonce/734addc3-dc40-4511-9a13-a08dd0e73bfa,1,3151,240000,49.0,Denmark
Citroen,C4 Cactus,1.2,2018,Petrol,Hatchback,White,Brovst,Manual,https://seek4cars.net/biler-til-salg/citroen/c4/cactus-1-2-puretech-skyline-110hk-5d-6g/abb29138-1f08-43a0-92b4-11495a5ba881,6,17421,103000,82.0,Denmark
Kia,Xceed,1.6,2020,Hybrid,Crossover,Black,Vodskov,Automatic,https://www.autouncle.dk/en/d/4729821-used-kia-xceed-1-6-phev-upgrade-dct,6,26796,60000,105.0,Denmark
Ford,Kuga,1.5 EcoBoost,2018,Diesel,Suv,White,Varde,Automatic,https://www.guloggratis.dk/annonce/842a1f4a-fdea-44d4-9a1a-edf570e90866,6,25468,100000,89.0,Denmark
Toyota,Aygo,1.0,2016,Petrol,Mini,White,Ringsted,Manual,https://seek4cars.net/biler-til-salg/toyota/aygo/1-0-vvt-i-x-sky-69hk-5d/65ebe67c-4078-4dbf-bd62-30b6e3a257e4,6,10715,82500,51.0,Denmark
Opel,Vivaro,2.0,2021,Diesel,Van,White,Aalborg,Automatic,https://seek4cars.net/biler-til-salg/opel/vivaro/l3v2-2-0-d-innovation-at8-122hk-van-8g-aut/7a82e504-0661-4f89-bda1-6d51c87a03cf,6,28150,32000,90.0,Denmark
Renault,Grand Scenic,1.5 dCi,2018,Diesel,Mpv,Blue,Frederiksberg,Manual,https://seek4cars.net/biler-til-salg/renault/grand-scnic/1-5-energy-dci-zen-110hk-6g/3cb0d798-0d78-41c7-bcb4-8a25fe371e91,6,23993,105000,82.0,Denmark
Škoda,Citigo,electro,2020,Electric,Mini,White,Fredericia,Automatic,https://www.guloggratis.dk/annonce/06e94990-2a61-4a18-8f49-a31ee076a11f,6,16764,36000,61.0,Denmark
Peugeot,Expert,2.0,2020,Diesel,Van,Gray,Aalborg,Automatic,https://seek4cars.net/biler-til-salg/peugeot/expert/l3-2-0-bluehdi-premium-eat8-122hk-van-8g-aut/82ed1b78-f91b-4272-9a87-22aff463a4f8,6,24127,61000,90.0,Denmark
Volkswagen,Polo,2.0,2018,Petrol,Hatchback,White,Gadstrup,Automatic,https://www.guloggratis.dk/annonce/3731fe64-ded7-419d-8f99-4cf8cd2c2e23,6,33528,103000,149.0,Denmark
