Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Renault,Kadjar,1.3 TCe,2020,Petrol,Suv,Black,Le Blanc,Manual,https://occasion.autoplus.fr/voiture-occasion-renault-kadjar-13-tce-140ch-fap-black-edition-21-720759/,6,18990,53407,104.0,France
Hyundai,Kona,electric,2021,Electric,Crossover,Blue,Tours,Automatic,https://www.auto-selection.com/voiture-occasion/hyundai-kona/23682720.html,6,24990,61444,152.0,France
Porsche,Cayenne,3.0 diesel,2013,Diesel,Suv,Gray,Nice,Automatic,https://www.leparking.fr/voiture-occasion-detail/porsche-cayenne/porsche-cayenne-platinum-edition-v6-3-0-tdi-tiptronic-245cv/0J502GP8.html,5,27900,142000,182.0,France
Seat,Ateca,1.5 tsi,2020,Petrol,Suv,Brown,Beauvais,Automatic,https://fr.renew.auto/achat-vehicules-occasions/detail.html?productId=VEH_00000862_VO039652,6,23890,38258,111.0,France
Toyota,Yaris,1.5,2024,Hybrid,Sedan,Blue,Rivery,Automatic,https://occasion.autoplus.fr/voiture-occasion-toyota-yaris-130h-premiere-mc24-745647/,6,28450,6780,68.0,France
Porsche,Macan,3.6 Turbo,2016,Petrol,Suv,Blue,Toulouse,Automatic,http://www.voiture-de-prestige.com/porsche+macan+turbo-3-6-v6-400-ch-pdk_1250491.html,6,62900,86870,298.0,France
Chevrolet,Corvette,6.2,2016,Petrol,Convertible,White,Paris,Automatic,https://www.paruvendu.fr/a/voiture-occasion/chevrolet/corvette/1270800067A1KVVOCVCOR,6,109900,26153,491.0,France
Mercedes Benz,Gle-Class,2.1 250,2018,Diesel,Suv,Black,Villeneuve Loubet,Automatic,https://www.leparking.fr/voiture-occasion-detail/mercedes-gle-gle-250/mercedes-gle-250-d-204ch-sportline-4matic-9g-tronic/K5DPUTTQ.html,6,34990,121950,152.0,France
Mercedes Benz,A-Class,250 4Matic,2016,Petrol,Sedan,Black,Seclin,Automatic,https://www.autosphere.fr/fiche/auto-occasion-mercedes-classe-a-250-fascination-4matic-7g-dct-59113-seclin-2402039,6,27890,29728,211.0,France
Renault,Kadjar,1.7 dci,2019,Diesel,Suv,Gray,Rivery,Manual,https://www.gueudet.fr/voiture/occasion/renault/kadjar/17-blue-dci-150ch-intens-4x4/43135,6,18990,69406,111.0,France
Jeep,Cherokee,2.2,2017,Diesel,Suv,Black,Gaillard,Automatic,https://www.auto-selection.com/voiture-occasion/jeep-cherokee/24019986.html,6,23399,83500,149.0,France
Škoda,Octavia,2.0 TDI,2018,Diesel,Wagon,Gray,Gaillard,Automatic,https://www.gueudet.fr/voiture/occasion/skoda/octavia-break/20-tdi-150ch-cr-fap-clever-dsg6/52487,6,15890,115932,111.0,France
Nissan,Qashqai,1.2,2016,Petrol,Crossover,Black,Seynod,Automatic,https://www.auto-selection.com/voiture-occasion/nissan-qashqai/23942038.html,6,15490,85837,85.0,France
Lexus,Nx,300h,2018,Hybrid,Suv,White,Chambourcy,Automatic,https://www.autosphere.fr/fiche/auto-occasion-lexus-nx-300h-4wd-luxe-euro6d-t-78240-chambourcy-120925,6,29299,72625,155.0,France
Seat,Ateca,1.5 tsi,2022,Petrol,Suv,Gray,Seynod,Automatic,https://www.auto-selection.com/voiture-occasion/seat-ateca/23867492.html,6,29490,41446,111.0,France
Audi,Sq7,4.0 TDI,2018,Diesel,Suv,Black,Liévin,Automatic,https://www.autosphere.fr/fiche/auto-occasion-audi-sq7-4-0-v8-tdi-435ch-clean-diesel-quattro-tiptronic-7-places-62800-lievin-18821,6,59990,107844,324.0,France
Volkswagen,T-Cross,1.0 tsi,2019,Petrol,Crossover,Gray,Albi,Automatic,https://fr.renew.auto/achat-vehicules-occasions/detail.html?productId=VEH_00000977_VO415054,6,19990,37916,115.0,France
Lexus,Rx,450h,2020,Hybrid,Suv,Gray,Champagne-au-Mont-d'Or,Automatic,https://www.autosphere.fr/fiche/auto-occasion-lexus-rx-450h-4wd-luxe-mc19-69410-champagne-au-mont-d-or-062544,6,42590,80813,195.0,France
