Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Mazda,Cx-5,2.5,2023,Petrol,Crossover,Black,Hamburg,Automatic,https://www.moll-automobile.de/fahrzeug/385546043/Pkw/mazda-cx-5-homura-2-5l-skyactiv-g-194ps-fwd-6ag-navi-b,35890,11732,144.0,6,Germany
Hyundai,I20,1.0,2022,Petrol,Hatchback,White,Iserlohn,Automatic,https://gebrauchtwagen.hyundai.de/de/fahrzeugsuche/hyundai/i20-mj22-10-t-gdi-100ps-48v-dct-trend-lichtpaket-assistenzpaket/variant-kjc7tsd8,22950,5772,75.0,6,Germany
Audi,A1,1.0 30 TFSI,2019,Petrol,Mini,Yellow,Rain,Manual,https://www.12gebrauchtwagen.de/c/16/1413600396?num_on_page=3&page=50&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,24890,42490,85.0,6,Germany
Audi,Q2,1.5 35 TFSI,2024,Petrol,Crossover,Black,Rain,Automatic,https://www.12gebrauchtwagen.de/c/34/1398708611?num_on_page=2&page=9&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,39130,2500,110.0,6,Germany
Volvo,Xc40,1.5,2023,Hybrid,Crossover,Gray,Aachen,Automatic,https://www.moll-automobile.de/fahrzeug/385196040/Pkw/volvo-xc40-plus-dark-recharge-plug-in-hybrid-2wd-t5-tw,46980,14839,194.0,6,Germany
Volvo,Xc40,2.0 B4,2023,Petrol,Crossover,Blue,Aachen,Automatic,https://www.moll-automobile.de/fahrzeug/385199080/Pkw/volvo-xc40-plus-dark-2wd-b4-eu6d-navi-digitales-cockpi,41890,11582,146.0,6,Germany
Jaguar,F-Type,5.0 P450,2023,Petrol,Convertible,Green,Rain,Automatic,https://www.instamotion.com/auto/K5HA-AKQS-BWMY,116650,9,335.0,6,Germany
Bmw,X3,xDrive30d,2022,Diesel,Suv,Black,Rain,Automatic,https://www.12gebrauchtwagen.de/c/16/1426180988?num_on_page=3&page=11&premium=false&title=BMW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,54189,55500,210.0,6,Germany
Mercedes Benz,A-Class,35 AMG,2022,Petrol,Sedan,Black,Kassel,Automatic,https://www.12gebrauchtwagen.de/c/4/1428125660?num_on_page=3&page=27&title=Mercedes-Benz+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,40850,45805,228.0,6,Germany
Audi,Q3,2.0 35 TDI,2023,Diesel,Crossover,White,Rain,Automatic,https://www.12gebrauchtwagen.de/c/16/1426035538?num_on_page=3&page=33&premium=false&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,48070,3900,110.0,6,Germany
Ford,Ecosport,1.0 EcoBoost,2019,Petrol,Suv,Gray,Ulm,Manual,https://www.12gebrauchtwagen.de/c/4/1419520629?num_on_page=3&page=29&premium=false&title=Ford+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,18280,22910,104.0,6,Germany
Land Rover,Defender,3.0,2023,Diesel,Suv,Black,Oldenburg,Automatic,https://www.moll-automobile.de/fahrzeug/386041501/Pkw/land-rover-defender-90-x-dynamic-se-d250-mild-hybrid-allrad,71490,11990,185.0,6,Germany
Bmw,X3,M40d,2021,Diesel,Suv,Silver,Rain,Automatic,https://www.instamotion.com/auto/6FNF-GR4D-PHRV,53750,53313,250.0,6,Germany
Honda,Civic,1.0,2020,Petrol,Sedan,Red,Iserlohn,Manual,https://gebrauchtwagen.hyundai.de/de/fahrzeugsuche/honda/civic-10-elegance-pdc-shz-kamera-navi-acc-led/variant-s1c9h78q,17850,47950,93.0,6,Germany
Volkswagen,Transporter,2.0,2021,Diesel,Van,Black,Mönchengladbach,Automatic,https://hey.car/vehicle/f89ddfc4-4c1b-4ea8-b184-6d75ca897569?dealerId=518694,60500,38403,152.0,6,Germany
Bmw,X3,M40d,2020,Diesel,Suv,Blue,Rain,Automatic,https://www.12gebrauchtwagen.de/c/34/1425961273?num_on_page=3&page=1&premium=true&title=BMW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,45550,92593,240.0,6,Germany
Bmw,X1,xDrive23d,2023,Diesel,Suv,Black,Rain,Automatic,https://www.instamotion.com/auto/FN2S-P9JW-GR1R,50450,41353,155.0,6,Germany
Bmw,X1,xDrive20d,2023,Diesel,Suv,Black,Rain,Automatic,https://www.12gebrauchtwagen.de/c/34/1425979449?num_on_page=2&page=17&title=BMW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,47450,31724,120.0,6,Germany
Bmw,X1,xDrive20d,2023,Diesel,Suv,Green,Rain,Automatic,https://www.instamotion.com/auto/TZH4-1IRR-F2WB,50450,28199,110.0,6,Germany
Volkswagen,Touareg,4.0 TDI,2021,Diesel,Suv,Black,Rain,Automatic,https://hey.car/vehicle/ecece691-1095-4226-b9b3-b6bc88f57be7?dealerId=a4f577d9-be88-40f6-851d-7617d232805e,91590,62629,313.0,6,Germany
Mercedes Benz,Gla-Class,200,2015,Petrol,Suv,Green,Mannheim,Automatic,https://www.12gebrauchtwagen.de/c/4/1398813190?num_on_page=3&page=43&title=Mercedes-Benz+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,16999,116460,115.0,6,Germany
Volvo,Xc90,2.0,2020,Diesel,Suv,Gray,Aachen,Automatic,https://www.moll-automobile.de/fahrzeug/387116207/Pkw/volvo-xc90-inscription-awd-b5-diesel-eu6d-t-allrad-ad,49980,51490,175.0,6,Germany
Honda,Civic,1.0,2019,Petrol,Sedan,Red,Iserlohn,Manual,https://hey.car/vehicle/8128ce05-41df-4193-b179-6f17bb002e82?dealerId=f11181ba-8984-4dc3-b94f-9f9f6c4c1c51,16990,60152,93.0,6,Germany
Audi,Q3,2.0 45 TFSI,2022,Hybrid,Crossover,Black,Rain,Automatic,https://www.12gebrauchtwagen.de/c/34/1425971699?num_on_page=2&page=29&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,55980,15118,180.0,6,Germany
Audi,Q3,2.0 45 TFSI,2022,Hybrid,Crossover,Gray,Rain,Automatic,https://www.instamotion.com/auto/RNE8-V5VY-7355,55980,13032,180.0,6,Germany
Audi,A4 Allroad,2.0 40 TDI,2023,Diesel,Crossover,Gray,Rain,Automatic,https://www.instamotion.com/auto/Y3E4-Q61W-POMY,53330,18000,150.0,6,Germany
Mazda,Cx-5,2.0,2023,Petrol,Crossover,Beige,Düren,Manual,https://www.moll-automobile.de/fahrzeug/384934929/Pkw/mazda-cx-5-e-skyactiv-g-165ps-6gs-fwd-newground-navi-l,29890,16761,123.0,6,Germany
