Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Nissan,Leaf,40 kWh,2019,Electric,Hatchback,Silver,Tilburg,Automatic,https://www.autoscout24.nl/aanbod/nissan-leaf-tekna-40-kwh-leder-alcantara-propilot-stoel-elektrisch-grijs-8a6f8a17-512f-4662-8015-d4d65e6cb5de,6,17240,92555,111.0,Netherlands
Nissan,Leaf,e+ 62 kWh,2019,Electric,Hatchback,Silver,Tilburg,Automatic,https://www.marktplaats.nl/v/auto-s/nissan/m2080644796-nissan-leaf-e-n-connecta-62-kwh-navigatie-apple-carplay,6,21740,56644,162.0,Netherlands
Bmw,X1,2.0 sdrive20i,2015,Petrol,Suv,Silver,Middelburg,Automatic,https://www.zeelandnet.nl/prikbord/bmw-x1-sdrive20i-chrome-line-trekhaak-panoramadak-navigatie-full-map-leder-stoelverwarming-bi-xenon-sportstoelen-rijklaarprijs/a/6150497,6,22445,100553,137.0,Netherlands
Nissan,Qashqai,1.2,2018,Petrol,Crossover,Black,Haarlem,Automatic,https://usedcars.nissan.nl/nissan-voorraad/voertuigen/nissan/qashqai/automaat-12-acenta-connect/19437964,6,21950,59498,86.0,Netherlands
Nissan,Juke,1.0 DIG-T,2023,Petrol,Crossover,White,Middelburg,Automatic,https://www.zeelandnet.nl/prikbord/nissan-juke-10-dig-t-n-design-navigatie-camera-apple-carplayandroid-auto-19-velgen-cruise-climate-control-rijklaarprijs/a/6156077,6,31900,12285,85.0,Netherlands
Nissan,Micra,1.0,2019,Petrol,Mini,Red,Middelburg,Automatic,https://www.zeelandnet.nl/prikbord/nissan-micra-10-ig-t-n-connecta-apple-carplayandroid-auto-camera-cruise-climate-control-park-sensor-dab-lm-velgen-bluetooth-tel-rijklaarprijs/a/6336921,6,14800,58458,75.0,Netherlands
Audi,A1,1.0 s tfsi,2018,Petrol,Mini,White,Middelburg,Automatic,https://www.zeelandnet.nl/prikbord/audi-a1-sportback-10-tfsi-advance-sport-s-line-navigatie-full-map-cruise-control-park-sensor-climate-control-two-tone-lakkleur-rijklaarprijs/a/6348129,6,17695,70371,70.0,Netherlands
Nissan,Juke,1.0 DIG-T,2020,Petrol,Crossover,Red,Harderwijk,Manual,https://www.autoscout24.nl/aanbod/nissan-juke-1-0-dig-t-acenta-comfort-pack-benzine-rood-38a8ff1c-22f8-46ce-be6e-3209345a699d,6,20450,24864,87.0,Netherlands
Ford,Focus,1.0 ecoboost titanium,2019,Petrol,Hatchback,Silver,Raalte,Manual,https://autovooru.nl/ford-focus~f8-4f8-3c4d11.html,6,15695,116155,93.0,Netherlands
Nissan,Note,1.2,2015,Petrol,Mpv,White,Sittard,Automatic,https://www.autotrader.nl/auto/voertuig/nissan-note-12-dig-s-connect-edition-nav-climate-control-benzine/965c607e-59e4-4060-8183-9616e52591b4/,6,9900,145860,132.0,Netherlands
Dacia,Duster,1.2 TCe,2018,Petrol,Suv,Gray,Sittard,Manual,https://www.autotrader.nl/auto/voertuig/dacia-duster-12-tce-prestige-airco-nav-trekhaak-cruise-benzine/1370ce7d-ff6d-4b85-905f-a15b67895971/,6,16690,40201,132.0,Netherlands
