Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Lexus,Ux,300e,2023,Electric,Crossover,Green,Leknes,Automatic,https://www.nordvik.no/bruktbil/342158655,6,37981.0,2000,152.0,Norway
Opel,Insignia,2.0 CDTi,2010,Diesel,Wagon,Black,Jessheim,Manual,https://www.finn.no/car/used/ad.html?finnkode=320859508,5,5969.0,221400,82.0,Norway
Ford,Transit Custom,2.2,2014,Diesel,Van,White,Ski,Manual,https://www.finn.no/car/used/ad.html?finnkode=344016844,6,6055.0,215000,75.0,Norway
Subaru,Forester,2.0 D,2013,Diesel,Suv,Black,Tønsberg,Manual,https://www.finn.no/car/used/ad.html?finnkode=343196498,5,12052.0,231574,109.0,Norway
Toyota,Auris,1.4 D-4D,2014,Diesel,Hatchback,Gray,Hønefoss,Manual,https://www.finn.no/car/used/ad.html?finnkode=337246933,6,7354.0,210000,67.0,Norway
Hyundai,I10,1.0,2017,Petrol,Mini,White,Stavanger,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344752766,6,10295.0,26000,49.0,Norway
Bmw,5 Series,520d xDrive,2016,Diesel,Sedan,Black,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344738226,6,21456.0,173000,141.0,Norway
Nissan,Pathfinder,2.5 dci,2012,Diesel,Suv,Black,Sandnes,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342730093,5,16352.0,115300,141.0,Norway
Audi,Q5,2.0,2017,Diesel,Suv,Silver,Hønefoss,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344653378,6,30221.0,190000,141.0,Norway
Mini,One,1.6 D,2011,Diesel,Mini,White,Fredrikstad,Manual,https://www.finn.no/car/used/ad.html?finnkode=344098226,5,5623.0,142800,67.0,Norway
Bmw,5 Series,520d,2016,Diesel,Wagon,Gray,Sarpsborg,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343445826,6,28464.0,107505,121.0,Norway
Volvo,Xc60,2.4 D4,2015,Diesel,Crossover,Gray,Larvik,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344306253,6,33655.0,72750,121.0,Norway
Bentley,Flying Spur,6.0 W12,2007,Petrol,Sedan,Black,Drammen,Automatic,https://www.finn.no/car/used/ad.html?finnkode=223638903,4,60562.0,114000,507.0,Norway
Volkswagen,Tiguan,2.0 TDI 4Motion,2013,Diesel,Crossover,Silver,Lillehammer,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343722841,5,14648.0,169500,104.0,Norway
Volvo,V50,1.6,2010,Diesel,Wagon,Blue,Skien,Manual,https://www.finn.no/car/used/ad.html?finnkode=341303434,5,5622.0,209000,81.0,Norway
Ford,F Series,3.5,2021,Petrol,Pickup,Black,Hokksund,Automatic,https://www.finn.no/car/used/ad.html?finnkode=327787220,6,86432.0,47000,340.0,Norway
Audi,S7,4.0,2012,Petrol,Sedan,Black,Hell,Automatic,https://www.finn.no/car/used/ad.html?finnkode=337188493,5,47584.0,53175,313.0,Norway
Mercedes Benz,S-Class,65 AMG,2015,Petrol,Sedan,Blue,Ski,Automatic,https://www.finn.no/car/used/ad.html?finnkode=327691094,6,112465.0,22000,469.0,Norway
Bmw,X1,18d,2016,Diesel,Suv,Silver,Spydeberg,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344106012,6,18541.0,157729,101.0,Norway
Volvo,Xc90,2.4 D5 AWD,2006,Diesel,Suv,Black,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342915824,4,10295.0,198700,137.0,Norway
Mercedes Benz,G-Class,400 CDI,2001,Diesel,Suv,Silver,Kolbotn,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342786013,3,28464.0,321000,186.0,Norway
Audi,Sq7,4.0,2017,Diesel,Suv,Black,Hokksund,Automatic,https://www.finn.no/car/used/ad.html?finnkode=339697304,6,64802.0,150000,324.0,Norway
Tesla,Model S,electro,2017,Electric,Sedan,Black,Siggerud,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342017032,6,21620.0,166000,390.0,Norway
Mitsubishi,Asx,1.8,2011,Diesel,Crossover,Blue,Drammen,Manual,https://www.finn.no/car/used/ad.html?finnkode=340723430,5,6488.0,221750,86.0,Norway
Mitsubishi,Asx,1.8,2011,Diesel,Crossover,Silver,Skien,Manual,https://www.finn.no/car/used/ad.html?finnkode=342602615,5,6920.0,199999,86.0,Norway
Nissan,Navara,2.3,2021,Diesel,Pickup,Gray,Moelv,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342179040,6,39538.0,54000,141.0,Norway
Tesla,Model S,electro,2017,Electric,Sedan,Blue,Kolbotn,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344633232,6,24138.0,126000,391.0,Norway
Mazda,Cx-5,2.2 D,2016,Diesel,Crossover,White,Kolbotn,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342986616,6,12891.0,237000,111.0,Norway
Tesla,Model X,electro,2016,Electric,Suv,Red,Siggerud,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342014778,6,30272.0,124000,247.0,Norway
Bmw,X5,xDrive30d,2014,Diesel,Suv,Black,Kolbotn,Automatic,https://www.finn.no/car/used/ad.html?finnkode=341013879,6,31060.0,239000,192.0,Norway
Mercedes Benz,S-Class,350d 4Matic,2015,Diesel,Sedan,Silver,Stange,Automatic,https://www.finn.no/car/used/ad.html?finnkode=339160238,6,45846.0,106200,192.0,Norway
Mercedes Benz,R-Class,350 CDI,2013,Diesel,Mpv,Gray,Drammen,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344149847,5,25086.0,127000,197.0,Norway
Toyota,Hilux,2.4,2020,Diesel,Pickup,Gray,Ski,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344710043,6,32868.0,80500,111.0,Norway
Ford,Transit,2.2,2009,Diesel,Van,White,Oslo,Manual,https://www.finn.no/car/used/ad.html?finnkode=325583157,5,3452.0,197500,82.0,Norway
Porsche,Cayenne,3.0 diesel,2014,Diesel,Suv,Black,Hamar,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344793820,6,36251.0,114735,157.0,Norway
Volkswagen,Up!,1.0,2013,Petrol,Mini,Silver,Stange,Manual,https://www.finn.no/car/used/ad.html?finnkode=196398877,5,5147.0,94320,44.0,Norway
Toyota,Hilux,2.8,2021,Diesel,Pickup,White,Larvik,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343004268,6,47498.0,18800,152.0,Norway
Bmw,X7,xDrive30d,2020,Diesel,Suv,Black,Fredrikstad,Automatic,https://www.finn.no/car/used/ad.html?finnkode=335725803,6,108061.0,38564,197.0,Norway
Nissan,Navara,2.3,2016,Diesel,Pickup,Gray,Porsgrunn,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344171940,6,22408.0,114780,141.0,Norway
Bmw,X5,30d,2014,Diesel,Suv,Black,Larvik,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343461589,6,39712.0,165000,192.0,Norway
Bmw,M5,4.4,2013,Petrol,Sedan,Brown,Hokksund,Automatic,https://www.finn.no/car/used/ad.html?finnkode=339194861,5,45768.0,158900,417.0,Norway
Bmw,X1,xDrive18d,2018,Diesel,Suv,White,Moelv,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343976151,6,27677.0,63000,111.0,Norway
Volvo,V70,2.0 D,2008,Diesel,Wagon,Black,Gjøvik,Manual,https://www.finn.no/car/used/ad.html?finnkode=344441104,4,5610.0,246000,101.0,Norway
Nissan,Juke,1.5 dCi,2012,Diesel,Crossover,Gray,Drammen,Manual,https://www.finn.no/car/used/ad.html?finnkode=341588839,5,5623.0,212000,82.0,Norway
Bmw,5 Series,520d xDrive,2020,Diesel,Wagon,White,Arendal,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342155224,6,46546.0,65800,141.0,Norway
Mercedes Benz,E-Class,43 AMG,2018,Petrol,Sedan,Black,Sandnes,Automatic,https://www.finn.no/car/used/ad.html?finnkode=337538273,6,60476.0,60000,299.0,Norway
Ford,Grand C-Max,1.6,2012,Diesel,Mpv,Gray,Skien,Manual,https://www.finn.no/car/used/ad.html?finnkode=341205385,5,5623.0,171000,86.0,Norway
Mercedes Benz,S-Class,63 AMG,2018,Petrol,Sedan,Gray,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=327946121,6,120313.99999999999,64000,456.0,Norway
Bmw,5 Series,525d,2007,Diesel,Wagon,Black,Furnes,Automatic,https://www.finn.no/car/used/ad.html?finnkode=306591686,4,6488.0,306000,146.0,Norway
Bmw,5 Series,520d,2007,Diesel,Wagon,Black,Sandnes,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343224388,4,6047.0,265000,131.0,Norway
Ford,Grand C-Max,1.6,2013,Diesel,Mpv,Black,Drammen,Manual,https://www.finn.no/car/used/ad.html?finnkode=329823327,5,4749.0,163000,86.0,Norway
Bmw,X5,40d,2016,Diesel,Suv,Gray,Flisa,Automatic,https://www.finn.no/car/used/ad.html?finnkode=340433547,6,42307.0,128000,233.0,Norway
Bmw,X5,30d,2016,Diesel,Suv,Black,Stavanger,Automatic,https://www.finn.no/car/used/ad.html?finnkode=341268058,6,46711.0,126000,192.0,Norway
Bmw,X5,M50d,2016,Diesel,Suv,Black,Hønefoss,Automatic,https://www.finn.no/car/used/ad.html?finnkode=340220391,6,53641.0,123000,284.0,Norway
Peugeot,3008,1.6,2017,Diesel,Crossover,Brown,Drammen,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343972918,6,17217.0,131000,89.0,Norway
Bmw,5 Series,520d,2009,Diesel,Wagon,Blue,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=340010565,5,5190.0,324000,121.0,Norway
Mercedes Benz,E-Class,220 D,2017,Diesel,Sedan,Black,Drammen,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343972751,6,28464.0,164000,144.0,Norway
Nissan,Qashqai,1.5 dCi,2012,Diesel,Crossover,Black,Jessheim,Manual,https://www.finn.no/car/used/ad.html?finnkode=344744785,5,8565.0,98000,82.0,Norway
Mitsubishi,Outlander,2.2 HDi,2010,Diesel,Suv,Blue,Sandnes,Automatic,https://www.finn.no/car/used/ad.html?finnkode=339477023,5,8565.0,223000,116.0,Norway
Toyota,Land Cruiser V8,4.5,2013,Diesel,Suv,Black,Kristiansand,Automatic,https://www.finn.no/car/used/ad.html?finnkode=312054094,5,69214.0,272000,202.0,Norway
Mercedes Benz,Eqc,400,2021,Electric,Suv,Blue,Oslo,Automatic,https://www.finn.no/car/used/ad.html?finnkode=340895406,6,33569.0,133900,304.0,Norway
Mercedes Benz,S-Class,500 4MATIC,2015,Petrol,Sedan,Black,Oslo,Automatic,https://www.finn.no/car/used/ad.html?finnkode=338094930,6,69206.0,93000,339.0,Norway
Lamborghini,Gallardo,5.2 LP 560-4,2012,Petrol,Coupe,Orange,Vestby,Automatic,https://www.finn.no/car/used/ad.html?finnkode=340113986,5,112474.0,37550,417.0,Norway
Peugeot,508,1.6 HDi,2013,Diesel,Sedan,White,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=338698835,5,6488.0,211000,85.0,Norway
Bentley,Continental Gt,6.0 W12,2006,Petrol,Coupe,Black,Kolbotn,Automatic,https://www.finn.no/car/used/ad.html?finnkode=332390865,4,58746.0,59000,417.0,Norway
Bmw,5 Series,530d xDrive,2015,Diesel,Wagon,Black,Tromsø,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344243922,6,36242.0,209833,192.0,Norway
Volvo,V90,2.0 d5,2017,Diesel,Wagon,Silver,Furnes,Automatic,https://www.finn.no/car/used/ad.html?finnkode=191587688,6,46200.0,59900,175.0,Norway
Škoda,Superb,1.6 TDI,2012,Diesel,Wagon,Silver,Oslo,Manual,https://www.finn.no/car/used/ad.html?finnkode=318564365,5,6661.0,224951,78.0,Norway
Volvo,V60,1.6 DRIVe,2013,Diesel,Wagon,Gray,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342371387,5,8565.0,210000,85.0,Norway
Tesla,Model S,electro,2017,Electric,Sedan,Red,Porsgrunn,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342089303,6,28542.0,35000,391.0,Norway
Tesla,Model S,electro,2018,Electric,Sedan,Black,Porsgrunn,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343719193,6,26379.0,86500,391.0,Norway
Citroen,C3,1.6,2006,Petrol,Hatchback,Gray,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=341954818,4,3095.14,114000,81.0,Norway
Citroen,C3,1.6,2006,Petrol,Hatchback,Gray,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=328641609,4,4558.0,112000,81.0,Norway
Mercedes Benz,Eqc,400,2023,Electric,Suv,Black,Hønefoss,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344507582,6,59696.0,6500,304.0,Norway
Ford,Mustang,5.0,2013,Petrol,Coupe,Black,Oslo,Manual,https://www.finn.no/car/used/ad.html?finnkode=319320816,5,59265.0,52406,426.0,Norway
Volvo,Xc60,2.4 D4,2013,Diesel,Crossover,Gray,Drammen,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343882573,5,17217.0,255000,121.0,Norway
Bmw,3 Series,320d,2006,Diesel,Wagon,Silver,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=341289521,4,5622.0,227000,121.0,Norway
Volkswagen,Touareg,3.0 TDI V6,2017,Diesel,Suv,Silver,Kolbotn,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342082401,6,40577.0,147000,195.0,Norway
Mazda,6,2.2 cd,2017,Diesel,Wagon,Brown,Hønefoss,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342911358,6,15530.0,222000,130.0,Norway
Mercedes Benz,Gle-Class,350d 4Matic,2018,Diesel,Suv,Black,Sandnes,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344136982,6,66532.0,126000,192.0,Norway
Tesla,Model X,electro,2016,Electric,Suv,Gray,Siggerud,Automatic,https://www.finn.no/car/used/ad.html?finnkode=338922360,6,37981.0,92000,247.0,Norway
Opel,Mokka,1.6,2016,Diesel,Crossover,Gray,Fredrikstad,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342984202,6,13834.0,160900,101.0,Norway
Audi,A4,2.0,2006,Petrol,Wagon,Silver,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342046081,4,7612.0,189000,178.0,Norway
Tesla,Model X,electro,2017,Electric,Suv,Black,Siggerud,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342100970,6,38059.0,65000,390.0,Norway
Bmw,X5,D,2011,Diesel,Suv,Black,Hønefoss,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343480823,5,19885.0,268000,182.0,Norway
Bmw,X5,D,2011,Diesel,Suv,Black,Sandnes,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343886591,5,20677.0,218000,182.0,Norway
Audi,A6 Allroad,2.7 TDI,2007,Diesel,Crossover,Blue,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343560780,4,6834.0,211000,133.0,Norway
Ford,Galaxy,2.0 Duratorq,2016,Diesel,Mpv,Gray,Skien,Manual,https://www.finn.no/car/used/ad.html?finnkode=343891914,6,15478.0,153000,111.0,Norway
Mercedes Benz,C-Class,200D,2019,Diesel,Wagon,Black,Sandnes,Manual,https://www.finn.no/car/used/ad.html?finnkode=342934426,6,27677.0,149900,119.0,Norway
Volkswagen,Caddy,1.4,2019,Petrol,Pickup,White,Drammen,Manual,https://www.finn.no/car/used/ad.html?finnkode=343882888,6,14621.0,86890,93.0,Norway
Bmw,X4m,40i,2018,Petrol,Suv,Black,Stavanger,Automatic,https://www.finn.no/car/used/ad.html?finnkode=335032381,6,49229.0,94820,268.0,Norway
Volkswagen,Caddy,1.4,2019,Petrol,Pickup,White,Drammen,Manual,https://www.finn.no/car/used/ad.html?finnkode=343882979,6,15486.0,57000,93.0,Norway
Volvo,Xc60,2.4 D5,2015,Diesel,Crossover,White,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343923100,6,29329.0,113000,134.0,Norway
Toyota,Avensis,1.8 VVT-i,2013,Petrol,Wagon,Gray,Drammen,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342200065,5,9430.0,213000,109.0,Norway
Volkswagen,Touran,1.4,2018,Petrol,Mpv,Silver,Arendal,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344662836,6,24052.0,59609,111.0,Norway
Bmw,3 Series,325i,2006,Petrol,Coupe,Gray,Kongsvinger,Automatic,https://www.finn.no/car/used/ad.html?finnkode=341708385,4,11680.0,191800,162.0,Norway
Bmw,M5,5.0 v10,2005,Petrol,Sedan,Black,Oslo,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343188178,4,38846.0,141700,378.0,Norway
Mazda,3,1.6,2012,Diesel,Hatchback,White,Stavanger,Manual,https://www.finn.no/car/used/ad.html?finnkode=335880841,5,5969.0,169000,86.0,Norway
Peugeot,3008,1.6,2011,Diesel,Crossover,White,Oslo,Automatic,https://www.finn.no/car/used/ad.html?finnkode=321420334,5,5969.0,227900,82.0,Norway
Chevrolet,Camaro,6.2,2017,Petrol,Coupe,Gray,Oslo,Automatic,https://www.finn.no/car/used/ad.html?finnkode=310887734,6,77780.0,15698,343.0,Norway
Ford,Transit,2.2,2015,Diesel,Van,White,Drammen,Manual,https://www.finn.no/car/used/ad.html?finnkode=343078445,6,8565.0,167000,93.0,Norway
Tesla,Model S,electro,2018,Electric,Sedan,Gray,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342302723,6,26734.0,122300,390.0,Norway
Toyota,Avensis,1.8 VVT-i,2013,Petrol,Wagon,Red,Jessheim,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344706534,5,12026.0,152000,109.0,Norway
Audi,A6,3.0 TDI Quattro,2015,Diesel,Wagon,Blue,Gjøvik,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342055488,6,34520.0,147475,202.0,Norway
Bmw,7 Series,750i,2016,Petrol,Sedan,Black,Bryne,Automatic,https://www.finn.no/car/used/ad.html?finnkode=329729093,6,57015.0,109512,334.0,Norway
Porsche,Taycan,Turbo,2020,Electric,Sedan,White,Porsgrunn,Automatic,https://www.finn.no/car/used/ad.html?finnkode=338744892,6,77858.0,57900,516.0,Norway
Bmw,7 Series,750Li xDrive,2018,Petrol,Sedan,Black,Stavanger,Automatic,https://www.finn.no/car/used/ad.html?finnkode=329720401,6,71723.0,60000,334.0,Norway
Bmw,3 Series,320d,2008,Diesel,Convertible,Blue,Oslo,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344772717,4,20755.0,139000,131.0,Norway
Bmw,X5,xDrive30d,2013,Diesel,Suv,Black,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343917968,5,25869.0,160000,182.0,Norway
Ford,Transit,2.0,2017,Petrol,Van,White,Arendal,Manual,https://www.finn.no/car/used/ad.html?finnkode=341341019,6,27599.0,100600,126.0,Norway
Jaguar,I-Pace,EV400S,2019,Electric,Suv,Gray,Arendal,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344662689,6,25869.0,126500,298.0,Norway
Land Rover,Range Rover Sport,3.0 SDV6,2018,Diesel,Suv,Black,Kolbotn,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342202488,6,77780.0,97000,228.0,Norway
Volkswagen,Passat,2.0 TDI BlueMotion,2012,Diesel,Wagon,Black,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342604631,5,8565.0,216000,104.0,Norway
Volkswagen,Passat,2.0 TDI SCR,2012,Diesel,Wagon,Black,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344548484,5,7959.0,211000,104.0,Norway
Mercedes Benz,E-Class,63 AMG,2014,Petrol,Wagon,Black,Tromsø,Automatic,https://www.finn.no/car/used/ad.html?finnkode=340249609,6,59611.0,112247,436.0,Norway
