Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Škoda,Octavia,1.6,2018,Diesel,Sedan,Silver,Koło,Automatic,https://automotodeal.pl/osobowe/Skoda-octavia-skoda-octavia-16---115-km---navi---led---tempomat---jak-nowa---smartl.html,6,12682.43,127000,84.0,Poland
Volvo,V60,2.0 D3,2017,Diesel,Wagon,White,Koło,Automatic,https://automotodeal.pl/v60/volvo-v60-volvo-v60-d3-drive-e-summum---20---150-km---led---xenon---skora---tem.html,6,17975.65,56000,110.0,Poland
Honda,Accord,2.4,2005,Petrol,Sedan,Silver,Łuków,Automatic,https://automotodeal.pl/vii-2002-2008/honda-accord-24-ivtec-190km-automat-skora-acura-tsx.html,4,2519.42,152000,139.0,Poland
Chevrolet,Aveo,1.4,2011,Petrol,Sedan,Gray,Świebodzin,Manual,https://automotodeal.pl/aveo/chevrolet-aveo-14-100km-klimatyzacja-tempomat-1-reka-ks-serwisowa.html,5,4636.8,178024,73.0,Poland
Audi,Q7,3.0,2017,Diesel,Suv,Gray,Gdańsk,Automatic,https://automotodeal.pl/q7/audi-q7-psalon-vat-23procent-aso-led-matrix-quattro-alcantara-kamera-el-fot.html,6,42324.37,78759,160.0,Poland
Renault,Talisman,1.6,2016,Diesel,Sedan,Blue,Gdańsk,Automatic,https://automotodeal.pl/talisman/renault-talisman-psalon-vat23procent-asyst-pasa-led-navi-kamera-cz-park-360-klima.html,6,13741.12,135794,95.0,Poland
Mercedes Benz,B-Class,200,2007,Petrol,Hatchback,Black,Gdynia,Manual,https://automotodeal.pl/osobowe/mercedes-b-200-special-edition---automat---skora---gwarancja-raty-zamiana.html,4,5081.39,171000,99.0,Poland
Mazda,Cx-5,2.5,2014,Petrol,Crossover,White,Gdynia,Automatic,https://automotodeal.pl/cx-5/mazda-cx-5-25-awd-skyactive-skora-automat-navi-kamera-gwarancja-raty-zamiana.html,6,12068.33,157000,134.0,Poland
Peugeot,508,2.0 HDi,2012,Diesel,Sedan,White,Gdańsk,Manual,https://automotodeal.pl/508/peugeot-508-20hdi-navigacja-gps--head-up-panorama-1-wl-1-rok-gwarancji-zamiana.html,5,7410.14,170000,102.0,Poland
Mazda,Cx-7,2.3,2008,Petrol,Suv,Black,Grodzisk Mazowiecki,Automatic,https://automotodeal.pl/cx-7/mazda-cx-7-tylko-150tyskm-doinwestowana-xenon--skora--polecam-260hp.html,4,6118.92,150000,191.0,Poland
Volvo,V60,2.0 D3,2017,Diesel,Wagon,White,Koło,Automatic,https://automotodeal.pl/v60/volvo-v60-volvo-v60-d3-drive-e-summum---20---150-km---led---xenon---skora---tem671233223.html,6,16070.1,135000,110.0,Poland
Audi,Q3,2.0 TDI,2012,Diesel,Crossover,Black,Gdańsk,Manual,https://automotodeal.pl/q3/audi-q3-20tdi-auts-line177km-ledy-bi-xenon-skora-czarny-sufit-1rok-gwarancji.html,5,13762.050000000001,169000,130.0,Poland
Renault,Espace,1.6,2018,Diesel,Mpv,Black,Aleksandrów Łódzki,Automatic,https://automotodeal.pl/v-2015-/renault-espace-tylko-12-tys-km-initiale-paris-edc-7-osobhead-uppanoramakamera-pl.html,6,26360.07,12550,117.0,Poland
Volvo,V70,2.0,2014,Diesel,Wagon,Black,Słupsk,Automatic,https://automotodeal.pl/v70/volvo-v70-20-diesel-136-km-automat-nawigacja-bluetooth-daylight-led-isofix.html,6,7198.77,250459,99.0,Poland
Hyundai,Tucson,1.6 T-GDi,2020,Petrol,Suv,Blue,Wejherowo,Automatic,https://automotodeal.pl/tucson/hyundai-tucson-16-t-gdi--177km-style-demo-salon-pl-oddealera.html,6,23904.13,16945,130.0,Poland
Volvo,V60,2.0,2017,Diesel,Wagon,White,Gdańsk,Manual,https://automotodeal.pl/v60/volvo-v60-psalon-vat-23procent-aluskora-tempomat-podgrzewane-fot-cz-parkowania.html,6,16916.96,91668,110.0,Poland
Renault,Kadjar,1.2 TCe,2018,Petrol,Suv,White,Grójec,Automatic,https://automotodeal.pl/kadjar/renault-kadjar-wkrotce-renault-kadjar-15-18-12-energy-tce-s-edition.html,6,12195.52,84583,95.0,Poland
Hyundai,Tucson,2.0,2006,Diesel,Suv,Green,Starogard Gdański,Automatic,https://automotodeal.pl/tucson/hyundai-tucson-hyundai-tucson--klimatronic-gwarancja-przebiegu.html,4,3154.6800000000003,230184,83.0,Poland
Hyundai,Veloster,1.6,2013,Petrol,Coupe,Black,Mogilno,Automatic,https://automotodeal.pl/veloster/hyundai-veloster-bezwypadkowyoplacony-silnik-16--benzyna-piekny-kolorserwisautomat.html,5,7389.21,176000,103.0,Poland
Mercedes Benz,Clk-Class,240,2003,Petrol,Coupe,Silver,Głogówek,Automatic,https://automotodeal.pl/osobowe/mercedes-clk-240-nr-014-clk-240-w209-alu-klimatronik-170-km-ks-serwis-2003-r.html,3,5483.66,306855,124.0,Poland
Bmw,5 Series,528i,2015,Petrol,Sedan,Black,Gdańsk,Automatic,https://automotodeal.pl/bmw/bmw-528-528i-lift--moc245km-1-wl-po-pelnym-serwisie-bez-wkladu-1-rok-gwarancji.html,6,16514.46,90000,245.0,Poland
Renault,Kadjar,1.2,2015,Petrol,Suv,White,Grójec,Automatic,https://automotodeal.pl/kadjar/renault-kadjar-brutto-pakiet-look-renault-kadjar-15-18--12-energy-tc-zen.html,6,9061.77,114369,95.0,Poland
Audi,Q7,3.0 TDI,2010,Diesel,Suv,Bronse,Błonie,Automatic,https://automotodeal.pl/i-2005-2015/audi-q7-30tdi-245km-biksenon-navi-pneumatyka-lift.html,5,16705.36,238000,180.0,Poland
Volvo,Xc60,2.0,2014,Diesel,Crossover,Black,Gdańsk,Automatic,https://automotodeal.pl/xc-60/volvo-xc-60-20d4-automat-moc-181km-ledy-skory-navi-carni-sufit-1-rok-gwarancji.html,6,15455.77,250000,181.0,Poland
Renault,Espace,1.6,2017,Diesel,Mpv,Gray,Otmuchów,Automatic,https://automotodeal.pl/v-2015-/renault-espace-initiale-paris-bosse-4control-acc-panorama-blis-nawi-skora-masaze.html,6,18992.02,93414,117.0,Poland
Renault,Espace,1.6,2017,Diesel,Mpv,Bronse,Otmuchów,Automatic,https://automotodeal.pl/v-2015-/renault-espace-initiale-paris-bosse-4control-acc-szyberdach-blis-dvd-skora-masaz-7-os.html,6,19627.05,83560,117.0,Poland
Hyundai,Ix35,1.6 GDi,2014,Petrol,Crossover,White,Koło,Automatic,https://automotodeal.pl/ix35/hyundai-ix35-hyundai-ix35---16---135-km---benzyna---bogata-wersja---navi---led---k.html,6,12259.0,55700,99.0,Poland
Mitsubishi,L200,2.4,2017,Diesel,Pickup,White,Koło,Manual,https://automotodeal.pl/l200/mitsubishi-l200-mitsubishi-l200---24---154-km---naped-4x4---podwojna-kabina---tempoma.html,6,19034.34,73000,113.0,Poland
Ford,Grand C-Max,2.0,2015,Diesel,Mpv,Gray,Nowy Sącz,Automatic,https://automotodeal.pl/grand-c-max/ford-grand-c-max-salonowy-lift-20tdci-150km-titanium-automat.html,6,9718.19,126500,110.0,Poland
Renault,Talisman,1.6,2017,Diesel,Sedan,Silver,Gdańsk,Automatic,https://automotodeal.pl/talisman/renault-talisman-psalon-asyst-pasa-vat23procent-led-navi-kamera-cz-park-360-klima.html,6,13741.12,153402,117.0,Poland
Audi,A4,2.0,2006,Diesel,Wagon,Black,Częstochowa,Automatic,https://automotodeal.pl/b7-2004-2007/audi-a4-xenon-skora-nowy-rozrzad-stan-bdobry-bezwypadkowy-z-niemiec-oplacony.html,4,4213.37,191275,102.0,Poland
Renault,Talisman,1.6,2018,Diesel,Sedan,White,Otmuchów,Automatic,https://automotodeal.pl/talisman/renault-talisman-initiale-paris-bosse-4control-kamera-skora-acc-blis-wentylacja-full-op.html,6,16239.380000000001,132270,117.0,Poland
Citroen,Ds5,1.6 THP,2016,Petrol,Hatchback,Blue,Nowy Sącz,Automatic,https://automotodeal.pl/ds5/citroen-ds5-salonowy-16thp-automatic-full-opcja.html,6,12894.26,75800,121.0,Poland
Citroen,C3,1.4,2007,Diesel,Hatchback,Black,Lublin,Automatic,https://automotodeal.pl/i-2002-2009/citroen-c3-sprzedam-ladnego-c-3-wersexclusive-automat.html,4,2116.92,165000,51.0,Poland
Mazda,Cx-5,2.2 D,2018,Diesel,Crossover,Red,Wejherowo,Automatic,https://automotodeal.pl/cx-5/mazda-cx-5-22d-4x4-skypassion--serwisowany--salonpl-oddealera.html,6,22845.440000000002,43155,128.0,Poland
Kia,Sportage,1.6 T-GDi,2023,Petrol,Crossover,Gray,Marki,Manual,https://www.gezet.pl/oferty/samochody/kia-sportage-1-6-t-gdi-150km-6mt-fwd-wersja-m-smart-52040,6,29415.0,150,111.0,Poland
Kia,Sportage,1.6 T-GDi,2023,Petrol,Crossover,Gray,Marki,Manual,https://www.gezet.pl/oferty/samochody/kia-sportage-1-6-t-gdi-150km-6mt-fwd-wersja-m-smart-53357,6,28952.0,150,111.0,Poland
