Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Land Rover,Range Rover Sport,3.0,2012,Diesel,Suv,Black,Bucureşti,Automatic,https://www.anuntul.ro/anunt-autoturism-land-rover-range-rover-sport-2kBDBx#z3NBDd%20,5,12650,257000,188.0,Romania
Volvo,Xc90,2.0,2018,Petrol,Suv,Black,Constanţa,Automatic,https://www.leasingsh.ro/volvo-xc-90-2018-VOL42245.html,6,48269,50000,170.0,Romania
Volkswagen,T-Cross,1.0 tsi,2021,Petrol,Crossover,Gray,Bucureşti,Automatic,https://www.anuntul.ro/anunt-autoturism-volkswagen-t-cross-BJneWx#z3NBDd%20,6,17493,70400,70.0,Romania
Mazda,3,1.6,2010,Petrol,Hatchback,Black,Cluj Napoca,Manual,https://www.anuntul.ro/anunt-autoturism-mazda-3-kMdvv1#z3NBDd%20,5,6795,163000,77.0,Romania
Volvo,Xc90,2.0,2020,Diesel,Suv,Gray,Bucureşti,Automatic,https://www.leasingsh.ro/volvo-xc-90-2020-VOL51670.html,6,47899,68500,175.0,Romania
Land Rover,Defender,2.0,2020,Diesel,Suv,Silver,Constanţa,Automatic,https://www.leasingsh.ro/land-rover-defender-2020-LAN37755.html,6,68010,44950,179.0,Romania
Bmw,X3,xDrive20d,2021,Diesel,Suv,Black,Otopeni,Automatic,https://www.anuntul.ro/anunt-autoturism-bmw-x3-eaDjEY#z3NBDd%20,6,51741,45735,140.0,Romania
Opel,Mokka,1.6,2022,Diesel,Crossover,White,Bucureşti,Automatic,https://www.leasingsh.ro/opel-mokka-2022-OPE51679.html,6,19500,22300,82.0,Romania
Volkswagen,Tiguan,2.0,2009,Diesel,Crossover,Gray,Bistriţa,Manual,https://cautimasina.ro/volkswagen-tiguan-2009-diesel-second-hand-info-65e331e5d3b470484d0828f6,5,9950,168419,140.0,Romania
Opel,Astra,1.4,2018,Petrol,Hatchback,Blue,Bucureşti,Manual,https://anunturi-auto.4tuning.ro/masini-second/opel/astra/opel-astra-1-4-2018-79951528.html,6,15500,24000,75.0,Romania
Nissan,Qashqai,1.6,2009,Petrol,Crossover,Black,Ploieşti,Manual,https://carzz.ro/nissan-qashqai-fab-082009-16-benzina-114-cpposibilitate-rate-anunt_3418417.html,5,6190,290000,116.0,Romania
Renault,Captur,1.0,2020,Petrol,Suv,Blue,Bucureşti,Automatic,https://www.leasingsh.ro/renault-captur-2020-REN51680.html,6,12899,44700,74.0,Romania
Audi,Q5,2.0,2016,Diesel,Suv,Black,Bistriţa,Automatic,https://www.depozitauto.ro/autoturisme/audi.q5.bistrita-nasaud.2016.268037.html,6,19742,287881,141.0,Romania
Mercedes Benz,Glc-Class,220d 4Matic,2018,Diesel,Suv,Gray,Ploieşti,Automatic,https://www.anuntul.ro/anunt-autoturism-mercedes-benz-glc-2kn7J6#z3NBDd%20,6,32990,95240,124.0,Romania
Škoda,Octavia,1.0 tsi,2017,Petrol,Sedan,NA,Bucureşti,Manual,https://www.anuntul.ro/anunt-autoturism-skoda-octavia-rmED8W#z3NBDd%20,6,11390,61000,84.0,Romania
Kia,Sportage,1.6 GDi,2019,Petrol,Crossover,White,Braşov,Automatic,https://www.leasingsh.ro/kia-sportage-2019-KIA53153.html,6,21899,97400,101.0,Romania
Jeep,Grand Cherokee,3.0 crd,2016,Diesel,Suv,NA,Oradea,Automatic,https://www.anuntul.ro/anunt-autoturism-jeep-grand-cherokee-rqwMwb#z3NBDd%20,6,26490,112000,184.0,Romania
Renault,Scenic,1.5 dCi,2007,Diesel,Mpv,NA,Bucureşti,Manual,https://www.anuntul.ro/anunt-autoturism-renault-scenic-ea8dz2#z3NBDd%20,4,3399,239313,78.0,Romania
Mazda,Cx-5,2.2 D,2012,Diesel,Crossover,NA,Bacău,Manual,https://www.anuntul.ro/anunt-autoturism-mazda-cx-5-zKzERm#z3NBDd%20,5,11490,187000,110.0,Romania
Seat,Leon,1.6,2013,Diesel,Hatchback,NA,Bacău,Manual,https://www.anuntul.ro/anunt-autoturism-seat-leon-m3nwr2#z3NBDd%20,5,7490,241000,77.0,Romania
Bmw,X1,xDrive18d,2019,Diesel,Suv,Blue,Bucureşti,Automatic,https://bavariaused.com/produs/bmw-x1-xdrive18d-147606/,6,23980,47867,111.0,Romania
Volvo,Xc60,2.4 D5,2013,Diesel,Crossover,NA,Cluj Napoca,Automatic,https://www.anuntul.ro/anunt-autoturism-volvo-xc60-2kLD4J#z3NBDd%20,5,16599,212300,158.0,Romania
Renault,Koleos,2.0 dCi,2009,Diesel,Suv,NA,Târgu Mureş,Manual,https://www.anuntul.ro/anunt-autoturism-renault-koleos-2knz8q#z3NBDd%20,5,5990,193000,110.0,Romania
Lexus,Nx,2.5,2018,Hybrid,Suv,Gray,Braşov,Automatic,https://www.leasingsh.ro/lexus-seria-nx-2018-LEX53156.html,6,33900,78415,115.0,Romania
Volkswagen,Golf,1.4,2011,Petrol,Hatchback,Gray,Bucureşti,Manual,https://carzz.ro/volkswagen-golf-vi-14-benzina-160-cp-152000-km-anunt_3415624.html,5,6100,152000,119.0,Romania
Hyundai,Santa Fe,2.2 CRDi,2013,Diesel,Suv,NA,Târgu Mureş,Automatic,https://www.anuntul.ro/anunt-autoturism-hyundai-santa-fe-zKkbjY#z3NBDd%20,5,14990,168000,144.0,Romania
Jeep,Wrangler,2.8 CRD,2016,Diesel,Suv,Gray,Bucureşti,Automatic,https://www.leasingsh.ro/jeep-wrangler-2016-JEE51746.html,6,40000,4874,149.0,Romania
Toyota,Auris,2.0 D-4D,2015,Diesel,Hatchback,NA,Bacău,Manual,https://www.anuntul.ro/anunt-autoturism-toyota-auris-VlVXRn#z3NBDd%20,6,9990,228000,91.0,Romania
Seat,Leon,2.0 TSI Cupra,2014,Petrol,Hatchback,NA,Târgu Mureş,Automatic,https://www.anuntul.ro/anunt-autoturism-seat-leon-BqRM1r#z3NBDd%20,6,15500,133783,205.0,Romania
Nissan,X-Trail,1.6,2014,Diesel,Suv,NA,Ploieşti,Manual,https://lajumate.ro/nissan-x-trail-7locuri4x4-fab-102014-16-dci-131cp-euro-4-15518490.html,6,13790,217000,97.0,Romania
Ford,Kuga,2.0 TDCi,2014,Diesel,Suv,NA,Bistriţa,Manual,https://www.depozitauto.ro/autoturisme/ford.kuga.bistrita-nasaud.2014.268026.html,6,14999,173922,121.0,Romania
Ford,Focus,1.6,2012,Diesel,Hatchback,Black,Ploieşti,Manual,https://carzz.ro/ford-focus-mk316-diesel116cpeuro-5posibilitatea-ratebuyback-anunt_3418422.html,5,5690,290000,86.0,Romania
Bmw,8 Series,M850i xDrive,2020,Petrol,Coupe,Black,Arad,Automatic,https://bavariaused.com/produs/bmw-m850i-xdrive-duwrqw9jk2k2uexmwee9pq/,6,57058,53427,395.0,Romania
Bmw,7 Series,740d,2023,Diesel,Sedan,Black,Arad,Automatic,https://bavariaused.com/produs/bmw-740d-duwrsg9jk2c2znjkwee9pq/,6,73025,35513,213.0,Romania
Bmw,7 Series,740d,2023,Diesel,Sedan,Black,Arad,Automatic,https://bavariaused.com/produs/bmw-740d-duwrsg9jk2c2zkhswee9pq/,6,74705,27566,213.0,Romania
Bmw,X3,M40d,2023,Diesel,Suv,White,Arad,Automatic,https://bavariaused.com/produs/bmw-x3-m40d-duwrsg9jk2c2l0hmwee9pq/,6,54537,46080,253.0,Romania
Bmw,X3,xDrive30d,2023,Diesel,Suv,Blue,Arad,Automatic,https://bavariaused.com/produs/bmw-x3-xdrive30d-duwrsg9jk2c2dnjiwee9pq/,6,51176,36099,213.0,Romania
Bmw,7 Series,740d xDrive,2022,Diesel,Sedan,Black,Arad,Automatic,https://bavariaused.com/produs/bmw-740d-xdrive-duwrqw9jk2g2l1hzwee9pq/,6,75546,25098,222.0,Romania
Bmw,X3,M40d,2022,Diesel,Suv,Black,Arad,Automatic,https://bavariaused.com/produs/bmw-x3-m40d-duwrsg9jk2c2l0hrwee9pq/,6,54537,24263,253.0,Romania
Bmw,X3,xDrive20d,2022,Diesel,Suv,Gray,Arad,Automatic,https://bavariaused.com/produs/bmw-x3-xdrive20d-duwrsg9jk2c2l0rjwee9pq/,6,43613,15320,141.0,Romania
Bmw,M8,4.4,2023,Petrol,Convertible,Black,Arad,Automatic,https://bavariaused.com/produs/bmw-m8-competition-cabrio-xdrive-duwrsg9jk2c2ugzmwee9pq/,6,91344,25901,466.0,Romania
Mini,One,1.6,2021,Petrol,Mini,Blue,Arad,Manual,https://bavariaused.com/produs/mini-one-duwrsg9jk2c2dnjlwee9pq/,6,18857,1946,76.0,Romania
Bmw,8 Series,M850i xDrive,2023,Petrol,Coupe,White,Arad,Automatic,https://bavariaused.com/produs/bmw-m850i-xdrive-duwrsg9jk2c3uerrwee9pq/,6,62941,42891,395.0,Romania
Mini,One,1.6,2021,Petrol,Mini,Black,Arad,Manual,https://bavariaused.com/produs/mini-one-duwrsg9jk2c2dlrmwee9pq/,6,15957,27296,76.0,Romania
Mazda,Cx-30,1.8,2019,Diesel,Crossover,Black,Ploieşti,Automatic,https://lajumate.ro/mazda-cx-30fab-102019euro518-diesel-116cp-posibilitate-rate-15423431.html,6,17990,188000,86.0,Romania
Škoda,Citigo,1.0,2019,Petrol,Mini,White,Bucureşti,Manual,https://www.anuntul.ro/anunt-autoturism-skoda-citigo-x7aKLV#z3NBDd%20,6,5990,158000,48.0,Romania
Land Rover,Discovery Sport,2.0,2017,Diesel,Suv,White,Bucureşti,Automatic,https://www.bestauto.ro/anunturi/auto-moto/masini-second-hand/land-rover/discovery-sport/anunt/land-rover-discovery-sport-2-0-l-td4-automatic-2017-57-258-km-1-999-cm3-diesel/g304f4ih7f2072h22787ffg677952979.html,6,19500,258,111.0,Romania
Škoda,Kodiaq,2.0,2019,Diesel,Suv,NA,Oradea,Automatic,https://www.anuntul.ro/anunt-autoturism-skoda-kodiaq-xP49eW#z3NBDd%20,6,21900,209000,139.0,Romania
Ford,Tourneo Custom,2.0,2019,Diesel,Van,Gray,Braşov,Automatic,https://www.bestauto.ro/anunturi/auto-moto/masini-second-hand/ford/tourneo-custom/anunt/auto-rulota-benimar-497-din-2019-5600-km-reali/g21g454eg45g7774d8208297631fi6i2.html,6,63000,5600,93.0,Romania
Audi,Q2,1.6,2019,Diesel,Crossover,Black,Oradea,Automatic,https://www.bestauto.ro/anunturi/auto-moto/masini-second-hand/audi/q2/anunt/audi-q2-2019-142-385-km-1598-cm3-diesel/0960g48h52h070h0213hd2hh37e37e19.html,6,17890,385,86.0,Romania
Bmw,X5,xDrive40i,2023,Petrol,Suv,Black,Arad,Automatic,https://bavariaused.com/produs/bmw-x5-xdrive40i-duwrsg9jk2c3ufbrwee9pq/,6,60873,37384,248.0,Romania
Bmw,X5,M50i,2023,Petrol,Suv,Black,Arad,Automatic,https://bavariaused.com/produs/bmw-x5-m50i-duwrsg9jk2c2l1hzwee9pq/,6,66378,24482,395.0,Romania
Bmw,X5,xDrive40i,2023,Petrol,Suv,Black,Arad,Automatic,https://bavariaused.com/produs/bmw-x5-xdrive40i-duwrsg9jk2c3uerjwee9pq/,6,61260,23073,248.0,Romania
Bmw,X5,xDrive40i,2023,Petrol,Suv,Black,Arad,Automatic,https://bavariaused.com/produs/bmw-x5-xdrive40i-duwrsg9jk2c3ufbmwee9pq/,6,61092,18332,248.0,Romania
Volkswagen,Passat,1.5,2021,Petrol,Sedan,Gray,Constanţa,Automatic,https://www.bestauto.ro/anunturi/auto-moto/masini-second-hand/vw/passat/anunt/volkswagen-passat-garantie-decembrie-2024-echipare-highline-camera-360-27-600-km/h8h52i8076547h0721h760h90d5h2def.html,6,26999,27600,111.0,Romania
Bmw,M3,3.0 cs,2023,Petrol,Coupe,NA,Băneasa,Automatic,https://bavariaused.com/produs/bmw-m3-cs-177991/,6,114980,239,410.0,Romania
Renault,Clio,1.5 dCi,2019,Diesel,Hatchback,White,Bucureşti,Manual,https://www.anuntul.ro/anunt-autoturism-renault-clio-x7QR4Y#z3NBDd%20,6,7650,152000,55.0,Romania
Hyundai,Accent,1.4,2007,Petrol,Hatchback,NA,Timişoara,Manual,https://cautimasina.ro/hyundai-accent-2007-benzina-second-hand-info-65b2191ab1b22d0105a5efce,4,3500,115000,97.0,Romania
Škoda,Kodiaq,1.5,2019,Petrol,Suv,NA,Galaţi,Automatic,https://www.anuntul.ro/anunt-autoturism-skoda-kodiaq-ZzVejl#z3NBDd%20,6,26000,87680,110.0,Romania
Volkswagen,Touran,2.0,2012,Diesel,Mpv,NA,Ploieşti,Manual,https://carzz.ro/volkswagen-touran-dsg-7-locuri-20-diesel-140-cp-euro-5-anunt_3418413.html,5,8490,290000,104.0,Romania
Citroen,C3 Aircross,1.6,2019,Diesel,Suv,White,Constanţa,Manual,https://www.anuntul.ro/anunt-autoturism-citroen-c3-aircross-m3XDRK#z3NBDd%20,6,10289,146992,74.0,Romania
Ineos,Grenadier,3.0,2023,Diesel,Suv,NA,Timişoara,Automatic,https://bavariaused.com/produs/ineos-grenadier-190453/,6,83235,24714,185.0,Romania
Ineos,Grenadier,3.0,2023,Diesel,Suv,NA,Sibiu,Automatic,https://bavariaused.com/produs/ineos-grenadier-190611/,6,80639,6400,185.0,Romania
Ineos,Grenadier,3.0,2023,Diesel,Suv,NA,Otopeni,Automatic,https://bavariaused.com/produs/ineos-grenadier-190614/,6,79962,5250,185.0,Romania
