Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Jaguar,F-Pace,2.0,2016,Diesel,Crossover,Red,Madrid,Automatic,https://coches.km77.com/jaguar/f-pace/en-madrid/2369588/se-vende-jaguar-f-pace-20i4d-r-sport-aut-awd-180-2016-21890-eur,6,21890,123009,134.0,Spain
Peugeot,2008,1.2 puretech,2017,Petrol,Crossover,Gray,Valencia,Manual,https://coches.km77.com/peugeot/2008/en-valencia/2300807/se-vende-peugeot-2008-allure-12-puretech-81kw-110cv-ss-2017-14495-eur,6,14495,81000,100.0,Spain
Fiat,500,1.4,2009,Petrol,Mini,Orange,Madrid,Manual,https://coches.km77.com/fiat/500/en-madrid/2369531/se-vende-fiat-500-14-lounge-2009-7490-eur,5,7490,100585,74.0,Spain
Jeep,Renegade,1.6 Limited,2021,Diesel,Crossover,Gray,Vélez Málaga,Manual,https://coches.km77.com/jeep/renegade/en-malaga/2325511/se-vende-jeep-renegade-16-mjet-956kw-130cv-4x2-limited-2021-22300-eur,6,22300,64433,130.0,Spain
Ford,Puma,1.0 EcoBoost,2020,Hybrid,Crossover,Blue,Valencia,Manual,https://coches.km77.com/ford/puma/en-valencia/2372862/se-vende-ford-puma-10-ecoboost-92kw-125cv-mhev-titanium-2020-18695-eur,6,18695,47881,125.0,Spain
Hyundai,Santa Fe,2.2 CRDi,2009,Diesel,Suv,Black,Madrid,Manual,https://coches.km77.com/hyundai/santa-fe/en-madrid/2369532/se-vende-hyundai-santa-fe-22crdi-comfort-f-5pl-2009-9990-eur,5,9990,174051,115.0,Spain
Peugeot,2008,1.2 puretech,2020,Petrol,Crossover,Gray,Madrid,Manual,https://coches.km77.com/peugeot/2008/en-madrid/2362050/se-vende-peugeot-2008-puretech-130-ss-bvm6-allure-2020-19495-eur,6,19495,29049,130.0,Spain
Peugeot,2008,1.2 puretech,2021,Petrol,Crossover,White,Valencia,Manual,https://coches.km77.com/peugeot/2008/en-valencia/2371980/se-vende-peugeot-2008-active-pack-puretech-100-ss-bvm6-2021-15495-eur,6,15495,103215,100.0,Spain
Peugeot,3008,1.5 bluehdi,2021,Diesel,Crossover,White,Valencia,Manual,https://coches.km77.com/peugeot/3008/en-valencia/2338028/se-vende-peugeot-3008-15-bluehdi-96kw-130cv-ss-active-2021-19995-eur,6,19995,92817,130.0,Spain
Audi,A1,1.0 25 TFSI,2019,Petrol,Mini,Blue,Valencia,Manual,http://tuad.es/audi-a1--sportback--25-tfsi-70kw-95cv-advanced-15044097,6,17995,59647,95.0,Spain
Opel,Mokka,1.2,2023,Petrol,Crossover,Gray,La Estrella,Manual,https://coches.km77.com/opel/mokka/en-sevilla/2363341/se-vende-opel-mokka-12-t-74kw-100-cv-business-elegance-2023-21500-eur,6,21500,9278,100.0,Spain
Land Rover,Evoque,2.0,2020,Diesel,Suv,White,Valencia,Automatic,https://coches.km77.com/land-rover/range-rover-evoque/en-valencia/2294350/se-vende-land-rover-range-rover-evoque-20-d150-r-dynamic-se-auto-4wd-mhev-2020-34895-eur,6,34895,44845,111.0,Spain
Peugeot,3008,1.5 bluehdi,2022,Electric,Crossover,White,Valencia,Manual,https://coches.km77.com/peugeot/3008/en-valencia/2329423/se-vende-peugeot-3008-15-bluehdi-96kw-130cv-ss-active-pack-2022-30495-eur,6,30495,22,130.0,Spain
Smart,Forfour,1.0,2015,Petrol,Hatchback,Silver,Madrid,Manual,https://coches.km77.com/smart/forfour/en-madrid/2360975/se-vende-smart-forfour-52-proxy-2015-10890-eur,6,10890,41787,71.0,Spain
Toyota,Yaris,1.5 S,2022,Petrol,Sedan,White,Majadahonda,Manual,https://coches.km77.com/toyota/yaris/en-madrid/2388987/se-vende-toyota-yaris-125-s-edition-2022-16990-eur,6,16990,23564,92.0,Spain
Ford,Puma,1.0 EcoBoost,2021,Petrol,Crossover,Black,Ademuz,Manual,https://coches.km77.com/ford/puma/en-madrid/2350041/se-vende-ford-puma-10-ecoboost-92kw-125cv-titanium-2021-15950-eur,6,15950,86000,125.0,Spain
Cupra,Formentor,1.5 tsi,2022,Petrol,Crossover,Gray,Sabadell,Automatic,https://coches.km77.com/cupra/formentor/en-barcelona/2318043/se-vende-cupra-formentor-15-tsi-110kw-150-cv-dsg-2022-29900-eur,6,29900,8329,111.0,Spain
Škoda,Octavia,2.0 TDI,2020,Diesel,Sedan,Gray,Madrid,Automatic,https://coches.km77.com/skoda/octavia/en-madrid/2347410/se-vende-skoda-octavia-20-tdi-cr-110kw-150cv-dsg-ambition-2020-12499-eur,6,12499,199000,150.0,Spain
Bmw,X3,sDrive18d,2018,Diesel,Suv,White,Tijarafe,Automatic,https://coches.km77.com/bmw/x3/en-las-palmas/2338082/se-vende-bmw-x3-sdrive18d-2018-28995-eur,6,28995,86772,243.0,Spain
Bmw,5 Series,520d,2013,Diesel,Wagon,Gray,Ademuz,Manual,https://coches.km77.com/bmw/5-series/en-madrid/2348846/se-vende-bmw-5-series-520d-touring-2013-9950-eur,5,9950,252000,183.0,Spain
Mazda,Cx-3,1.8,2019,Diesel,Crossover,Blue,Valencia,Automatic,https://coches.km77.com/mazda/cx-3/en-valencia/2332235/se-vende-mazda-cx-3-18-d-zenith-2wd-at-85-kw-115-cv-2019-18595-eur,6,18595,103854,85.0,Spain
Kia,Stonic,1.0 T-GDi,2021,Hybrid,Crossover,Red,Ademuz,Manual,https://coches.km77.com/kia/stonic/en-madrid/2388041/se-vende-kia-stonic-10-t-gdi-88kw-120cv-mhev-imt-drive-2021-18950-eur,6,18950,500,119.0,Spain
