Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Volvo,Xc90,2.0,2022,Diesel,Suv,Silver,Svarta,Semi Automatic,https://www.bytbil.com/jamtlands-lan/personbil-xc90-r-design-pro-ed-b5-235-hk-awd-bw-se-spec-moms-5031-17528745,6,60812.99999999999,37420,173.0,Sweden
Hyundai,Ix35,1.6 GDi,2014,Petrol,Crossover,Black,Vallentuna,Automatic,https://bilweb.se/stockholms-lan/hyundai-ix35-go-2-0-gdi-awd-automat-pano-b-kamera-navi-2014-suv-10731853,6,13220.0,109820,123.0,Sweden
Bmw,X6,xDrive30d,2015,Diesel,Suv,Black,Eskilstuna,Automatic,https://www.blocket.se/annons/1001042692,6,33449.0,100000,190.0,Sweden
Audi,A7,4.0 TFSI,2015,Petrol,Sedan,White,Landvetter,Automatic,https://www.bytbil.com/vastra-gotalands-lan/personbil-a7-rs7-4-0-tfsi-v8-quattro-taklucka-bo-hud-se-spec-7869-17518150,6,50297.0,110000,412.0,Sweden
Bmw,5 Series,530e,2023,Hybrid,Sedan,Black,Svarta,Automatic,https://www.bytbil.com/stockholms-lan/personbil-530e-iperformance-m-sport-pano-h-k-b-kamera-navi-252hk-11518-17444254,6,33921.299999999996,37990,135.0,Sweden
Bmw,7 Series,740d,2018,Diesel,Sedan,Black,Vallentuna,Automatic,https://www.bytbil.com/stockholms-lan/personbil-740-d-xdrive-limousine-m-sport-laser-hud-h-k-pano-se-utr-9042-17590009,6,48453.0,57000,235.0,Sweden
Nissan,Qashqai,1.6,2014,Diesel,Crossover,White,Kalmar,Automatic,https://www.bytbil.com/kalmar-lan/personbil-qashqai-1-6-dci-130hk-xtronic-cvt-panorama-360-8570-17514165,6,11023.0,189760,96.0,Sweden
Bmw,X4,xDrive30d,2017,Diesel,Suv,White,Bro,Automatic,https://www.bytbil.com/stockholms-lan/personbil-x4-xdrive30d-m-sport-258hk-head-up-taklucka-seutrustn-10008-17541148,6,29998.0,100510,190.0,Sweden
Volvo,V70,2.5 D5,2012,Diesel,Wagon,Silver,Karlstad,Automatic,https://bilweb.se/varmlands-lan/volvo-v70-d5-geartronic-momentum-ocean-race-euro5-voc-2012-kombi-10666568,5,9699.0,276000,160.0,Sweden
Audi,Sq5,3.0 TDI,2019,Diesel,Suv,Black,Falun,Automatic,https://www.bytbil.com/dalarnas-lan/personbil-sq5-tdi-s-tronic-evolution-bo-pano-full-utrustad-347hk-5980-17536084,6,46767.0,96010,255.0,Sweden
Lexus,Rx,450h,2017,Hybrid,Suv,Black,Stockholm,Automatic,https://www.blocket.se/annons/1001055390,6,34773.0,98490,233.0,Sweden
Volvo,Xc60,2.0 T8 AWD,2024,Hybrid,Crossover,White,Karlstad,Automatic,https://www.bytbil.com/varmlands-lan/personbil-xc60-t8-twen-awd-r-design-bw-360k-pano-drag-hud-22-9574-17560481,6,32616.3,230,235.0,Sweden
Bmw,5 Series,530e,2023,Hybrid,Sedan,White,Uppsala,Automatic,https://www.bytbil.com/uppsala-lan/personbil-530e-iperformance-steptronic-m-sport-252hk-navi-se-spec-7032-16721453,6,32181.3,74890,135.0,Sweden
Volvo,V70,2.4,2012,Diesel,Wagon,White,Växjö,Automatic,https://www.bytbil.com/kronobergs-lan/personbil-v70-d5-summum-geartronic-215hk-6-99-7784-17568891,5,13671.0,149850,158.0,Sweden
Bmw,X6,xDrive40d,2013,Diesel,Suv,Black,Svarta,Automatic,https://www.bytbil.com/stockholms-lan/personbil-x6-xdrive40d-steptronic-taklucka-bluetooth-gps-m-sport-10823-17297593,5,18083.0,213660,225.0,Sweden
Hyundai,Kona,1.6 hybrid,2023,Hybrid,Crossover,Black,Ljungby,Automatic,https://www.bytbil.com/kronobergs-lan/personbil-kona-hybrid-1-6-dct-n-line-techpaket-bose-2112-17570930,6,33528.0,6800,77.0,Sweden
Lexus,Gs,300,2005,Petrol,Sedan,Silver,Helsingborg,Automatic,https://www.bytbil.com/skane-lan/personbil-gs-300-3-0-v6-nybes-gps-backkamera-executive-mm-9663-17597792,4,7051.0,245000,183.0,Sweden
Audi,Q7,3.0 tfsi,2023,Hybrid,Suv,Black,Are,Automatic,https://www.bytbil.com/stockholms-lan/personbil-q7-55-tfsi-e-q-navi-cockpit-lader-drag-luftfjadr-matrix-11518-17394640,6,54801.299999999996,34900,250.0,Sweden
Volvo,S40,2.0,2011,Diesel,Sedan,White,Stockholm,Automatic,https://www.bytbil.com/stockholms-lan/personbil-s40-d3-automat-150hk-classic-980kr-man-taklucka-10447-17571429,5,7493.0,228500,110.0,Sweden
Volkswagen,Touareg,3.0 TDI V6,2011,Diesel,Suv,Black,Halmstad,Automatic,https://www.bytbil.com/hallands-lan/personbil-touareg-3-0-v6-tdi-4motion-premium-panorama-1892-17502219,5,12788.0,240000,180.0,Sweden
Volvo,Xc60,2.0 Recharge T6,2024,Hybrid,Crossover,White,Stockholm,Automatic,https://www.bytbil.com/stockholms-lan/personbil-xc60-recharge-t6-awd-r-design-pano-drag-navi-hk-voc-100311-17467851,6,47841.299999999996,62000,186.0,Sweden
Volkswagen,Polo,1.1,2024,Petrol,Hatchback,White,Uppsala,Manual,https://www.bytbil.com/uppsala-lan/personbil-polo-5-dorrar-1-4-comfortline-euro-5-8925-17504353,6,6089.0,180010,63.0,Sweden
Volkswagen,Touran,1.8 TSI,2016,Petrol,Mpv,Blue,Uppsala,Automatic,https://www.bytbil.com/uppsala-lan/personbil-touran-crosstouran-1-4-tsi-aut-7-sits-140hk-skinn-8327-17589592,6,11014.0,179110,103.0,Sweden
Volvo,Xc90,2.0,2024,Diesel,Suv,White,Helsingborg,Automatic,https://www.bytbil.com/skane-lan/personbil-xc90-b5-awd-r-design-7saten-mildhybrid-panoramamassage-6884-16548752,6,47650.0,129990,173.0,Sweden
Land Rover,Range Rover Sport,2.0,2021,Hybrid,Suv,Black,Vallentuna,Automatic,https://www.bytbil.com/stockholms-lan/personbil-range-rover-sport-p400e-autobiography-dynamic-9042-17552190,6,79343.0,26000,223.0,Sweden
Kia,Ceed,1.4 T-GDi,2019,Petrol,Hatchback,White,Bro,Automatic,https://www.bytbil.com/stockholms-lan/personbil-ceed-sportswagon-1-4-t-gdi-gt-line-kamera-d-krok-m-varm-10008-17582230,6,17024.0,68000,103.0,Sweden
Renault,Trafic,2.1 d,2020,Diesel,Van,White,Stockholm,Automatic,https://www.bytbil.com/stockholms-lan/personbil-trafic-kombi-lang-170hk-varmare-b-kamera-9sits-moms-9370-17502047,6,34402.0,50020,126.0,Sweden
Audi,Sq8,4.0 TDI,2020,Diesel,Suv,Black,Stockholm,Automatic,https://www.bytbil.com/stockholms-lan/personbil-sq8-4-0-v8-tdi-moms-rs-diamond-pano-hud-bo-night-8553-17546477,6,79343.0,95500,320.0,Sweden
Volvo,Xc60,2.0 T8 AWD,2019,Hybrid,Crossover,Black,Vallentuna,Automatic,https://bilweb.se/stockholms-lan/volvo-xc60-t8-awd-r-design-pano-voc-pilot-h-k-dragkrok-se-ut-2019-suv-10767878,6,33449.0,139000,225.0,Sweden
Audi,A8,4.0 TFSI V8,2014,Petrol,Sedan,Silver,Vallentuna,Automatic,https://www.bytbil.com/stockholms-lan/personbil-a8-4-0-tfsi-v8-q-435hk-massage-taklucka-360-kam-lagmil-5597-17567832,6,33449.0,105500,320.0,Sweden
Audi,S3,1.8 T,2017,Petrol,Sedan,White,Gävle,Automatic,https://www.blocket.se/annons/1000755302,6,31754.0,117000,231.0,Sweden
Škoda,Superb,2.0 TDI,2018,Diesel,Sedan,White,Vallentuna,Automatic,https://www.bytbil.com/stockholms-lan/personbil-superb-2-0-tdi-4x4-business-edition-lk-drag-varmare-2053-17560533,6,19390.0,121180,141.0,Sweden
Audi,Q8,3.0 50 TDI,2020,Diesel,Suv,Black,Stockholm,Automatic,https://www.bytbil.com/stockholms-lan/personbil-q8-50-tdi-q-moms-panorama-4x4-styrning-blackline-8553-17399868,6,63457.0,104950,210.0,Sweden
Audi,Rsq3,2.5 TFSI,2023,Petrol,Crossover,Black,Stockholm,Automatic,https://www.blocket.se/annons/1000864200,6,82070.0,2300,294.0,Sweden
Audi,Q8,3.0 50 TDI,2019,Diesel,Suv,Black,Stockholm,Automatic,https://www.bytbil.com/stockholms-lan/personbil-q8-50-tdi-286hk-q-moms-pano-head-bo-soft-360-black-8553-17275955,6,61691.0,97000,210.0,Sweden
Audi,Q8,3.0 50 TDI,2019,Diesel,Suv,Black,Stockholm,Automatic,https://www.blocket.se/annons/1000334152,6,61691.0,72980,210.0,Sweden
Lexus,Rx,450h,2023,Hybrid,Suv,Black,Uppsala,Automatic,https://bilweb.se/uppsala-lan/lexus-rx-450h-executive-teknikpaket-drag-plug-in-2023-suv-10780964,6,72273.0,6100,137.0,Sweden
Mercedes Benz,C-Class,220 CDI,2013,Diesel,Hatchback,Black,Kungsbacka,Automatic,https://bilweb.se/hallands-lan/mercedes-benz-c-220-cdi-amg-sport-drag-navi-xenon-2013-kombi-10772628,5,11826.0,181560,126.0,Sweden
