Make,Model,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Emission standard,Price(EUR),Mileage(km),kW,Country
Škoda,Enyaq,2024,Electric,Suv,Blue,NA,Automatic,https://www.azw.ch/de/angebot/624/skoda-enyaq-iv-60-automat-netto-netto?&page_number=6,electro,6,40196,10,134.0,Switzerland
Alfa Romeo,Tonale,2024,Hybrid,Crossover,Gray,NA,Automatic,https://www.azw.ch/de/angebot/1033/alfa-romeo-tonale-1-3-plug-in-hybrid-q4-veloce-pack-premium-automat-35?&page_number=1,1.3,6,48174,6,208.0,Switzerland
Volkswagen,Touareg,2018,Diesel,Suv,Black,NA,Automatic,https://www.azw.ch/de/angebot/1014/vw-touareg-3-0tdi-bmt-r-line-262ps-autom?&page_number=9,3.0 TDI,6,40922,25500,195.0,Switzerland
Volkswagen,Golf,2024,Diesel,Sedan,Black,NA,Automatic,https://www.azw.ch/de/angebot/1165/vw-golf-2-0-tdi-r-line-dsg-automat-30?&page_number=8,2.0 TDI,6,36052,11,111.0,Switzerland
Škoda,Octavia,2023,Diesel,Wagon,Blue,NA,Automatic,https://www.azw.ch/de/angebot/1077/skoda-octavia-combi-2-0-tdi-style-dsg-automat?&page_number=6,2.0 TDI,6,30872,12400,111.0,Switzerland
Škoda,Octavia,2023,Diesel,Wagon,White,NA,Automatic,https://www.azw.ch/de/angebot/1076/skoda-octavia-combi-2-0-tdi-style-dsg-automat?&page_number=6,2.0 TDI,6,30872,11300,111.0,Switzerland
Volkswagen,T-Cross,2024,Petrol,Crossover,Silver,NA,Automatic,https://www.azw.ch/de/angebot/1044/vw-t-cross-1-0-tsi-evo-style-r-line-aut-35?&page_number=8,1.0 tsi,6,29526,10,82.0,Switzerland
Bmw,3 Series,2023,Petrol,Sedan,Black,NA,Automatic,https://www.azw.ch/de/angebot/873/bmw-330e-m-sport-plug-in-hybrid-steptronic-automat?&page_number=2,330e,6,39160,7400,217.0,Switzerland
Cupra,Formentor,2021,Petrol,Crossover,Red,NA,Automatic,https://www.azw.ch/de/angebot/67/cupra-formentor-2-0tsi-vz-4drive-dsg-automat?&page_number=3,2.0 tsi vz,6,30872,29100,231.0,Switzerland
Renault,Master,2024,Diesel,Van,Gray,NA,Manual,https://www.azw.ch/de/angebot/171/renault-master-stx-pferdetransporter-2-3-dci-165?&page_number=5,2.3,6,72002,1000,121.0,Switzerland
Alfa Romeo,Tonale,2024,Hybrid,Crossover,Blue,NA,Automatic,https://www.azw.ch/de/angebot/1030/alfa-romeo-tonale-1-3-plug-in-hybrid-q4-veloce-automat-31?&page_number=1,1.3,6,47138,58,208.0,Switzerland
Volkswagen,Passat,2021,Diesel,Wagon,Silver,NA,Automatic,https://www.azw.ch/de/angebot/995/vw-passat-variant-2-0-tdi-bmt-business-dsg-automat?&page_number=8,2.0 TDI,6,23620,31500,111.0,Switzerland
Volkswagen,Passat,2020,Diesel,Wagon,Black,NA,Automatic,https://www.azw.ch/de/angebot/991/vw-passat-variant-2-0-tdi-bmt-business-dsg-automat?&page_number=8,2.0 TDI,6,23310,40100,111.0,Switzerland
Seat,Alhambra,2022,Petrol,Mpv,Black,NA,Automatic,https://www.azw.ch/de/angebot/919/seat-alhambra-1-4-tsi-fr-line-7-plaetzer-dsg-automat?&page_number=5,1.4 TSI,6,36570,39100,111.0,Switzerland
Škoda,Octavia,2023,Diesel,Wagon,Black,NA,Automatic,https://www.azw.ch/de/angebot/1142/skoda-octavia-combi-2-0-tdi-style-dsg-automat?&page_number=6,2.0 TDI,6,32944,8100,111.0,Switzerland
Škoda,Octavia,2023,Diesel,Wagon,Blue,NA,Automatic,https://www.azw.ch/de/angebot/1141/skoda-octavia-combi-2-0-tdi-style-dsg-automat?&page_number=6,2.0 TDI,6,32944,6100,111.0,Switzerland
Volkswagen,T-Cross,2022,Petrol,Crossover,Silver,NA,Automatic,https://www.azw.ch/de/angebot/1066/vw-t-cross-1-0-tsi-life-dsg-automat?&page_number=8,1.0 tsi,6,20616,26100,82.0,Switzerland
Škoda,Kodiaq,2024,Diesel,Suv,Black,NA,Automatic,https://www.azw.ch/de/angebot/1117/skoda-kodiaq-2-0-tdi-cr-sportline-4x4-dsg-automat-7-plaetzer-30?&page_number=6,2.0 2.0 4x4 tdi,6,46102,21,149.0,Switzerland
Bmw,2 Series,2022,Diesel,Sedan,Gray,NA,Automatic,https://www.azw.ch/de/angebot/1180/bmw-220d-gran-coupe-m-sport-steptronic-aut?&page_number=2,220D,6,34706,15200,141.0,Switzerland
Seat,Ateca,2024,Petrol,Suv,White,NA,Automatic,https://www.azw.ch/de/angebot/1113/seat-ateca-1-5-tsi-evo-style-dsg-auto-30?&page_number=6,1.5 tsi,6,27764,18,111.0,Switzerland
Seat,Ateca,2024,Petrol,Suv,Gray,NA,Automatic,https://www.azw.ch/de/angebot/806/seat-ateca-1-5-tsi-evo-style-dsg-auto-31?&page_number=6,1.5 tsi,6,28490,13,111.0,Switzerland
Mazda,Cx-5,2023,Petrol,Crossover,Black,NA,Automatic,https://www.azw.ch/de/angebot/927/mazda-cx-5-e-skyactiv-g-165-homura-fwd-automat?&page_number=4,2.0,6,30872,9200,123.0,Switzerland
Peugeot,3008,2023,Diesel,Crossover,Black,NA,Automatic,https://www.azw.ch/de/angebot/937/peugeot-3008-1-5-bluehdi-allure-pack-eat-autom?&page_number=5,1.5 bluehdi,6,26728,33200,96.0,Switzerland
Peugeot,3008,2023,Diesel,Crossover,Black,NA,Automatic,https://www.azw.ch/de/angebot/941/peugeot-3008-1-5-bluehdi-allure-pack-eat-autom?&page_number=5,1.5 bluehdi,6,27764,17400,96.0,Switzerland
Mazda,Cx-5,2023,Petrol,Crossover,Gray,NA,Automatic,https://www.azw.ch/de/angebot/962/mazda-cx-5-e-skyactiv-g-165-homura-fwd-automat?&page_number=4,2.0,6,30872,10600,123.0,Switzerland
Bentley,Bentayga,2021,Petrol,Suv,Gray,NA,Automatic,https://www.azw.ch/de/angebot/1188/bentley-bentayga-v8-design-series-550ps?&page_number=2,4.0 V8,6,164206,14900,410.0,Switzerland
Bmw,X4,2019,Petrol,Suv,Black,NA,Automatic,https://www.azw.ch/de/angebot/693/bmw-x4-xdrive-20i-m-sport-x-steptronic-automat?&page_number=2,20i xDrive,6,40922,26100,137.0,Switzerland
Volkswagen,T-Cross,2022,Petrol,Crossover,Black,NA,Automatic,https://www.azw.ch/de/angebot/1065/vw-t-cross-1-0-tsi-life-dsg-automat?&page_number=8,1.0 tsi,6,20202,22700,82.0,Switzerland
Bmw,X1,2023,Petrol,Suv,Black,NA,Automatic,https://www.azw.ch/de/angebot/791/bmw-x1-sdrive-18i-m-sport-neues-modell-steptr-automat?&page_number=2,18i sDrive,6,43304,9100,101.0,Switzerland
Bmw,X1,2023,Petrol,Suv,Black,NA,Automatic,https://www.azw.ch/de/angebot/1128/bmw-x1-sdrive-18i-m-sport-neues-modell-steptr-automat?&page_number=2,18i sDrive,6,43304,3200,101.0,Switzerland
Audi,Tt,2023,Petrol,Coupe,Gray,NA,Automatic,https://www.azw.ch/de/angebot/1111/audi-tt-coupe-ttrs-quattro-s-tronic-automat-400ps?&page_number=1,2.5,6,69204,8600,298.0,Switzerland
Bmw,3 Series,2023,Petrol,Sedan,Black,NA,Automatic,https://www.azw.ch/de/angebot/876/bmw-330i-xdrive-m-sport-steptronic-automat?&page_number=2,330i,6,47448,22100,182.0,Switzerland
Citroen,C5 Aircross,2023,Diesel,Suv,Black,NA,Automatic,https://www.azw.ch/de/angebot/1149/citroen-c5-aircross-1-5-bluehdi-prestige-eat-automat?&page_number=2,1.5 bluehdi,6,23620,33300,97.0,Switzerland
Citroen,C5 Aircross,2023,Diesel,Suv,Black,NA,Automatic,https://www.azw.ch/de/angebot/1067/citroen-c5-aircross-1-5-bluehdi-prestige-eat-automat?&page_number=2,1.5 bluehdi,6,23620,29300,97.0,Switzerland
Opel,Mokka,2022,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1027/opel-mokka-1-2-direct-injection-turbo-gs-line-automat?&page_number=5,1.2,6,23310,16300,96.0,Switzerland
Škoda,Kamiq,2020,Diesel,Suv,NA,NA,Automatic,https://www.azw.ch/de/angebot/1168/skoda-kamiq-1-6-tdi-style-dsg-automat?&page_number=6,1.6 TDI,6,24760,22200,85.0,Switzerland
Tesla,Model 3,2023,Electric,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/895/tesla-model-3-performance-dual-motor-awd-534ps-automat?&page_number=7,0.0 performance,6,39160,18200,398.0,Switzerland
Tesla,Model 3,2023,Electric,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/894/tesla-model-3-performance-dual-motor-awd-534ps-automat?&page_number=7,0.0 performance,6,39160,17700,398.0,Switzerland
Tesla,Model 3,2023,Electric,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/849/tesla-model-3-performance-dual-motor-awd-534ps-automat?&page_number=7,0.0 performance,6,39160,17300,398.0,Switzerland
Tesla,Model 3,2023,Electric,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/850/tesla-model-3-performance-dual-motor-awd-534ps-automat?&page_number=7,0.0 performance,6,40196,14600,398.0,Switzerland
Tesla,Model 3,2023,Electric,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/1078/tesla-model-3-performance-dual-motor-awd-534ps-automat?&page_number=7,0.0 performance,6,41232,13500,398.0,Switzerland
Tesla,Model Y,2022,Electric,Suv,NA,NA,Automatic,https://www.azw.ch/de/angebot/841/tesla-model-y-performance-awd-534ps-autom?&page_number=7,0.0 performance,6,45480,18600,398.0,Switzerland
Tesla,Model Y,2022,Electric,Suv,NA,NA,Automatic,https://www.azw.ch/de/angebot/840/tesla-model-y-performance-awd-534ps-autom?&page_number=7,0.0 performance,6,46516,15900,398.0,Switzerland
Tesla,Model Y,2022,Electric,Suv,NA,NA,Automatic,https://www.azw.ch/de/angebot/777/tesla-model-y-performance-awd-534ps-autom?&page_number=7,0.0 performance,6,46930,12500,398.0,Switzerland
Volkswagen,Arteon,2023,Petrol,Wagon,NA,NA,Automatic,https://www.azw.ch/de/angebot/1186/vw-arteon-sb-2-0-tsi-r-line-dsg-automat?&page_number=8,2.0 TSI,6,36778,19100,141.0,Switzerland
Volkswagen,Golf,2024,Diesel,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/1164/vw-golf-2-0-tdi-r-line-dsg-automat-29?&page_number=8,2.0 TDI,6,36052,9,111.0,Switzerland
Volkswagen,Taigo,2024,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1178/vw-taigo-1-0-tsi-life-dsg-automat-34?&page_number=9,1.0 tsi,6,24656,79,82.0,Switzerland
Volkswagen,Taigo,2024,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1177/vw-taigo-1-0-tsi-life-dsg-automat-34?&page_number=9,1.0 tsi,6,24656,17,82.0,Switzerland
Volkswagen,Taigo,2024,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1174/vw-taigo-1-0-tsi-life-dsg-automat-34?&page_number=9,1.0 tsi,6,24656,14,82.0,Switzerland
Volkswagen,Taigo,2024,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1179/vw-taigo-1-0-tsi-life-dsg-automat-34?&page_number=9,1.0 tsi,6,24656,12,82.0,Switzerland
