Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"35,990 EUR",Land Rover,Evoque,2.0,"84,447 km",2020,Diesel,Suv,Gray,Mons,111 kW (151 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/land-rover/range-rover-evoque/land-rover-range-rover-evoque-2020-vente-510417?,
"23,990 EUR",Audi,A1,1.0 25 TFSI,"40,244 km",2022,Petrol,Mini,Gray,Genk,70 kW (95 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a1-essence-0561194/,6
"23,990 EUR",Audi,A1,1.0 25 TFSI,"36,854 km",2022,Petrol,Mini,Gray,Genk,70 kW (95 HP),Automatic,https://www.autogids.be/detail-id--9468886--audi-sportback-25-tfsi-95-pk-s-tronic-automaat/tweedehands.html,6
"19,990 EUR",Ford,Kuga,1.5,"60,820 km",2019,Petrol,Suv,Black,Rotselaar,111 kW (151 HP),Manual,https://www.autogids.be/detail-id--9464011--ford-vignale-benzine-slechts-60000km/tweedehands.html,9
"33,500 EUR",Audi,Q2,1.5 35 TFSI,"41,442 km",2021,Petrol,Crossover,Black,Genk,111 kW (151 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/q2/audi-q2-2021-vente-532575?,6
"37,777 EUR",Volvo,V60,2.0 t4,"56,044 km",2021,Petrol,Wagon,Gray,Rotselaar,141 kW (192 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/volvo/v60/volvo-v60-vente-516215?,9
"23,725 EUR",Ford,Focus,1.0 st,"26,648 km",2021,Petrol,Hatchback,Gray,Boortmeerbeek,93 kW (126 HP),Manual,https://www.autogids.be/detail-id--9446692--ford-st-line-x-clipper-mhev-panoramisch-open-dak/tweedehands.html,
"78,990 EUR",Mercedes Benz,Eqe,AMG43,"19,744 km",2022,Electric,Sedan,White,Huy,354 kW (481 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/mercedes-benz/eqe/mercedes-benz-eqe-2022-vente-561381?,6
"20,390 EUR",Nissan,X-Trail,1.3,"83,257 km",2018,Petrol,Suv,White,Keerbergen,121 kW (165 HP),Manual,https://www.vroom.be/fr/voitures-occasion/nissan-x-trail-essence-0561808/,6
"46,990 EUR",Volkswagen,Tiguan,1.5,9 km,2024,Petrol,Crossover,Black,Tournai,111 kW (151 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/volkswagen/tiguan/volkswagen-tiguan-2024-vente-518572?,6
"26,800 EUR",Ford,Galaxy,1.5,"71,065 km",2019,Petrol,Mpv,Gray,Boortmeerbeek,123 kW (167 HP),Automatic,https://www.autogids.be/detail-id--9482807--ford-business-edition-benzine-165pk-7-zetels/tweedehands.html,
