Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"31,546 EUR (798,000 CZK)",Porsche,Panamera,4.8 GTS,"164,695 km",2012,Petrol,Sedan,Gray,Kroměříž,316 kW (430 HP),Automatic,https://www.megacars.cz/ojete-auto/porsche-panamera-4-8-gts-automat-pdk-4x4-23694/,
"9,843 EUR (249,000 CZK)",Land Rover,Freelander,2.2 TD4,"180,000 km",2012,Diesel,Suv,Blue,Zlín,140 kW (190 HP),Automatic,https://www.autanet.cz/detail/land-rover/freelander/47150,
"7,313 EUR (184,999 CZK)",Subaru,Forester,2.0,"240,856 km",2013,Diesel,Suv,White,Brno,108 kW (147 HP),Manual,https://autocaris.cz/detail.php?inzerat=744962,
"71,153 EUR (1,799,900 CZK)",Porsche,Cayenne,4.0 Turbo,"138,990 km",2018,Petrol,Suv,Black,Praha,404 kW (549 HP),Automatic,https://www.sauto.cz/osobni/detail/porsche/cayenne/199946617,
"34,388 EUR (869,900 CZK)",Maserati,Levante,3.0 diesel,"83,355 km",2017,Diesel,Suv,White,Praha,202 kW (275 HP),Automatic,https://www.automodul.cz/maserati-levante-3-0-v6-q4-diesel-vzduch-pano-c2739232,
"31,621 EUR (799,900 CZK)",Volvo,Xc90,2.0 D5 AWD,"183,955 km",2017,Diesel,Suv,Black,Praha,173 kW (235 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/Volvo/XC90/XC90-D5-AWD-INSC-SUV-1710905733593150.html,
"6,878 EUR (174,000 CZK)",Hyundai,Ix35,2.0 CRDi,"239,100 km",2010,Diesel,Crossover,Gray,Říčany,100 kW (136 HP),Manual,https://www.automodul.cz/hyundai-ix35-2-0-crdi-navi-panorama-kuze-c2727434,
"16,207 EUR (409,999 CZK)",Volkswagen,Touareg,4.0 TDI V8,"319,000 km",2010,Diesel,Suv,Brown,Brno,250 kW (340 HP),Automatic,https://www.automodul.cz/volkswagen-touareg-4-1-v8-4-2-tdi-8tt-c2600507,
"37,551 EUR (949,900 CZK)",Tesla,Model S,electro,"84,670 km",2018,Electric,Sedan,Blue,Praha,193 kW (262 HP),Automatic,https://autocaris.cz/detail.php?inzerat=729074,
"19,761 EUR (499,900 CZK)",Mercedes Benz,Gla-Class,220d 4Matic,"145,120 km",2016,Diesel,Suv,Black,Praha,130 kW (177 HP),Automatic,https://www.annonce.cz/inzerat/mercedes-benz-gla-220d-72995041-wy4f5p.html,
"171,959 EUR (4,349,900 CZK)",Mercedes Benz,Sl-Class,4.0 AMG 55,"2,966 km",2023,Petrol,Convertible,Gray,Praha,350 kW (476 HP),Automatic,https://www.sauto.cz/osobni/detail/mercedes-benz/sl/195808582,
"12,610 EUR (319,000 CZK)",Subaru,Outback,2.0 D,"236,188 km",2015,Diesel,Crossover,Blue,Olomouc,110 kW (150 HP),Automatic,https://autocaris.cz/detail.php?inzerat=746860,
"7,906 EUR (199,999 CZK)",Mercedes Benz,Ml-Class,,"206,253 km",2008,Diesel,Suv,Silver,Brno,140 kW (190 HP),Manual,https://www.annonce.cz/inzerat/mercedes-benz-tridy-m-73113445-way4j5.html,
