Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"10,695 EUR (79,800 DKK)",Citroen,C3,1.6 VTi,"134,000 km",2018,Diesel,Hatchback,White,Hadsund,74 kW (101 HP),Manual,https://www.bilbasen.dk/brugt/bil/citron/c3/16-bluehdi-100-skyline-5d/5993284
"10,695 EUR (79,800 DKK)",Citroen,C3,1.6,"154,000 km",2019,Diesel,Hatchback,White,Hadsund,74 kW (101 HP),Manual,https://www.bilbasen.dk/brugt/bil/citron/c3/15-bluehdi-100-skyline-5d/5937899
"9,851 EUR (73,500 DKK)",Fiat,500c,1.2,"133,000 km",2013,Petrol,Convertible,Gray,Frederiksberg,63 kW (86 HP),Manual,https://www.bilbasen.dk/brugt/bil/fiat/500c/09-twinair-85-s-2d/6095447
"17,397 EUR (129,800 DKK)",Audi,A6,2.0 TDI,"225,000 km",2012,Diesel,Sedan,Gray,Bramming,177 kW (241 HP),Automatic,https://bilhandel.dk/audi-a6-20-tdi-177-avant-multitr/id-1579842
"7,236 EUR (53,990 DKK)",Kia,Picanto,1.0,"125,000 km",2012,Petrol,Mini,Black,Bagsværd,69 kW (94 HP),Manual,https://bilhandel.dk/kia-picanto-10-exclusive/id-1580513
"17,397 EUR (129,800 DKK)",Toyota,Auris,1.8 Hybrid,"74,000 km",2016,Petrol,Hatchback,White,Hadsund,86 kW (117 HP),Automatic,https://www.guloggratis.dk/annonce/c6c8109e-cce7-4a82-8c52-b4be4498d84c
"14,742 EUR (109,990 DKK)",Renault,Zoe,,"32,000 km",2020,Electric,Mini,White,Taastrup,81 kW (110 HP),Automatic,https://www.bilbasen.dk/brugt/bil/renault/zoe/41-intens-5d/6108777
"14,059 EUR (104,900 DKK)",Toyota,Aygo,1.0,"20,000 km",2020,Petrol,Mini,White,Køge,53 kW (72 HP),Manual,https://www.bilbasen.dk/brugt/bil/toyota/aygo/10-vvt-i-x-press-5d/6102969
"15,400 EUR (114,900 DKK)",Citroen,C4 Picasso,2.0 bluehdi,"174,000 km",2014,Diesel,Mpv,Gray,Roskilde,111 kW (151 HP),Automatic,https://www.bilbasen.dk/brugt/bil/citron/grand-c4-picasso/20-bluehdi-150-intensive-eat6-7prs-5d/6101065
"11,111 EUR (82,900 DKK)",Volvo,V40,1.6,"214,000 km",2013,Diesel,Wagon,Red,Silkeborg,85 kW (116 HP),Manual,https://www.bilbasen.dk/brugt/bil/volvo/v40/16-d2-115-kinetic-5d/6068431
"24,112 EUR (179,900 DKK)",Volkswagen,Touran,1.6 TDI,"196,500 km",2019,Diesel,Mpv,Blue,Roskilde,85 kW (116 HP),Automatic,https://www.bilbasen.dk/brugt/bil/vw/touran/16-tdi-115-comfortline-connect-dsg-7prs-5d/6092814
"20,774 EUR (154,999 DKK)",Volkswagen,E-Golf,,"35,000 km",2020,Electric,Hatchback,White,Taastrup,101 kW (137 HP),Automatic,https://www.bilbasen.dk/brugt/bil/vw/e-golf-vii/5d/6111557
"15,668 EUR (116,900 DKK)",Mazda,2,1.5,"103,000 km",2017,Petrol,Mini,Brown,Køge,67 kW (91 HP),Automatic,https://www.bilbasen.dk/brugt/bil/mazda/2/15-skyactiv-g-90-vision-aut-5d/6105801
"23,455 EUR (175,000 DKK)",Opel,Mokka-E,,"36,000 km",2021,Electric,Crossover,White,Silkeborg,101 kW (137 HP),Automatic,https://www.bilbasen.dk/brugt/bil/opel/mokka-e/50-gs-line-5d/6006224
"21,297 EUR (158,900 DKK)",Hyundai,I10,1.0,"3,000 km",2024,Petrol,Mini,White,Søborg,49 kW (67 HP),Manual,https://www.bilbasen.dk/brugt/bil/hyundai/i10/10-mpi-advanced-5d/6083539
"21,163 EUR (157,900 DKK)",Hyundai,I10,1.0,"3,000 km",2024,Petrol,Mini,Green,Søborg,49 kW (67 HP),Manual,https://www.bilbasen.dk/brugt/bil/hyundai/i10/10-mpi-advanced-5d/6083524
"19,689 EUR (146,900 DKK)",Ford,Kuga,1.5,"141,000 km",2015,Petrol,Suv,Black,Vejle,111 kW (151 HP),Manual,https://www.bilbasen.dk/brugt/bil/ford/kuga/15-scti-150-titanium-5d/5994692
"21,377 EUR (159,500 DKK)",Bmw,2 Series,218d,"198,000 km",2014,Diesel,Hatchback,Black,Bredebro,111 kW (151 HP),Automatic,https://www.bilbasen.dk/brugt/bil/bmw/218d/20-active-tourer-aut-5d/6038481
"10,709 EUR (79,900 DKK)",Toyota,Aygo,1.0,"72,169 km",2017,Petrol,Mini,White,Køge,51 kW (69 HP),Manual,https://www.bilbasen.dk/brugt/bil/toyota/aygo/10-vvt-i-x-sky-ii-5d/6096982
"20,104 EUR (150,000 DKK)",Volkswagen,Polo,1.0 TSI DSG,"76,000 km",2016,Petrol,Hatchback,Black,Gadstrup,70 kW (95 HP),Automatic,https://www.bilbasen.dk/brugt/bil/vw/polo/10-tsi-95-bluemotion-dsg-5d/6014973
"18,067 EUR (134,800 DKK)",Toyota,Verso,1.8 VVT-i,"150,000 km",2014,Petrol,Mpv,Red,Bramming,109 kW (148 HP),Automatic,https://www.bilbasen.dk/brugt/bil/toyota/verso/18-vvt-i-t2-vision-mds-7prs-5d/6014769
"14,676 EUR (109,500 DKK)",Citroen,C4 Cactus,1.2,"71,000 km",2015,Petrol,Hatchback,Black,Bredebro,82 kW (112 HP),Manual,https://www.bilbasen.dk/brugt/bil/citron/c4-cactus/12-puretech-110-feel-5d/6019084
"20,104 EUR (150,000 DKK)",Citroen,C4 Cactus,1.6,"50,000 km",2018,Diesel,Hatchback,Red,Gadstrup,74 kW (101 HP),Manual,https://www.guloggratis.dk/annonce/a40f85cb-b45e-492d-ae4e-a6a9bbdb3317
"20,493 EUR (152,900 DKK)",Opel,Grandland X,1.6,"154,000 km",2018,Diesel,Suv,Black,Stenløse,89 kW (121 HP),Automatic,https://www.bilbasen.dk/brugt/bil/opel/grandland-x/16-cdti-120-innovation-aut-5d/6034087
"16,016 EUR (119,500 DKK)",Mazda,3,2.0 SKYACTIV,"126,000 km",2015,Petrol,Hatchback,White,Bredebro,89 kW (121 HP),Manual,https://www.bilbasen.dk/brugt/bil/mazda/3/20-skyactiv-g-120-vision-5d/6044120
"23,442 EUR (174,900 DKK)",Volkswagen,Polo,1.0 TSI DSG,"105,000 km",2019,Petrol,Hatchback,White,Aalborg,85 kW (116 HP),Automatic,https://www.bilbasen.dk/brugt/bil/vw/polo/10-tsi-115-highline-dsg-5d/6103778
"60,300 EUR (449,900 DKK)",Volvo,Xc90,2.0 T6 AWD,"211,000 km",2017,Diesel,Suv,White,Vodskov,175 kW (238 HP),Automatic,https://www.autouncle.dk/en/d/4781757-used-volvo-xc90-2-0-d5-inscription-awd-235hk-5d-8g-aut
"12,597 EUR (93,990 DKK)",Volkswagen,Polo,1.0 tsi,"174,000 km",2017,Petrol,Hatchback,White,Bagsværd,70 kW (95 HP),Manual,https://www.bilbasen.dk/brugt/bil/vw/polo/10-tsi-95-bluemotion-5d/6087276
"23,428 EUR (174,800 DKK)",Volkswagen,Polo,1.0 tsi,"58,000 km",2018,Petrol,Hatchback,White,Skanderborg,85 kW (116 HP),Manual,https://www.bilbasen.dk/brugt/bil/vw/polo/10-tsi-115-highline-5d/6108034
"22,088 EUR (164,800 DKK)",Peugeot,3008,1.2,"112,000 km",2017,Petrol,Crossover,Black,Stenløse,96 kW (131 HP),Manual,https://www.bilbasen.dk/brugt/bil/peugeot/3008/12-e-thp-130-active-5d/6092756
"13,135 EUR (98,000 DKK)",Volvo,V40,1.6,"154,000 km",2013,Diesel,Wagon,Gray,Brædstrup,85 kW (116 HP),Manual,https://www.bilbasen.dk/brugt/bil/volvo/v40/16-d2-115-kinetic-5d/6107667
"24,768 EUR (184,800 DKK)",Renault,Grand Scenic,1.5 dCi,"87,000 km",2019,Diesel,Mpv,Black,Ribe,89 kW (121 HP),Manual,https://www.bilbasen.dk/brugt/bil/renault/grand-scenic-iv/17-dci-120-zen-7prs-5d/6049675
"12,880 EUR (96,100 DKK)",Toyota,Verso,1.6,"190,500 km",2014,Petrol,Mpv,Brown,Vinderup,82 kW (112 HP),Manual,https://seek4cars.net/biler-til-salg/toyota/verso/10705d46-37aa-49ea-a078-e1ea6ea707d4
"11,647 EUR (86,900 DKK)",Toyota,Aygo,1.0,"68,000 km",2015,Petrol,Mini,Red,Aalborg,51 kW (69 HP),Manual,https://www.bilbasen.dk/brugt/bil/toyota/aygo/10-vvt-i-x-cite-5d/6090188
