Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"20,490 EUR",Ford,Kuga,1.5,"62,318 km",2017,Diesel,Suv,Brown,Dieppe,89 kW (121 HP),Automatic,https://www.auto-selection.com/voiture-occasion/ford-kuga/23993825.html
"23,399 EUR",Jeep,Cherokee,4.0 Limited,"83,500 km",2017,Diesel,Suv,Black,Gaillard,149 kW (203 HP),Automatic,https://www.leparking.fr/voiture-occasion-detail/jeep-cherokee/2-2-multijet-200ch-limited-active-drive-i-bva-s-s/8VD0LV64.html
"19,990 EUR",Volkswagen,T-Cross,1.0 tsi,"37,916 km",2019,Petrol,Crossover,Gray,Albi,115 kW (156 HP),Automatic,https://fr.renew.auto/achat-vehicules-occasions/detail.html?productId=VEH_00000977_VO415054
"17,900 EUR",Renault,Kadjar,1.6 tce,100 km,2017,Petrol,Suv,Black,Tours,121 kW (165 HP),Manual,https://occasion.autoplus.fr/voiture-occasion-renault-kadjar-16-tce-165ch-energy-intens-756975/
"18,990 EUR",Renault,Kadjar,1.7 dci,"69,406 km",2019,Diesel,Suv,Gray,Rivery,111 kW (151 HP),Manual,https://occasion.autoplus.fr/voiture-occasion-renault-kadjar-17-blue-dci-150ch-intens-4x4-576503/
"29,490 EUR",Seat,Ateca,1.5 tsi,"41,446 km",2022,Petrol,Suv,Gray,Seynod,111 kW (151 HP),Automatic,https://www.auto-selection.com/voiture-occasion/seat-ateca/23867492.html
"103,900 EUR",Porsche,Macan,2.9 Turbo,"50,674 km",2019,Petrol,Suv,Black,Saint-Quentin,328 kW (446 HP),Automatic,https://www.leparking.fr/voiture-occasion-detail/porsche-macan-turbo/porsche-macan-2-9-v6-440ch-turbo-pdk-euro6d-t-evap-isc/1S56CFGW.html
"32,900 EUR",Nissan,Qashqai,1.3,"19,985 km",2022,Petrol,Crossover,Gray,Saint-Quentin,117 kW (159 HP),Automatic,https://www.leparking.fr/voiture-occasion-detail/nissan-qashqai/1-3-mild-hybrid-158ch-tekna-xtronic/DFKTUB7Z.html
"25,980 EUR",Seat,Leon,1.8,"18,855 km",2021,Petrol,Hatchback,Gray,Saran,150 kW (204 HP),Automatic,https://fr.renew.auto/achat-vehicules-occasions/detail.html?productId=VEH_00001151_VO019574
"50,990 EUR",Land Rover,Range Rover,4.4 SDV8,"117,978 km",2017,Diesel,Suv,Black,Mérignac,252 kW (343 HP),Automatic,https://www.autosphere.fr/fiche/auto-occasion-land-rover-range-rover-4-4-sdv8-339ch-autobiography-swb-mark-vi-33700-merignac-240209
"16,650 EUR",Nissan,Qashqai,1.2,"53,867 km",2018,Petrol,Crossover,Red,Mantes La Ville,115 kW (156 HP),Manual,https://fr.renew.auto/achat-vehicules-occasions/detail.html?productId=VEH_00001260_VO110732
"39,990 EUR",Porsche,Panamera,4.8 S,"136,898 km",2014,Hybrid,Sedan,Black,Chambray Les Tours,248 kW (337 HP),Automatic,https://www.leparking.fr/voiture-occasion-detail/porsche-panamera-s/porsche-panamera-s-v6-3-0-416-hybrid-tiptronic/VPTNNCG8.html
"17,499 EUR",Seat,Arona,1.0 tsi,"61,595 km",2019,Petrol,Crossover,Orange,Serignan-du-Comtat,85 kW (116 HP),Automatic,https://www.leparking.fr/voiture-occasion-detail/seat-arona/seat-arona-1-0-ecotsi-115ch-start-stop-xcellence-dsg-euro6d-t/WAA5JW41.html
"109,900 EUR",Chevrolet,Corvette,6.2,"26,153 km",2016,Petrol,Convertible,White,Paris,491 kW (668 HP),Automatic,https://www.paruvendu.fr/a/voiture-occasion/chevrolet/corvette/1270800067A1KVVOCVCOR
"83,999 EUR",Porsche,Macan,2.9 Turbo,"40,223 km",2019,Petrol,Suv,Gray,Nîmes,328 kW (446 HP),Automatic,https://www.leparking.fr/voiture-occasion-detail/porsche-macan-turbo/porsche-macan-2-9-v6-440ch-turbo-pdk-euro6d-t-evap-isc/Y33G1PKS.html
"43,499 EUR",Lexus,Rx,450h,"71,335 km",2019,Hybrid,Suv,White,Saint-Avertin,263 kW (358 HP),Automatic,https://www.paruvendu.fr/a/voiture-occasion/lexus/rx/1272522206A1KVVOLXRX
