Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"35,890 EUR",Mazda,Cx-5,2.5,"11,732 km",2023,Petrol,6,Crossover,Black,Hamburg,144 kW (196 HP),Automatic,https://www.12gebrauchtwagen.de/c/16/1420683921?num_on_page=3&page=53&premium=false&title=Mazda+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"24,890 EUR",Audi,A1,1.0 30 TFSI,"42,490 km",2019,Petrol,6,Mini,Yellow,Rain,85 kW (116 HP),Manual,https://www.12gebrauchtwagen.de/c/16/1413600396?num_on_page=3&page=50&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"25,490 EUR",Bmw,5 Series,530d,"114,600 km",2017,Diesel,6,Wagon,Blue,Uslar,197 kW (268 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1426300510?num_on_page=4&page=14&title=BMW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"39,130 EUR",Audi,Q2,1.5 35 TFSI,"2,500 km",2024,Petrol,6,Crossover,Black,Rain,110 kW (150 HP),Automatic,https://www.instamotion.com/auto/FVOM-LT66-MXTR
"46,980 EUR",Volvo,Xc40,1.5,"14,839 km",2023,Hybrid,,Crossover,Gray,Aachen,194 kW (264 HP),Automatic,https://www.moll-automobile.de/fahrzeug/385196040/Pkw/volvo-xc40-plus-dark-recharge-plug-in-hybrid-2wd-t5-tw
"41,890 EUR",Volvo,Xc40,2.0 B4,"11,582 km",2023,Petrol,,Crossover,Blue,Aachen,146 kW (199 HP),Automatic,https://www.moll-automobile.de/fahrzeug/385199080/Pkw/volvo-xc40-plus-dark-2wd-b4-eu6d-navi-digitales-cockpi
"33,900 EUR",Land Rover,Range Rover Sport,3.0,"118,575 km",2016,Diesel,,Suv,White,Villingen Schwenningen,190 kW (258 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1424732742?num_on_page=1&page=71&title=Land+Rover+Gebrauchtwagen+in+Offenburg+kaufen+auf+12Gebrauchtwagen.de
"54,189 EUR",Bmw,X3,xDrive30d,"55,500 km",2022,Diesel,,Suv,Black,Rain,210 kW (286 HP),Automatic,https://www.12gebrauchtwagen.de/c/16/1426180988?num_on_page=3&page=11&premium=false&title=BMW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"48,070 EUR",Audi,Q3,2.0 35 TDI,"3,900 km",2023,Diesel,6,Crossover,White,Rain,110 kW (150 HP),Automatic,https://www.instamotion.com/auto/CYZ7-9KIP-QFJO
"18,280 EUR",Ford,Ecosport,1.0 EcoBoost,"22,910 km",2019,Petrol,,Suv,Gray,Ulm,104 kW (141 HP),Manual,https://www.12gebrauchtwagen.de/c/4/1419520629?num_on_page=3&page=29&premium=false&title=Ford+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
