Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"26,325 EUR (10,450,000 HUF)",Kia,Sportage,1.6 GDi,"3,999 km",2023,Petrol,5,Crossover,Silver,Szombathely,110 kW (150 HP),Automatic,https://joautok.hu/hasznaltauto/kia/sportage/gold-150t-my24-kia-sportage-csereauto-keszletrol-elviheto/kcd2zbb/
"29,723 EUR (11,799,000 HUF)",Kia,Sportage,1.6 GDi,3 km,2024,Petrol,5,Crossover,White,Szombathely,111 kW (151 HP),Automatic,https://joautok.hu/hasznaltauto/kia/sportage/gold-h48v-my24-sportage-gold-automata-valtoval-keszletrol-elviheto-akar-499-thm-finanszirozassal/0dev86n/
"24,433 EUR (9,699,000 HUF)",Kia,Xceed,1.6,3 km,2024,Petrol,,Crossover,White,Szombathely,118 kW (160 HP),Automatic,https://www.szalonauto.hu/szemelyauto/kia/xceed/kia_xceed_gold_160t_my24_keszletrol_akar1.77_thm_pvp_finanszirozassal_3_dijmentes_karb-20340499
"25,166 EUR (9,990,000 HUF)",Kia,Sportage,1.6 GDi,3 km,2024,Petrol,,Crossover,Gray,Szombathely,111 kW (151 HP),Manual,https://www.szalonauto.hu/szemelyauto/kia/sportage/kia_sportage_essence_edition_150t_limitalt_modell_mar_4.99-os_thm_finanszirozassal_is_marci-19140924
"47,839 EUR (18,990,000 HUF)",Volkswagen,Arteon,1.4,100 km,2023,Hybrid,,Coupe,Gray,Kisvárda,160 kW (218 HP),Automatic,https://www.hasznaltauto.hu/szemelyauto/volkswagen/arteon/volkswagen_arteon_1.4_tsi_plug-in-hybrid_r-line_dsg_218_le_400_nm_moonstone_szurke_gazdag_extra_felszereltseg-19051029#sid=20d8913e-9c7a-4282-89fd-2119668a5032
"43,748 EUR (17,366,000 HUF)",Ford,Mustang Mach-E,,610 km,2024,Electric,,Crossover,Green,Szeged,216 kW (294 HP),Automatic,https://www.hasznaltauto.hu/szemelyauto/ford/mustang/ford_mustang_mach-e_extended_range_premium_automata_extended_range_91kwh_294le_rwd_610_km_hatotav-20454823#sid=30206ac9-cbf1-454c-b5eb-58d81979e260
"35,298 EUR (14,012,000 HUF)",Ford,Mustang Mach-E,,440 km,2024,Electric,,Crossover,Green,Szeged,197 kW (268 HP),Automatic,https://www.szalonauto.hu/szemelyauto/ford/mustang/ford_mustang_mach-e_standard_range_automata_standard_range_73kwh_269_le_rwd_440_km_hatotav-20454411
"44,841 EUR (17,800,000 HUF)",Volkswagen,Passat,2.0,0 km,2024,Diesel,,Wagon,Black,Kisvárda,110 kW (150 HP),Automatic,https://www.szalonauto.hu/szemelyauto/volkswagen/passat/volkswagen_passat_az_uj_passat_variant_elegance-20386058
"21,387 EUR (8,490,000 HUF)",Citroen,C4,1.2 puretech,2 km,2023,Petrol,,Hatchback,Black,Budaörs,96 kW (131 HP),Automatic,https://joautok.hu/hasznaltauto/citroen/c4/c4-12-puretech-feel-plus-eat8-azonnal-elviheto-egyedi-keszletes-auto-1/0x8g2ad/
"30,205 EUR (11,990,000 HUF)",Volkswagen,T-Cross,1.5 tsi,0 km,2024,Petrol,,Crossover,Cyan,Kisvárda,110 kW (150 HP),Automatic,https://www.szalonauto.hu/szemelyauto/volkswagen/t-cross/volkswagen_t-cross_1.5_tsi_r-line_dsg_150_le_facelift_tisztakek_metal-20410849
