Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"26,500 EUR",Peugeot,5008,2.0 bluehdi,"159,000 km",2020,Diesel,6,Mpv,Gray,San Maurizio Canavese,131 kW (178 HP),Automatic,https://www.trova-automobile.it/auto/annuncio/peugeot-5008-bluehdi-180-ss-eat8-gt-7-posti-diesel/1/20505772
"33,900 EUR",Volvo,Xc40,1.5 T3,"12,000 km",2021,Petrol,,Crossover,Black,Roma,121 kW (165 HP),Automatic,https://www.trova-automobile.it/auto/annuncio/volvo-xc40-t3-geartronic-momentum-pro-benzina/1/20413163
"16,800 EUR",Abarth,595,1.4 turismo,"74,000 km",2019,Petrol,6,Coupe,White,San Maurizio Canavese,123 kW (167 HP),Manual,https://www.trova-automobile.it/auto/annuncio/abarth-595-14-turbo-t-jet-165-cv-turismo-benzina/1/20504936
"18,650 EUR",Mini,One,1.6,"54,695 km",2021,Petrol,6,Mini,Black,Rovigo,76 kW (103 HP),Automatic,https://www.trova-automobile.it/auto/annuncio/mini-one-15-one-led-pack-luci-rl-17-neri-benzina/1/20511309
"23,900 EUR",Jeep,Compass,2.0,"37,152 km",2019,Diesel,,Crossover,Gray,Roma,104 kW (141 HP),Automatic,https://www.trova-automobile.it/auto/annuncio/jeep-compass-20-multijet-ii-aut-4wd-limited-diesel/1/20314315
"38,900 EUR",Jaguar,F-Pace,5.0,"57,200 km",2021,Diesel,6,Crossover,Black,Agliana,134 kW (182 HP),Automatic,https://www.trova-automobile.it/auto/annuncio/jaguar-f-pace-20-d-180-cv-awd-aut-prestige-diesel/1/20227065
"29,900 EUR",Cupra,Formentor,1.4,"41,654 km",2021,Petrol,6,Crossover,Black,Brescia,152 kW (207 HP),Automatic,https://www.trova-automobile.it/auto/annuncio/cupra-formentor-14-e-hybrid-plug-in-dsg-pelle-led-un-proprietario-elettrica/1/20468857
"22,000 EUR",Land Rover,Evoque,2.0,"114,000 km",2018,Diesel,,Suv,White,San Maurizio Canavese,134 kW (182 HP),Automatic,https://www.trova-automobile.it/auto/annuncio/land-rover-range-rover-evoque-20-td4-180-cv-5p-pure-euro-6b-diesel/1/20505907
"9,490 EUR",Mercedes Benz,Cls-Class,3.0 320,"165,480 km",2007,Diesel,4,Sedan,Silver,Avellino,167 kW (227 HP),Automatic,https://www.trova-automobile.it/auto/annuncio/mercedes-benz-cls-320-cdi-sport-navigatorepellexeno-diesel/1/20213162
"20,900 EUR",Bmw,X1,sDrive18d,"143,960 km",2018,Diesel,6,Suv,Blue,Iseo,111 kW (151 HP),Automatic,https://www.trova-automobile.it/auto/annuncio/bmw-x1-sdrive18d-xline-automaticatettopellenavigatore-diesel/1/20440567
"16,400 EUR",Fiat,500,1.2,"20,000 km",2020,Petrol,,Mini,Gray,Roma,51 kW (69 HP),Automatic,https://www.trova-automobile.it/auto/annuncio/fiat-500-12-dualogic-rockstar-tetto-apribilecarplay-benzina/1/20487132
"31,900 EUR",Audi,Q2,1.5 35,"29,415 km",2021,Petrol,6,Crossover,Silver,Rovigo,111 kW (151 HP),Automatic,https://www.trova-automobile.it/auto/annuncio/audi-q2-35-tfsi-s-tronic-admired-acc-led-navi-benzina/1/20375516
"30,700 EUR",Land Rover,Discovery Sport,2.0,"64,000 km",2019,Diesel,,Suv,Black,Roma,111 kW (151 HP),Automatic,https://www.trova-automobile.it/auto/annuncio/land-rover-discovery-sport-20-td4-150-cv-hse-luxury-auto-diesel/1/20311763
"55,800 EUR",Bmw,X5,xDrive30d,"69,000 km",2020,Diesel,,Suv,Blue,Parma,197 kW (268 HP),Automatic,https://www.trova-automobile.it/auto/annuncio/bmw-x5-xdrive30d-msport-m-sport-iva-esposta-diesel/1/20492063
"26,900 EUR",Jeep,Renegade,2.0,"49,167 km",2020,Diesel,,Crossover,White,Roma,104 kW (141 HP),Automatic,https://www.trova-automobile.it/auto/annuncio/jeep-renegade-20-mjt-140cv-4wd-s-tettopelleledkenwood-diesel/1/20428578
"43,900 EUR",Mercedes Benz,Glc-Class,2.0 300 4matic,"123,500 km",2021,Diesel,,Suv,Blue,San Maurizio Canavese,182 kW (248 HP),Automatic,https://www.trova-automobile.it/auto/annuncio/mercedes-benz-glc-300-d-4matic-premium-diesel/1/20505998
