Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"12,900 EUR",Audi,A3,1.6 diesel,"261,594 km",2016,Diesel,Sedan,Black,Apeldoorn,82 kW (112 HP),Automatic,https://autovooru.nl/audi-a3_sportback~c3-aec-39e05c.html,
"10,700 EUR",Nissan,Note,1.2,"44,549 km",2014,Petrol,Mpv,Black,Middelburg,73 kW (99 HP),Automatic,https://www.zeelandnet.nl/prikbord/nissan-note-12-dig-s-connect-edition-navigatie-keyless-entry-achterbank-verstelbaar-cruise-climate-control-bluetooth-tel-rijklaarprijs/a/6484085,
"17,240 EUR",Nissan,Leaf,40 kWh,"92,555 km",2019,Electric,Hatchback,Silver,Tilburg,111 kW (151 HP),Automatic,https://www.nederlandmobiel.nl/tweedehands-auto/nissan/leaf-tekna-40-kwh-lederalcantara-propilot-stoel-stuurwielverwarming-achterbank-verwarmd-bose-audio-full-map-navigatie-privacy-glass/18628360,
"21,740 EUR",Nissan,Leaf,e+ 62 kWh,"56,644 km",2019,Electric,Hatchback,Silver,Tilburg,162 kW (220 HP),Automatic,https://www.vanmossel.nl/voorraad/s/1365472-nissan-leaf,
"21,950 EUR",Kia,Sportage,1.6 T-GDi,"123,871 km",2016,Petrol,Crossover,White,Helmond,131 kW (178 HP),Automatic,https://www.marktplaats.nl/v/auto-s/kia/m2086014471-kia-sportage-1-6-t-gdi-4wd-gt-line-plusline-stoel-verarmin,6
"17,800 EUR",Opel,Corsa,1.2,"26,490 km",2022,Petrol,Van,Black,Hardenberg,76 kW (103 HP),Manual,https://autovooru.nl/opel-corsa~138-409-3c1fd1.html,
"22,445 EUR",Bmw,X1,2.0 sdrive20i,"100,553 km",2015,Petrol,Suv,Silver,Middelburg,137 kW (186 HP),Automatic,https://www.zeelandnet.nl/prikbord/bmw-x1-sdrive20i-chrome-line-trekhaak-panoramadak-navigatie-full-map-leder-stoelverwarming-bi-xenon-sportstoelen-rijklaarprijs/a/6150497,
"15,900 EUR",Audi,A6,2.0 tfsi,"223,593 km",2012,Petrol,Sedan,Black,Apeldoorn,133 kW (181 HP),Automatic,https://www.autotrader.nl/auto/voertuig/audi-a6-limousine-20-tfsi-pro-line-s-s-line-19-lm-airco-benzine/02ca4ed2-7f33-4d22-a7e6-e2a95b3fda9c/,
"21,940 EUR",Nissan,Qashqai,1.3 DIG-T,"57,074 km",2019,Petrol,Crossover,Silver,Helmond,105 kW (143 HP),Automatic,https://www.autokopen.nl/tweedehands-auto/nissan/qashqai/9183629-nissan-qashqai-13-dig-t-n-connecta-360-camera-navigatie-trekhaak-panodak-ecc-info-fbogaar,6
"17,900 EUR",Mercedes Benz,Cls-Class,6.2 250,"297,696 km",2014,Diesel,Sedan,Black,Apeldoorn,198 kW (269 HP),Automatic,https://autovooru.nl/mercedesbenz-clsklasse~129-3f1-39e0f1.html,5
"21,950 EUR",Nissan,Qashqai,1.2,"59,498 km",2018,Petrol,Crossover,Black,Haarlem,86 kW (117 HP),Automatic,https://www.autokopen.nl/tweedehands-auto/nissan/qashqai/9186511-nissan-qashqai-automaat-12-acenta-connect,
"12,350 EUR",Nissan,Micra,1.0,"44,471 km",2018,Petrol,Mini,Black,Haarlem,52 kW (71 HP),Manual,https://www.autotrader.nl/auto/voertuig/nissan-micra-10l-acenta-carplay-android-benzine/2d4f11f2-8354-4419-b77f-56c5b655bbf3/,
"20,450 EUR",Nissan,Juke,1.0 DIG-T,"24,864 km",2020,Petrol,Crossover,Red,Harderwijk,87 kW (118 HP),Manual,https://usedcars.nissan.nl/nissan-voorraad/voertuigen/nissan/juke/10-dig-t-acenta-comfort-pack/19350117,
