Price,Make,Model,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Trim
"118,737 EUR (1,379,900 NOK)",Lexus,Rx,100 km,2023,Petrol,Suv,Black,Bodø,276 kW (375 HP),Automatic,https://www.nordvik.no/bruktbil/339036323,
"36,992 EUR (429,900 NOK)",Lexus,Ux,"2,068 km",2023,Electric,Crossover,Gray,Spillum,152 kW (207 HP),Automatic,https://www.nordvik.no/bruktbil/345167679,300e
"37,775 EUR (439,000 NOK)",Lexus,Ux,"2,000 km",2023,Electric,Crossover,Green,Leknes,152 kW (207 HP),Automatic,https://www.nordvik.no/bruktbil/342158655,300e
"5,937 EUR (69,000 NOK)",Opel,Insignia,"221,400 km",2010,Diesel,Wagon,Black,Jessheim,82 kW (112 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=320859508,2.0 CDTi
"20,565 EUR (239,000 NOK)",Volvo,Xc60,"232,000 km",2014,Diesel,Crossover,Gray,Drammen,121 kW (165 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=345282644,2.4 D4
"5,076 EUR (59,000 NOK)",Toyota,Prius,"150,000 km",2008,Hybrid,Hatchback,Silver,Stavanger,58 kW (79 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344966459,1.5
"10,756 EUR (125,000 NOK)",Citroen,C3,"73,000 km",2019,Petrol,Hatchback,Red,Hønefoss,61 kW (83 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=344887960,1.2 puretech
"7,314 EUR (85,000 NOK)",Toyota,Auris,"210,000 km",2014,Diesel,Hatchback,Gray,Hønefoss,67 kW (91 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=337246933,1.4 D-4D
"37,775 EUR (439,000 NOK)",Mercedes Benz,Glc-Class,"228,000 km",2020,Electric,Coupe,Black,Drammen,248 kW (337 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=345070325,
"10,239 EUR (119,000 NOK)",Hyundai,I10,"26,000 km",2017,Petrol,Mini,White,Stavanger,49 kW (67 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344752766,1.0
"21,339 EUR (248,000 NOK)",Bmw,5 Series,"173,000 km",2016,Diesel,Sedan,Black,Skien,141 kW (192 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344738226,520d xDrive
"14,585 EUR (169,500 NOK)",Citroen,C3,"30,000 km",2019,Petrol,Hatchback,White,Hønefoss,82 kW (112 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=345121133,1.2
"11,100 EUR (129,000 NOK)",Audi,A4,"70,000 km",2013,Petrol,Sedan,White,Drammen,89 kW (121 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=345246324,1.8
"30,056 EUR (349,305 NOK)",Audi,Q5,"190,000 km",2017,Diesel,Suv,Silver,Hønefoss,141 kW (192 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344653378,2.0
"5,593 EUR (65,000 NOK)",Mini,One,"142,800 km",2011,Diesel,Mini,White,Fredrikstad,67 kW (91 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=344098226,1.6 D
"28,309 EUR (329,000 NOK)",Bmw,5 Series,"107,505 km",2016,Diesel,Wagon,Gray,Sarpsborg,121 kW (165 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344833889,520d
"47,317 EUR (549,900 NOK)",Mercedes Benz,Glc-Class,"42,000 km",2022,Electric,Suv,Black,Oslo,236 kW (321 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=339918859,
"33,472 EUR (389,000 NOK)",Volvo,Xc60,"72,750 km",2015,Diesel,Crossover,Gray,Larvik,121 kW (165 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344306253,2.4 D4
"11,607 EUR (134,900 NOK)",Lexus,Ct,"130,000 km",2012,Petrol,Hatchback,Brown,Drammen,73 kW (99 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344106675,200h
"34,359 EUR (399,305 NOK)",Jaguar,F-Pace,"109,410 km",2018,Diesel,Crossover,Gray,Mandal,133 kW (181 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=342333006,2.0
"60,233 EUR (699,999 NOK)",Bentley,Flying Spur,"114,000 km",2007,Petrol,Sedan,Black,Drammen,507 kW (690 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=223638903,6.0 W12
"14,568 EUR (169,305 NOK)",Volkswagen,Tiguan,"169,500 km",2013,Diesel,Crossover,Silver,Lillehammer,104 kW (141 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=343722841,2.0 TDI 4Motion
"10,325 EUR (119,999 NOK)",Mercedes Benz,E-Class,"246,000 km",2011,Diesel,Wagon,Blue,Vestby,126 kW (171 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344158210,
"85,961 EUR (999,000 NOK)",Ford,F Series,"47,000 km",2021,Petrol,Pickup,Black,Hokksund,340 kW (462 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=327787220,3.5
"47,325 EUR (549,990 NOK)",Audi,S7,"53,175 km",2012,Petrol,Sedan,Black,Hell,313 kW (426 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=337188493,4.0
"18,844 EUR (219,000 NOK)",Tesla,Model S,"181,000 km",2015,Electric,Sedan,Gray,Oslo,521 kW (709 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=345000263,0.0 ludicrous p90d performance
"6,444 EUR (74,900 NOK)",Volkswagen,Golf,"175,000 km",2012,Diesel,Wagon,Silver,Skien,78 kW (106 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=345028173,1.6
"14,542 EUR (169,000 NOK)",Tesla,Model S,"178,233 km",2015,Electric,Sedan,Black,Stange,67 kW (91 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344944378,electro
"33,988 EUR (394,999 NOK)",Bmw,7 Series,"186,911 km",2013,Petrol,Sedan,Gray,Vestby,334 kW (454 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=342469928,
"111,853 EUR (1,299,900 NOK)",Mercedes Benz,S-Class,"22,000 km",2015,Petrol,Sedan,Blue,Ski,469 kW (638 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=327691094,65 AMG
"18,440 EUR (214,305 NOK)",Bmw,X1,"157,729 km",2016,Diesel,Suv,Silver,Spydeberg,101 kW (137 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344106012,18d
"10,239 EUR (119,000 NOK)",Volvo,Xc90,"198,700 km",2006,Diesel,Suv,Black,Skien,137 kW (186 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=342915824,2.4 D5 AWD
"41,315 EUR (480,147 NOK)",Bmw,5 Series,"127,000 km",2018,Diesel,Wagon,White,Oslo,197 kW (268 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=321405180,
"28,309 EUR (329,000 NOK)",Mercedes Benz,G-Class,"321,000 km",2001,Diesel,Suv,Silver,Kolbotn,186 kW (253 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=342786013,400 CDI
"64,449 EUR (749,000 NOK)",Audi,Sq7,"150,000 km",2017,Diesel,Suv,Black,Hokksund,324 kW (441 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=339697304,4.0
"5,850 EUR (67,990 NOK)",Volkswagen,Touran,"199,990 km",2009,Diesel,Mpv,Gray,Skien,126 kW (171 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344141996,2.0 TDI
"10,239 EUR (119,000 NOK)",Toyota,Auris,"148,000 km",2014,Petrol,Hatchback,Black,Kolbotn,101 kW (137 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344629873,1.8 Hybrid
"45,519 EUR (529,000 NOK)",Audi,E-Tron,"65,000 km",2020,Electric,Suv,Black,Vestby,317 kW (431 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344321477,
"9,379 EUR (109,000 NOK)",Kia,Soul Ev,"79,600 km",2016,Electric,Mpv,Blue,Stavanger,24 kW (33 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=338378702,
"21,503 EUR (249,900 NOK)",Tesla,Model S,"166,000 km",2017,Electric,Sedan,Black,Siggerud,390 kW (530 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=342017032,electro
"11,960 EUR (139,000 NOK)",Toyota,Prius,"152,000 km",2012,Hybrid,Hatchback,Gray,Drammen,73 kW (99 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=345070175,1.8
"6,453 EUR (75,000 NOK)",Mitsubishi,Asx,"221,750 km",2011,Diesel,Crossover,Blue,Drammen,86 kW (117 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=340723430,1.8
"6,882 EUR (79,990 NOK)",Mitsubishi,Asx,"199,999 km",2011,Diesel,Crossover,Silver,Skien,86 kW (117 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=342602615,1.8
"39,323 EUR (457,000 NOK)",Nissan,Navara,"54,000 km",2021,Diesel,Pickup,Gray,Moelv,141 kW (192 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=342179040,2.3
"24,007 EUR (279,000 NOK)",Tesla,Model S,"126,000 km",2017,Electric,Sedan,Blue,Kolbotn,391 kW (532 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344633232,electro
"65,310 EUR (759,000 NOK)",Audi,E-Tron,"32,500 km",2021,Electric,Suv,Blue,Sandnes,375 kW (510 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=327536206,
