Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"78,512 EUR (84,900 USD)",Volvo,V60,2.0 D3,"53,000 km",2017,Diesel,Wagon,Black,Koło,110 kW (150 HP),Automatic,https://automotodeal.pl/v60/volvo-v60-volvo-v60-d3-drive-e-summum---20---150-km---led---xenon---skora---tem162132300.html
"55,393 EUR (59,900 USD)",Škoda,Octavia,1.6,"127,000 km",2018,Diesel,Sedan,Silver,Koło,84 kW (114 HP),Automatic,https://automotodeal.pl/osobowe/Skoda-octavia-skoda-octavia-16---115-km---navi---led---tempomat---jak-nowa---smartl.html
"78,512 EUR (84,900 USD)",Volvo,V60,2.0 D3,"56,000 km",2017,Diesel,Wagon,White,Koło,110 kW (150 HP),Automatic,https://automotodeal.pl/v60/volvo-v60-volvo-v60-d3-drive-e-summum---20---150-km---led---xenon---skora---tem.html
"11,004 EUR (11,900 USD)",Honda,Accord,2.4,"152,000 km",2005,Petrol,Sedan,Silver,Łuków,139 kW (189 HP),Automatic,https://automotodeal.pl/vii-2002-2008/honda-accord-24-ivtec-190km-automat-skora-acura-tsx.html
"20,252 EUR (21,900 USD)",Chevrolet,Aveo,1.4,"178,024 km",2011,Petrol,Sedan,Gray,Świebodzin,73 kW (99 HP),Manual,https://automotodeal.pl/aveo/chevrolet-aveo-14-100km-klimatyzacja-tempomat-1-reka-ks-serwisowa.html
"184,861 EUR (199,900 USD)",Audi,Q7,3.0,"78,759 km",2017,Diesel,Suv,Gray,Gdańsk,160 kW (218 HP),Automatic,https://automotodeal.pl/q7/audi-q7-psalon-vat-23procent-aso-led-matrix-quattro-alcantara-kamera-el-fot.html
"60,017 EUR (64,900 USD)",Renault,Talisman,1.6,"135,794 km",2016,Diesel,Sedan,Blue,Gdańsk,95 kW (129 HP),Automatic,https://automotodeal.pl/talisman/renault-talisman-psalon-vat23procent-asyst-pasa-led-navi-kamera-cz-park-360-klima.html
"22,194 EUR (24,000 USD)",Mercedes Benz,B-Class,200,"171,000 km",2007,Petrol,Hatchback,Black,Gdynia,99 kW (135 HP),Manual,https://automotodeal.pl/osobowe/mercedes-b-200-special-edition---automat---skora---gwarancja-raty-zamiana.html
"52,711 EUR (57,000 USD)",Mazda,Cx-5,2.5,"157,000 km",2014,Petrol,Crossover,White,Gdynia,134 kW (182 HP),Automatic,https://automotodeal.pl/cx-5/mazda-cx-5-25-awd-skyactive-skora-automat-navi-kamera-gwarancja-raty-zamiana.html
"32,366 EUR (34,999 USD)",Peugeot,508,2.0 HDi,"170,000 km",2012,Diesel,Sedan,White,Gdańsk,102 kW (139 HP),Manual,https://automotodeal.pl/508/peugeot-508-20hdi-navigacja-gps--head-up-panorama-1-wl-1-rok-gwarancji-zamiana.html
"26,725 EUR (28,900 USD)",Mazda,Cx-7,2.3,"150,000 km",2008,Petrol,Suv,Black,Grodzisk Mazowiecki,191 kW (260 HP),Automatic,https://automotodeal.pl/cx-7/mazda-cx-7-tylko-150tyskm-doinwestowana-xenon--skora--polecam-260hp.html
"248,763 EUR (269,000 USD)",Mercedes Benz,Glc-Class,43 AMG,"6,500 km",2020,Petrol,Suv,Red,Koło,286 kW (389 HP),Automatic,https://automotodeal.pl/osobowe/mercedes-glc-43-amg-6-500km--burmester-akt-wydech-panorama-kamery-360-pneumatyka.html
"115,133 EUR (124,500 USD)",Subaru,Impreza Sti,,"92,000 km",2017,Petrol,Sedan,White,Chełm,220 kW (299 HP),Automatic,https://automotodeal.pl/subaru/subaru-wrx-sti.html
"70,190 EUR (75,900 USD)",Volvo,V60,2.0 D3,"135,000 km",2017,Diesel,Wagon,White,Koło,110 kW (150 HP),Automatic,https://automotodeal.pl/v60/volvo-v60-volvo-v60-d3-drive-e-summum---20---150-km---led---xenon---skora---tem671233223.html
"60,109 EUR (64,999 USD)",Audi,Q3,2.0 TDI,"169,000 km",2012,Diesel,Crossover,Black,Gdańsk,130 kW (177 HP),Manual,https://automotodeal.pl/q3/audi-q3-20tdi-auts-line177km-ledy-bi-xenon-skora-czarny-sufit-1rok-gwarancji.html
"35,603 EUR (38,500 USD)",Citroen,Ds4,2.0 HDi,"150,398 km",2012,Diesel,Hatchback,Black,Cieszyn,119 kW (162 HP),Automatic,https://automotodeal.pl/ds4/citroen-ds4-sportchic-20-hdi-klimatronic-navi-skora-kredyt-bez-bik-i-krd.html
"85,077 EUR (91,999 USD)",Mercedes Benz,E-Class,,"179,000 km",2017,Diesel,Wagon,Black,Gdańsk,194 kW (264 HP),Manual,https://automotodeal.pl/osobowe/mercedes-e-220-22cdi-moc194km-full-led-skora-kamery360-multi-beam-1-rok-gwarancji.html
"147,870 EUR (159,900 USD)",Bmw,5 Series,,"94,318 km",2017,Diesel,Sedan,Gray,Gdańsk,139 kW (189 HP),Automatic,https://automotodeal.pl/bmw/bmw-520-vat-23procent-bi-xenon-led-skory-el-fotele.html
"115,133 EUR (124,500 USD)",Renault,Espace,1.6,"12,550 km",2018,Diesel,Mpv,Black,Aleksandrów Łódzki,117 kW (159 HP),Automatic,https://automotodeal.pl/v-2015-/renault-espace-tylko-12-tys-km-initiale-paris-edc-7-osobhead-uppanoramakamera-pl.html
"31,442 EUR (34,000 USD)",Volvo,V70,2.0,"250,459 km",2014,Diesel,Wagon,Black,Słupsk,99 kW (135 HP),Automatic,https://automotodeal.pl/v70/volvo-v70-20-diesel-136-km-automat-nawigacja-bluetooth-daylight-led-isofix.html
"104,406 EUR (112,900 USD)",Hyundai,Tucson,1.6 T-GDi,"16,945 km",2020,Petrol,Suv,Blue,Wejherowo,130 kW (177 HP),Automatic,https://automotodeal.pl/tucson/hyundai-tucson-16-t-gdi--177km-style-demo-salon-pl-oddealera.html
"73,889 EUR (79,900 USD)",Volvo,V60,2.0,"91,668 km",2017,Diesel,Wagon,White,Gdańsk,110 kW (150 HP),Manual,https://automotodeal.pl/v60/volvo-v60-psalon-vat-23procent-aluskora-tempomat-podgrzewane-fot-cz-parkowania.html
"53,266 EUR (57,600 USD)",Renault,Kadjar,1.2 TCe,"84,583 km",2018,Petrol,Suv,White,Grójec,95 kW (129 HP),Automatic,https://automotodeal.pl/kadjar/renault-kadjar-wkrotce-renault-kadjar-15-18-12-energy-tce-s-edition.html
"13,779 EUR (14,900 USD)",Hyundai,Tucson,2.0,"230,184 km",2006,Diesel,Suv,Green,Starogard Gdański,83 kW (113 HP),Automatic,https://automotodeal.pl/tucson/hyundai-tucson-hyundai-tucson--klimatronic-gwarancja-przebiegu.html
"32,274 EUR (34,900 USD)",Hyundai,Veloster,1.6,"176,000 km",2013,Petrol,Coupe,Black,Mogilno,103 kW (140 HP),Automatic,https://automotodeal.pl/veloster/hyundai-veloster-bezwypadkowyoplacony-silnik-16--benzyna-piekny-kolorserwisautomat.html
"23,951 EUR (25,900 USD)",Mercedes Benz,Clk-Class,240,"306,855 km",2003,Petrol,Coupe,Silver,Głogówek,124 kW (169 HP),Automatic,https://automotodeal.pl/osobowe/mercedes-clk-240-nr-014-clk-240-w209-alu-klimatronik-170-km-ks-serwis-2003-r.html
"72,131 EUR (77,999 USD)",Bmw,5 Series,528i,"90,000 km",2015,Petrol,Sedan,Black,Gdańsk,245 kW (333 HP),Automatic,https://automotodeal.pl/bmw/bmw-528-528i-lift--moc245km-1-wl-po-pelnym-serwisie-bez-wkladu-1-rok-gwarancji.html
"39,580 EUR (42,800 USD)",Renault,Kadjar,1.2,"114,369 km",2015,Petrol,Suv,White,Grójec,95 kW (129 HP),Automatic,https://automotodeal.pl/kadjar/renault-kadjar-brutto-pakiet-look-renault-kadjar-15-18--12-energy-tc-zen.html
"65,566 EUR (70,900 USD)",Bmw,3 Series,,"210,000 km",2014,Diesel,Sedan,White,Częstochowa,155 kW (211 HP),Automatic,https://automotodeal.pl/bmw/bmw-325-m-pakietkamerapdcledxenonnawigacjaaktywny-radar20d-211km.html
"72,964 EUR (78,900 USD)",Audi,Q7,3.0 TDI,"238,000 km",2010,Diesel,Suv,Bronse,Błonie,180 kW (245 HP),Automatic,https://automotodeal.pl/i-2005-2015/audi-q7-30tdi-245km-biksenon-navi-pneumatyka-lift.html
"18,402 EUR (19,900 USD)",Chevrolet,Captiva,2.4,"208,000 km",2006,Petrol,Suv,Silver,Kutno,99 kW (135 HP),Manual,https://automotodeal.pl/captiva/chevrolet-captiva-oplacona-24i-serwis-skora-grzane-fotele-alu-gwarancja.html
"55,393 EUR (59,900 USD)",Volkswagen,Beetle,2.0 TDI,"119,000 km",2014,Diesel,Convertible,Silver,Koło,102 kW (139 HP),Manual,https://automotodeal.pl/new-beetle/volkswagen-new-beetle-20-tdi-140-km--klimatyzacja-skora-f-vat-23-procent.html
"67,507 EUR (72,999 USD)",Volvo,Xc60,2.0,"250,000 km",2014,Diesel,Crossover,Black,Gdańsk,181 kW (246 HP),Automatic,https://automotodeal.pl/xc-60/volvo-xc-60-20d4-automat-moc-181km-ledy-skory-navi-carni-sufit-1-rok-gwarancji.html
"82,951 EUR (89,700 USD)",Renault,Espace,1.6,"93,414 km",2017,Diesel,Mpv,Gray,Otmuchów,117 kW (159 HP),Automatic,https://automotodeal.pl/v-2015-/renault-espace-initiale-paris-bosse-4control-acc-panorama-blis-nawi-skora-masaze.html
