Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"26,750 EUR",Bmw,X3,D,"210,000 km",2015,Diesel,Suv,Black,Lisboa,141 kW (192 HP),Automatic,https://www.abmotor.pt/carros/Bmw/X3/477632/
"16,650 EUR",Volkswagen,Polo,1.0 tsi,"70,000 km",2022,Petrol,Hatchback,Black,Porto,70 kW (95 HP),Manual,https://www.abmotor.pt/carros/Vw/Polo/486303/
"17,990 EUR",Seat,Leon,1.0,"49,000 km",2018,Petrol,Hatchback,Black,Braga,85 kW (116 HP),Manual,https://auto.sapo.pt/carro-usado/654214af6116f0345bb7e4cc/seat-leon
"25,450 EUR",Bmw,Z4,i,"109,000 km",2012,Petrol,Convertible,Black,Porto,182 kW (248 HP),Automatic,https://carmine.pt/carros-usados/bmw-z4-28-i-pack-m-245-porto/90f5fe66-01fb-43d9-ac07-8a3f97bc0a32
"38,400 EUR",Mazda,Mx-5 Miata,1.5,583 km,2022,Petrol,Coupe,Gray,Vila Nova De Gaia,98 kW (133 HP),Manual,https://www.custojusto.pt//porto/veiculos/carros-usados/coupe-cabrio/mazda-mx-5-1-5-rf-sky-g-excell-42014409
"21,800 EUR",Mercedes Benz,C-Class,,"130,000 km",2017,Diesel,Sedan,Gray,Lisboa,101 kW (137 HP),Automatic,https://www.abmotor.pt/carros/Mercedes-benz/C%20200/484269/
"32,990 EUR",Mercedes Benz,C-Class,300,"127,000 km",2018,Diesel,Sedan,Blue,Braga,182 kW (248 HP),Automatic,https://auto.sapo.pt/carro-usado/652a4ce0c811cf9831bf2d0b/mercedes-benz-classe-c
"9,950 EUR",Volkswagen,Polo,1.2,"91,104 km",2010,Petrol,Hatchback,Gray,Leiria,52 kW (71 HP),Manual,https://auto.sapo.pt/carro-usado/65cddf82fa7067d9e1cbcf97/volkswagen-polo
"13,999 EUR",Citroen,C4 Cactus,1.6,"122,544 km",2014,Diesel,Hatchback,Black,Feira,68 kW (92 HP),Automatic,https://carmine.pt/carros-usados/citroen-c4-cactus-16-e-hdi-shine-etg6-92-aveiro/da6bf023-4643-4759-99c4-24cd56141079
"17,900 EUR",Nissan,Juke,1.6,"50,800 km",2015,Petrol,Crossover,Gray,Loures,87 kW (118 HP),Automatic,https://www.standnet.pt/anuncio/Nissan-Juke-1.6-Tekna-Premium-Xtronic-Gasolina-Usado-iid=46080
"13,500 EUR",Audi,A1,1.6 TDI,"169,000 km",2011,Diesel,Mini,White,Aveiro,67 kW (91 HP),Manual,https://carmine.pt/carros-usados/audi-a1-16-tdi-s-line-90-aveiro/15cea3dc-fdd5-4387-b5ea-34d85fedaa80
"21,950 EUR",Mercedes Benz,Slk-Class,200 K,"121,000 km",2007,Petrol,Convertible,Gray,Porto,121 kW (165 HP),Manual,https://auto.sapo.pt/carro-usado/653a2979911c31234c85e564/mercedes-benz-classe-slk
"11,980 EUR",Bmw,Z3,,"182,000 km",2000,Petrol,Convertible,Black,Viseu,87 kW (118 HP),Manual,https://auto.sapo.pt/carro-usado/65dc68f4b81bebd5809972c5/bmw-z3-19
"15,950 EUR",Volvo,V40,1.6,"50,000 km",2014,Diesel,Wagon,Black,Porto,85 kW (116 HP),Manual,https://carmine.pt/carros-usados/volvo-v40-16-d2-vor-115-porto/f7ef0c89-a0b6-4cb8-8ed9-676ee07422ea
"79,980 EUR",Bentley,Continental Gtc,6.0,"100,900 km",2007,Petrol,Convertible,Black,Lisboa,417 kW (567 HP),Automatic,https://www.abmotor.pt/carros/Bentley/Continental%20GTC/482729/
"28,950 EUR",Nissan,Qashqai,1.5 dCi,"98,000 km",2020,Diesel,Crossover,Gray,Setúbal,85 kW (116 HP),Automatic,https://auto.sapo.pt/carro-usado/65286641ab1f052ad9bc430b/nissan-qashqai
"22,450 EUR",Nissan,Qashqai,1.5 dCi,"97,000 km",2020,Diesel,Crossover,Gray,Porto,85 kW (116 HP),Manual,https://carmine.pt/carros-usados/nissan-qashqai-15-dci-n-connecta-j18-115-porto/1820e868-5998-435d-a1d8-dcbffa452301
"28,990 EUR",Audi,A3,2.0 30 TDI,"57,573 km",2022,Diesel,Coupe,Black,Vila Real,86 kW (117 HP),Manual,https://carmine.pt/carros-usados/audi-a3-30-tdi-116-vila-real/c198f667-f9d5-405e-aeb8-a3523bc9bdd4
