Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"61,469 EUR",Porsche,Cayman,2.5,"66,920 km",2017,Petrol,Coupe,White,Constanţa,191 kW (260 HP),Automatic,https://www.leasingsh.ro/porsche-cayman-2017-POR42243.html,
"59,269 EUR",Mercedes Benz,Gls-Class,,"99,988 km",2018,Petrol,Suv,Gray,Constanţa,182 kW (248 HP),Automatic,https://www.leasingsh.ro/mercedes-benz-gls-400-2018-MER41796.html,
"48,269 EUR",Volvo,Xc90,2.0,"50,000 km",2018,Petrol,Suv,Black,Constanţa,170 kW (231 HP),Automatic,https://www.leasingsh.ro/volvo-xc-90-2018-VOL42245.html,
"14,890 EUR",Bmw,X3,,"209,462 km",2013,Diesel,Suv,White,Bistriţa,184 kW (250 HP),Automatic,https://cautimasina.ro/bmw-x3-2013-diesel-second-hand-info-65f4e1d1663265e341779213,5
"17,493 EUR",Volkswagen,T-Cross,1.0 tsi,"70,400 km",2021,Petrol,Crossover,Gray,Bucureşti,70 kW (95 HP),Automatic,https://www.anuntul.ro/anunt-autoturism-volkswagen-t-cross-BJneWx#NyJo9d%20,
"20,450 EUR",Bmw,X1,,"189,093 km",2017,Diesel,Suv,Black,Ploieşti,110 kW (150 HP),Automatic,https://www.anuntul.ro/anunt-autoturism-bmw-x1-kMb4qW#NyJo9d%20,
"6,795 EUR",Mazda,3,1.6,"163,000 km",2010,Petrol,Hatchback,Black,Cluj Napoca,77 kW (105 HP),Manual,https://www.anuntul.ro/anunt-autoturism-mazda-3-kMdvv1#NyJo9d%20,
"47,899 EUR",Volvo,Xc90,2.0,"68,500 km",2020,Diesel,Suv,Gray,Bucureşti,175 kW (238 HP),Automatic,https://www.leasingsh.ro/volvo-xc-90-2020-VOL51670.html,
"31,273 EUR",Bmw,2 Series,,"56,567 km",2020,Petrol,Convertible,Blue,Otopeni,135 kW (184 HP),Automatic,https://www.anuntul.ro/anunt-autoturism-bmw-seria-2-2kqmeZ#NyJo9d%20,
"68,010 EUR",Land Rover,Defender,2.0,"44,950 km",2020,Diesel,Suv,Silver,Constanţa,179 kW (243 HP),Automatic,https://www.leasingsh.ro/land-rover-defender-2020-LAN37755.html,
"51,741 EUR",Bmw,X3,xDrive20d,"45,735 km",2021,Diesel,Suv,Black,Otopeni,140 kW (190 HP),Automatic,https://www.anuntul.ro/anunt-autoturism-bmw-x3-eaDjEY#NyJo9d%20,
"19,500 EUR",Opel,Mokka,1.6,"22,300 km",2022,Diesel,Crossover,White,Bucureşti,82 kW (112 HP),Automatic,https://www.leasingsh.ro/opel-mokka-2022-OPE51679.html,
"9,950 EUR",Volkswagen,Tiguan,2.0,"168,419 km",2009,Diesel,Crossover,Gray,Bistriţa,140 kW (190 HP),Manual,https://cautimasina.ro/volkswagen-tiguan-2009-diesel-second-hand-info-65e331e5d3b470484d0828f6,
"63,879 EUR",Mercedes Benz,Glc-Class,300,"39,000 km",2020,Hybrid,Suv,Gray,Frasin,,Automatic,https://www.leasingsh.ro/mercedes-benz-glc-300-2020-MER31935.html,6
"49,990 EUR",Bmw,X3,,"34,900 km",2019,Diesel,Suv,White,Bucureşti,243 kW (330 HP),Automatic,https://www.leasingsh.ro/bmw-x3-2019-BMW34172.html,
"15,500 EUR",Opel,Astra,1.4,"24,000 km",2018,Petrol,Hatchback,Blue,Bucureşti,75 kW (102 HP),Manual,https://www.bestauto.ro/anunturi/auto-moto/masini-second-hand/opel/astra/anunt/opel-astra-k-24-000-km-reali/2ffgg5i329d076g3e747338e3g665d8g.html,6
"6,190 EUR",Nissan,Qashqai,1.6,"290,000 km",2009,Petrol,Crossover,Black,Ploieşti,116 kW (158 HP),Manual,https://cautimasina.ro/nissan-qashqai-2009-benzina-second-hand-info-65f4901e9f25b8719363820f,5
"62,129 EUR",Bmw,X5,,"95,460 km",2019,Petrol,Suv,Black,Constanţa,186 kW (253 HP),Automatic,https://www.leasingsh.ro/bmw-x5-2019-BMW40461.html,
"12,899 EUR",Renault,Captur,1.0,"44,700 km",2020,Petrol,Suv,Blue,Bucureşti,74 kW (101 HP),Automatic,https://www.leasingsh.ro/renault-captur-2020-REN51680.html,
"19,742 EUR",Audi,Q5,2.0,"287,881 km",2016,Diesel,Suv,Black,Bistriţa,141 kW (192 HP),Automatic,https://www.depozitauto.ro/autoturisme/audi.q5.bistrita-nasaud.2016.268037.html,6
"32,990 EUR",Mercedes Benz,Glc-Class,220d 4Matic,"95,240 km",2018,Diesel,Suv,Gray,Ploieşti,124 kW (169 HP),Automatic,https://www.anuntul.ro/anunt-autoturism-mercedes-benz-glc-2kn7J6#NyJo9d%20,
"19,900 EUR",Bmw,X5,30d,"236,181 km",2014,Diesel,Suv,White,Cluj Napoca,,Automatic,https://www.anuntul.ro/anunt-autoturism-bmw-x5-mjrRZ6#NyJo9d%20,
"11,390 EUR",Škoda,Octavia,1.0 tsi,"61,000 km",2017,Petrol,Sedan,,Bucureşti,84 kW (114 HP),Manual,https://www.anuntul.ro/anunt-autoturism-skoda-octavia-rmED8W#NyJo9d%20,
"21,899 EUR",Kia,Sportage,1.6 GDi,"97,400 km",2019,Petrol,Crossover,White,Braşov,101 kW (137 HP),Automatic,https://www.leasingsh.ro/kia-sportage-2019-KIA53153.html,
"26,490 EUR",Jeep,Grand Cherokee,3.0 crd,"112,000 km",2016,Diesel,Suv,,Oradea,184 kW (250 HP),Automatic,https://www.anuntul.ro/anunt-autoturism-jeep-grand-cherokee-rqwMwb#NyJo9d%20,
"3,399 EUR",Renault,Scenic,1.5 dCi,"239,313 km",2007,Diesel,Mpv,,Bucureşti,78 kW (106 HP),Manual,https://www.anuntul.ro/anunt-autoturism-renault-scenic-ea8dz2#NyJo9d%20,
"9,900 EUR",Nissan,Navara,2.5,"244,224 km",2014,Diesel,Pickup,White,Oradea,,Manual,https://www.anuntul.ro/anunt-autoturism-nissan-navara-rmjn3W#NyJo9d%20,
"8,500 EUR",Kia,Carens,1.7,"177,000 km",2015,Diesel,Mpv,,Iaşi,115 kW (156 HP),Manual,https://cautimasina.ro/kia-carens-2015-diesel-second-hand-info-65f8b913c96d443f565d71f8,5
"11,490 EUR",Mazda,Cx-5,2.2 D,"187,000 km",2012,Diesel,Crossover,,Bacău,110 kW (150 HP),Manual,https://www.anuntul.ro/anunt-autoturism-mazda-cx-5-zKzERm#NyJo9d%20,
"31,982 EUR",Hyundai,Tucson,1.6,"79,651 km",2021,Hybrid,Suv,Gray,Braşov,171 kW (233 HP),Automatic,https://www.leasingsh.ro/hyundai-tucson-2021-HYU53151.html,
"28,850 EUR",Renault,Arkana,1.3,"40,381 km",2021,Petrol,Crossover,Blue,Piteşti,104 kW (141 HP),Automatic,https://www.leasingsh.ro/renault-arkana-2021-REN34629.html,
"7,490 EUR",Seat,Leon,1.6,"241,000 km",2013,Diesel,Hatchback,,Bacău,77 kW (105 HP),Manual,https://www.anuntul.ro/anunt-autoturism-seat-leon-m3nwr2#NyJo9d%20,
"23,980 EUR",Bmw,X1,xDrive18d,"47,867 km",2019,Diesel,Suv,Blue,Bucureşti,111 kW (151 HP),Automatic,https://bavariaused.com/produs/bmw-x1-xdrive18d-147606/,6
"16,599 EUR",Volvo,Xc60,2.4 D5,"212,300 km",2013,Diesel,Crossover,,Cluj Napoca,158 kW (215 HP),Automatic,https://www.anuntul.ro/anunt-autoturism-volvo-xc60-2kLD4J#NyJo9d%20,
"5,990 EUR",Renault,Koleos,2.0 dCi,"193,000 km",2009,Diesel,Suv,,Târgu Mureş,110 kW (150 HP),Manual,https://www.anuntul.ro/anunt-autoturism-renault-koleos-2knz8q#NyJo9d%20,
"33,900 EUR",Lexus,Nx,2.5,"78,415 km",2018,Hybrid,Suv,Gray,Braşov,115 kW (156 HP),Automatic,https://www.leasingsh.ro/lexus-seria-nx-2018-LEX53156.html,
"6,100 EUR",Volkswagen,Golf,1.4,"152,000 km",2011,Petrol,Hatchback,Gray,Bucureşti,119 kW (162 HP),Manual,https://lajumate.ro/volkswagen-golf-vi-14-benzina-160-cp-152000-km-15493754.html,5
"14,990 EUR",Hyundai,Santa Fe,2.2 CRDi,"168,000 km",2013,Diesel,Suv,,Târgu Mureş,144 kW (196 HP),Automatic,https://www.anuntul.ro/anunt-autoturism-hyundai-santa-fe-zKkbjY#NyJo9d%20,
"40,000 EUR",Jeep,Wrangler,2.8 CRD,"4,874 km",2016,Diesel,Suv,Gray,Bucureşti,149 kW (203 HP),Automatic,https://www.leasingsh.ro/jeep-wrangler-2016-JEE51746.html,
"9,990 EUR",Toyota,Auris,2.0 D-4D,"228,000 km",2015,Diesel,Hatchback,,Bacău,91 kW (124 HP),Manual,https://www.anuntul.ro/anunt-autoturism-toyota-auris-VlVXRn#NyJo9d%20,
"13,790 EUR",Nissan,X-Trail,1.6,"217,000 km",2014,Diesel,Suv,,Ploieşti,131 kW (178 HP),Manual,https://lajumate.ro/nissan-x-trail-7locuri4x4-fab-102014-16-dci-131cp-euro-4-15518490.html,5
"15,500 EUR",Seat,Leon,2.0 TSI Cupra,"133,783 km",2014,Petrol,Hatchback,,Târgu Mureş,205 kW (279 HP),Automatic,https://www.anuntul.ro/anunt-autoturism-seat-leon-BqRM1r#NyJo9d%20,
"14,999 EUR",Ford,Kuga,2.0 TDCi,"173,922 km",2014,Diesel,Suv,,Bistriţa,163 kW (222 HP),Manual,https://cautimasina.ro/ford-kuga-2014-diesel-second-hand-info-65f90b2abcc5adcf2640944b,5
"27,999 EUR",Mercedes Benz,Glc-Class,,"149,960 km",2018,Diesel,Suv,,Piteşti,124 kW (169 HP),Automatic,https://www.anuntul.ro/anunt-autoturism-mercedes-benz-glc-kMb47P#NyJo9d%20,
"63,809 EUR",Bmw,X5,,"79,400 km",2019,Diesel,Suv,Blue,Bucureşti,197 kW (268 HP),Automatic,https://www.leasingsh.ro/bmw-x5-2019-BMW37616.html,
"257,420 EUR",Ferrari,Portofino M,3.9,"5,990 km",2020,Petrol,Convertible,,Bucureşti,441 kW (600 HP),Automatic,https://www.anuntul.ro/anunt-autoturism-ferrari-portofino-BqvEkZ#NyJo9d%20,
"12,320 EUR",Audi,A4,2.0 TDI,"223,311 km",2015,Diesel,Sedan,,Reşiţa,110 kW (150 HP),Manual,https://www.anuntul.ro/anunt-autoturism-audi-a4-Vl9Rj7#NyJo9d%20,
"14,500 EUR",Bmw,X3,,"197,171 km",2013,Diesel,Suv,,Cluj Napoca,230 kW (313 HP),Automatic,https://www.anuntul.ro/anunt-autoturism-bmw-x3-kMWLJz#NyJo9d%20,
