Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"14,495 EUR",Peugeot,2008,1.2 puretech,"81,000 km",2017,Petrol,Crossover,Gray,Valencia,100 kW (136 HP),Manual,https://coches.km77.com/peugeot/2008/en-valencia/2300807/se-vende-peugeot-2008-allure-12-puretech-81kw-110cv-ss-2017-14495-eur
"12,595 EUR",Peugeot,2008,1.2 puretech,"70,309 km",2017,Petrol,Crossover,White,Valencia,110 kW (150 HP),Manual,https://coches.km77.com/peugeot/2008/en-valencia/2361677/se-vende-peugeot-2008-style-12l-puretech-81kw-110cv-ss-2017-12595-eur
"7,490 EUR",Fiat,500,1.4,"100,585 km",2009,Petrol,Mini,Orange,Madrid,74 kW (101 HP),Manual,https://coches.km77.com/fiat/500/en-madrid/2369531/se-vende-fiat-500-14-lounge-2009-7490-eur
"18,995 EUR",Ford,Puma,1.0 EcoBoost,"75,089 km",2020,Petrol,Crossover,Blue,Valencia,115 kW (156 HP),Manual,https://coches.km77.com/ford/puma/en-valencia/2322740/se-vende-ford-puma-10-ecoboost-titanium-92-kw-125-cv-2020-18995-eur
"9,990 EUR",Hyundai,Santa Fe,2.2 CRDi,"174,051 km",2009,Diesel,Suv,Black,Madrid,115 kW (156 HP),Manual,https://coches.km77.com/hyundai/santa-fe/en-madrid/2369532/se-vende-hyundai-santa-fe-22crdi-comfort-f-5pl-2009-9990-eur
"12,900 EUR",Fiat,Tipo,1.6,"51,000 km",2017,Diesel,Hatchback,Blue,Girona,120 kW (163 HP),Manual,https://coches.km77.com/fiat/tipo/en-girona/2348789/se-vende-fiat-tipo-16-easy-88kw-120cv-diesel-mjet-5p-lounge-2017-12900-eur
"34,895 EUR",Land Rover,Evoque,2.0,"44,845 km",2020,Diesel,Suv,White,Valencia,111 kW (151 HP),Automatic,https://coches.km77.com/land-rover/range-rover-evoque/en-valencia/2294350/se-vende-land-rover-range-rover-evoque-20-d150-r-dynamic-se-auto-4wd-mhev-2020-34895-eur
"30,495 EUR",Peugeot,3008,1.5 bluehdi,22 km,2022,Electric,Crossover,White,Valencia,130 kW (177 HP),Manual,https://coches.km77.com/peugeot/3008/en-valencia/2329423/se-vende-peugeot-3008-15-bluehdi-96kw-130cv-ss-active-pack-2022-30495-eur
"10,890 EUR",Smart,Forfour,1.0,"41,787 km",2015,Petrol,Hatchback,Silver,Madrid,71 kW (97 HP),Manual,https://coches.km77.com/smart/forfour/en-madrid/2360975/se-vende-smart-forfour-52-proxy-2015-10890-eur
"13,900 EUR",Nissan,Micra,1.0,"52,113 km",2021,Petrol,Mini,White,Madrid,68 kW (92 HP),Manual,https://coches.km77.com/nissan/micra/en-madrid/2382092/se-vende-nissan-micra-ig-t-68-kw-92-cv-e6d-f-acenta-2021-13900-eur
"12,499 EUR",Škoda,Octavia,2.0 TDI,"199,000 km",2020,Diesel,Sedan,Gray,Madrid,150 kW (204 HP),Automatic,https://coches.km77.com/skoda/octavia/en-madrid/2347410/se-vende-skoda-octavia-20-tdi-cr-110kw-150cv-dsg-ambition-2020-12499-eur
"16,295 EUR",Ford,Ecosport,1.5 EcoBlue,"77,000 km",2018,Diesel,Suv,Black,San Fernando De Henares,125 kW (170 HP),Manual,https://coches.km77.com/ford/ecosport/en-madrid/2384434/se-vende-ford-ecosport-15-ecoblue-4x4-st-li-2018-16295-eur
"18,695 EUR",Ford,Puma,1.0 EcoBoost,"47,881 km",2020,Hybrid,Crossover,Blue,Valencia,125 kW (170 HP),Manual,https://coches.km77.com/ford/puma/en-valencia/2372862/se-vende-ford-puma-10-ecoboost-92kw-125cv-mhev-titanium-2020-18695-eur
"24,295 EUR",Nissan,Qashqai,1.2,"25,000 km",2021,Hybrid,Crossover,Blue,San Fernando De Henares,140 kW (190 HP),Manual,https://coches.km77.com/nissan/qashqai/en-madrid/2384445/se-vende-nissan-qashqai-13-mhev-12v-acenta-140cv-2021-24295-eur
"8,999 EUR",Ford,Focus,1.5 TDCi,"189,000 km",2017,Diesel,Wagon,Beige,Madrid,120 kW (163 HP),Automatic,https://coches.km77.com/ford/focus/en-madrid/2339308/se-vende-ford-focus-sportbreak-titanium-15-tdci-120cv-at6-2017-8999-eur
"20,990 EUR",Škoda,Scala,1.0 dsg tsi,"67,635 km",2020,Petrol,Sedan,Blue,Madrid,110 kW (150 HP),Automatic,https://coches.km77.com/skoda/scala/en-madrid/2369583/se-vende-skoda-scala-15-tsi-sport-dsg-110kw-2020-20990-eur
"16,450 EUR",Audi,Q5,2.0 TDI quattro,"119,344 km",2010,Diesel,Suv,Gray,Parla,201 kW (273 HP),Automatic,https://coches.km77.com/audi/q5/en-madrid/2363013/se-vende-audi-q5-20-tdi-170cv-quattro-s-tronic-2010-16450-eur
"12,700 EUR",Jaguar,Xf,2.2,"235,778 km",2015,Diesel,Sedan,Blue,Madrid,200 kW (272 HP),Automatic,https://coches.km77.com/jaguar/xf/en-madrid/2339286/se-vende-jaguar-xf-22-d-200-cv-r-sport-2015-12700-eur
"18,295 EUR",Nissan,Qashqai,1.3 DIG-T,"73,000 km",2019,Petrol,Crossover,Black,Valencia,140 kW (190 HP),Manual,https://coches.km77.com/nissan/qashqai/en-madrid/2394390/se-vende-nissan-qashqai-13-dig-t-103kw-acenta-2019-18295-eur
"7,450 EUR",Renault,Laguna,2.0 dCi,"130,000 km",2009,Diesel,Sedan,Beige,Madrid,150 kW (204 HP),Manual,https://coches.km77.com/renault/laguna/en-madrid/2364330/se-vende-renault-laguna-20-dci-dynamic-150cv-5p-2009-7450-eur
"37,990 EUR",Audi,Q3,2.0 40 TFSI quattro,"69,158 km",2020,Petrol,Crossover,Gray,Majadahonda,140 kW (190 HP),Automatic,https://coches.km77.com/audi/q3/en-madrid/2369720/se-vende-audi-q3-40-tfsi-black-line-quattro-s-tronic-2020-37990-eur
"8,000 EUR",Fiat,500,1.2,"136,620 km",2014,Petrol,Mini,Red,Madrid,69 kW (94 HP),Manual,https://coches.km77.com/fiat/500/en-madrid/2384043/se-vende-fiat-500-12-lounge-2014-8000-eur
"19,490 EUR",Peugeot,2008,1.2 puretech,"69,901 km",2021,Petrol,Crossover,Orange,Madrid,100 kW (136 HP),Manual,https://coches.km77.com/peugeot/2008/en-madrid/2382090/se-vende-peugeot-2008-puretech-100-ss-bvm6-active-pack-2021-19490-eur
"10,850 EUR",Jeep,Cherokee,2.8 crd limited,"84,813 km",2006,Diesel,Suv,Silver,Madrid,163 kW (222 HP),Automatic,https://coches.km77.com/jeep/cherokee/en-madrid/2399398/se-vende-jeep-cherokee-28-crd-limited-163cv-auto-5p-cuero-2006-10850-eur
"22,999 EUR",Volvo,Xc60,2.0 D4 AWD,"199,000 km",2019,Diesel,Crossover,Gray,Madrid,190 kW (258 HP),Automatic,https://coches.km77.com/volvo/xc60/en-madrid/2371910/se-vende-volvo-xc60-20-d4-awd-momentum-auto-2019-22999-eur
"17,500 EUR",Peugeot,2008,1.2 puretech,"56,519 km",2020,Petrol,Crossover,Red,Tomares,130 kW (177 HP),Manual,https://coches.km77.com/peugeot/2008/en-sevilla/2401949/se-vende-peugeot-2008-puretech-130-ss-bvm6-allure-2020-17500-eur
"19,495 EUR",Peugeot,2008,1.2 puretech,"29,049 km",2020,Petrol,Crossover,Gray,Madrid,130 kW (177 HP),Manual,https://coches.km77.com/peugeot/2008/en-madrid/2362050/se-vende-peugeot-2008-puretech-130-ss-bvm6-allure-2020-19495-eur
