Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"699,000 EUR",Volvo,Xc90,2.0,"37,420 km",2022,Diesel,Suv,Silver,Svarta,173 kW (235 HP),Semi Automatic,https://www.bytbil.com/jamtlands-lan/personbil-xc90-r-design-pro-ed-b5-235-hk-awd-bw-se-spec-moms-5031-17528745
"33,194 EUR (379,000 SEK)",Bmw,X6,xDrive30d,"100,000 km",2015,Diesel,Suv,Black,Eskilstuna,190 kW (258 HP),Automatic,https://www.blocket.se/annons/1001042692
"9,187 EUR (104,900 SEK)",Mercedes Benz,C-Class,,"193,000 km",2024,Diesel,Sedan,Silver,Karlstad,200 kW (272 HP),Automatic,https://www.bytbil.com/varmlands-lan/personbil-c-350-7g-avantgarde-pano-harman-kardon-gps-drag-9574-17335444
"46,332 EUR (529,000 SEK)",Bmw,X6,xDrive40d,"92,250 km",2024,Diesel,Suv,Black,Kungsbacka,230 kW (313 HP),Automatic,https://www.bytbil.com/hallands-lan/personbil-x6-xdrive40d-m-sport-innovation-ed-bo-drag-varmare-8210-17599270
"389,900 EUR",Bmw,5 Series,530e,"37,990 km",2023,Hybrid,Sedan,Black,Svarta,135 kW (184 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-530e-iperformance-m-sport-pano-h-k-b-kamera-navi-252hk-11518-17444254
"849,900 EUR",Bmw,X5,,"28,000 km",2024,Hybrid,Suv,Blue,Knivsta,210 kW (286 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-x5-xdrive45e-iperformance-m-sport-superdeal-6-95-394hk-100537-17483512
"559,900 EUR",Audi,Rs7,4.0 TFSI V8,"110,000 km",2015,Petrol,Sedan,White,Landvetter,412 kW (560 HP),Automatic,https://www.bytbil.com/vastra-gotalands-lan/personbil-rs7-4-0-tfsi-v8-quattro-taklucka-bo-hud-se-spec-7869-17518150
"48,084 EUR (549,000 SEK)",Bmw,7 Series,740d,"57,000 km",2018,Diesel,Sedan,Black,Vallentuna,235 kW (320 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-740-d-xdrive-limousine-m-sport-laser-hud-h-k-pano-se-utr-9042-17590009
"10,939 EUR (124,900 SEK)",Nissan,Qashqai,1.6,"189,760 km",2014,Diesel,Crossover,White,Kalmar,96 kW (131 HP),Automatic,https://www.bytbil.com/kalmar-lan/personbil-qashqai-1-6-dci-130hk-xtronic-cvt-panorama-360-8570-17514165
"9,625 EUR (109,900 SEK)",Volvo,V70,2.5 D5,"276,000 km",2012,Diesel,Wagon,Silver,Karlstad,160 kW (218 HP),Automatic,https://bilweb.se/varmlands-lan/volvo-v70-d5-geartronic-momentum-ocean-race-euro5-voc-2012-kombi-10666568
"46,411 EUR (529,900 SEK)",Audi,Sq5,3.0 TDI,"96,010 km",2019,Diesel,Suv,Black,Falun,255 kW (347 HP),Automatic,https://www.blocket.se/annons/1001014375
"21,432 EUR (244,700 SEK)",Volkswagen,Golf,2.0 R,"121,000 km",2014,Petrol,Sedan,Silver,Bro,221 kW (301 HP),Automatic,https://www.blocket.se/annons/1001075572
