Price,Make,Model,Mi,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Power,Euro norm
"55,946 EUR (54,300 CHF)",Kia,Ev6,0 km,2024,Electric,Crossover,Black,Uster,Automatic,https://www.carforyou.ch/de/auto/kia/ev6,,,
"46,352 EUR (44,988 CHF)",Volvo,Ex30,0 km,2024,Electric,Suv,Black,Kreuzlingen,Automatic,https://www.carforyou.ch/de/auto/volvo/ex30,,,
"15,238 EUR (14,790 CHF)",Mazda,626,"112,003 km",2017,Petrol,Wagon,Black,Spiez,Manual,https://www.carforyou.ch/de/auto/mazda/626,,,
"48,992 EUR (47,550 CHF)",Mazda,Cx-60,0 km,2023,,Suv,Black,Uster,Automatic,https://www.carforyou.ch/de/auto/mazda/cx-60,3.3 e-Skyactiv D,,
"27,600 EUR",Abarth,595,"34,000 km",2019,Petrol,Coupe,,,,https://www.woowmotors.com/car/2019-abarth-500,1.4 competizione,,
"111,300 EUR",Mercedes Benz,190,"106,865 km",1961,Petrol,Sedan,,,Automatic,https://www.woowmotors.com/car/1961-mercedes-benz-190-sl,,,
"47,700 EUR",Citroen,M35,"23,000 km",1970,Petrol,Coupe,,,,https://www.woowmotors.com/car/citroen-m35-prototype-number-465,,,
"100,600 EUR",Porsche,911,"172,500 km",1984,Petrol,,,,,https://www.woowmotors.com/car/1984-porsche-911-32l,3.2,,
"21,200 EUR",Citroen,Dyane,"69,731 km",1980,Petrol,,Orange,,,https://www.woowmotors.com/car/1980-citroen-dyane,,,
"29,700 EUR",Citroen,2cv,"34,515 km",1987,Petrol,,Gray,,,https://www.woowmotors.com/car/1987-citroen-2cv-charlestone,,,
"169,600 EUR",Citroen,Bx,"2,800 km",1984,Petrol,,,,,https://www.woowmotors.com/car/1984-citroen-bx-4tc-44-turbo-groupe-b,,,
"31,700 EUR",Datsun,510,"36,436 km",1971,Petrol,,,,,https://www.woowmotors.com/car/1971-datsun-type-510-1600-sss,,,
"52,900 EUR",Austin,Seven,"30,144 km",1929,Petrol,,,,,https://www.woowmotors.com/car/1929-austin-austin-seven-7,,,
"34,000 EUR",Triumph,Tr4,"50,000 km",1969,Petrol,,,,,https://www.woowmotors.com/car/1969-triumph-tr4,,,
"31,800 EUR",Citroen,2cv,"29,965 km",1987,Petrol,,,,,https://www.woowmotors.com/car/citroen-2cv-canard-vert,,,
"26,500 EUR",Citroen,2cv,"31,190 km",1986,Petrol,,,,,https://www.woowmotors.com/car/1986-citroen-2cv,,,
"74,200 EUR",Citroen,Visa,187 km,1984,Petrol,,,,,https://www.woowmotors.com/car/1984-citroen-visa-1000-pistes-44,,,
"296,800 EUR",Shelby,Gt500,"92,000 km",1968,Petrol,,Gold,,Automatic,https://www.woowmotors.com/car/1968-shelby-gt-500,,,
"39,976 EUR (38,800 CHF)",Škoda,Enyaq,10 km,2024,Electric,Suv,Blue,,Automatic,https://www.azw.ch/de/angebot/624/skoda-enyaq-iv-60-automat-netto-netto?&page_number=6,electro,134 kW (182 HP),
"47,910 EUR (46,500 CHF)",Alfa Romeo,Tonale,6 km,2024,Hybrid,Crossover,Gray,,Automatic,https://www.azw.ch/de/angebot/1033/alfa-romeo-tonale-1-3-plug-in-hybrid-q4-veloce-pack-premium-automat-35?&page_number=1,1.3,208 kW (283 HP),
"40,697 EUR (39,500 CHF)",Volkswagen,Touareg,"25,500 km",2018,Diesel,Suv,Black,,Automatic,https://www.azw.ch/de/angebot/1014/vw-touareg-3-0tdi-bmt-r-line-262ps-autom?&page_number=9,3.0 TDI,195 kW (265 HP),6
"35,855 EUR (34,800 CHF)",Volkswagen,Golf,11 km,2024,Diesel,Sedan,Black,,Automatic,https://www.azw.ch/de/angebot/1165/vw-golf-2-0-tdi-r-line-dsg-automat-30?&page_number=8,2.0 TDI,111 kW (151 HP),
"29,364 EUR (28,500 CHF)",Volkswagen,T-Cross,10 km,2024,Petrol,Crossover,Silver,,Automatic,https://www.azw.ch/de/angebot/1044/vw-t-cross-1-0-tsi-evo-style-r-line-aut-35?&page_number=9,1.0 tsi,82 kW (112 HP),6
"30,703 EUR (29,800 CHF)",Cupra,Formentor,"29,100 km",2021,Petrol,Crossover,Red,,Automatic,https://www.azw.ch/de/angebot/67/cupra-formentor-2-0tsi-vz-4drive-dsg-automat?&page_number=3,2.0 tsi vz,231 kW (314 HP),6
"71,607 EUR (69,500 CHF)",Renault,Master,"1,000 km",2024,Diesel,Van,Gray,,Manual,https://www.azw.ch/de/angebot/171/renault-master-stx-pferdetransporter-2-3-dci-165?&page_number=6,2.3,121 kW (165 HP),6
"33,485 EUR (32,500 CHF)",Ford,Kuga,"6,900 km",2023,Diesel,Suv,Black,,Automatic,https://www.azw.ch/de/angebot/83/ford-kuga-2-0-tdci-ecoblue-st-line-x-4wd-automat?&page_number=3,2.0 TDCi,141 kW (192 HP),6
"22,152 EUR (21,500 CHF)",Seat,Leon,"20,900 km",2021,Petrol,Hatchback,Black,,Automatic,https://www.azw.ch/de/angebot/344/seat-leon-1-4-ehybrid-plug-in-hybrid-fr-dsg-automat?&page_number=6,1.2 TSI,152 kW (207 HP),6
"47,188 EUR (45,800 CHF)",Hyundai,Santa Fe,"28,400 km",2023,Hybrid,Suv,Gray,,Automatic,https://www.azw.ch/de/angebot/1209/hyundai-santa-fe-1-6-t-gdi-phev-ultimate-4wd-automat-7-plaetzer?&page_number=3,1.6,197 kW (268 HP),
"46,879 EUR (45,500 CHF)",Alfa Romeo,Tonale,58 km,2024,Hybrid,Crossover,Blue,,Automatic,https://www.azw.ch/de/angebot/1030/alfa-romeo-tonale-1-3-plug-in-hybrid-q4-veloce-automat-31?&page_number=1,1.3,208 kW (283 HP),
"38,946 EUR (37,800 CHF)",Subaru,Solterra,8 km,2024,Electric,Suv,Black,,Automatic,https://www.azw.ch/de/angebot/603/subaru-solterra-ev-luxury-71-4-kwh-awd-autom-38?&page_number=7,,162 kW (220 HP),
"35,855 EUR (34,800 CHF)",Volkswagen,Golf,8 km,2024,Diesel,Sedan,Black,,Automatic,https://www.azw.ch/de/angebot/1201/vw-golf-2-0-tdi-r-line-dsg-automat-30?&page_number=8,2.0 TDI,111 kW (151 HP),6
"22,358 EUR (21,700 CHF)",Volkswagen,Passat,"31,500 km",2021,Diesel,Wagon,Silver,,Automatic,https://www.azw.ch/de/angebot/995/vw-passat-variant-2-0-tdi-bmt-business-dsg-automat?&page_number=9,2.0 TDI,111 kW (151 HP),6
"38,946 EUR (37,800 CHF)",Škoda,Kodiaq,"30,900 km",2023,Petrol,Suv,White,,Automatic,https://www.azw.ch/de/angebot/1042/skoda-kodiaq-2-0-tsi-4x4-style-7-plaetzer-dsg-automat?&page_number=7,2.0 2.0 4x4 tsi,141 kW (192 HP),
"21,945 EUR (21,300 CHF)",Volkswagen,Passat,"40,300 km",2020,Diesel,Wagon,Black,,Automatic,https://www.azw.ch/de/angebot/991/vw-passat-variant-2-0-tdi-bmt-business-dsg-automat?&page_number=9,2.0 TDI,111 kW (151 HP),6
"36,370 EUR (35,300 CHF)",Seat,Alhambra,"39,100 km",2022,Petrol,Mpv,Black,,Automatic,https://www.azw.ch/de/angebot/1228/seat-alhambra-1-4-tsi-fr-line-7-plaetzer-dsg-automat?&page_number=6,1.4 TSI,111 kW (151 HP),6
"32,764 EUR (31,800 CHF)",Škoda,Octavia,"8,100 km",2023,Diesel,Wagon,Black,,Automatic,https://www.azw.ch/de/angebot/1142/skoda-octavia-combi-2-0-tdi-style-dsg-automat?&page_number=7,2.0 TDI,111 kW (151 HP),
"20,297 EUR (19,700 CHF)",Opel,Corsa-E,"9,600 km",2022,Electric,Sedan,Gray,,Automatic,https://www.azw.ch/de/angebot/1227/opel-corsa-e-gs-line-elektro-automat?&page_number=5,,101 kW (137 HP),
"20,503 EUR (19,900 CHF)",Volkswagen,T-Cross,"26,100 km",2022,Petrol,Crossover,Silver,,Automatic,https://www.azw.ch/de/angebot/1066/vw-t-cross-1-0-tsi-life-dsg-automat?&page_number=9,1.0 tsi,82 kW (112 HP),6
"45,849 EUR (44,500 CHF)",Škoda,Kodiaq,21 km,2024,Diesel,Suv,Black,,Automatic,https://www.azw.ch/de/angebot/1117/skoda-kodiaq-2-0-tdi-cr-sportline-4x4-dsg-automat-7-plaetzer-30?&page_number=7,2.0 2.0 4x4 tdi,149 kW (203 HP),6
"34,515 EUR (33,500 CHF)",Bmw,2 Series,"15,200 km",2022,Diesel,Sedan,Gray,,Automatic,https://www.azw.ch/de/angebot/1180/bmw-220d-gran-coupe-m-sport-steptronic-aut?&page_number=2,220D,141 kW (192 HP),6
"27,612 EUR (26,800 CHF)",Seat,Ateca,18 km,2024,Petrol,Suv,White,,Automatic,https://www.azw.ch/de/angebot/1113/seat-ateca-1-5-tsi-evo-style-dsg-auto-30?&page_number=6,1.5 tsi,111 kW (151 HP),
"30,703 EUR (29,800 CHF)",Mazda,Cx-5,"9,300 km",2023,Petrol,Crossover,Black,,Automatic,https://www.azw.ch/de/angebot/964/mazda-cx-5-e-skyactiv-g-165-homura-fwd-automat?&page_number=4,2.0,123 kW (167 HP),6
"30,703 EUR (29,800 CHF)",Mazda,Cx-5,"9,200 km",2023,Petrol,Crossover,Black,,Automatic,https://www.azw.ch/de/angebot/927/mazda-cx-5-e-skyactiv-g-165-homura-fwd-automat?&page_number=4,2.0,123 kW (167 HP),6
"26,582 EUR (25,800 CHF)",Peugeot,3008,"33,200 km",2023,Diesel,Crossover,Black,,Automatic,https://www.azw.ch/de/angebot/937/peugeot-3008-1-5-bluehdi-allure-pack-eat-autom?&page_number=5,1.5 bluehdi,96 kW (131 HP),6
"30,703 EUR (29,800 CHF)",Mazda,Cx-5,"10,600 km",2023,Petrol,Crossover,Gray,,Automatic,https://www.azw.ch/de/angebot/962/mazda-cx-5-e-skyactiv-g-165-homura-fwd-automat?&page_number=4,2.0,123 kW (167 HP),6
"163,306 EUR (158,500 CHF)",Bentley,Bentayga,"14,900 km",2021,Petrol,Suv,Gray,,Automatic,https://www.azw.ch/de/angebot/1188/bentley-bentayga-v8-design-series-550ps?&page_number=2,4.0 V8,410 kW (558 HP),6
"40,697 EUR (39,500 CHF)",Bmw,X4,"26,100 km",2019,Petrol,Suv,Black,,Automatic,https://www.azw.ch/de/angebot/693/bmw-x4-xdrive-20i-m-sport-x-steptronic-automat?&page_number=2,20i xDrive,137 kW (186 HP),6
"20,091 EUR (19,500 CHF)",Volkswagen,T-Cross,"22,700 km",2022,Petrol,Crossover,Black,,Automatic,https://www.azw.ch/de/angebot/1065/vw-t-cross-1-0-tsi-life-dsg-automat?&page_number=9,1.0 tsi,82 kW (112 HP),6
"17,412 EUR (16,900 CHF)",Nissan,Micra,"14,300 km",2022,Petrol,Mini,Gray,,Automatic,https://www.azw.ch/de/angebot/1136/nissan-micra-ig-t-acenta-xtronic-automat?&page_number=5,1.0,68 kW (92 HP),6
"43,067 EUR (41,800 CHF)",Bmw,X1,"9,100 km",2023,Petrol,Suv,Black,,Automatic,https://www.azw.ch/de/angebot/791/bmw-x1-sdrive-18i-m-sport-neues-modell-steptr-automat?&page_number=2,18i sDrive,101 kW (137 HP),6
"43,067 EUR (41,800 CHF)",Bmw,X1,"3,200 km",2023,Petrol,Suv,Black,,Automatic,https://www.azw.ch/de/angebot/1128/bmw-x1-sdrive-18i-m-sport-neues-modell-steptr-automat?&page_number=2,18i sDrive,101 kW (137 HP),
"68,825 EUR (66,800 CHF)",Audi,Tt,"8,600 km",2023,Petrol,Coupe,Gray,,Automatic,https://www.azw.ch/de/angebot/1111/audi-tt-coupe-ttrs-quattro-s-tronic-automat-400ps?&page_number=2,2.5,298 kW (405 HP),6
"47,188 EUR (45,800 CHF)",Bmw,3 Series,"22,100 km",2023,Petrol,Sedan,Black,,Automatic,https://www.azw.ch/de/angebot/876/bmw-330i-xdrive-m-sport-steptronic-automat?&page_number=2,330i,182 kW (248 HP),6
"23,491 EUR (22,800 CHF)",Citroen,C5 Aircross,"33,300 km",2023,Diesel,Suv,Black,,Automatic,https://www.azw.ch/de/angebot/1149/citroen-c5-aircross-1-5-bluehdi-prestige-eat-automat?&page_number=2,1.5 bluehdi,97 kW (132 HP),6
"23,491 EUR (22,800 CHF)",Citroen,C5 Aircross,"29,300 km",2023,Diesel,Suv,Black,,Automatic,https://www.azw.ch/de/angebot/1067/citroen-c5-aircross-1-5-bluehdi-prestige-eat-automat?&page_number=2,1.5 bluehdi,97 kW (132 HP),
"3,915 EUR (3,800 CHF)",Mazda,Cx-7,,2010,Diesel,Suv,Black,Schlieren,Manual,https://www.carforyou.ch/de/auto/mazda/cx-7,2.3 Sport,,
"48,940 EUR (47,500 CHF)",Land Rover,Range Rover Sport,"112,600 km",2014,Petrol,Suv,,,Automatic,https://www.azw.ch/de/angebot/95/land-rover-range-rover-sport-5-0-v8-sc-510ps-autobiography-dynamica?&page_number=4,5.0,380 kW (517 HP),6
"23,182 EUR (22,500 CHF)",Opel,Mokka,"16,300 km",2022,Petrol,Crossover,,,Automatic,https://www.azw.ch/de/angebot/1027/opel-mokka-1-2-direct-injection-turbo-gs-line-automat?&page_number=5,1.2,96 kW (131 HP),6
