Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,VIN,Contact
"18,948 EUR (20,490 USD)",Jeep,Compass,2.4 Limited,"41,775 mi",2021,Petrol,Crossover,Black,Jonesboro,134 kW (182 HP),Automatic,3C4NJDCB6MT596344,https://www.easyautosales.com/used-cars/2021-Jeep-Compass-Limited-119104528.html
"10,625 EUR (11,490 USD)",Audi,A3,1.8 quattro t,"97,965 mi",2015,Petrol,Sedan,Gray,Hamburg,164 kW (223 HP),Automatic,WAUBFGFF0F1007123,https://www.cars.com/vehicledetail/5612f85b-4db1-4066-b992-2c68f964de63//
"19,769 EUR (21,378 USD)",Nissan,Rogue,2.5 SL,"67,848 mi",2021,Petrol,Crossover,White,Tampa,134 kW (182 HP),Automatic,5N1AT3CA7MC707596,https://www.easyautosales.com/used-cars/2021-Nissan-Rogue-SL-118036198.html
"9,243 EUR (9,995 USD)",Ford,F150,4.6 XLT,"129,967 mi",2010,Petrol,Pickup,Red,Saint Louis,217 kW (295 HP),Automatic,1FTFW1E80AFA80041,https://www.cars.com/vehicledetail/279b780e-b5f4-4710-901a-8b33567a32a3//
"8,318 EUR (8,995 USD)",Honda,Cr-V,2.4 EX,"177,059 mi",2012,Petrol,Suv,Gray,East Windsor,5 kW (7 HP),Automatic,JHLRM4H54CC012189,https://www.cars.com/vehicledetail/6eb96b5f-9b27-4fde-b728-1a93b90c4c0d//
"18,957 EUR (20,500 USD)",Jeep,Compass,2.4,"34,095 mi",2021,Petrol,Crossover,White,East Brunswick,134 kW (182 HP),Automatic,3C4NJDBB4MT562131,https://www.easyautosales.com/used-cars/2021-Jeep-Compass-Latitude-118997076.html
"19,871 EUR (21,488 USD)",Chevrolet,Colorado,3.6 LT,"104,435 mi",2016,Petrol,Pickup,Blue,Pacific,229 kW (311 HP),Automatic,1GCHTCE3XG1149065,https://www.cars.com/vehicledetail/5e675edd-3a04-4b6c-b2be-4cf02b9980d7//
"9,236 EUR (9,988 USD)",Jeep,Laredo,3.6,"115,424 mi",2012,Petrol,Suv,Black,Orange,216 kW (294 HP),Automatic,1C4RJEAG3CC129141,https://www.easyautosales.com/used-cars/2012-Jeep-Grand-Cherokee-Laredo-117672474.html
"16,502 EUR (17,845 USD)",Jeep,Compass,2.4,"50,918 mi",2020,Petrol,Crossover,Silver,Eau Claire,134 kW (182 HP),Automatic,3C4NJDBB4LT100568,https://www.cars.com/vehicledetail/4e551c49-4422-4f8e-b4b6-1c2a1c0b3fe6//
"20,762 EUR (22,451 USD)",Honda,Hr-V,1.8,"5,143 mi",2021,Petrol,Crossover,Silver,Wallingford,105 kW (143 HP),Automatic,3CZRU6H34MM730715,https://www.cars.com/vehicledetail/e1d50f2f-149f-45bf-9893-4996fce65767//
