Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Audi,A8,3.0 55 TFSI Quattro,2018,Petrol,Sedan,Black,Bruck An Der Mur,Automatic,https://www.zweispurig.at/audi-a8-gebrauchtwagen-benzin-schwarz-steiermark/details-1224347,52490,114500,253.0,6,Austria
Volkswagen,Taigo,1.0 tsi,2023,Petrol,Crossover,Black,Bruck An Der Mur,Automatic,https://www.dasweltauto.at/vehicle/40907574,27990,22000,82.0,6,Austria
Mazda,Cx-60,3.3,2023,Hybrid,Suv,Blue,Wels,Automatic,https://www.zweispurig.at/mazda-cx-60-gebrauchtwagen-diesel-blau-oberoesterreich/details-1181558,49980,16500,149.0,6,Austria
Mercedes Benz,E-Class,430,2016,Diesel,Wagon,Gray,Bruck An Der Mur,Automatic,https://www.dasweltauto.at/vehicle/40907565,19990,174620,101.0,6,Austria
Ford,Mustang,5.0,2020,Petrol,Coupe,Red,Salzburg,Automatic,https://www.zweispurig.at/ford-mustang-gebrauchtwagen-benzin-rot-salzburg/details-1187847,56890,25800,335.0,6,Austria
Alfa Romeo,Tonale,1.3,2024,Hybrid,Crossover,Red,Amstetten,Automatic,https://www.zweispurig.at/alfa-romeo-tonale-vorfuehrwagen-elektrobenzin-hybrid-rot-niederoesterreich/details-1230352,59940,10,208.0,6,Austria
Audi,Q5,2.0 40 TDI quattro,2023,Diesel,Suv,Black,Eisenstadt,Automatic,https://www.dasweltauto.at/vehicle/20311634,74900,12600,152.0,6,Austria
Lexus,Nx,300h,2021,Petrol,Suv,Black,Enns,Automatic,https://www.zweispurig.at/lexus-nx-gebrauchtwagen-benzin-schwarz-steiermark/details-1233645,40500,27726,146.0,6,Austria
Mclaren,600lt,3.8 spider,2022,Petrol,Convertible,Silver,Wiener Neustadt,Automatic,https://www.zweispurig.at/mclaren-600lt-gebrauchtwagen-benzin-silber-niederoesterreich/details-1240319,399870,39,447.0,6,Austria
Audi,A5,2.0 tfsi,2010,Petrol,Convertible,Black,Leoben,Automatic,https://www.zweispurig.at/audi-a5-gebrauchtwagen-benzin-schwarz-steiermark/details-1240337,17900,83000,134.0,5,Austria
Alfa Romeo,Stelvio,2.0,2017,Diesel,Crossover,Gray,Amstetten,Automatic,https://www.zweispurig.at/alfa-romeo-stelvio-gebrauchtwagen-diesel-grau-niederoesterreich/details-1230343,28940,105323,155.0,6,Austria
Opel,Mokka,1.7,2015,Diesel,Crossover,White,Braunau Am Inn,Manual,https://www.zweispurig.at/opel-mokka-gebrauchtwagen-diesel-weiss-oberoesterreich/details-1167057,12499,77000,97.0,6,Austria
Mercedes Benz,C-Class,180,2021,Diesel,Wagon,Red,Eisenstadt,Automatic,https://www.dasweltauto.at/vehicle/20311602,29900,76910,90.0,6,Austria
Land Rover,Evoque,2.0,2017,Diesel,Suv,Gray,Graz,Automatic,https://www.zweispurig.at/land-rover-range-rover-evoque-gebrauchtwagen-diesel-grau-steiermark/details-1245432,27590,102900,134.0,6,Austria
Ford,S-Max,2.0 EcoBlue,2020,Diesel,Mpv,White,Telfs,Manual,https://www.zweispurig.at/ford-s-max-gebrauchtwagen-diesel-weiss-tirol/details-1189651,24987,108200,111.0,6,Austria
Audi,A6,2.7,2009,Diesel,Sedan,Silver,Salzburg,Manual,https://www.zweispurig.at/audi-a6-gebrauchtwagen-diesel-silber-salzburg/details-1197597,8900,250000,141.0,5,Austria
Volkswagen,Transporter,2.0,2023,Diesel,Van,Black,Graz,Automatic,https://www.dasweltauto.at/vehicle/40417542,83900,56067,152.0,6,Austria
Bmw,X5,xDrive30d,2022,Diesel,Suv,Black,Leoben,Automatic,https://www.zweispurig.at/bmw-x5-gebrauchtwagen-diesel-schwarz-steiermark/details-1238156,65990,99800,213.0,6,Austria
Volkswagen,Touran,1.5 tsi,2018,Petrol,Mpv,Gray,Steyr,Automatic,https://www.dasweltauto.at/vehicle/31306893,24490,88713,111.0,6,Austria
Ford,Ecosport,1.0,2020,Petrol,Suv,White,Hollabrunn,Manual,https://www.zweispurig.at/ford-ecosport-gebrauchtwagen-benzin-weiss-niederoesterreich/details-1220094,16990,29975,93.0,6,Austria
Porsche,Cayenne,3.0 diesel,2011,Diesel,Suv,Black,Braunau Am Inn,Automatic,https://www.zweispurig.at/porsche-cayenne-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1217220,25999,256000,182.0,5,Austria
Audi,A6,3.0 TDI Quattro TipTronic,2019,Diesel,Sedan,Gray,Leoben,Automatic,https://www.zweispurig.at/audi-a6-gebrauchtwagen-diesel-grau-steiermark/details-1252668,39890,86200,213.0,6,Austria
Volkswagen,Passat,2.0 TDI SCR,2019,Diesel,Wagon,Silver,Wolfsberg,Manual,https://www.dasweltauto.at/vehicle/62100583,18790,94187,111.0,6,Austria
