Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Land Rover,Evoque,2.0,2020,Diesel,Suv,Gray,Mons,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/land-rover/range-rover-evoque/land-rover-range-rover-evoque-2020-vente-510417?,35990,84447,111.0,6,Belgium
Audi,A1,1.0 25 TFSI,2022,Petrol,Mini,Gray,Genk,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a1-essence-0561194/,23990,40244,70.0,6,Belgium
Audi,A1,1.0 25 TFSI,2022,Petrol,Mini,Gray,Genk,Automatic,https://www.autogids.be/detail-id--9468886--audi-sportback-25-tfsi-95-pk-s-tronic-automaat/tweedehands.html,23990,36854,70.0,6,Belgium
Ford,Kuga,1.5,2019,Petrol,Suv,Black,Rotselaar,Manual,https://www.autogids.be/detail-id--9464011--ford-vignale-benzine-slechts-60000km/tweedehands.html,19990,60820,111.0,6,Belgium
Audi,Q2,1.5 35 TFSI,2021,Petrol,Crossover,Black,Genk,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/q2/audi-q2-2021-vente-532575?,33500,41442,111.0,6,Belgium
Volvo,V60,2.0 t4,2021,Petrol,Wagon,Gray,Rotselaar,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/volvo/v60/volvo-v60-vente-516215?,37777,56044,141.0,6,Belgium
Ford,Focus,1.0 st,2021,Petrol,Hatchback,Gray,Boortmeerbeek,Manual,https://www.autogids.be/detail-id--9446692--ford-st-line-x-clipper-mhev-panoramisch-open-dak/tweedehands.html,23725,26648,93.0,6,Belgium
Mercedes Benz,Eqe,AMG43,2022,Electric,Sedan,White,Huy,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/mercedes-benz/eqe/mercedes-benz-eqe-2022-vente-561381?,78990,19744,354.0,6,Belgium
Nissan,X-Trail,1.3,2018,Petrol,Suv,White,Keerbergen,Manual,https://www.vroom.be/fr/voitures-occasion/nissan-x-trail-essence-0561808/,20390,83257,121.0,6,Belgium
Volkswagen,Tiguan,1.5,2024,Petrol,Crossover,Black,Tournai,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/volkswagen/tiguan/volkswagen-tiguan-2024-vente-518572?,46990,9,111.0,6,Belgium
Ford,Galaxy,1.5,2019,Petrol,Mpv,Gray,Boortmeerbeek,Automatic,https://www.autogids.be/detail-id--9482807--ford-business-edition-benzine-165pk-7-zetels/tweedehands.html,26800,71065,123.0,6,Belgium
Land Rover,Defender,3.0,2021,Diesel,Suv,Bronse,Kalmthout,Automatic,https://www.autogids.be/detail-id--9500305--land-rover-110-3-0-d250-7-plaatsen/tweedehands.html,81250,36406,185.0,6,Belgium
Mercedes Benz,C-Class,250 D,2014,Diesel,Wagon,Black,Zwevegem,Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-c-250-diesel-0492873/,22990,153255,152.0,6,Belgium
Jaguar,F-Pace,2.0,2018,Diesel,Crossover,Black,Turnhout,Automatic,https://www.autogids.be/detail-id--9500216--jaguar-2-0-r-sport-awd-20d-navi-airco-cam-verw-zetel/tweedehands.html,26950,82298,133.0,6,Belgium
Peugeot,508,1.6,2021,Petrol,Sedan,Gray,Turnhout,Automatic,https://www.autogids.be/detail-id--8941790--peugeot-1-6benz-225pk-at8-gt-pack-dodehoek-camera-elekt/tweedehands.html,28990,54503,167.0,6,Belgium
Land Rover,Defender,2.0,2020,Diesel,Suv,Bronse,Halen,Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-defender-diesel-0511134/,64990,46032,178.0,6,Belgium
Audi,A1,1.0 25 TFSI,2022,Petrol,Mini,Gray,Overpelt,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a1-essence-0558197/,22990,40949,70.0,6,Belgium
Audi,A1,1.0 25 TFSI,2022,Petrol,Mini,Black,Tongeren,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a1/audi-a1-2022-vente-558388?,28500,24571,70.0,6,Belgium
Porsche,Macan,3.0,2017,Diesel,Suv,Gray,Andenne,Automatic,https://www.autogids.be/detail-id--9530601--porsche-s-diesel-3-0-v6-bi-turbo-s-pdk/tweedehands.html,39999,69789,157.0,6,Belgium
Porsche,Macan,3.0,2017,Petrol,Suv,Black,Brugge,Automatic,https://www.autogids.be/detail-id--9556010--porsche-s-3-0-led-volleder-panodak-adaptive-cruise/tweedehands.html,44995,65652,253.0,6,Belgium
Audi,Q8,3.0,2022,Diesel,Suv,White,Hasselt,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q8-none-0379819/,79990,33996,344.0,6,Belgium
Audi,A1,1.0 30 TFSI,2020,Petrol,Mini,Black,Genk,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a1-essence-0524609/,24500,30471,86.0,6,Belgium
Land Rover,Range Rover,3.0,2018,Diesel,Suv,Black,Brugge,Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-range-rover-diesel-0538421/,61995,89281,192.0,6,Belgium
Hyundai,Tucson,1.6 GDi,2024,Petrol,Suv,Blue,Hamme,Automatic,https://www.autogids.be/detail-id--9464624--hyundai-shine-48v-stock-automaat/tweedehands.html,35749,5,111.0,6,Belgium
Audi,Q2,2.0,2020,Diesel,Crossover,Gray,Oostkamp,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q2-diesel-0556156/,24990,77800,150.0,6,Belgium
Audi,A5,2.0 40 TDI,2023,Diesel,Sedan,Black,Tongeren,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a5/audi-a5-2023-vente-528556?,44990,28427,152.0,6,Belgium
Audi,A5,2.0 40 TDI,2023,Diesel,Sedan,Black,Hasselt,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a5/audi-a5-2023-vente-558406?,45500,27356,152.0,6,Belgium
Hyundai,Tucson,1.6 T-GDi,2019,Petrol,Suv,Gray,Kuurne,Manual,https://www.autogids.be/detail-id--9376969--hyundai-1-6-t-gdi-shine-leder-360camera-panodak/tweedehands.html,21490,78252,131.0,6,Belgium
Cupra,Formentor,1.5,2024,Petrol,Crossover,Black,Genk,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/cupra/formentor/cupra-formentor-2024-vente-521421?,33990,10,111.0,6,Belgium
