Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Porsche,Panamera,4.8 GTS,2012,Petrol,Sedan,Gray,Kroměříž,Automatic,https://www.megacars.cz/ojete-auto/porsche-panamera-4-8-gts-automat-pdk-4x4-23694/,5,31546,164695,316.0,Czech Republic
Land Rover,Freelander,2.2 TD4,2012,Diesel,Suv,Blue,Zlín,Automatic,https://www.autanet.cz/detail/land-rover/freelander/47150,5,9843,180000,140.0,Czech Republic
Subaru,Forester,2.0,2013,Diesel,Suv,White,Brno,Manual,https://autocaris.cz/detail.php?inzerat=744962,5,7313,240856,108.0,Czech Republic
Porsche,Cayenne,4.0 Turbo,2018,Petrol,Suv,Black,Praha,Automatic,https://www.sauto.cz/osobni/detail/porsche/cayenne/199946617,6,71153,138990,404.0,Czech Republic
Maserati,Levante,3.0 diesel,2017,Diesel,Suv,White,Praha,Automatic,https://www.automodul.cz/maserati-levante-3-0-v6-q4-diesel-vzduch-pano-c2739232,6,34388,83355,202.0,Czech Republic
Volvo,Xc90,2.0 D5 AWD,2017,Diesel,Suv,Black,Praha,Automatic,http://auto.rychle.cz/osobni-auto-O/Volvo/XC90/XC90-D5-AWD-INSC-SUV-1710905733593150.html,6,31621,183955,173.0,Czech Republic
Hyundai,Ix35,2.0 CRDi,2010,Diesel,Crossover,Gray,Říčany,Manual,https://www.automodul.cz/hyundai-ix35-2-0-crdi-navi-panorama-kuze-c2727434,5,6878,239100,100.0,Czech Republic
Volkswagen,Touareg,4.0 TDI V8,2010,Diesel,Suv,Brown,Brno,Automatic,https://www.automodul.cz/volkswagen-touareg-4-1-v8-4-2-tdi-8tt-c2600507,5,16207,319000,250.0,Czech Republic
Tesla,Model S,electro,2018,Electric,Sedan,Blue,Praha,Automatic,https://autocaris.cz/detail.php?inzerat=729074,6,37551,84670,193.0,Czech Republic
Mercedes Benz,Gla-Class,220d 4Matic,2016,Diesel,Suv,Black,Praha,Automatic,https://www.annonce.cz/inzerat/mercedes-benz-gla-220d-72995041-wy4f5p.html,6,19761,145120,130.0,Czech Republic
Mercedes Benz,Sl-Class,4.0 AMG 55,2023,Petrol,Convertible,Gray,Praha,Automatic,https://www.sauto.cz/osobni/detail/mercedes-benz/sl/195808582,6,171959,2966,350.0,Czech Republic
Subaru,Outback,2.0 D,2015,Diesel,Crossover,Blue,Olomouc,Automatic,https://autocaris.cz/detail.php?inzerat=746860,6,12610,236188,110.0,Czech Republic
Volvo,Xc90,2.0 D5 AWD,2018,Diesel,Suv,Gray,Praha,Automatic,http://auto.rychle.cz/osobni-auto-O/Volvo/XC90/XC90-2.0-D5-AWD-SUV-1710992138027106.html,6,37551,128995,173.0,Czech Republic
Bmw,X5,M50d,2017,Diesel,Suv,White,Olbramovice,Automatic,https://www.sauto.cz/osobni/detail/bmw/x5/204875757,6,27672,156979,280.0,Czech Republic
Bmw,1 Series,125i,2011,Petrol,Coupe,Gray,Olbramovice,Manual,https://www.automodul.cz/bmw-rada-3-2-0-i-125kw-edition-kuze-c2706273,5,8696,128105,125.0,Czech Republic
Porsche,Cayenne,3.6 gts,2016,Petrol,Suv,Black,Kroměříž,Automatic,https://www.sauto.cz/osobni/detail/porsche/cayenne/206207061,6,39452,187239,324.0,Czech Republic
